LANGUAGE,AGE,SET
language_1,"[1, 0]",4
language_2,"[1, 0]",4
language_3,"[1, 0]",4
language_4,"[0, 0]",4
language_5,"[1, 0]",4
language_6,"[1, 0]",4
language_7,"[0, 0]",4
language_8,"[1, 0]",4
language_9,"[1, 0]",4
language_10,"[1, 0]",4
language_11,"[1, 0]",4
language_12,"[1, 0]",4
language_13,"[1, 0]",4
language_15,"[1, 0]",4
language_16,"[0, 0]",4
language_17,"[1, 0]",4
language_19,"[1, 0]",4
language_20,"[0, 0]",4
language_21,"[1, 0]",4
language_22,"[0, 0]",4
language_24,"[1, 0]",4
language_25,"[0, 0]",4
language_26,"[1, 1]",4
language_27,"[1, 0]",4
language_30,"[1, 0]",4
language_32,"[1, 0]",4
language_33,"[1, 0]",4
language_35,"[1, 0]",4
language_36,"[1, 0]",4
language_37,"[0, 1]",4
language_40,"[1, 1]",4
language_41,"[1, 0]",4
language_42,"[0, 0]",4
language_43,"[0, 1]",4
language_44,"[1, 0]",4
language_45,"[1, 0]",4
language_46,"[1, 0]",4
language_47,"[1, 0]",4
language_48,"[0, 1]",4
language_50,"[1, 0]",4
language_51,"[1, 0]",4
language_52,"[1, 0]",4
language_53,"[0, 0]",4
language_54,"[1, 0]",4
language_55,"[0, 0]",4
language_56,"[1, 0]",4
language_57,"[1, 0]",4
language_59,"[0, 0]",4
language_60,"[1, 0]",4
language_62,"[0, 0]",4
language_64,"[1, 0]",4
language_65,"[1, 0]",4
language_66,"[1, 0]",4
language_67,"[1, 0]",4
language_68,"[1, 0]",4
language_69,"[1, 0]",4
language_70,"[0, 0]",4
language_71,"[1, 0]",4
language_72,"[1, 0]",4
language_73,"[0, 1]",4
language_74,"[1, 0]",4
language_75,"[1, 0]",4
language_76,"[1, 0]",4
language_78,"[0, 0]",4
language_79,"[0, 0]",4
language_81,"[1, 0]",4
language_82,"[1, 0]",4
language_84,"[1, 0]",4
language_85,"[0, 0]",4
language_86,"[1, 0]",4
language_87,"[1, 1]",4
language_88,"[0, 0]",4
language_89,"[1, 1]",4
language_90,"[1, 0]",4
language_91,"[1, 0]",4
language_92,"[1, 0]",4
language_93,"[0, 0]",4
language_94,"[0, 0]",4
language_95,"[0, 0]",4
language_96,"[0, 0]",4
language_97,"[0, 0]",4
language_98,"[0, 0]",4
language_99,"[0, 0]",4
language_100,"[0, 0]",4
language_101,"[1, 0]",4
language_102,"[0, 0]",4
language_103,"[0, 0]",4
language_104,"[0, 0]",4
language_105,"[1, 0]",4
language_108,"[0, 1]",4
