LANGUAGE,AGE,SET
language_1,"[1, 1]",456
language_3,"[1, 0]",456
language_4,"[1, 0]",456
language_5,"[1, 0]",456
language_6,"[1, 0]",456
language_8,"[0, 1]",456
language_9,"[0, 0]",456
language_10,"[0, 0]",456
language_11,"[1, 0]",456
language_12,"[1, 0]",456
language_13,"[1, 0]",456
language_14,"[1, 0]",456
language_15,"[0, 0]",456
language_16,"[1, 0]",456
language_17,"[0, 0]",456
language_18,"[1, 1]",456
language_21,"[0, 0]",456
language_22,"[1, 0]",456
language_23,"[1, 0]",456
language_24,"[1, 0]",456
language_25,"[1, 0]",456
language_26,"[0, 0]",456
language_27,"[1, 0]",456
language_29,"[0, 0]",456
language_31,"[1, 1]",456
language_34,"[1, 0]",456
language_35,"[1, 0]",456
language_36,"[0, 0]",456
language_37,"[0, 0]",456
language_38,"[0, 0]",456
language_41,"[1, 0]",456
language_42,"[1, 0]",456
language_43,"[1, 0]",456
language_44,"[1, 0]",456
language_45,"[0, 1]",456
language_48,"[1, 0]",456
language_49,"[1, 1]",456
language_50,"[1, 0]",456
language_52,"[1, 0]",456
language_53,"[0, 0]",456
language_54,"[1, 0]",456
language_56,"[0, 0]",456
language_57,"[1, 0]",456
language_58,"[0, 0]",456
language_59,"[1, 0]",456
language_60,"[1, 0]",456
language_61,"[1, 1]",456
language_62,"[1, 0]",456
language_63,"[0, 0]",456
language_64,"[1, 0]",456
language_65,"[1, 0]",456
language_69,"[1, 0]",456
language_71,"[1, 0]",456
language_72,"[1, 0]",456
language_73,"[1, 0]",456
language_74,"[1, 0]",456
language_76,"[1, 1]",456
language_77,"[0, 0]",456
language_79,"[1, 0]",456
language_80,"[0, 0]",456
language_83,"[1, 1]",456
language_85,"[0, 0]",456
language_86,"[0, 0]",456
language_88,"[1, 0]",456
language_90,"[0, 0]",456
language_91,"[1, 0]",456
language_92,"[0, 0]",456
language_93,"[1, 0]",456
language_94,"[0, 0]",456
language_95,"[0, 0]",456
language_96,"[1, 0]",456
language_98,"[1, 0]",456
language_99,"[0, 0]",456
language_101,"[1, 0]",456
language_102,"[1, 0]",456
language_103,"[1, 0]",456
language_104,"[1, 0]",456
language_105,"[1, 0]",456
language_106,"[0, 0]",456
language_107,"[1, 0]",456
language_108,"[0, 1]",456
language_109,"[1, 0]",456
language_110,"[0, 0]",456
language_111,"[1, 0]",456
language_112,"[0, 0]",456
language_113,"[0, 0]",456
language_114,"[1, 0]",456
language_115,"[0, 0]",456
language_116,"[1, 0]",456
language_118,"[0, 0]",456
language_119,"[1, 1]",456
language_120,"[1, 1]",456
language_121,"[1, 1]",456
language_122,"[1, 0]",456
language_123,"[1, 0]",456
language_124,"[1, 0]",456
language_125,"[1, 0]",456
language_126,"[0, 0]",456
language_127,"[1, 0]",456
language_128,"[1, 0]",456
language_129,"[1, 0]",456
language_130,"[0, 0]",456
language_132,"[1, 0]",456
language_133,"[1, 0]",456
language_135,"[1, 0]",456
language_136,"[1, 0]",456
language_137,"[1, 0]",456
language_138,"[0, 1]",456
language_139,"[0, 0]",456
language_140,"[0, 0]",456
language_142,"[1, 0]",456
language_143,"[1, 0]",456
language_144,"[1, 0]",456
language_146,"[1, 0]",456
language_147,"[0, 0]",456
language_149,"[1, 0]",456
language_150,"[1, 0]",456
language_151,"[1, 0]",456
language_152,"[0, 1]",456
language_153,"[0, 0]",456
language_154,"[0, 1]",456
language_155,"[1, 0]",456
language_156,"[1, 0]",456
language_157,"[0, 0]",456
language_159,"[0, 0]",456
language_160,"[0, 0]",456
language_161,"[0, 0]",456
language_162,"[0, 0]",456
language_163,"[0, 1]",456
language_164,"[1, 0]",456
language_165,"[0, 0]",456
language_166,"[0, 0]",456
language_167,"[1, 0]",456
language_168,"[1, 0]",456
language_169,"[1, 0]",456
language_170,"[1, 0]",456
language_171,"[1, 0]",456
language_173,"[0, 0]",456
language_174,"[1, 0]",456
language_175,"[1, 0]",456
language_176,"[1, 0]",456
language_177,"[0, 0]",456
language_178,"[0, 0]",456
language_179,"[1, 0]",456
language_180,"[1, 0]",456
language_181,"[1, 0]",456
language_182,"[1, 0]",456
language_183,"[1, 0]",456
language_184,"[0, 0]",456
language_185,"[0, 0]",456
language_187,"[0, 0]",456
language_188,"[1, 0]",456
language_189,"[0, 0]",456
language_190,"[1, 0]",456
language_191,"[1, 0]",456
language_192,"[1, 1]",456
language_193,"[1, 1]",456
language_194,"[0, 0]",456
language_195,"[1, 0]",456
language_196,"[1, 0]",456
language_197,"[1, 0]",456
