LANGUAGE,AGE,SET
language_285,"[0, 1]",10
language_288,"[1, 0]",10
language_289,"[0, 1]",10
language_290,"[1, 0]",10
language_291,"[1, 0]",10
language_292,"[0, 0]",10
language_293,"[0, 0]",10
language_296,"[1, 0]",10
language_297,"[0, 0]",10
language_298,"[0, 0]",10
language_299,"[0, 0]",10
language_300,"[0, 0]",10
language_301,"[1, 0]",10
language_302,"[0, 0]",10
language_303,"[1, 0]",10
language_304,"[1, 0]",10
language_305,"[1, 1]",10
language_307,"[1, 0]",10
language_308,"[1, 0]",10
language_309,"[1, 0]",10
language_310,"[1, 0]",10
language_311,"[0, 0]",10
language_312,"[1, 0]",10
language_313,"[0, 0]",10
language_314,"[1, 0]",10
language_315,"[1, 1]",10
language_316,"[1, 0]",10
language_317,"[1, 0]",10
language_318,"[1, 0]",10
language_319,"[1, 0]",10
language_320,"[0, 0]",10
language_321,"[1, 1]",10
language_323,"[0, 0]",10
language_325,"[1, 0]",10
language_326,"[0, 0]",10
language_327,"[0, 0]",10
language_328,"[1, 0]",10
language_329,"[1, 0]",10
language_330,"[1, 1]",10
language_331,"[1, 0]",10
language_332,"[1, 0]",10
language_333,"[0, 0]",10
language_334,"[0, 0]",10
language_335,"[1, 0]",10
language_336,"[1, 0]",10
language_337,"[1, 0]",10
language_339,"[1, 1]",10
language_340,"[1, 0]",10
language_341,"[1, 0]",10
language_342,"[0, 0]",10
language_343,"[1, 0]",10
language_344,"[0, 0]",10
language_345,"[1, 0]",10
language_346,"[1, 1]",10
language_347,"[1, 0]",10
language_350,"[1, 0]",10
language_351,"[1, 0]",10
language_353,"[0, 1]",10
language_354,"[1, 0]",10
language_355,"[1, 0]",10
language_357,"[1, 0]",10
language_358,"[1, 1]",10
language_359,"[0, 0]",10
language_360,"[1, 0]",10
language_361,"[0, 1]",10
language_362,"[1, 0]",10
language_363,"[1, 0]",10
language_364,"[1, 0]",10
language_366,"[1, 0]",10
language_367,"[1, 0]",10
language_370,"[1, 0]",10
language_371,"[1, 0]",10
language_372,"[1, 0]",10
language_373,"[1, 0]",10
language_374,"[1, 0]",10
language_375,"[0, 0]",10
language_376,"[0, 0]",10
language_377,"[0, 0]",10
language_379,"[1, 0]",10
language_380,"[1, 0]",10
language_382,"[0, 1]",10
language_385,"[1, 0]",10
language_386,"[1, 0]",10
language_387,"[1, 0]",10
language_388,"[1, 0]",10
language_389,"[0, 1]",10
language_393,"[0, 0]",10
language_394,"[1, 0]",10
language_395,"[1, 0]",10
language_396,"[0, 0]",10
language_397,"[0, 0]",10
language_398,"[1, 0]",10
language_399,"[0, 0]",10
language_400,"[0, 0]",10
language_401,"[1, 0]",10
language_402,"[1, 0]",10
language_403,"[0, 0]",10
language_404,"[0, 0]",10
language_405,"[1, 0]",10
language_406,"[1, 0]",10
language_408,"[1, 0]",10
language_410,"[0, 0]",10
language_411,"[0, 0]",10
language_412,"[1, 0]",10
language_413,"[1, 0]",10
language_416,"[1, 0]",10
language_417,"[1, 0]",10
language_418,"[1, 0]",10
language_419,"[0, 0]",10
language_420,"[1, 0]",10
language_421,"[1, 0]",10
language_422,"[1, 0]",10
language_423,"[1, 0]",10
language_424,"[1, 0]",10
language_426,"[1, 0]",10
language_427,"[1, 0]",10
language_428,"[1, 1]",10
language_429,"[1, 0]",10
language_430,"[1, 0]",10
language_431,"[0, 0]",10
language_432,"[1, 0]",10
language_433,"[1, 0]",10
language_434,"[0, 0]",10
language_435,"[1, 0]",10
language_436,"[0, 0]",10
language_437,"[1, 0]",10
language_438,"[1, 0]",10
language_439,"[0, 0]",10
language_440,"[0, 0]",10
language_441,"[0, 0]",10
language_442,"[1, 0]",10
language_444,"[0, 0]",10
language_445,"[1, 0]",10
language_447,"[0, 0]",10
language_448,"[1, 0]",10
language_449,"[0, 0]",10
language_451,"[1, 0]",10
language_452,"[1, 0]",10
language_453,"[1, 1]",10
language_454,"[0, 0]",10
language_455,"[1, 0]",10
language_456,"[1, 0]",10
language_457,"[1, 0]",10
language_458,"[1, 1]",10
language_459,"[1, 1]",10
language_460,"[1, 0]",10
language_461,"[1, 0]",10
language_462,"[1, 0]",10
language_463,"[1, 0]",10
language_464,"[1, 0]",10
language_465,"[1, 0]",10
language_466,"[0, 0]",10
language_467,"[0, 0]",10
language_468,"[1, 0]",10
language_469,"[0, 1]",10
language_470,"[1, 0]",10
language_471,"[1, 0]",10
language_472,"[1, 0]",10
language_474,"[1, 0]",10
language_476,"[1, 0]",10
language_479,"[1, 0]",10
language_480,"[1, 1]",10
language_483,"[0, 0]",10
language_485,"[1, 0]",10
language_487,"[0, 0]",10
language_488,"[1, 0]",10
language_489,"[1, 1]",10
language_490,"[0, 0]",10
language_491,"[0, 1]",10
language_492,"[0, 0]",10
language_493,"[0, 0]",10
language_494,"[1, 0]",10
language_495,"[0, 1]",10
language_496,"[1, 0]",10
language_497,"[1, 0]",10
language_498,"[1, 0]",10
language_500,"[0, 0]",10
language_501,"[1, 0]",10
language_502,"[1, 0]",10
language_503,"[0, 0]",10
language_504,"[1, 1]",10
language_506,"[1, 0]",10
language_507,"[1, 0]",10
language_508,"[1, 0]",10
language_509,"[0, 1]",10
language_510,"[0, 0]",10
language_511,"[1, 0]",10
language_512,"[1, 0]",10
language_513,"[1, 0]",10
language_514,"[1, 0]",10
language_515,"[1, 0]",10
language_516,"[0, 0]",10
language_517,"[1, 0]",10
language_518,"[1, 1]",10
language_519,"[1, 0]",10
language_520,"[0, 1]",10
language_521,"[0, 0]",10
language_522,"[1, 0]",10
language_523,"[1, 0]",10
language_524,"[1, 0]",10
language_526,"[1, 1]",10
language_527,"[1, 0]",10
language_528,"[1, 0]",10
language_529,"[0, 0]",10
language_530,"[0, 0]",10
language_531,"[0, 0]",10
language_532,"[0, 0]",10
language_533,"[1, 0]",10
language_535,"[1, 0]",10
language_536,"[1, 0]",10
language_537,"[1, 0]",10
language_538,"[1, 1]",10
language_539,"[0, 0]",10
language_540,"[1, 0]",10
language_541,"[0, 0]",10
language_542,"[1, 0]",10
language_543,"[1, 0]",10
language_544,"[1, 1]",10
language_545,"[1, 0]",10
language_546,"[1, 0]",10
language_548,"[0, 0]",10
language_549,"[1, 0]",10
language_550,"[0, 0]",10
language_552,"[1, 0]",10
language_555,"[1, 1]",10
language_556,"[1, 1]",10
language_557,"[1, 0]",10
language_559,"[1, 0]",10
language_560,"[1, 0]",10
language_561,"[0, 1]",10
language_562,"[0, 0]",10
language_563,"[0, 0]",10
language_564,"[1, 0]",10
language_565,"[0, 1]",10
language_566,"[1, 1]",10
language_567,"[1, 0]",10
language_568,"[0, 0]",10
language_569,"[1, 1]",10
language_570,"[1, 0]",10
language_571,"[1, 0]",10
language_573,"[1, 0]",10
language_574,"[1, 0]",10
language_575,"[1, 0]",10
language_576,"[1, 0]",10
language_577,"[0, 0]",10
language_579,"[0, 0]",10
language_580,"[1, 0]",10
language_581,"[1, 0]",10
language_582,"[1, 0]",10
language_583,"[0, 0]",10
language_584,"[0, 0]",10
language_585,"[1, 0]",10
language_586,"[1, 0]",10
language_587,"[1, 0]",10
language_589,"[0, 0]",10
language_590,"[1, 0]",10
language_591,"[1, 0]",10
language_592,"[0, 0]",10
language_593,"[1, 0]",10
language_594,"[0, 1]",10
language_595,"[0, 0]",10
language_596,"[1, 0]",10
language_597,"[1, 0]",10
language_598,"[0, 0]",10
language_599,"[0, 0]",10
language_600,"[0, 0]",10
language_602,"[0, 0]",10
language_603,"[1, 0]",10
language_604,"[1, 0]",10
language_605,"[0, 0]",10
language_606,"[1, 0]",10
language_608,"[1, 0]",10
language_609,"[1, 0]",10
language_610,"[0, 0]",10
language_611,"[1, 0]",10
language_612,"[0, 0]",10
language_613,"[1, 0]",10
language_614,"[0, 0]",10
language_615,"[1, 0]",10
language_616,"[0, 0]",10
language_617,"[1, 0]",10
language_618,"[1, 0]",10
language_619,"[1, 0]",10
language_620,"[1, 0]",10
language_621,"[1, 0]",10
language_622,"[0, 0]",10
language_623,"[0, 0]",10
language_624,"[1, 0]",10
language_626,"[0, 0]",10
language_627,"[0, 0]",10
language_630,"[1, 1]",10
language_632,"[0, 0]",10
language_633,"[1, 0]",10
language_634,"[1, 0]",10
language_635,"[1, 0]",10
language_637,"[1, 0]",10
language_638,"[1, 0]",10
language_639,"[1, 0]",10
language_640,"[1, 0]",10
language_641,"[0, 0]",10
language_642,"[1, 0]",10
language_645,"[1, 0]",10
language_646,"[1, 0]",10
language_650,"[1, 0]",10
language_651,"[1, 0]",10
language_652,"[1, 0]",10
language_655,"[1, 0]",10
language_656,"[1, 0]",10
language_657,"[1, 0]",10
language_659,"[1, 1]",10
language_661,"[1, 0]",10
language_662,"[1, 0]",10
language_663,"[1, 0]",10
language_664,"[0, 0]",10
language_666,"[0, 0]",10
language_667,"[0, 0]",10
language_668,"[1, 0]",10
language_669,"[1, 0]",10
language_670,"[0, 0]",10
language_671,"[0, 0]",10
language_672,"[1, 0]",10
language_673,"[0, 0]",10
language_674,"[1, 0]",10
language_675,"[1, 0]",10
language_676,"[1, 0]",10
language_677,"[0, 0]",10
language_678,"[1, 0]",10
language_680,"[1, 0]",10
language_681,"[1, 0]",10
language_682,"[1, 0]",10
language_683,"[1, 1]",10
language_684,"[1, 0]",10
language_685,"[1, 0]",10
language_686,"[0, 0]",10
language_687,"[1, 0]",10
language_688,"[1, 0]",10
language_689,"[1, 0]",10
language_690,"[1, 0]",10
language_691,"[1, 0]",10
language_692,"[0, 1]",10
language_693,"[1, 0]",10
language_694,"[1, 1]",10
language_695,"[0, 0]",10
language_696,"[1, 0]",10
language_697,"[0, 0]",10
language_698,"[0, 0]",10
language_699,"[1, 1]",10
language_700,"[0, 0]",10
language_701,"[1, 1]",10
language_702,"[1, 1]",10
language_704,"[0, 0]",10
language_706,"[0, 0]",10
language_709,"[1, 0]",10
language_711,"[1, 0]",10
language_712,"[0, 1]",10
language_713,"[1, 1]",10
language_714,"[1, 0]",10
language_715,"[1, 0]",10
language_716,"[0, 0]",10
language_717,"[0, 0]",10
language_718,"[0, 0]",10
language_719,"[1, 0]",10
language_721,"[0, 0]",10
language_723,"[1, 0]",10
language_724,"[1, 0]",10
language_726,"[1, 0]",10
language_727,"[1, 0]",10
language_728,"[0, 1]",10
language_729,"[1, 0]",10
language_730,"[1, 0]",10
language_731,"[0, 0]",10
language_732,"[1, 0]",10
language_733,"[0, 0]",10
language_736,"[0, 0]",10
language_737,"[1, 0]",10
language_738,"[0, 0]",10
language_739,"[1, 0]",10
language_740,"[1, 0]",10
language_741,"[0, 0]",10
language_743,"[1, 0]",10
language_745,"[1, 0]",10
language_746,"[1, 0]",10
language_747,"[0, 0]",10
language_748,"[0, 0]",10
language_749,"[0, 0]",10
language_750,"[1, 0]",10
language_751,"[0, 0]",10
language_752,"[1, 0]",10
language_753,"[1, 0]",10
language_754,"[1, 1]",10
language_756,"[1, 0]",10
language_757,"[1, 0]",10
language_759,"[0, 0]",10
language_761,"[1, 0]",10
language_762,"[1, 0]",10
language_764,"[0, 0]",10
language_765,"[1, 0]",10
language_766,"[0, 0]",10
language_767,"[1, 0]",10
language_769,"[1, 0]",10
language_771,"[1, 0]",10
language_772,"[1, 0]",10
language_773,"[1, 0]",10
language_774,"[1, 0]",10
language_775,"[1, 0]",10
language_776,"[0, 0]",10
