LANGUAGE,AGE,SET
language_280,"[0, 1]",192
language_281,"[1, 0]",192
language_282,"[1, 1]",192
language_283,"[1, 0]",192
language_284,"[1, 0]",192
language_285,"[0, 0]",192
language_286,"[0, 0]",192
language_287,"[0, 0]",192
language_288,"[1, 0]",192
language_289,"[0, 0]",192
language_290,"[0, 0]",192
language_291,"[0, 0]",192
language_294,"[1, 0]",192
language_295,"[1, 0]",192
language_296,"[1, 0]",192
language_297,"[1, 0]",192
language_298,"[1, 0]",192
language_299,"[1, 0]",192
language_301,"[1, 0]",192
language_303,"[1, 0]",192
language_304,"[1, 0]",192
language_305,"[1, 0]",192
language_306,"[1, 0]",192
language_309,"[0, 0]",192
language_310,"[1, 0]",192
language_312,"[1, 0]",192
language_313,"[0, 0]",192
language_314,"[1, 0]",192
language_316,"[0, 0]",192
language_317,"[1, 0]",192
language_318,"[1, 0]",192
language_319,"[1, 0]",192
language_320,"[1, 0]",192
language_322,"[1, 0]",192
language_324,"[0, 0]",192
language_325,"[1, 1]",192
language_326,"[1, 0]",192
language_328,"[1, 1]",192
language_329,"[1, 0]",192
language_330,"[1, 0]",192
language_331,"[1, 0]",192
language_333,"[1, 0]",192
language_334,"[1, 0]",192
language_335,"[1, 0]",192
language_336,"[1, 0]",192
language_337,"[1, 0]",192
language_338,"[1, 0]",192
language_339,"[1, 0]",192
language_340,"[0, 0]",192
language_341,"[0, 0]",192
language_343,"[1, 0]",192
language_345,"[0, 0]",192
language_346,"[1, 0]",192
language_347,"[1, 0]",192
language_348,"[0, 0]",192
language_349,"[0, 1]",192
language_350,"[1, 1]",192
language_351,"[0, 0]",192
language_353,"[1, 0]",192
language_354,"[1, 0]",192
language_356,"[0, 0]",192
language_358,"[1, 0]",192
language_359,"[0, 0]",192
language_360,"[0, 0]",192
language_361,"[1, 0]",192
language_362,"[0, 0]",192
language_363,"[0, 0]",192
language_365,"[0, 0]",192
language_366,"[1, 1]",192
language_367,"[1, 0]",192
language_368,"[0, 0]",192
language_369,"[0, 0]",192
language_370,"[1, 1]",192
language_371,"[0, 0]",192
language_373,"[1, 0]",192
language_375,"[0, 0]",192
language_378,"[1, 0]",192
language_379,"[0, 0]",192
language_380,"[0, 1]",192
language_382,"[0, 1]",192
language_383,"[0, 0]",192
language_384,"[1, 0]",192
language_387,"[1, 1]",192
language_388,"[1, 0]",192
language_389,"[0, 0]",192
language_390,"[0, 0]",192
language_391,"[1, 0]",192
language_393,"[1, 0]",192
language_394,"[0, 1]",192
language_395,"[1, 0]",192
language_396,"[0, 0]",192
language_397,"[1, 0]",192
language_398,"[0, 0]",192
language_399,"[1, 0]",192
language_400,"[1, 0]",192
language_401,"[1, 0]",192
language_403,"[1, 0]",192
language_404,"[1, 1]",192
language_406,"[0, 0]",192
language_407,"[1, 0]",192
language_410,"[1, 0]",192
language_411,"[1, 0]",192
language_412,"[1, 0]",192
language_413,"[1, 0]",192
language_414,"[0, 0]",192
language_416,"[1, 0]",192
language_417,"[1, 0]",192
language_418,"[1, 0]",192
language_419,"[1, 0]",192
language_420,"[1, 0]",192
