LANGUAGE,AGE,SET
language_4,"[1, 0]",1
language_5,"[1, 0]",1
language_6,"[0, 0]",1
language_7,"[1, 0]",1
language_8,"[1, 0]",1
language_9,"[1, 0]",1
language_10,"[0, 0]",1
language_11,"[0, 0]",1
language_12,"[1, 0]",1
language_13,"[1, 0]",1
language_14,"[1, 0]",1
language_15,"[1, 0]",1
language_18,"[0, 1]",1
language_19,"[1, 0]",1
language_21,"[1, 0]",1
language_22,"[1, 0]",1
language_23,"[1, 0]",1
language_24,"[0, 0]",1
language_25,"[1, 0]",1
language_26,"[1, 0]",1
language_27,"[1, 0]",1
language_28,"[0, 0]",1
language_29,"[1, 0]",1
language_32,"[0, 0]",1
language_33,"[1, 1]",1
language_34,"[1, 0]",1
language_37,"[0, 0]",1
language_38,"[1, 0]",1
language_39,"[1, 0]",1
language_40,"[1, 0]",1
language_41,"[1, 0]",1
language_42,"[1, 0]",1
language_43,"[1, 0]",1
language_44,"[0, 1]",1
language_45,"[0, 0]",1
language_48,"[1, 1]",1
language_50,"[0, 0]",1
language_51,"[0, 1]",1
language_52,"[1, 0]",1
language_53,"[0, 0]",1
language_54,"[0, 0]",1
language_56,"[0, 0]",1
language_57,"[0, 0]",1
language_58,"[1, 1]",1
language_59,"[0, 0]",1
language_60,"[0, 0]",1
language_61,"[0, 1]",1
language_63,"[1, 0]",1
language_64,"[1, 1]",1
language_66,"[0, 0]",1
language_67,"[1, 1]",1
language_68,"[1, 0]",1
language_69,"[1, 0]",1
language_70,"[0, 0]",1
language_71,"[1, 0]",1
language_74,"[1, 0]",1
language_75,"[1, 1]",1
language_76,"[1, 0]",1
language_78,"[1, 0]",1
language_79,"[0, 0]",1
language_80,"[1, 1]",1
language_81,"[1, 0]",1
language_82,"[1, 0]",1
language_83,"[1, 0]",1
language_84,"[1, 0]",1
language_85,"[1, 0]",1
language_87,"[1, 0]",1
language_88,"[1, 0]",1
language_89,"[1, 0]",1
language_90,"[1, 0]",1
language_92,"[1, 0]",1
language_95,"[1, 0]",1
language_96,"[1, 1]",1
language_97,"[1, 0]",1
language_98,"[0, 0]",1
language_100,"[1, 0]",1
language_101,"[1, 0]",1
language_102,"[0, 0]",1
language_103,"[1, 0]",1
language_104,"[0, 1]",1
language_105,"[0, 0]",1
language_107,"[1, 0]",1
language_109,"[0, 0]",1
language_110,"[1, 0]",1
language_111,"[1, 0]",1
language_113,"[0, 0]",1
language_114,"[0, 0]",1
language_115,"[1, 0]",1
language_116,"[1, 0]",1
language_117,"[0, 0]",1
language_118,"[1, 0]",1
language_119,"[1, 0]",1
language_121,"[0, 0]",1
language_122,"[1, 0]",1
language_123,"[1, 0]",1
language_124,"[1, 1]",1
language_126,"[1, 0]",1
language_128,"[1, 0]",1
language_129,"[1, 0]",1
language_130,"[1, 0]",1
language_131,"[1, 0]",1
language_132,"[1, 0]",1
