LANGUAGE,LINEAGE
language_2,"[0, 1]"
language_4,"[0, 1]"
language_5,"[1, 1]"
language_6,"[0, 1]"
language_9,"[0, 1]"
language_10,"[0, 1]"
language_11,"[0, 1]"
language_13,"[0, 1]"
language_14,"[0, 1]"
language_15,"[0, 1]"
language_16,"[0, 1]"
language_18,"[1, 1]"
language_19,"[0, 1]"
language_20,"[0, 1]"
language_21,"[0, 1]"
language_24,"[0, 1]"
language_25,"[0, 1]"
language_26,"[1, 1]"
language_27,"[0, 1]"
language_28,"[0, 1]"
language_29,"[0, 1]"
language_30,"[1, 1]"
language_31,"[0, 1]"
language_32,"[0, 1]"
language_33,"[0, 1]"
language_34,"[1, 1]"
language_35,"[1, 0]"
language_36,"[0, 1]"
language_40,"[1, 1]"
language_41,"[0, 1]"
language_43,"[0, 1]"
language_45,"[0, 1]"
language_48,"[0, 1]"
language_49,"[0, 1]"
language_50,"[0, 1]"
language_52,"[0, 1]"
language_53,"[0, 1]"
language_55,"[0, 1]"
language_56,"[0, 0]"
language_57,"[1, 0]"
language_60,"[0, 0]"
language_61,"[0, 1]"
language_63,"[0, 1]"
language_68,"[0, 1]"
language_69,"[0, 1]"
language_70,"[0, 0]"
language_73,"[0, 1]"
language_75,"[0, 1]"
language_76,"[0, 1]"
language_77,"[0, 0]"
language_78,"[0, 0]"
language_79,"[0, 1]"
language_82,"[0, 1]"
language_87,"[0, 1]"
language_89,"[0, 1]"
language_92,"[0, 1]"
language_93,"[0, 1]"
language_96,"[1, 0]"
language_97,"[0, 1]"
language_100,"[0, 1]"
language_101,"[0, 1]"
language_104,"[1, 1]"
language_105,"[1, 1]"
language_108,"[1, 1]"
language_109,"[0, 1]"
language_110,"[1, 0]"
language_111,"[1, 1]"
language_112,"[0, 1]"
language_113,"[0, 0]"
language_117,"[0, 1]"
language_120,"[1, 0]"
language_121,"[0, 1]"
language_123,"[0, 0]"
language_124,"[0, 1]"
language_125,"[1, 0]"
language_126,"[0, 1]"
language_127,"[0, 1]"
language_129,"[0, 1]"
language_134,"[0, 1]"
language_136,"[1, 1]"
language_138,"[1, 1]"
language_139,"[0, 1]"
language_141,"[0, 1]"
language_144,"[1, 1]"
language_145,"[0, 1]"
language_148,"[0, 0]"
language_149,"[0, 1]"
language_150,"[0, 1]"
language_151,"[1, 1]"
language_152,"[0, 1]"
language_153,"[1, 1]"
language_156,"[0, 1]"
language_160,"[1, 1]"
language_161,"[0, 1]"
language_162,"[0, 1]"
language_164,"[0, 1]"
language_165,"[0, 1]"
language_166,"[0, 1]"
language_167,"[0, 1]"
language_170,"[1, 0]"
language_171,"[0, 0]"
language_175,"[1, 1]"
language_177,"[0, 0]"
language_178,"[1, 1]"
language_179,"[1, 1]"
language_181,"[0, 1]"
language_182,"[0, 1]"
language_183,"[0, 1]"
language_185,"[1, 1]"
language_186,"[0, 1]"
language_188,"[0, 0]"
language_190,"[0, 1]"
language_191,"[0, 1]"
language_193,"[0, 1]"
language_194,"[0, 1]"
language_195,"[0, 1]"
language_196,"[0, 1]"
language_198,"[1, 1]"
language_205,"[1, 0]"
language_207,"[0, 1]"
language_210,"[0, 1]"
language_212,"[0, 1]"
language_214,"[0, 1]"
language_215,"[1, 1]"
language_216,"[0, 1]"
language_217,"[0, 1]"
language_219,"[0, 1]"
language_220,"[0, 1]"
language_221,"[0, 1]"
language_222,"[0, 1]"
language_223,"[1, 1]"
language_224,"[0, 1]"
language_225,"[0, 1]"
language_226,"[0, 1]"
language_227,"[0, 1]"
language_228,"[1, 1]"
language_229,"[0, 1]"
language_231,"[0, 1]"
language_234,"[0, 1]"
language_235,"[1, 1]"
language_236,"[0, 1]"
language_237,"[0, 0]"
language_240,"[0, 0]"
language_241,"[0, 1]"
language_242,"[0, 1]"
language_243,"[0, 1]"
language_244,"[0, 1]"
language_245,"[0, 1]"
language_247,"[0, 1]"
language_248,"[0, 1]"
language_250,"[0, 1]"
language_252,"[1, 1]"
language_255,"[0, 0]"
language_256,"[0, 1]"
language_257,"[0, 1]"
language_260,"[1, 1]"
language_263,"[0, 1]"
language_265,"[1, 0]"
language_267,"[0, 1]"
language_269,"[1, 1]"
language_271,"[0, 0]"
language_272,"[0, 1]"
language_273,"[0, 1]"
language_274,"[0, 1]"
language_276,"[0, 1]"
language_277,"[0, 1]"
language_278,"[1, 0]"
language_279,"[0, 1]"
language_281,"[1, 0]"
language_283,"[0, 1]"
language_287,"[1, 1]"
language_289,"[1, 1]"
language_290,"[0, 1]"
language_291,"[1, 1]"
language_293,"[1, 1]"
language_294,"[0, 1]"
language_296,"[0, 1]"
language_297,"[0, 1]"
language_298,"[1, 1]"
language_299,"[0, 0]"
language_301,"[1, 1]"
language_302,"[1, 1]"
language_304,"[1, 0]"
language_306,"[0, 0]"
language_307,"[0, 1]"
language_313,"[0, 1]"
language_315,"[0, 1]"
language_317,"[0, 1]"
language_318,"[0, 1]"
language_319,"[0, 1]"
language_322,"[1, 1]"
language_323,"[0, 1]"
language_324,"[0, 0]"
language_325,"[1, 1]"
language_326,"[0, 1]"
language_327,"[0, 0]"
language_328,"[0, 1]"
language_329,"[0, 1]"
language_330,"[0, 0]"
language_331,"[0, 1]"
language_332,"[1, 1]"
language_333,"[0, 1]"
language_334,"[1, 0]"
language_335,"[0, 1]"
language_337,"[0, 1]"
language_339,"[0, 0]"
language_343,"[0, 1]"
language_344,"[1, 0]"
language_346,"[0, 1]"
language_348,"[0, 1]"
language_349,"[1, 1]"
language_350,"[0, 1]"
language_352,"[0, 1]"
language_354,"[0, 0]"
language_357,"[0, 1]"
language_358,"[0, 1]"
language_360,"[0, 1]"
language_361,"[1, 1]"
language_362,"[1, 1]"
language_365,"[0, 0]"
language_366,"[0, 0]"
language_367,"[1, 0]"
language_369,"[1, 1]"
language_370,"[1, 0]"
language_372,"[0, 1]"
language_373,"[0, 1]"
language_375,"[0, 1]"
language_376,"[1, 1]"
language_377,"[0, 1]"
language_379,"[0, 0]"
language_380,"[0, 0]"
language_381,"[0, 1]"
language_382,"[0, 1]"
language_385,"[1, 1]"
language_386,"[1, 1]"
language_388,"[0, 1]"
language_389,"[1, 1]"
language_391,"[1, 0]"
language_392,"[0, 1]"
language_393,"[1, 1]"
language_394,"[1, 1]"
language_395,"[1, 1]"
language_397,"[1, 0]"
language_399,"[1, 1]"
language_401,"[0, 1]"
language_404,"[0, 1]"
language_405,"[1, 1]"
language_407,"[1, 1]"
language_408,"[1, 1]"
language_409,"[0, 1]"
language_410,"[0, 1]"
language_414,"[0, 0]"
language_415,"[0, 0]"
language_416,"[1, 1]"
language_417,"[0, 1]"
language_423,"[0, 1]"
language_424,"[0, 1]"
language_425,"[1, 0]"
language_428,"[0, 1]"
language_430,"[1, 0]"
language_432,"[0, 1]"
language_435,"[0, 1]"
language_437,"[1, 0]"
language_438,"[0, 1]"
language_439,"[0, 0]"
language_440,"[1, 0]"
language_441,"[1, 1]"
language_443,"[0, 1]"
language_444,"[0, 1]"
language_445,"[0, 1]"
language_446,"[0, 1]"
language_448,"[1, 0]"
language_449,"[0, 1]"
language_450,"[1, 1]"
language_451,"[0, 1]"
language_452,"[1, 1]"
language_453,"[0, 1]"
language_454,"[0, 1]"
language_456,"[1, 0]"
language_457,"[0, 1]"
language_463,"[0, 1]"
language_464,"[0, 1]"
language_465,"[0, 1]"
language_466,"[1, 0]"
language_471,"[0, 1]"
language_472,"[1, 0]"
language_473,"[0, 1]"
language_474,"[0, 1]"
language_478,"[0, 1]"
language_479,"[0, 1]"
language_482,"[0, 1]"
language_485,"[0, 1]"
language_486,"[1, 1]"
language_487,"[0, 1]"
language_488,"[0, 1]"
language_490,"[1, 1]"
language_491,"[0, 1]"
language_496,"[0, 1]"
language_500,"[0, 0]"
language_502,"[0, 1]"
language_503,"[0, 0]"
language_504,"[1, 0]"
language_505,"[0, 1]"
language_506,"[1, 1]"
language_507,"[0, 1]"
language_508,"[1, 1]"
language_512,"[1, 1]"
language_513,"[0, 1]"
language_514,"[1, 1]"
language_516,"[1, 1]"
language_517,"[0, 1]"
language_520,"[0, 1]"
language_522,"[0, 1]"
language_525,"[0, 0]"
language_528,"[0, 1]"
language_529,"[0, 1]"
language_530,"[0, 0]"
language_531,"[0, 1]"
language_533,"[0, 1]"
language_535,"[0, 1]"
language_537,"[0, 1]"
language_538,"[1, 1]"
language_539,"[0, 1]"
language_540,"[0, 0]"
language_543,"[0, 0]"
language_546,"[0, 0]"
language_548,"[0, 0]"
language_550,"[0, 0]"
language_552,"[0, 0]"
language_554,"[1, 1]"
language_556,"[1, 1]"
language_558,"[0, 1]"
language_559,"[1, 0]"
language_560,"[0, 0]"
language_561,"[1, 1]"
language_562,"[0, 1]"
language_563,"[0, 1]"
language_564,"[0, 0]"
language_566,"[0, 1]"
language_567,"[0, 1]"
language_569,"[0, 0]"
language_571,"[1, 1]"
language_573,"[0, 1]"
language_574,"[1, 1]"
language_576,"[0, 0]"
language_577,"[1, 0]"
language_578,"[1, 1]"
language_580,"[0, 0]"
language_581,"[1, 1]"
language_584,"[0, 1]"
language_585,"[0, 0]"
language_586,"[0, 1]"
language_587,"[0, 1]"
language_590,"[0, 1]"
language_591,"[1, 0]"
language_592,"[1, 1]"
language_594,"[1, 1]"
language_597,"[0, 1]"
language_598,"[0, 1]"
language_599,"[0, 1]"
language_600,"[0, 1]"
language_601,"[1, 1]"
language_603,"[0, 0]"
language_604,"[1, 1]"
language_605,"[0, 1]"
language_606,"[0, 0]"
language_607,"[1, 1]"
language_610,"[0, 1]"
language_611,"[0, 1]"
language_612,"[0, 0]"
language_613,"[0, 0]"
language_614,"[1, 1]"
language_616,"[0, 1]"
language_618,"[0, 1]"
language_619,"[0, 1]"
language_620,"[1, 0]"
language_621,"[0, 1]"
language_623,"[0, 1]"
language_625,"[0, 1]"
language_626,"[1, 1]"
language_627,"[0, 1]"
language_628,"[0, 1]"
language_629,"[0, 1]"
language_630,"[0, 1]"
language_633,"[0, 1]"
language_635,"[0, 1]"
language_636,"[0, 1]"
language_641,"[0, 1]"
language_642,"[0, 1]"
language_643,"[0, 0]"
language_645,"[0, 1]"
language_648,"[0, 0]"
language_649,"[0, 1]"
language_654,"[1, 1]"
language_657,"[0, 0]"
language_659,"[0, 1]"
language_660,"[1, 1]"
language_662,"[0, 1]"
language_663,"[0, 0]"
language_664,"[0, 0]"
language_666,"[1, 1]"
language_670,"[1, 1]"
language_672,"[1, 0]"
language_673,"[0, 1]"
language_674,"[0, 1]"
language_675,"[1, 1]"
language_676,"[0, 0]"
language_678,"[0, 1]"
language_679,"[0, 1]"
language_681,"[0, 0]"
language_682,"[0, 1]"
language_683,"[0, 1]"
language_686,"[0, 1]"
language_687,"[1, 1]"
language_688,"[0, 1]"
language_689,"[0, 1]"
language_690,"[1, 1]"
language_694,"[1, 0]"
language_695,"[1, 0]"
language_698,"[1, 1]"
language_702,"[1, 1]"
language_703,"[0, 1]"
language_704,"[0, 1]"
language_705,"[0, 0]"
language_707,"[0, 1]"
language_709,"[1, 1]"
language_711,"[0, 1]"
language_712,"[0, 1]"
language_713,"[1, 1]"
language_716,"[0, 1]"
language_717,"[0, 1]"
language_718,"[0, 0]"
language_719,"[1, 1]"
language_720,"[0, 1]"
language_722,"[0, 1]"
language_725,"[0, 1]"
language_726,"[0, 1]"
language_727,"[0, 1]"
language_728,"[0, 1]"
language_729,"[0, 1]"
language_730,"[0, 1]"
language_731,"[0, 1]"
language_732,"[1, 1]"
language_733,"[0, 1]"
language_734,"[0, 1]"
language_740,"[0, 0]"
language_741,"[1, 1]"
language_742,"[0, 1]"
language_744,"[1, 1]"
language_745,"[0, 1]"
language_748,"[0, 1]"
language_749,"[0, 1]"
language_751,"[0, 1]"
language_752,"[0, 1]"
language_753,"[0, 1]"
language_754,"[1, 1]"
language_755,"[1, 0]"
language_756,"[0, 1]"
language_757,"[0, 1]"
language_758,"[1, 1]"
language_759,"[0, 0]"
language_763,"[0, 1]"
language_767,"[0, 1]"
language_768,"[1, 1]"
language_769,"[0, 1]"
language_770,"[1, 0]"
language_771,"[0, 0]"
language_772,"[0, 1]"
language_773,"[0, 1]"
language_774,"[0, 0]"
language_775,"[1, 1]"
language_778,"[1, 1]"
language_779,"[0, 1]"
language_780,"[0, 1]"
language_783,"[0, 1]"
language_784,"[0, 0]"
language_785,"[0, 1]"
language_788,"[1, 1]"
language_789,"[0, 1]"
language_790,"[1, 0]"
language_797,"[0, 1]"
language_798,"[0, 0]"
language_800,"[1, 1]"
language_803,"[0, 1]"
language_804,"[0, 0]"
language_805,"[0, 1]"
language_806,"[0, 1]"
language_807,"[0, 0]"
language_808,"[1, 1]"
language_810,"[0, 1]"
language_811,"[0, 1]"
language_813,"[1, 1]"
language_814,"[0, 0]"
language_816,"[1, 1]"
language_817,"[1, 0]"
language_818,"[0, 1]"
language_819,"[0, 1]"
language_820,"[0, 0]"
language_821,"[0, 1]"
language_822,"[0, 0]"
language_823,"[1, 0]"
language_826,"[0, 0]"
language_828,"[0, 1]"
language_829,"[0, 1]"
language_831,"[0, 1]"
language_832,"[1, 0]"
language_834,"[0, 1]"
language_835,"[1, 1]"
language_836,"[0, 0]"
language_837,"[0, 0]"
language_838,"[1, 1]"
language_839,"[0, 1]"
language_842,"[0, 0]"
language_844,"[1, 1]"
language_846,"[0, 1]"
language_847,"[1, 1]"
language_848,"[0, 0]"
language_849,"[1, 1]"
language_851,"[1, 1]"
language_852,"[1, 1]"
language_853,"[0, 0]"
language_854,"[1, 1]"
language_855,"[1, 1]"
language_857,"[0, 1]"
language_858,"[0, 1]"
language_859,"[0, 1]"
language_860,"[1, 1]"
language_861,"[0, 1]"
language_862,"[0, 1]"
language_863,"[0, 0]"
language_864,"[0, 1]"
language_865,"[1, 1]"
language_866,"[1, 1]"
language_868,"[0, 1]"
language_869,"[1, 1]"
language_870,"[0, 1]"
language_871,"[0, 1]"
language_872,"[1, 1]"
language_873,"[0, 1]"
language_874,"[0, 1]"
language_876,"[0, 1]"
language_877,"[0, 0]"
language_878,"[0, 1]"
language_879,"[0, 1]"
language_880,"[1, 1]"
language_882,"[0, 1]"
language_884,"[0, 1]"
language_885,"[0, 1]"
language_889,"[0, 1]"
language_890,"[0, 0]"
language_891,"[1, 1]"
language_893,"[1, 1]"
language_894,"[0, 0]"
language_895,"[0, 1]"
language_897,"[1, 1]"
language_899,"[0, 1]"
language_900,"[0, 1]"
language_902,"[0, 1]"
language_905,"[0, 0]"
language_906,"[0, 0]"
language_907,"[1, 1]"
language_908,"[1, 1]"
language_910,"[0, 1]"
