LANGUAGE,LINEAGE
language_1,"[0, 1]"
language_4,"[0, 0]"
language_5,"[1, 1]"
language_6,"[0, 1]"
language_9,"[0, 0]"
language_10,"[0, 1]"
language_11,"[0, 1]"
language_13,"[1, 1]"
language_15,"[0, 0]"
language_16,"[1, 1]"
language_20,"[0, 1]"
language_21,"[1, 1]"
language_22,"[0, 1]"
language_25,"[1, 1]"
language_27,"[0, 0]"
language_28,"[1, 1]"
language_29,"[0, 1]"
language_30,"[1, 1]"
language_31,"[1, 1]"
language_32,"[0, 1]"
language_33,"[0, 0]"
language_37,"[0, 1]"
language_38,"[1, 1]"
language_41,"[0, 0]"
language_44,"[0, 1]"
language_47,"[0, 0]"
language_48,"[0, 1]"
language_51,"[0, 1]"
language_52,"[0, 1]"
language_53,"[0, 0]"
language_54,"[0, 1]"
language_56,"[1, 1]"
language_59,"[1, 1]"
language_60,"[0, 1]"
language_62,"[0, 1]"
language_63,"[0, 0]"
language_64,"[1, 1]"
language_67,"[0, 1]"
language_68,"[0, 0]"
language_69,"[0, 1]"
language_72,"[0, 1]"
language_75,"[0, 1]"
language_82,"[0, 1]"
language_84,"[0, 1]"
language_88,"[0, 1]"
language_90,"[0, 0]"
language_92,"[0, 1]"
language_93,"[0, 1]"
language_96,"[0, 0]"
language_97,"[1, 1]"
language_98,"[0, 0]"
language_99,"[1, 1]"
language_100,"[0, 1]"
language_102,"[1, 1]"
language_103,"[0, 1]"
language_104,"[0, 1]"
language_105,"[0, 0]"
language_108,"[1, 1]"
language_110,"[0, 1]"
language_111,"[0, 1]"
language_113,"[0, 0]"
language_114,"[1, 1]"
language_115,"[0, 1]"
language_116,"[1, 1]"
language_117,"[1, 1]"
language_120,"[1, 0]"
language_121,"[1, 0]"
language_122,"[0, 0]"
language_123,"[0, 0]"
language_129,"[0, 1]"
language_132,"[1, 1]"
language_133,"[0, 1]"
language_134,"[0, 1]"
language_139,"[0, 1]"
language_141,"[0, 1]"
language_143,"[1, 1]"
language_145,"[1, 1]"
language_147,"[0, 1]"
language_149,"[0, 1]"
language_150,"[1, 1]"
language_151,"[1, 1]"
language_154,"[0, 1]"
language_157,"[0, 1]"
language_159,"[1, 1]"
language_160,"[0, 1]"
language_161,"[1, 1]"
language_163,"[0, 1]"
language_165,"[0, 1]"
language_166,"[0, 1]"
language_167,"[0, 1]"
language_171,"[0, 1]"
language_174,"[0, 1]"
language_175,"[0, 1]"
language_176,"[0, 1]"
language_177,"[0, 1]"
language_178,"[0, 1]"
language_180,"[0, 1]"
language_182,"[0, 1]"
language_183,"[1, 1]"
language_184,"[0, 0]"
language_185,"[0, 1]"
language_186,"[0, 1]"
language_187,"[1, 0]"
language_188,"[0, 0]"
language_189,"[0, 0]"
language_190,"[1, 0]"
language_191,"[0, 0]"
language_193,"[1, 1]"
language_194,"[1, 0]"
language_198,"[1, 1]"
language_199,"[0, 1]"
language_201,"[0, 1]"
language_203,"[0, 1]"
language_204,"[0, 1]"
language_205,"[0, 1]"
language_206,"[1, 1]"
language_208,"[1, 1]"
language_210,"[0, 1]"
language_212,"[1, 1]"
language_215,"[0, 1]"
language_218,"[1, 1]"
language_220,"[0, 0]"
language_221,"[1, 1]"
language_223,"[0, 0]"
language_224,"[0, 1]"
language_225,"[1, 1]"
language_226,"[1, 1]"
language_227,"[1, 1]"
language_228,"[0, 0]"
language_229,"[0, 1]"
language_230,"[1, 0]"
language_231,"[0, 1]"
language_233,"[1, 0]"
language_235,"[0, 0]"
language_236,"[1, 0]"
language_238,"[1, 0]"
language_239,"[1, 1]"
language_241,"[0, 1]"
language_242,"[1, 1]"
language_245,"[0, 0]"
language_246,"[0, 1]"
language_247,"[0, 1]"
language_249,"[0, 0]"
language_250,"[1, 1]"
language_252,"[1, 1]"
language_253,"[0, 1]"
language_254,"[0, 1]"
language_255,"[0, 0]"
