LANGUAGE,LINEAGE
language_1,"[0, 1]"
language_4,"[1, 1]"
language_5,"[1, 1]"
language_7,"[0, 0]"
language_8,"[0, 1]"
language_10,"[0, 0]"
language_11,"[0, 1]"
language_13,"[0, 1]"
language_14,"[1, 1]"
language_15,"[0, 0]"
language_17,"[0, 1]"
language_18,"[0, 1]"
language_20,"[0, 1]"
language_21,"[0, 0]"
language_22,"[1, 1]"
language_23,"[0, 1]"
language_26,"[1, 0]"
language_27,"[0, 1]"
language_28,"[0, 1]"
language_29,"[0, 1]"
language_32,"[0, 1]"
language_33,"[0, 1]"
language_34,"[0, 0]"
language_35,"[0, 1]"
language_39,"[1, 1]"
language_41,"[0, 1]"
language_42,"[1, 1]"
language_43,"[1, 1]"
language_45,"[0, 0]"
language_46,"[0, 1]"
language_48,"[0, 1]"
language_49,"[0, 1]"
language_50,"[0, 1]"
language_52,"[0, 1]"
language_53,"[0, 1]"
language_54,"[0, 1]"
language_56,"[1, 1]"
language_57,"[0, 1]"
language_58,"[0, 0]"
language_59,"[0, 1]"
language_60,"[0, 1]"
language_62,"[1, 1]"
language_63,"[0, 1]"
language_64,"[1, 0]"
language_65,"[0, 1]"
language_69,"[0, 1]"
language_70,"[0, 0]"
language_71,"[1, 1]"
language_72,"[1, 0]"
language_73,"[0, 1]"
language_76,"[1, 1]"
language_77,"[0, 1]"
language_79,"[1, 0]"
language_80,"[0, 0]"
language_82,"[1, 1]"
language_83,"[0, 1]"
language_84,"[0, 0]"
language_85,"[1, 1]"
language_86,"[1, 0]"
language_88,"[0, 1]"
language_89,"[1, 1]"
language_90,"[1, 0]"
language_91,"[1, 1]"
language_92,"[0, 1]"
language_94,"[0, 0]"
language_95,"[0, 0]"
language_96,"[0, 1]"
language_97,"[0, 1]"
language_98,"[0, 0]"
language_100,"[0, 1]"
language_101,"[0, 0]"
language_102,"[0, 1]"
language_104,"[1, 1]"
language_106,"[1, 1]"
language_107,"[0, 1]"
language_108,"[1, 0]"
language_109,"[0, 1]"
language_110,"[0, 1]"
language_113,"[0, 1]"
language_114,"[0, 0]"
language_115,"[1, 0]"
language_117,"[1, 1]"
language_120,"[0, 1]"
language_121,"[0, 0]"
language_122,"[0, 1]"
language_127,"[1, 1]"
language_128,"[1, 1]"
language_129,"[0, 0]"
language_131,"[0, 1]"
language_132,"[0, 1]"
language_133,"[1, 1]"
language_134,"[0, 1]"
language_135,"[1, 0]"
language_136,"[0, 1]"
language_137,"[0, 0]"
language_138,"[0, 1]"
language_139,"[1, 1]"
language_140,"[1, 0]"
language_141,"[0, 1]"
language_145,"[0, 0]"
language_146,"[1, 1]"
language_147,"[1, 1]"
language_148,"[0, 1]"
language_155,"[0, 1]"
language_157,"[1, 0]"
language_158,"[0, 1]"
language_159,"[1, 0]"
language_160,"[0, 1]"
language_161,"[0, 1]"
language_163,"[0, 1]"
language_164,"[0, 1]"
language_165,"[0, 1]"
language_167,"[0, 0]"
language_170,"[0, 1]"
language_171,"[1, 1]"
language_172,"[1, 0]"
language_173,"[0, 1]"
language_177,"[1, 1]"
language_180,"[0, 0]"
language_182,"[0, 1]"
language_183,"[1, 1]"
language_184,"[0, 1]"
language_186,"[0, 0]"
language_187,"[0, 1]"
language_189,"[0, 0]"
language_191,"[1, 1]"
language_193,"[1, 1]"
language_194,"[1, 0]"
language_195,"[0, 1]"
language_196,"[0, 0]"
language_197,"[0, 1]"
language_198,"[1, 1]"
language_200,"[1, 1]"
language_206,"[0, 1]"
language_207,"[0, 1]"
