LANGUAGE,LINEAGE
language_387,"[0, 1]"
language_388,"[0, 1]"
language_389,"[1, 1]"
language_390,"[0, 1]"
language_391,"[1, 1]"
language_392,"[0, 1]"
language_394,"[0, 0]"
language_396,"[0, 1]"
language_398,"[0, 1]"
language_401,"[0, 1]"
language_402,"[0, 1]"
language_403,"[1, 1]"
language_406,"[0, 1]"
language_408,"[0, 1]"
language_409,"[1, 1]"
language_410,"[1, 1]"
language_411,"[0, 1]"
language_412,"[1, 0]"
language_413,"[0, 1]"
language_414,"[0, 1]"
language_415,"[0, 0]"
language_416,"[1, 1]"
language_418,"[0, 1]"
language_424,"[0, 1]"
language_426,"[0, 1]"
language_427,"[0, 1]"
language_429,"[1, 1]"
language_430,"[1, 1]"
language_431,"[0, 0]"
language_432,"[0, 1]"
language_435,"[0, 1]"
language_436,"[0, 1]"
language_437,"[1, 1]"
language_438,"[1, 1]"
language_439,"[0, 0]"
language_441,"[0, 1]"
language_444,"[0, 1]"
language_445,"[1, 1]"
language_447,"[0, 1]"
language_449,"[1, 1]"
language_450,"[0, 1]"
language_452,"[0, 1]"
language_454,"[0, 1]"
language_455,"[0, 1]"
language_456,"[0, 1]"
language_457,"[0, 1]"
language_459,"[1, 1]"
language_460,"[0, 1]"
language_464,"[0, 0]"
language_466,"[1, 1]"
language_469,"[1, 0]"
language_472,"[0, 0]"
language_473,"[0, 1]"
language_475,"[0, 1]"
language_479,"[0, 0]"
language_481,"[0, 1]"
language_485,"[1, 1]"
language_487,"[0, 1]"
language_491,"[1, 1]"
language_492,"[0, 1]"
language_493,"[0, 1]"
language_494,"[0, 1]"
language_495,"[0, 1]"
language_496,"[0, 1]"
language_497,"[0, 1]"
language_500,"[0, 0]"
language_502,"[1, 0]"
language_503,"[0, 1]"
language_504,"[0, 0]"
language_506,"[1, 1]"
language_508,"[0, 1]"
language_509,"[0, 1]"
language_512,"[0, 1]"
language_514,"[0, 1]"
language_515,"[0, 1]"
language_516,"[0, 1]"
language_517,"[1, 1]"
language_519,"[1, 1]"
language_522,"[0, 1]"
language_524,"[1, 0]"
language_527,"[0, 1]"
language_528,"[1, 1]"
language_529,"[0, 1]"
language_530,"[0, 0]"
language_534,"[0, 1]"
language_536,"[1, 1]"
language_537,"[0, 1]"
language_543,"[0, 1]"
language_545,"[1, 1]"
language_546,"[0, 1]"
language_548,"[0, 1]"
language_550,"[0, 1]"
language_552,"[0, 1]"
language_553,"[1, 0]"
language_554,"[0, 0]"
language_557,"[0, 1]"
language_558,"[1, 1]"
language_559,"[0, 0]"
language_560,"[1, 1]"
language_561,"[0, 1]"
language_564,"[0, 1]"
language_565,"[0, 1]"
language_571,"[0, 1]"
language_572,"[1, 1]"
language_575,"[1, 0]"
language_576,"[0, 1]"
language_577,"[1, 1]"
language_579,"[0, 1]"
language_580,"[0, 1]"
language_581,"[0, 0]"
language_582,"[1, 0]"
language_583,"[0, 0]"
language_585,"[0, 1]"
language_587,"[1, 0]"
language_590,"[1, 1]"
language_592,"[0, 0]"
language_593,"[1, 1]"
language_596,"[1, 1]"
language_598,"[1, 1]"
language_600,"[0, 1]"
language_601,"[0, 1]"
language_603,"[0, 1]"
language_605,"[0, 0]"
language_607,"[1, 1]"
language_610,"[1, 1]"
language_612,"[0, 1]"
language_616,"[0, 1]"
language_619,"[0, 1]"
language_620,"[0, 1]"
language_621,"[0, 1]"
language_622,"[0, 0]"
language_623,"[0, 1]"
language_624,"[0, 1]"
language_625,"[0, 1]"
language_627,"[1, 1]"
language_628,"[0, 0]"
language_631,"[0, 1]"
language_633,"[1, 1]"
language_634,"[0, 1]"
language_636,"[0, 1]"
language_638,"[0, 1]"
language_640,"[1, 1]"
language_641,"[0, 0]"
language_643,"[0, 1]"
language_644,"[0, 1]"
language_645,"[0, 1]"
language_646,"[0, 1]"
language_647,"[0, 1]"
language_649,"[1, 1]"
language_651,"[0, 1]"
language_653,"[0, 0]"
language_654,"[0, 1]"
language_658,"[0, 1]"
language_659,"[0, 1]"
language_664,"[1, 1]"
language_665,"[0, 1]"
language_666,"[0, 1]"
language_667,"[1, 1]"
language_670,"[0, 0]"
language_671,"[0, 1]"
language_672,"[0, 1]"
language_673,"[0, 0]"
language_676,"[1, 1]"
