LANGUAGE,LINEAGE
language_1,"[0, 1]"
language_2,"[1, 1]"
language_3,"[0, 1]"
language_4,"[0, 1]"
language_5,"[0, 1]"
language_6,"[0, 1]"
language_8,"[1, 1]"
language_9,"[1, 1]"
language_13,"[0, 1]"
language_16,"[1, 1]"
language_17,"[0, 1]"
language_19,"[1, 0]"
language_21,"[0, 1]"
language_22,"[0, 1]"
language_24,"[1, 1]"
language_25,"[1, 1]"
language_28,"[0, 0]"
language_29,"[1, 0]"
language_30,"[1, 1]"
language_32,"[1, 1]"
language_35,"[0, 0]"
language_36,"[1, 1]"
language_38,"[0, 1]"
language_39,"[0, 1]"
language_40,"[0, 0]"
language_41,"[1, 1]"
language_42,"[0, 1]"
language_43,"[0, 0]"
language_47,"[1, 0]"
language_48,"[0, 1]"
language_49,"[1, 1]"
language_54,"[0, 0]"
language_55,"[0, 1]"
language_56,"[0, 1]"
language_58,"[1, 1]"
language_59,"[0, 1]"
language_63,"[0, 1]"
language_64,"[0, 1]"
language_66,"[1, 1]"
language_67,"[0, 1]"
language_68,"[0, 1]"
language_73,"[0, 1]"
language_74,"[0, 1]"
language_75,"[0, 1]"
language_76,"[0, 1]"
language_77,"[0, 1]"
language_80,"[0, 1]"
language_81,"[0, 1]"
language_82,"[1, 1]"
language_83,"[0, 1]"
language_84,"[0, 1]"
language_85,"[1, 1]"
language_86,"[0, 1]"
language_87,"[0, 1]"
language_89,"[0, 1]"
language_90,"[0, 1]"
language_91,"[0, 1]"
language_92,"[0, 1]"
language_93,"[0, 1]"
language_95,"[0, 1]"
language_96,"[0, 1]"
language_97,"[0, 1]"
language_98,"[0, 0]"
language_99,"[1, 1]"
language_100,"[0, 0]"
language_102,"[0, 0]"
language_104,"[0, 1]"
language_106,"[0, 0]"
language_110,"[1, 1]"
language_112,"[1, 1]"
language_114,"[0, 1]"
language_120,"[0, 1]"
language_122,"[0, 0]"
language_123,"[0, 1]"
language_126,"[0, 1]"
language_128,"[0, 0]"
language_129,"[0, 0]"
language_131,"[0, 1]"
language_132,"[0, 1]"
language_134,"[1, 1]"
language_136,"[0, 1]"
language_137,"[0, 1]"
language_138,"[0, 1]"
language_139,"[0, 1]"
language_144,"[0, 1]"
language_147,"[0, 1]"
language_150,"[0, 0]"
language_151,"[1, 1]"
language_152,"[0, 1]"
language_153,"[1, 1]"
language_154,"[0, 1]"
language_156,"[1, 0]"
language_157,"[0, 0]"
language_158,"[1, 1]"
language_162,"[0, 0]"
language_165,"[0, 1]"
language_166,"[0, 1]"
language_167,"[0, 0]"
language_168,"[1, 1]"
language_170,"[0, 1]"
language_172,"[1, 1]"
language_175,"[0, 1]"
language_179,"[1, 1]"
language_180,"[0, 1]"
language_181,"[0, 1]"
language_183,"[0, 1]"
language_185,"[0, 1]"
language_186,"[0, 0]"
language_188,"[0, 0]"
language_190,"[1, 0]"
language_191,"[0, 1]"
language_193,"[0, 1]"
language_195,"[0, 1]"
language_196,"[1, 1]"
language_197,"[0, 0]"
language_199,"[0, 1]"
language_203,"[0, 1]"
language_204,"[0, 1]"
language_205,"[0, 1]"
language_207,"[0, 0]"
language_209,"[0, 0]"
language_210,"[0, 1]"
language_211,"[0, 0]"
language_213,"[1, 1]"
language_218,"[0, 1]"
language_222,"[0, 1]"
language_224,"[0, 1]"
language_225,"[0, 1]"
language_226,"[0, 1]"
language_227,"[0, 0]"
language_228,"[0, 1]"
language_229,"[1, 1]"
language_230,"[1, 1]"
language_231,"[0, 1]"
language_232,"[0, 1]"
language_234,"[0, 1]"
language_235,"[1, 0]"
language_236,"[0, 0]"
language_237,"[0, 1]"
language_238,"[1, 1]"
language_239,"[1, 1]"
language_240,"[0, 1]"
language_241,"[0, 1]"
language_245,"[1, 1]"
language_246,"[1, 0]"
language_250,"[1, 1]"
language_253,"[1, 0]"
language_254,"[1, 0]"
language_255,"[1, 1]"
language_256,"[1, 0]"
language_257,"[0, 1]"
language_258,"[0, 1]"
language_259,"[0, 1]"
language_260,"[0, 1]"
language_261,"[0, 1]"
language_262,"[1, 0]"
language_263,"[1, 0]"
language_264,"[0, 1]"
language_265,"[0, 0]"
language_266,"[0, 0]"
language_267,"[0, 1]"
language_268,"[1, 0]"
language_270,"[1, 1]"
language_271,"[0, 1]"
language_273,"[0, 1]"
language_274,"[0, 1]"
language_275,"[0, 1]"
language_277,"[0, 1]"
language_278,"[0, 0]"
language_279,"[1, 1]"
language_281,"[0, 1]"
language_282,"[1, 1]"
language_284,"[0, 1]"
language_285,"[1, 1]"
language_287,"[0, 1]"
language_288,"[0, 1]"
language_289,"[0, 1]"
language_290,"[0, 1]"
language_291,"[0, 1]"
language_297,"[0, 1]"
language_298,"[0, 1]"
language_299,"[1, 1]"
language_300,"[0, 1]"
language_302,"[0, 1]"
language_305,"[0, 1]"
language_306,"[0, 1]"
language_307,"[0, 1]"
language_308,"[0, 0]"
language_309,"[0, 0]"
language_310,"[0, 1]"
language_311,"[0, 1]"
language_312,"[1, 1]"
language_314,"[1, 1]"
language_315,"[1, 0]"
language_317,"[0, 0]"
language_319,"[0, 0]"
language_320,"[0, 1]"
language_321,"[0, 0]"
language_322,"[0, 1]"
language_323,"[0, 1]"
language_324,"[0, 0]"
language_325,"[0, 1]"
language_326,"[0, 1]"
language_327,"[0, 1]"
language_329,"[0, 1]"
language_331,"[1, 1]"
language_333,"[1, 1]"
language_334,"[0, 1]"
language_336,"[1, 0]"
language_337,"[1, 1]"
language_338,"[0, 1]"
language_341,"[0, 1]"
language_343,"[0, 1]"
language_344,"[0, 1]"
language_345,"[0, 1]"
language_346,"[0, 1]"
language_348,"[0, 1]"
language_350,"[1, 1]"
language_351,"[0, 1]"
language_352,"[0, 1]"
language_353,"[0, 1]"
language_355,"[1, 1]"
language_357,"[1, 1]"
language_358,"[0, 0]"
