LANGUAGE,LINEAGE
language_2,"[0, 1]"
language_3,"[1, 0]"
language_4,"[1, 1]"
language_5,"[0, 0]"
language_12,"[0, 1]"
language_13,"[1, 1]"
language_14,"[0, 1]"
language_16,"[0, 1]"
language_17,"[1, 1]"
language_18,"[0, 1]"
language_20,"[0, 1]"
language_22,"[0, 0]"
language_27,"[0, 1]"
language_28,"[1, 1]"
language_29,"[1, 0]"
language_31,"[0, 1]"
language_32,"[1, 1]"
language_33,"[0, 1]"
language_34,"[0, 0]"
language_36,"[0, 1]"
language_37,"[1, 0]"
language_38,"[1, 1]"
language_39,"[0, 0]"
language_41,"[0, 1]"
language_44,"[0, 1]"
language_46,"[0, 1]"
language_47,"[0, 1]"
language_49,"[0, 1]"
language_51,"[1, 0]"
language_52,"[0, 1]"
language_56,"[1, 1]"
language_57,"[1, 1]"
language_58,"[0, 0]"
language_60,"[0, 1]"
language_61,"[1, 0]"
language_62,"[1, 0]"
language_64,"[0, 1]"
language_65,"[0, 1]"
language_66,"[0, 1]"
language_68,"[1, 1]"
language_69,"[1, 1]"
language_70,"[1, 1]"
language_71,"[1, 1]"
language_72,"[0, 1]"
language_73,"[0, 1]"
language_74,"[0, 1]"
language_75,"[0, 0]"
language_76,"[1, 1]"
language_77,"[0, 1]"
language_79,"[0, 1]"
language_80,"[1, 1]"
language_87,"[1, 1]"
language_88,"[1, 0]"
language_90,"[1, 0]"
language_92,"[1, 1]"
language_93,"[1, 1]"
language_95,"[1, 1]"
language_96,"[0, 0]"
language_97,"[1, 1]"
language_99,"[0, 1]"
language_100,"[1, 0]"
language_101,"[0, 1]"
language_102,"[0, 1]"
language_104,"[1, 1]"
language_106,"[0, 1]"
language_107,"[0, 1]"
language_108,"[1, 1]"
language_109,"[0, 1]"
language_110,"[0, 0]"
language_111,"[0, 0]"
language_113,"[1, 1]"
language_114,"[0, 0]"
language_118,"[0, 1]"
language_119,"[1, 1]"
language_120,"[0, 1]"
language_121,"[0, 1]"
language_124,"[1, 1]"
language_126,"[0, 1]"
language_127,"[0, 1]"
language_130,"[0, 1]"
language_131,"[0, 1]"
language_136,"[0, 1]"
language_137,"[0, 1]"
language_138,"[0, 1]"
language_139,"[1, 1]"
language_140,"[1, 1]"
language_141,"[1, 1]"
language_142,"[1, 1]"
language_144,"[1, 1]"
language_145,"[0, 1]"
language_146,"[0, 1]"
language_147,"[1, 1]"
language_148,"[1, 1]"
language_150,"[1, 1]"
language_151,"[0, 0]"
language_152,"[0, 1]"
language_154,"[0, 1]"
language_155,"[0, 0]"
language_156,"[0, 1]"
language_157,"[0, 1]"
language_158,"[0, 1]"
language_159,"[0, 1]"
language_160,"[1, 1]"
language_161,"[0, 0]"
language_162,"[0, 0]"
language_163,"[0, 1]"
language_165,"[0, 1]"
language_166,"[0, 1]"
language_167,"[1, 0]"
language_168,"[0, 0]"
language_169,"[0, 0]"
language_170,"[0, 1]"
language_172,"[0, 1]"
language_173,"[0, 0]"
language_175,"[0, 1]"
language_177,"[0, 1]"
language_179,"[0, 1]"
language_181,"[0, 0]"
language_182,"[0, 1]"
language_183,"[1, 1]"
language_184,"[0, 1]"
language_185,"[1, 1]"
language_186,"[0, 1]"
language_187,"[1, 0]"
language_189,"[0, 1]"
language_191,"[0, 1]"
language_193,"[0, 0]"
language_194,"[0, 1]"
language_195,"[0, 1]"
language_198,"[0, 1]"
language_199,"[1, 0]"
language_200,"[0, 1]"
language_201,"[1, 0]"
language_202,"[0, 1]"
language_203,"[0, 1]"
language_204,"[1, 0]"
language_205,"[0, 1]"
language_207,"[0, 1]"
language_208,"[1, 1]"
language_209,"[0, 1]"
language_210,"[0, 1]"
language_212,"[0, 1]"
language_215,"[0, 1]"
language_216,"[0, 1]"
language_217,"[0, 1]"
language_218,"[1, 1]"
language_219,"[0, 1]"
language_220,"[0, 1]"
language_221,"[1, 1]"
language_222,"[1, 1]"
language_223,"[0, 1]"
language_224,"[0, 1]"
language_226,"[0, 1]"
language_227,"[0, 1]"
language_228,"[1, 1]"
language_229,"[0, 1]"
language_231,"[0, 1]"
language_232,"[1, 1]"
language_233,"[0, 1]"
language_234,"[0, 1]"
language_237,"[0, 1]"
language_238,"[0, 1]"
language_240,"[0, 1]"
language_242,"[0, 1]"
language_244,"[0, 1]"
language_245,"[0, 1]"
language_249,"[0, 0]"
language_250,"[0, 1]"
language_252,"[0, 1]"
language_254,"[0, 1]"
language_256,"[1, 1]"
language_257,"[0, 0]"
language_258,"[0, 1]"
language_261,"[1, 1]"
language_264,"[1, 0]"
language_268,"[1, 1]"
language_270,"[0, 1]"
language_271,"[0, 1]"
language_272,"[0, 1]"
language_273,"[0, 0]"
language_275,"[1, 1]"
language_278,"[0, 1]"
language_279,"[0, 1]"
language_282,"[0, 1]"
language_283,"[0, 0]"
language_285,"[0, 1]"
language_286,"[0, 1]"
language_287,"[1, 1]"
language_288,"[0, 0]"
language_289,"[0, 1]"
language_290,"[1, 0]"
language_292,"[0, 0]"
language_293,"[0, 1]"
language_294,"[0, 1]"
language_295,"[0, 0]"
language_296,"[0, 1]"
language_297,"[0, 1]"
language_298,"[0, 0]"
