LANGUAGE,LINEAGE
language_2,"[0, 0]"
language_3,"[0, 1]"
language_4,"[1, 1]"
language_6,"[0, 0]"
language_7,"[0, 1]"
language_8,"[0, 1]"
language_10,"[0, 1]"
language_11,"[0, 1]"
language_13,"[0, 1]"
language_14,"[1, 1]"
language_15,"[0, 1]"
language_17,"[1, 0]"
language_20,"[0, 0]"
language_21,"[1, 1]"
language_22,"[0, 1]"
language_24,"[0, 0]"
language_25,"[0, 1]"
language_26,"[1, 1]"
language_27,"[0, 1]"
language_28,"[0, 0]"
language_29,"[1, 1]"
language_32,"[0, 1]"
language_33,"[0, 0]"
language_34,"[0, 1]"
language_35,"[0, 0]"
language_36,"[0, 1]"
language_38,"[0, 0]"
language_39,"[0, 1]"
language_42,"[1, 0]"
language_43,"[1, 0]"
language_44,"[0, 0]"
language_46,"[1, 1]"
language_47,"[0, 0]"
language_48,"[0, 1]"
language_50,"[0, 0]"
language_51,"[0, 1]"
language_55,"[1, 0]"
language_56,"[0, 1]"
language_57,"[0, 1]"
language_60,"[1, 1]"
language_61,"[0, 1]"
language_63,"[1, 1]"
language_64,"[0, 1]"
language_65,"[0, 1]"
language_66,"[0, 0]"
language_68,"[0, 1]"
language_72,"[0, 1]"
language_73,"[1, 1]"
language_74,"[0, 0]"
language_75,"[0, 1]"
language_77,"[0, 1]"
language_78,"[0, 1]"
language_81,"[0, 1]"
language_82,"[0, 1]"
language_85,"[0, 1]"
language_86,"[0, 1]"
language_87,"[1, 0]"
language_88,"[0, 1]"
language_89,"[1, 1]"
language_91,"[1, 0]"
language_92,"[0, 1]"
language_95,"[0, 1]"
language_98,"[1, 1]"
language_99,"[0, 0]"
language_100,"[0, 1]"
language_101,"[0, 1]"
language_103,"[0, 1]"
language_104,"[0, 1]"
language_106,"[1, 1]"
language_107,"[0, 0]"
language_109,"[0, 1]"
language_110,"[0, 1]"
language_115,"[0, 0]"
language_116,"[0, 1]"
language_119,"[0, 1]"
language_120,"[0, 1]"
language_121,"[1, 1]"
language_122,"[1, 0]"
language_124,"[1, 1]"
language_126,"[0, 1]"
language_127,"[0, 1]"
language_128,"[1, 1]"
language_129,"[0, 1]"
language_131,"[1, 1]"
language_132,"[0, 1]"
language_133,"[0, 0]"
language_134,"[0, 1]"
language_135,"[0, 1]"
language_136,"[0, 1]"
language_137,"[0, 1]"
language_138,"[0, 0]"
language_141,"[1, 0]"
language_143,"[1, 1]"
language_144,"[0, 0]"
language_146,"[1, 1]"
language_147,"[0, 1]"
language_148,"[1, 1]"
language_149,"[0, 1]"
language_151,"[0, 1]"
language_152,"[0, 0]"
language_153,"[0, 1]"
language_154,"[1, 1]"
language_156,"[0, 1]"
language_158,"[0, 1]"
language_159,"[0, 0]"
language_160,"[0, 1]"
language_161,"[1, 0]"
language_162,"[0, 0]"
language_163,"[0, 1]"
language_165,"[0, 1]"
language_166,"[1, 1]"
language_167,"[1, 1]"
language_168,"[1, 1]"
language_169,"[0, 1]"
language_171,"[0, 1]"
language_173,"[1, 1]"
language_174,"[0, 0]"
language_177,"[0, 1]"
language_178,"[0, 1]"
language_179,"[0, 1]"
language_183,"[0, 1]"
language_184,"[1, 1]"
language_187,"[0, 1]"
language_188,"[1, 1]"
language_190,"[0, 1]"
language_192,"[0, 1]"
language_193,"[0, 0]"
language_196,"[0, 1]"
language_197,"[0, 1]"
language_198,"[0, 1]"
language_199,"[1, 1]"
language_200,"[1, 1]"
language_203,"[0, 1]"
language_206,"[0, 1]"
language_209,"[0, 0]"
language_210,"[0, 0]"
language_211,"[0, 0]"
language_212,"[0, 1]"
language_213,"[0, 0]"
language_214,"[0, 1]"
language_215,"[1, 0]"
language_218,"[0, 1]"
language_219,"[0, 1]"
language_221,"[1, 0]"
language_222,"[0, 0]"
language_223,"[0, 0]"
language_224,"[0, 0]"
language_226,"[0, 1]"
language_231,"[1, 0]"
language_232,"[0, 1]"
language_233,"[0, 1]"
language_234,"[0, 0]"
language_235,"[0, 1]"
language_236,"[0, 0]"
language_239,"[0, 0]"
language_240,"[0, 0]"
language_243,"[0, 0]"
language_244,"[1, 1]"
language_245,"[0, 1]"
language_246,"[0, 1]"
language_247,"[0, 1]"
language_250,"[0, 1]"
language_252,"[1, 1]"
language_256,"[0, 1]"
language_258,"[1, 1]"
language_259,"[0, 1]"
language_260,"[0, 1]"
language_261,"[0, 1]"
language_262,"[1, 1]"
language_264,"[0, 1]"
language_265,"[0, 1]"
language_266,"[0, 1]"
language_267,"[1, 0]"
language_268,"[0, 1]"
language_270,"[1, 1]"
language_271,"[1, 1]"
language_273,"[0, 1]"
language_277,"[0, 1]"
language_279,"[0, 1]"
language_280,"[0, 1]"
language_281,"[0, 1]"
language_282,"[1, 0]"
language_283,"[0, 1]"
language_284,"[1, 1]"
language_285,"[0, 0]"
language_286,"[1, 1]"
language_287,"[1, 0]"
language_288,"[0, 1]"
language_290,"[0, 1]"
language_291,"[0, 0]"
language_292,"[1, 1]"
language_293,"[0, 0]"
language_294,"[1, 0]"
language_295,"[1, 1]"
language_296,"[0, 1]"
language_298,"[0, 0]"
language_299,"[1, 1]"
language_300,"[0, 1]"
language_301,"[1, 0]"
language_302,"[0, 1]"
language_303,"[0, 0]"
language_304,"[0, 0]"
language_306,"[0, 1]"
language_307,"[1, 1]"
language_309,"[0, 0]"
language_310,"[0, 1]"
language_312,"[1, 1]"
language_313,"[0, 1]"
language_314,"[1, 1]"
language_315,"[1, 1]"
language_316,"[1, 0]"
language_317,"[0, 1]"
language_318,"[0, 1]"
language_319,"[0, 1]"
language_321,"[0, 1]"
language_322,"[1, 1]"
language_323,"[0, 1]"
language_324,"[1, 1]"
language_329,"[1, 1]"
language_330,"[0, 1]"
language_333,"[0, 1]"
language_337,"[0, 1]"
language_338,"[0, 1]"
language_339,"[0, 1]"
language_340,"[0, 1]"
language_341,"[0, 1]"
language_342,"[0, 1]"
language_343,"[0, 0]"
language_344,"[0, 0]"
language_345,"[0, 1]"
language_346,"[1, 1]"
language_349,"[0, 1]"
language_350,"[0, 0]"
language_352,"[0, 1]"
language_353,"[0, 1]"
language_354,"[0, 0]"
language_355,"[0, 1]"
language_357,"[1, 1]"
language_360,"[0, 1]"
language_361,"[0, 0]"
language_364,"[0, 1]"
language_366,"[1, 1]"
language_367,"[0, 0]"
language_368,"[1, 1]"
language_369,"[1, 1]"
language_370,"[0, 1]"
language_373,"[0, 1]"
language_375,"[0, 1]"
language_376,"[0, 0]"
language_378,"[0, 0]"
language_379,"[0, 1]"
language_381,"[1, 0]"
language_382,"[1, 1]"
language_384,"[0, 1]"
language_388,"[0, 1]"
language_389,"[0, 1]"
language_390,"[0, 1]"
language_391,"[1, 1]"
language_393,"[0, 1]"
language_394,"[0, 1]"
language_395,"[0, 1]"
language_396,"[0, 1]"
language_397,"[0, 1]"
language_398,"[0, 1]"
language_399,"[0, 1]"
language_400,"[0, 1]"
language_401,"[0, 0]"
language_403,"[1, 1]"
language_404,"[0, 1]"
language_405,"[1, 1]"
language_406,"[0, 1]"
language_410,"[0, 1]"
language_412,"[0, 1]"
language_417,"[0, 1]"
language_418,"[1, 1]"
language_420,"[0, 1]"
language_421,"[0, 0]"
language_423,"[0, 0]"
language_426,"[1, 1]"
language_428,"[0, 1]"
language_429,"[0, 0]"
language_430,"[1, 0]"
language_431,"[0, 1]"
language_432,"[0, 1]"
language_433,"[1, 1]"
language_434,"[0, 0]"
language_435,"[0, 0]"
language_438,"[0, 1]"
language_439,"[0, 1]"
language_441,"[0, 1]"
language_443,"[0, 1]"
language_444,"[0, 0]"
language_446,"[0, 1]"
language_447,"[0, 1]"
language_449,"[1, 1]"
language_450,"[0, 1]"
language_452,"[1, 1]"
language_454,"[0, 1]"
language_463,"[0, 1]"
language_464,"[0, 0]"
language_465,"[0, 0]"
language_466,"[0, 1]"
language_468,"[1, 1]"
language_470,"[0, 0]"
language_472,"[0, 0]"
language_473,"[1, 1]"
language_474,"[0, 1]"
language_475,"[0, 1]"
language_478,"[0, 1]"
language_479,"[1, 0]"
language_480,"[0, 1]"
language_482,"[0, 1]"
language_483,"[0, 1]"
language_486,"[0, 1]"
language_489,"[0, 1]"
language_492,"[0, 0]"
language_493,"[1, 1]"
language_494,"[0, 1]"
language_498,"[0, 0]"
language_500,"[0, 1]"
language_502,"[0, 0]"
language_503,"[0, 1]"
language_504,"[0, 1]"
language_506,"[0, 1]"
language_508,"[0, 0]"
language_510,"[0, 1]"
language_511,"[1, 1]"
language_512,"[0, 0]"
language_514,"[0, 0]"
language_515,"[1, 0]"
language_518,"[1, 1]"
language_519,"[0, 1]"
language_521,"[1, 0]"
language_522,"[0, 1]"
language_523,"[0, 1]"
language_524,"[1, 0]"
language_525,"[1, 1]"
language_527,"[0, 1]"
language_531,"[0, 0]"
language_532,"[0, 1]"
language_534,"[0, 1]"
language_535,"[0, 1]"
language_536,"[0, 1]"
language_537,"[0, 1]"
language_538,"[1, 1]"
language_539,"[0, 1]"
language_540,"[0, 1]"
language_541,"[0, 1]"
language_542,"[1, 1]"
language_543,"[0, 1]"
language_545,"[0, 1]"
language_546,"[0, 1]"
language_547,"[0, 0]"
language_548,"[1, 0]"
language_549,"[1, 1]"
language_551,"[0, 1]"
language_555,"[1, 0]"
language_558,"[0, 1]"
language_559,"[0, 1]"
language_560,"[0, 1]"
language_562,"[0, 1]"
language_564,"[1, 1]"
language_565,"[0, 0]"
language_566,"[0, 1]"
language_567,"[1, 1]"
language_568,"[1, 1]"
language_569,"[0, 1]"
language_570,"[0, 1]"
language_571,"[0, 1]"
language_572,"[1, 1]"
language_573,"[0, 0]"
language_575,"[0, 1]"
language_577,"[1, 1]"
language_578,"[0, 1]"
language_579,"[1, 1]"
language_580,"[0, 1]"
language_584,"[0, 1]"
language_585,"[0, 1]"
language_586,"[0, 1]"
language_587,"[1, 1]"
language_588,"[1, 1]"
language_591,"[0, 1]"
language_592,"[0, 1]"
language_593,"[0, 1]"
language_594,"[1, 1]"
language_596,"[1, 0]"
language_597,"[0, 1]"
language_598,"[0, 0]"
language_599,"[1, 1]"
language_600,"[0, 1]"
language_602,"[1, 1]"
language_603,"[0, 1]"
language_604,"[1, 1]"
language_605,"[0, 1]"
language_607,"[0, 1]"
language_610,"[0, 1]"
language_612,"[0, 1]"
language_613,"[0, 1]"
language_614,"[1, 0]"
language_615,"[0, 1]"
language_616,"[1, 1]"
language_617,"[0, 0]"
language_618,"[0, 0]"
language_619,"[0, 0]"
language_620,"[1, 1]"
language_626,"[0, 1]"
language_627,"[0, 0]"
language_628,"[1, 0]"
language_629,"[1, 1]"
language_630,"[0, 0]"
language_635,"[0, 1]"
language_636,"[0, 0]"
language_637,"[0, 1]"
language_638,"[1, 0]"
language_639,"[0, 1]"
language_640,"[0, 1]"
language_641,"[0, 1]"
language_642,"[0, 1]"
language_643,"[0, 1]"
language_644,"[0, 0]"
language_645,"[0, 1]"
language_646,"[0, 1]"
language_647,"[0, 1]"
language_648,"[1, 0]"
language_650,"[1, 1]"
language_651,"[1, 0]"
language_652,"[1, 1]"
language_653,"[0, 0]"
language_656,"[0, 1]"
language_657,"[0, 1]"
language_659,"[0, 1]"
language_660,"[0, 1]"
language_661,"[1, 1]"
language_664,"[0, 1]"
language_666,"[0, 0]"
language_670,"[0, 0]"
language_671,"[0, 1]"
language_672,"[0, 0]"
language_673,"[1, 1]"
language_674,"[1, 1]"
language_675,"[1, 0]"
language_676,"[0, 0]"
language_678,"[1, 1]"
language_679,"[0, 1]"
language_680,"[0, 1]"
language_681,"[1, 0]"
language_682,"[1, 1]"
language_686,"[0, 1]"
language_688,"[0, 1]"
language_691,"[1, 0]"
language_693,"[1, 1]"
language_698,"[0, 1]"
language_701,"[0, 1]"
language_702,"[0, 0]"
language_706,"[0, 1]"
language_707,"[0, 1]"
language_708,"[0, 1]"
language_709,"[0, 0]"
language_713,"[0, 0]"
language_715,"[0, 1]"
language_717,"[0, 1]"
language_718,"[0, 1]"
language_719,"[0, 1]"
language_720,"[1, 1]"
language_723,"[1, 1]"
language_724,"[0, 1]"
language_725,"[0, 1]"
language_726,"[0, 1]"
language_727,"[1, 1]"
language_728,"[1, 1]"
language_729,"[0, 1]"
language_734,"[0, 1]"
language_735,"[0, 1]"
language_738,"[1, 1]"
language_742,"[0, 1]"
language_744,"[0, 0]"
language_745,"[0, 0]"
language_746,"[0, 0]"
language_747,"[0, 1]"
language_748,"[0, 0]"
language_749,"[0, 1]"
language_751,"[1, 1]"
language_752,"[0, 1]"
language_753,"[0, 0]"
language_754,"[0, 1]"
language_755,"[1, 0]"
language_756,"[1, 1]"
language_762,"[1, 0]"
language_763,"[1, 1]"
language_764,"[0, 1]"
language_765,"[0, 1]"
language_766,"[0, 1]"
language_767,"[0, 1]"
language_768,"[1, 0]"
language_769,"[0, 1]"
language_770,"[0, 0]"
language_772,"[0, 1]"
language_773,"[0, 0]"
language_774,"[1, 1]"
language_778,"[1, 1]"
language_780,"[0, 1]"
language_781,"[0, 1]"
language_782,"[0, 1]"
language_783,"[0, 0]"
language_785,"[0, 0]"
language_786,"[1, 1]"
language_789,"[1, 1]"
language_794,"[1, 0]"
language_796,"[0, 1]"
language_797,"[0, 1]"
language_798,"[0, 1]"
language_799,"[0, 0]"
language_800,"[0, 1]"
language_801,"[1, 0]"
language_802,"[0, 1]"
language_803,"[1, 1]"
language_808,"[0, 0]"
language_809,"[1, 1]"
language_810,"[0, 1]"
language_811,"[1, 1]"
language_812,"[0, 1]"
language_814,"[1, 1]"
language_815,"[0, 1]"
language_816,"[0, 1]"
language_817,"[0, 0]"
language_819,"[1, 0]"
language_820,"[0, 1]"
language_821,"[0, 1]"
language_824,"[1, 0]"
language_825,"[0, 1]"
language_826,"[0, 1]"
language_827,"[0, 1]"
language_828,"[0, 0]"
language_830,"[1, 1]"
language_831,"[0, 0]"
language_832,"[0, 1]"
language_833,"[0, 1]"
language_834,"[0, 0]"
language_835,"[0, 0]"
language_837,"[0, 1]"
language_838,"[1, 1]"
language_840,"[0, 1]"
language_841,"[0, 1]"
language_842,"[1, 1]"
language_844,"[0, 1]"
language_845,"[1, 1]"
language_847,"[0, 0]"
language_848,"[1, 0]"
language_850,"[0, 1]"
language_852,"[1, 1]"
language_856,"[0, 0]"
language_858,"[0, 1]"
language_859,"[1, 1]"
language_861,"[0, 1]"
language_862,"[0, 1]"
language_866,"[1, 1]"
language_867,"[0, 1]"
language_868,"[1, 1]"
language_869,"[1, 1]"
language_871,"[0, 1]"
language_872,"[0, 1]"
language_874,"[1, 0]"
language_875,"[1, 0]"
language_879,"[1, 1]"
