LANGUAGE,LINEAGE,SET
language_2,"[1, 1]",166
language_3,"[0, 1]",166
language_4,"[0, 1]",166
language_5,"[0, 0]",166
language_6,"[0, 0]",166
language_7,"[0, 0]",166
language_9,"[1, 1]",166
language_10,"[1, 1]",166
language_11,"[0, 1]",166
language_12,"[0, 1]",166
language_13,"[1, 1]",166
language_14,"[0, 1]",166
language_16,"[0, 1]",166
language_17,"[0, 0]",166
language_18,"[0, 1]",166
language_19,"[0, 1]",166
language_21,"[0, 1]",166
language_24,"[0, 1]",166
language_25,"[0, 0]",166
language_27,"[0, 1]",166
language_28,"[0, 1]",166
language_29,"[0, 1]",166
language_30,"[1, 1]",166
language_31,"[1, 0]",166
language_32,"[0, 1]",166
language_33,"[0, 1]",166
language_35,"[0, 1]",166
language_39,"[0, 1]",166
language_41,"[0, 1]",166
language_42,"[0, 1]",166
language_43,"[0, 1]",166
language_44,"[0, 1]",166
language_46,"[0, 1]",166
language_47,"[0, 1]",166
language_48,"[0, 1]",166
language_49,"[0, 1]",166
language_50,"[0, 1]",166
language_51,"[0, 1]",166
language_52,"[0, 1]",166
language_54,"[0, 1]",166
language_56,"[0, 1]",166
language_57,"[0, 1]",166
language_58,"[1, 0]",166
language_60,"[0, 1]",166
language_61,"[0, 1]",166
language_62,"[0, 1]",166
language_63,"[0, 1]",166
language_66,"[0, 0]",166
language_68,"[0, 1]",166
language_71,"[0, 0]",166
language_72,"[1, 1]",166
language_78,"[0, 1]",166
language_80,"[1, 1]",166
language_81,"[0, 1]",166
language_82,"[0, 1]",166
language_83,"[0, 1]",166
language_84,"[1, 0]",166
language_85,"[0, 1]",166
language_87,"[0, 0]",166
language_88,"[0, 0]",166
language_90,"[0, 1]",166
language_91,"[0, 1]",166
language_92,"[0, 1]",166
language_94,"[0, 1]",166
language_95,"[1, 1]",166
language_96,"[1, 1]",166
language_99,"[1, 1]",166
language_100,"[0, 1]",166
language_101,"[1, 1]",166
language_102,"[0, 1]",166
language_103,"[0, 1]",166
language_104,"[0, 1]",166
language_105,"[0, 0]",166
language_106,"[0, 1]",166
language_109,"[0, 1]",166
language_110,"[0, 1]",166
language_111,"[0, 1]",166
language_112,"[0, 1]",166
language_115,"[0, 1]",166
language_116,"[0, 1]",166
language_117,"[0, 0]",166
language_119,"[0, 1]",166
language_120,"[1, 1]",166
language_122,"[0, 0]",166
language_123,"[1, 1]",166
language_124,"[1, 1]",166
language_128,"[1, 0]",166
language_129,"[0, 1]",166
language_131,"[0, 1]",166
language_132,"[1, 1]",166
language_133,"[1, 0]",166
language_134,"[0, 0]",166
language_136,"[1, 1]",166
language_139,"[0, 1]",166
language_141,"[0, 1]",166
language_143,"[0, 1]",166
language_146,"[0, 0]",166
language_147,"[0, 1]",166
language_149,"[0, 0]",166
language_150,"[1, 0]",166
language_151,"[0, 0]",166
language_153,"[0, 1]",166
language_156,"[1, 0]",166
language_157,"[0, 1]",166
language_158,"[0, 1]",166
language_159,"[0, 1]",166
language_161,"[1, 1]",166
language_163,"[0, 1]",166
language_164,"[0, 0]",166
language_165,"[1, 0]",166
language_166,"[1, 1]",166
language_169,"[0, 1]",166
language_171,"[0, 1]",166
language_172,"[0, 1]",166
language_173,"[0, 1]",166
language_177,"[1, 1]",166
language_178,"[0, 1]",166
language_179,"[0, 1]",166
language_180,"[0, 1]",166
language_181,"[0, 0]",166
language_184,"[0, 1]",166
language_186,"[1, 1]",166
language_188,"[0, 1]",166
language_189,"[0, 1]",166
language_190,"[1, 1]",166
language_193,"[1, 1]",166
language_195,"[0, 1]",166
language_197,"[1, 1]",166
language_198,"[0, 1]",166
language_201,"[0, 1]",166
language_202,"[0, 1]",166
language_205,"[1, 1]",166
language_207,"[0, 1]",166
language_208,"[0, 0]",166
language_209,"[0, 1]",166
language_210,"[0, 1]",166
language_211,"[0, 0]",166
language_212,"[0, 1]",166
language_214,"[0, 0]",166
language_215,"[1, 0]",166
language_216,"[0, 0]",166
language_217,"[0, 0]",166
language_218,"[0, 1]",166
language_219,"[0, 1]",166
language_220,"[0, 1]",166
language_221,"[1, 1]",166
language_222,"[0, 1]",166
language_224,"[0, 1]",166
language_226,"[0, 1]",166
language_229,"[0, 1]",166
language_230,"[1, 1]",166
language_232,"[1, 1]",166
language_234,"[0, 1]",166
language_235,"[0, 1]",166
language_236,"[0, 0]",166
language_237,"[0, 0]",166
language_241,"[0, 0]",166
language_242,"[0, 0]",166
language_243,"[0, 1]",166
language_246,"[0, 1]",166
language_247,"[0, 1]",166
language_249,"[0, 1]",166
language_251,"[1, 0]",166
language_252,"[0, 1]",166
language_254,"[0, 1]",166
language_256,"[0, 0]",166
language_259,"[0, 1]",166
language_260,"[0, 1]",166
language_261,"[0, 1]",166
language_263,"[1, 1]",166
language_264,"[1, 1]",166
language_265,"[1, 1]",166
language_268,"[0, 1]",166
language_272,"[0, 1]",166
language_273,"[0, 1]",166
language_274,"[1, 1]",166
language_277,"[0, 1]",166
language_278,"[1, 1]",166
language_280,"[1, 1]",166
language_281,"[0, 1]",166
language_283,"[0, 0]",166
language_286,"[0, 1]",166
language_287,"[0, 1]",166
language_288,"[0, 1]",166
language_289,"[0, 1]",166
language_290,"[0, 1]",166
language_291,"[0, 1]",166
language_293,"[1, 1]",166
language_294,"[1, 1]",166
language_295,"[0, 1]",166
language_297,"[0, 1]",166
language_298,"[0, 1]",166
language_299,"[1, 0]",166
language_301,"[0, 0]",166
language_302,"[0, 1]",166
language_304,"[1, 1]",166
language_306,"[0, 1]",166
language_308,"[1, 0]",166
language_309,"[0, 1]",166
language_310,"[0, 1]",166
language_312,"[1, 0]",166
language_313,"[0, 1]",166
language_314,"[0, 1]",166
language_317,"[0, 1]",166
language_318,"[0, 1]",166
language_323,"[0, 1]",166
language_324,"[0, 1]",166
language_325,"[0, 1]",166
language_329,"[1, 1]",166
language_330,"[0, 0]",166
language_332,"[0, 0]",166
language_333,"[0, 1]",166
language_334,"[0, 1]",166
language_336,"[1, 1]",166
language_337,"[0, 1]",166
language_338,"[0, 1]",166
language_340,"[0, 1]",166
language_341,"[1, 1]",166
language_343,"[0, 1]",166
language_344,"[1, 1]",166
language_345,"[1, 1]",166
language_347,"[1, 0]",166
language_349,"[0, 1]",166
language_350,"[0, 1]",166
language_351,"[1, 1]",166
language_352,"[0, 0]",166
language_353,"[1, 1]",166
language_354,"[1, 1]",166
language_355,"[0, 1]",166
language_356,"[0, 1]",166
language_359,"[0, 1]",166
language_360,"[0, 1]",166
language_362,"[0, 0]",166
language_364,"[0, 1]",166
language_366,"[0, 0]",166
language_368,"[1, 1]",166
language_369,"[1, 1]",166
language_370,"[1, 1]",166
language_371,"[1, 0]",166
language_374,"[1, 1]",166
language_376,"[0, 1]",166
language_377,"[0, 0]",166
language_380,"[0, 1]",166
language_381,"[0, 0]",166
language_382,"[0, 1]",166
language_383,"[0, 0]",166
language_384,"[1, 0]",166
language_386,"[0, 1]",166
language_387,"[0, 1]",166
language_392,"[1, 1]",166
language_393,"[0, 0]",166
language_394,"[1, 1]",166
language_395,"[0, 1]",166
language_397,"[0, 0]",166
language_398,"[1, 1]",166
language_399,"[0, 1]",166
language_400,"[0, 1]",166
language_401,"[0, 1]",166
language_405,"[0, 1]",166
language_407,"[1, 1]",166
language_409,"[0, 0]",166
language_410,"[0, 1]",166
language_411,"[0, 0]",166
language_412,"[0, 1]",166
language_413,"[0, 1]",166
language_414,"[1, 1]",166
language_415,"[0, 1]",166
language_416,"[0, 0]",166
language_418,"[0, 0]",166
language_419,"[0, 1]",166
language_420,"[1, 1]",166
language_421,"[0, 0]",166
language_423,"[0, 1]",166
language_425,"[0, 1]",166
language_426,"[0, 1]",166
language_427,"[0, 1]",166
language_429,"[1, 0]",166
language_433,"[0, 1]",166
language_435,"[1, 1]",166
language_437,"[1, 1]",166
language_439,"[0, 1]",166
language_440,"[1, 1]",166
language_442,"[0, 1]",166
language_444,"[0, 1]",166
language_446,"[0, 1]",166
language_447,"[0, 1]",166
language_448,"[1, 0]",166
language_449,"[0, 1]",166
language_450,"[1, 0]",166
language_451,"[0, 1]",166
language_452,"[0, 1]",166
language_453,"[1, 0]",166
