LANGUAGE,LINEAGE,SET
language_1,"[0, 0]",771
language_2,"[1, 1]",771
language_6,"[0, 1]",771
language_7,"[0, 1]",771
language_10,"[0, 1]",771
language_11,"[1, 1]",771
language_14,"[1, 1]",771
language_15,"[0, 1]",771
language_16,"[0, 1]",771
language_17,"[0, 0]",771
language_18,"[0, 1]",771
language_21,"[1, 1]",771
language_25,"[0, 0]",771
language_27,"[0, 0]",771
language_28,"[1, 1]",771
language_30,"[0, 1]",771
language_31,"[0, 1]",771
language_32,"[1, 1]",771
language_33,"[0, 1]",771
language_34,"[0, 1]",771
language_40,"[0, 1]",771
language_42,"[1, 1]",771
language_46,"[0, 1]",771
language_47,"[0, 1]",771
language_48,"[0, 0]",771
language_49,"[0, 0]",771
language_52,"[1, 0]",771
language_53,"[1, 1]",771
language_56,"[0, 1]",771
language_59,"[1, 1]",771
language_62,"[0, 1]",771
language_64,"[0, 1]",771
language_65,"[1, 0]",771
language_66,"[0, 1]",771
language_68,"[1, 1]",771
language_69,"[0, 1]",771
language_71,"[1, 1]",771
language_72,"[0, 0]",771
language_73,"[0, 1]",771
language_74,"[0, 1]",771
language_76,"[0, 1]",771
language_79,"[1, 1]",771
language_81,"[1, 1]",771
language_82,"[0, 1]",771
language_83,"[1, 1]",771
language_84,"[0, 1]",771
language_85,"[0, 1]",771
language_87,"[1, 1]",771
language_88,"[0, 1]",771
language_90,"[0, 1]",771
language_92,"[0, 1]",771
language_94,"[1, 1]",771
language_95,"[1, 1]",771
language_96,"[0, 1]",771
language_97,"[0, 1]",771
language_98,"[1, 1]",771
language_99,"[0, 1]",771
language_100,"[0, 0]",771
language_101,"[1, 1]",771
language_102,"[0, 1]",771
language_103,"[1, 1]",771
language_104,"[1, 1]",771
language_109,"[0, 1]",771
language_111,"[1, 1]",771
language_113,"[0, 0]",771
language_117,"[0, 1]",771
language_120,"[0, 1]",771
language_123,"[0, 1]",771
language_124,"[0, 1]",771
language_125,"[0, 1]",771
language_127,"[0, 1]",771
language_128,"[0, 0]",771
language_130,"[0, 1]",771
language_132,"[0, 0]",771
language_133,"[0, 0]",771
language_134,"[0, 0]",771
language_136,"[1, 1]",771
language_137,"[0, 0]",771
language_138,"[0, 0]",771
language_139,"[0, 1]",771
language_140,"[0, 1]",771
language_142,"[1, 1]",771
language_143,"[1, 1]",771
language_145,"[0, 0]",771
language_146,"[1, 1]",771
language_152,"[0, 1]",771
language_153,"[0, 1]",771
language_154,"[1, 0]",771
language_157,"[0, 1]",771
language_158,"[0, 0]",771
language_159,"[0, 0]",771
language_160,"[0, 1]",771
language_161,"[0, 1]",771
language_162,"[1, 1]",771
language_163,"[0, 1]",771
language_164,"[1, 1]",771
language_165,"[0, 1]",771
language_167,"[0, 1]",771
language_170,"[0, 1]",771
language_171,"[1, 1]",771
language_172,"[0, 0]",771
language_173,"[0, 1]",771
language_174,"[0, 1]",771
language_175,"[1, 1]",771
language_176,"[0, 1]",771
language_177,"[0, 1]",771
language_179,"[0, 0]",771
language_182,"[0, 1]",771
language_185,"[0, 1]",771
language_187,"[0, 1]",771
language_188,"[0, 0]",771
language_189,"[1, 1]",771
language_191,"[0, 1]",771
language_192,"[0, 1]",771
language_193,"[0, 0]",771
language_195,"[1, 0]",771
language_196,"[0, 1]",771
language_197,"[1, 1]",771
language_199,"[1, 1]",771
language_200,"[0, 1]",771
language_201,"[1, 0]",771
language_202,"[0, 0]",771
language_203,"[0, 1]",771
language_204,"[1, 1]",771
language_205,"[1, 1]",771
language_207,"[0, 0]",771
language_208,"[0, 1]",771
language_209,"[1, 0]",771
language_210,"[0, 0]",771
language_212,"[0, 1]",771
language_214,"[0, 1]",771
language_215,"[0, 0]",771
language_218,"[1, 1]",771
language_220,"[0, 0]",771
language_221,"[0, 0]",771
language_223,"[0, 1]",771
language_224,"[0, 1]",771
language_225,"[0, 1]",771
language_226,"[0, 1]",771
language_227,"[0, 1]",771
language_230,"[0, 1]",771
language_232,"[1, 1]",771
language_234,"[0, 1]",771
language_235,"[0, 1]",771
language_237,"[0, 1]",771
language_240,"[0, 1]",771
language_243,"[0, 1]",771
language_244,"[1, 0]",771
language_245,"[0, 0]",771
language_247,"[0, 1]",771
language_248,"[0, 1]",771
language_250,"[1, 1]",771
language_251,"[0, 1]",771
language_253,"[1, 0]",771
language_255,"[1, 1]",771
language_256,"[0, 1]",771
language_257,"[0, 1]",771
language_258,"[1, 0]",771
language_259,"[1, 1]",771
language_260,"[1, 1]",771
language_262,"[1, 0]",771
language_264,"[1, 1]",771
language_265,"[0, 0]",771
language_266,"[0, 1]",771
language_267,"[0, 1]",771
language_268,"[0, 1]",771
language_269,"[0, 0]",771
language_271,"[1, 1]",771
language_272,"[0, 1]",771
language_274,"[0, 1]",771
language_275,"[0, 1]",771
language_278,"[0, 1]",771
language_280,"[0, 1]",771
language_281,"[0, 0]",771
language_283,"[0, 0]",771
language_284,"[0, 1]",771
language_285,"[0, 1]",771
language_287,"[0, 1]",771
language_288,"[0, 1]",771
language_291,"[1, 1]",771
language_292,"[1, 0]",771
language_294,"[0, 1]",771
language_296,"[0, 0]",771
language_298,"[1, 0]",771
language_299,"[0, 1]",771
language_301,"[1, 1]",771
language_302,"[0, 0]",771
language_303,"[0, 0]",771
language_306,"[0, 1]",771
language_307,"[0, 1]",771
language_308,"[0, 1]",771
language_309,"[0, 1]",771
language_310,"[0, 0]",771
language_314,"[0, 1]",771
language_316,"[0, 0]",771
language_317,"[0, 0]",771
language_319,"[1, 1]",771
language_320,"[0, 1]",771
language_323,"[0, 1]",771
language_324,"[0, 1]",771
language_325,"[0, 1]",771
language_326,"[1, 0]",771
language_327,"[0, 1]",771
language_330,"[0, 1]",771
language_331,"[1, 1]",771
language_332,"[0, 0]",771
language_333,"[0, 1]",771
language_334,"[1, 0]",771
language_335,"[0, 1]",771
language_338,"[0, 1]",771
language_339,"[0, 0]",771
language_340,"[1, 1]",771
language_341,"[0, 0]",771
language_342,"[0, 0]",771
language_345,"[0, 1]",771
language_346,"[0, 1]",771
language_347,"[0, 1]",771
language_349,"[0, 1]",771
language_350,"[0, 1]",771
language_351,"[0, 1]",771
language_352,"[1, 1]",771
language_353,"[1, 0]",771
language_354,"[1, 1]",771
language_355,"[0, 1]",771
language_356,"[0, 1]",771
language_357,"[0, 1]",771
language_358,"[0, 1]",771
language_360,"[1, 1]",771
language_362,"[0, 1]",771
language_364,"[0, 1]",771
language_365,"[0, 1]",771
