LANGUAGE,LINEAGE,SET
language_3,"[0, 0]",715
language_4,"[0, 0]",715
language_7,"[0, 1]",715
language_9,"[0, 0]",715
language_11,"[0, 1]",715
language_13,"[1, 1]",715
language_14,"[0, 1]",715
language_18,"[0, 1]",715
language_19,"[1, 1]",715
language_20,"[1, 1]",715
language_21,"[1, 1]",715
language_24,"[0, 1]",715
language_25,"[0, 1]",715
language_26,"[1, 1]",715
language_27,"[0, 1]",715
language_28,"[0, 1]",715
language_31,"[0, 1]",715
language_34,"[0, 1]",715
language_38,"[0, 1]",715
language_39,"[0, 0]",715
language_41,"[0, 1]",715
language_42,"[1, 1]",715
language_44,"[0, 1]",715
language_48,"[0, 1]",715
language_50,"[1, 1]",715
language_52,"[0, 1]",715
language_54,"[1, 1]",715
language_55,"[1, 0]",715
language_58,"[0, 1]",715
language_59,"[0, 1]",715
language_60,"[0, 1]",715
language_61,"[0, 1]",715
language_62,"[0, 1]",715
language_63,"[0, 1]",715
language_64,"[0, 1]",715
language_65,"[0, 1]",715
language_66,"[1, 1]",715
language_67,"[0, 1]",715
language_68,"[0, 1]",715
language_69,"[0, 1]",715
language_70,"[0, 1]",715
language_71,"[0, 1]",715
language_73,"[0, 1]",715
language_74,"[1, 1]",715
language_75,"[0, 1]",715
language_76,"[1, 1]",715
language_81,"[0, 1]",715
language_82,"[0, 1]",715
language_83,"[1, 1]",715
language_84,"[1, 1]",715
language_85,"[0, 1]",715
language_86,"[0, 1]",715
language_87,"[0, 1]",715
language_88,"[0, 1]",715
language_89,"[0, 0]",715
language_90,"[0, 1]",715
language_92,"[0, 0]",715
language_93,"[0, 1]",715
language_94,"[1, 1]",715
language_95,"[0, 0]",715
language_99,"[0, 0]",715
language_100,"[0, 1]",715
language_101,"[0, 1]",715
language_103,"[1, 1]",715
language_105,"[1, 1]",715
language_106,"[0, 1]",715
language_109,"[1, 1]",715
language_110,"[0, 1]",715
language_112,"[0, 1]",715
language_113,"[0, 1]",715
language_114,"[1, 0]",715
language_115,"[0, 0]",715
language_116,"[0, 1]",715
language_118,"[1, 1]",715
language_119,"[1, 1]",715
language_120,"[0, 0]",715
language_121,"[0, 0]",715
language_122,"[0, 1]",715
language_124,"[0, 0]",715
language_125,"[0, 0]",715
language_127,"[0, 0]",715
language_128,"[0, 1]",715
language_129,"[0, 0]",715
language_130,"[0, 1]",715
language_133,"[0, 1]",715
language_134,"[1, 1]",715
language_135,"[1, 1]",715
language_137,"[0, 0]",715
language_140,"[0, 1]",715
language_141,"[1, 1]",715
language_142,"[1, 1]",715
language_143,"[1, 1]",715
language_145,"[0, 1]",715
language_146,"[0, 1]",715
language_147,"[0, 1]",715
language_148,"[0, 1]",715
language_149,"[1, 1]",715
language_151,"[0, 0]",715
language_153,"[0, 1]",715
language_154,"[0, 1]",715
language_156,"[0, 1]",715
language_158,"[1, 1]",715
language_160,"[1, 0]",715
language_162,"[0, 1]",715
language_163,"[0, 1]",715
language_164,"[0, 0]",715
language_165,"[1, 0]",715
language_166,"[0, 1]",715
language_168,"[1, 0]",715
language_169,"[1, 1]",715
language_171,"[1, 1]",715
language_172,"[1, 1]",715
language_174,"[0, 0]",715
language_175,"[0, 1]",715
language_176,"[0, 1]",715
language_177,"[1, 1]",715
language_178,"[0, 1]",715
language_179,"[0, 1]",715
language_180,"[0, 0]",715
language_181,"[0, 1]",715
language_185,"[0, 1]",715
language_186,"[0, 1]",715
language_188,"[0, 0]",715
language_190,"[1, 1]",715
language_193,"[0, 1]",715
language_194,"[0, 1]",715
language_195,"[0, 0]",715
language_196,"[0, 1]",715
language_197,"[0, 1]",715
language_198,"[1, 1]",715
language_201,"[0, 1]",715
language_202,"[0, 0]",715
language_203,"[0, 1]",715
language_204,"[1, 1]",715
language_205,"[0, 1]",715
language_206,"[0, 1]",715
language_210,"[1, 1]",715
language_211,"[1, 0]",715
language_212,"[0, 1]",715
language_213,"[1, 1]",715
language_214,"[0, 0]",715
language_217,"[1, 1]",715
language_218,"[0, 1]",715
language_219,"[1, 0]",715
language_220,"[1, 1]",715
language_221,"[0, 0]",715
language_223,"[0, 1]",715
language_224,"[1, 1]",715
language_225,"[0, 1]",715
language_227,"[0, 0]",715
language_229,"[0, 1]",715
language_230,"[0, 1]",715
language_233,"[0, 1]",715
language_234,"[0, 0]",715
language_235,"[0, 1]",715
language_236,"[0, 0]",715
language_237,"[0, 1]",715
language_239,"[0, 1]",715
language_242,"[1, 1]",715
language_243,"[0, 1]",715
language_244,"[0, 1]",715
language_245,"[0, 1]",715
language_246,"[0, 1]",715
language_247,"[1, 1]",715
language_248,"[1, 1]",715
language_249,"[0, 1]",715
language_254,"[1, 1]",715
language_255,"[0, 0]",715
language_257,"[1, 1]",715
language_259,"[1, 1]",715
language_260,"[0, 1]",715
language_261,"[1, 1]",715
language_262,"[1, 0]",715
language_263,"[1, 1]",715
language_265,"[0, 1]",715
language_266,"[0, 1]",715
language_267,"[1, 0]",715
language_270,"[0, 0]",715
language_271,"[0, 1]",715
language_274,"[1, 0]",715
language_278,"[0, 1]",715
language_279,"[0, 1]",715
language_282,"[0, 1]",715
language_283,"[1, 1]",715
language_285,"[1, 1]",715
language_288,"[1, 1]",715
language_290,"[1, 1]",715
language_291,"[0, 1]",715
language_293,"[1, 0]",715
language_294,"[0, 0]",715
language_295,"[0, 1]",715
language_296,"[1, 1]",715
language_297,"[0, 0]",715
language_298,"[0, 0]",715
language_299,"[0, 0]",715
language_300,"[1, 1]",715
language_302,"[0, 1]",715
language_304,"[0, 1]",715
language_305,"[0, 1]",715
language_307,"[0, 1]",715
language_310,"[0, 1]",715
language_311,"[0, 1]",715
language_313,"[0, 1]",715
language_314,"[0, 1]",715
language_315,"[0, 1]",715
language_317,"[1, 1]",715
language_318,"[1, 1]",715
language_320,"[1, 1]",715
language_321,"[0, 0]",715
language_325,"[0, 1]",715
language_326,"[0, 1]",715
language_329,"[0, 1]",715
language_330,"[1, 0]",715
language_331,"[0, 0]",715
language_332,"[1, 0]",715
language_334,"[0, 1]",715
language_335,"[1, 1]",715
language_338,"[0, 0]",715
language_341,"[1, 0]",715
language_345,"[0, 1]",715
language_349,"[0, 1]",715
language_353,"[1, 1]",715
language_355,"[0, 1]",715
language_357,"[1, 1]",715
language_358,"[1, 1]",715
language_360,"[0, 0]",715
language_361,"[1, 1]",715
language_363,"[1, 0]",715
language_364,"[0, 0]",715
language_366,"[0, 1]",715
language_369,"[1, 1]",715
language_370,"[0, 1]",715
language_371,"[0, 1]",715
language_372,"[1, 1]",715
language_374,"[0, 1]",715
language_376,"[0, 1]",715
language_379,"[0, 1]",715
language_383,"[1, 1]",715
language_384,"[0, 0]",715
language_385,"[0, 1]",715
language_388,"[0, 1]",715
language_391,"[0, 1]",715
language_392,"[0, 1]",715
language_393,"[1, 1]",715
language_395,"[0, 1]",715
language_397,"[1, 0]",715
language_399,"[0, 1]",715
language_400,"[1, 1]",715
language_401,"[0, 0]",715
language_402,"[0, 1]",715
language_404,"[1, 1]",715
language_408,"[0, 1]",715
language_412,"[0, 1]",715
language_413,"[1, 0]",715
language_414,"[0, 1]",715
language_415,"[1, 1]",715
language_416,"[1, 1]",715
language_419,"[0, 1]",715
language_420,"[0, 1]",715
language_421,"[0, 1]",715
language_422,"[0, 0]",715
language_423,"[0, 0]",715
language_424,"[1, 1]",715
language_426,"[1, 1]",715
language_427,"[0, 1]",715
language_428,"[0, 1]",715
language_429,"[0, 0]",715
language_431,"[0, 0]",715
language_433,"[1, 1]",715
language_434,"[0, 1]",715
language_437,"[0, 1]",715
language_439,"[0, 0]",715
language_443,"[0, 0]",715
language_446,"[0, 1]",715
language_447,"[0, 0]",715
language_448,"[0, 1]",715
language_449,"[0, 1]",715
language_452,"[0, 1]",715
language_453,"[0, 1]",715
language_454,"[1, 1]",715
language_457,"[0, 1]",715
language_458,"[0, 0]",715
language_459,"[0, 1]",715
language_460,"[0, 1]",715
language_461,"[0, 0]",715
language_462,"[1, 1]",715
language_463,"[0, 1]",715
language_464,"[0, 0]",715
language_465,"[0, 0]",715
language_466,"[1, 1]",715
language_467,"[0, 1]",715
language_468,"[1, 1]",715
language_469,"[0, 1]",715
language_470,"[0, 1]",715
language_472,"[0, 0]",715
language_474,"[0, 0]",715
language_475,"[0, 1]",715
language_476,"[0, 0]",715
language_477,"[1, 0]",715
language_479,"[0, 1]",715
language_482,"[0, 1]",715
language_483,"[0, 1]",715
