LANGUAGE,LINEAGE,SET
language_2,"[0, 0]",160
language_3,"[0, 0]",160
language_7,"[0, 1]",160
language_8,"[0, 1]",160
language_9,"[0, 1]",160
language_12,"[0, 1]",160
language_13,"[1, 1]",160
language_16,"[0, 1]",160
language_18,"[1, 1]",160
language_20,"[1, 1]",160
language_24,"[0, 1]",160
language_25,"[0, 1]",160
language_26,"[0, 0]",160
language_27,"[1, 1]",160
language_28,"[1, 1]",160
language_29,"[0, 1]",160
language_30,"[1, 1]",160
language_33,"[0, 1]",160
language_34,"[0, 1]",160
language_35,"[0, 1]",160
language_37,"[1, 1]",160
language_39,"[0, 1]",160
language_40,"[0, 1]",160
language_41,"[1, 1]",160
language_43,"[1, 1]",160
language_44,"[0, 0]",160
language_45,"[0, 1]",160
language_46,"[0, 1]",160
language_48,"[0, 0]",160
language_52,"[1, 0]",160
language_53,"[0, 1]",160
language_55,"[0, 1]",160
language_58,"[0, 1]",160
language_59,"[1, 1]",160
language_60,"[0, 1]",160
language_61,"[1, 0]",160
language_62,"[1, 1]",160
language_64,"[0, 1]",160
language_65,"[1, 0]",160
language_67,"[1, 1]",160
language_68,"[1, 1]",160
language_69,"[0, 1]",160
language_71,"[1, 1]",160
language_73,"[0, 0]",160
language_74,"[1, 1]",160
language_77,"[0, 1]",160
language_78,"[1, 1]",160
language_79,"[0, 1]",160
language_80,"[0, 0]",160
language_81,"[0, 1]",160
language_82,"[0, 0]",160
language_83,"[0, 1]",160
language_85,"[1, 1]",160
language_86,"[0, 1]",160
language_88,"[1, 1]",160
language_89,"[0, 1]",160
language_90,"[0, 1]",160
language_91,"[0, 1]",160
language_92,"[1, 1]",160
language_93,"[1, 1]",160
language_94,"[0, 1]",160
language_96,"[0, 0]",160
language_98,"[1, 1]",160
language_99,"[0, 1]",160
language_100,"[0, 1]",160
language_101,"[1, 0]",160
language_103,"[1, 1]",160
language_106,"[0, 1]",160
language_108,"[0, 1]",160
language_112,"[1, 1]",160
language_114,"[0, 1]",160
language_115,"[1, 1]",160
language_116,"[1, 1]",160
language_121,"[1, 0]",160
language_123,"[0, 1]",160
language_124,"[0, 1]",160
language_125,"[0, 1]",160
language_126,"[1, 0]",160
language_127,"[1, 1]",160
language_132,"[0, 1]",160
language_133,"[1, 1]",160
language_134,"[0, 0]",160
language_135,"[0, 1]",160
language_136,"[1, 0]",160
language_137,"[0, 0]",160
language_139,"[0, 1]",160
language_140,"[1, 1]",160
language_145,"[1, 1]",160
language_146,"[0, 1]",160
language_147,"[0, 1]",160
language_148,"[0, 1]",160
language_149,"[0, 1]",160
language_150,"[0, 0]",160
language_151,"[0, 0]",160
language_154,"[0, 1]",160
language_155,"[1, 1]",160
language_157,"[0, 1]",160
language_158,"[0, 1]",160
language_159,"[0, 1]",160
language_160,"[0, 1]",160
language_163,"[1, 1]",160
language_165,"[0, 1]",160
language_166,"[0, 1]",160
language_167,"[0, 1]",160
language_168,"[0, 1]",160
language_169,"[0, 1]",160
language_171,"[0, 1]",160
language_174,"[1, 0]",160
language_176,"[1, 1]",160
language_178,"[1, 1]",160
language_179,"[1, 1]",160
language_180,"[0, 0]",160
language_181,"[0, 1]",160
language_186,"[0, 1]",160
language_187,"[0, 1]",160
language_188,"[0, 0]",160
language_189,"[0, 1]",160
language_190,"[1, 0]",160
language_191,"[0, 1]",160
language_194,"[1, 1]",160
language_201,"[0, 1]",160
language_202,"[1, 1]",160
language_203,"[1, 1]",160
language_206,"[0, 1]",160
language_207,"[0, 1]",160
language_208,"[1, 0]",160
language_211,"[0, 1]",160
language_212,"[0, 0]",160
language_214,"[0, 0]",160
language_215,"[0, 1]",160
language_216,"[0, 0]",160
language_217,"[0, 1]",160
language_219,"[1, 1]",160
language_221,"[1, 1]",160
language_222,"[1, 1]",160
language_224,"[0, 1]",160
language_225,"[0, 1]",160
language_226,"[0, 1]",160
language_229,"[0, 0]",160
language_230,"[0, 1]",160
language_231,"[1, 1]",160
language_234,"[0, 1]",160
language_235,"[1, 1]",160
language_236,"[0, 1]",160
language_237,"[0, 0]",160
language_238,"[0, 1]",160
language_240,"[0, 0]",160
language_246,"[0, 1]",160
language_247,"[0, 1]",160
language_248,"[0, 0]",160
language_250,"[1, 0]",160
language_251,"[1, 1]",160
language_252,"[0, 1]",160
language_253,"[1, 0]",160
language_257,"[0, 0]",160
language_258,"[0, 1]",160
language_260,"[0, 1]",160
language_262,"[0, 1]",160
language_263,"[0, 0]",160
language_264,"[0, 1]",160
language_266,"[0, 1]",160
language_267,"[0, 0]",160
language_268,"[0, 1]",160
language_269,"[1, 1]",160
language_270,"[0, 1]",160
language_271,"[0, 1]",160
language_272,"[0, 1]",160
language_273,"[0, 1]",160
language_275,"[0, 1]",160
language_276,"[0, 0]",160
language_277,"[0, 1]",160
language_278,"[0, 0]",160
language_279,"[0, 1]",160
language_280,"[0, 1]",160
language_281,"[1, 1]",160
language_282,"[1, 1]",160
language_284,"[0, 1]",160
language_286,"[0, 0]",160
language_287,"[1, 1]",160
language_290,"[1, 1]",160
language_292,"[0, 1]",160
language_293,"[0, 1]",160
language_294,"[1, 1]",160
language_296,"[0, 1]",160
language_297,"[0, 0]",160
language_300,"[0, 1]",160
language_301,"[0, 1]",160
language_302,"[0, 1]",160
language_304,"[0, 1]",160
language_305,"[1, 1]",160
language_306,"[0, 1]",160
language_307,"[0, 1]",160
language_309,"[0, 0]",160
