LANGUAGE,LINEAGE,SET
language_1,"[1, 1]",602
language_3,"[1, 0]",602
language_7,"[0, 0]",602
language_8,"[0, 1]",602
language_10,"[0, 1]",602
language_12,"[1, 1]",602
language_14,"[1, 1]",602
language_17,"[0, 1]",602
language_19,"[0, 0]",602
language_20,"[1, 1]",602
language_21,"[1, 1]",602
language_22,"[0, 1]",602
language_23,"[0, 1]",602
language_24,"[0, 1]",602
language_27,"[0, 1]",602
language_28,"[0, 1]",602
language_29,"[0, 1]",602
language_30,"[0, 0]",602
language_32,"[0, 1]",602
language_35,"[0, 1]",602
language_36,"[0, 1]",602
language_37,"[0, 1]",602
language_39,"[0, 1]",602
language_40,"[0, 1]",602
language_42,"[0, 1]",602
language_43,"[0, 0]",602
language_44,"[0, 0]",602
language_47,"[1, 1]",602
language_51,"[1, 0]",602
language_53,"[0, 0]",602
language_56,"[0, 1]",602
language_57,"[1, 1]",602
language_58,"[0, 1]",602
language_59,"[0, 1]",602
language_61,"[1, 1]",602
language_63,"[0, 1]",602
language_65,"[0, 1]",602
language_66,"[0, 1]",602
language_67,"[0, 1]",602
language_68,"[1, 1]",602
language_69,"[0, 1]",602
language_70,"[0, 0]",602
language_71,"[1, 1]",602
language_73,"[0, 1]",602
language_74,"[1, 1]",602
language_75,"[0, 0]",602
language_78,"[0, 1]",602
language_81,"[0, 1]",602
language_83,"[1, 0]",602
language_86,"[0, 0]",602
language_87,"[1, 0]",602
language_88,"[1, 1]",602
language_91,"[0, 1]",602
language_92,"[0, 0]",602
language_94,"[1, 1]",602
language_95,"[0, 1]",602
language_96,"[0, 1]",602
language_98,"[0, 1]",602
language_99,"[0, 1]",602
language_101,"[0, 1]",602
language_103,"[0, 0]",602
language_104,"[0, 0]",602
language_107,"[0, 1]",602
language_108,"[0, 1]",602
language_111,"[1, 1]",602
language_112,"[0, 1]",602
language_113,"[0, 1]",602
language_114,"[1, 1]",602
language_115,"[0, 1]",602
language_116,"[0, 1]",602
language_117,"[0, 0]",602
language_118,"[0, 1]",602
language_120,"[0, 1]",602
language_121,"[1, 0]",602
language_124,"[0, 1]",602
language_125,"[0, 1]",602
language_126,"[0, 0]",602
language_127,"[0, 1]",602
language_128,"[1, 0]",602
language_129,"[0, 1]",602
language_130,"[0, 1]",602
language_132,"[0, 1]",602
language_134,"[0, 0]",602
language_135,"[0, 1]",602
language_136,"[1, 1]",602
language_138,"[0, 1]",602
language_139,"[0, 1]",602
language_140,"[0, 1]",602
language_141,"[0, 1]",602
language_142,"[0, 1]",602
language_143,"[0, 1]",602
language_144,"[0, 1]",602
language_146,"[0, 1]",602
language_147,"[0, 1]",602
language_148,"[1, 1]",602
language_150,"[0, 1]",602
language_152,"[0, 1]",602
language_153,"[1, 1]",602
language_154,"[0, 1]",602
language_155,"[0, 1]",602
language_156,"[0, 1]",602
language_157,"[0, 0]",602
language_158,"[0, 0]",602
language_159,"[0, 1]",602
language_162,"[1, 1]",602
language_163,"[0, 1]",602
language_164,"[0, 1]",602
language_165,"[0, 0]",602
language_167,"[1, 1]",602
language_168,"[0, 1]",602
language_170,"[1, 1]",602
language_172,"[0, 1]",602
language_174,"[0, 1]",602
language_176,"[0, 0]",602
language_177,"[0, 1]",602
language_180,"[1, 1]",602
language_181,"[0, 1]",602
language_182,"[0, 1]",602
language_183,"[0, 1]",602
language_184,"[0, 1]",602
language_185,"[0, 0]",602
language_186,"[0, 1]",602
language_187,"[0, 1]",602
language_188,"[0, 1]",602
language_189,"[1, 1]",602
language_191,"[0, 0]",602
language_192,"[0, 1]",602
language_193,"[0, 1]",602
language_195,"[1, 1]",602
language_196,"[0, 1]",602
language_197,"[0, 1]",602
language_198,"[0, 1]",602
language_200,"[1, 0]",602
language_201,"[0, 0]",602
language_202,"[0, 1]",602
language_206,"[0, 1]",602
language_207,"[0, 1]",602
language_208,"[0, 1]",602
language_209,"[1, 1]",602
language_212,"[0, 1]",602
language_213,"[0, 0]",602
language_214,"[0, 0]",602
language_215,"[0, 1]",602
language_216,"[0, 1]",602
language_217,"[0, 0]",602
language_219,"[0, 0]",602
language_220,"[0, 1]",602
language_223,"[1, 1]",602
language_225,"[0, 0]",602
language_227,"[0, 1]",602
language_228,"[0, 1]",602
language_229,"[0, 1]",602
language_230,"[0, 1]",602
language_231,"[0, 0]",602
language_233,"[0, 0]",602
language_234,"[0, 0]",602
language_235,"[0, 1]",602
language_236,"[0, 1]",602
language_237,"[0, 1]",602
language_241,"[1, 1]",602
language_242,"[0, 1]",602
language_244,"[0, 0]",602
language_245,"[0, 1]",602
language_247,"[0, 1]",602
language_248,"[0, 0]",602
language_250,"[1, 0]",602
language_251,"[0, 1]",602
language_252,"[1, 0]",602
language_254,"[0, 1]",602
language_255,"[0, 0]",602
language_261,"[0, 1]",602
language_262,"[0, 1]",602
language_264,"[0, 1]",602
language_265,"[0, 0]",602
language_266,"[1, 1]",602
language_268,"[1, 0]",602
language_271,"[0, 1]",602
language_272,"[0, 0]",602
language_273,"[0, 1]",602
language_274,"[0, 1]",602
language_275,"[0, 1]",602
language_277,"[1, 1]",602
language_278,"[0, 1]",602
language_279,"[0, 1]",602
language_281,"[0, 1]",602
language_282,"[0, 1]",602
language_283,"[0, 1]",602
language_284,"[0, 1]",602
language_285,"[0, 1]",602
language_287,"[0, 1]",602
language_288,"[0, 1]",602
language_292,"[0, 1]",602
language_294,"[1, 1]",602
language_295,"[1, 0]",602
language_296,"[0, 1]",602
language_297,"[0, 1]",602
language_298,"[0, 1]",602
language_299,"[0, 1]",602
language_300,"[0, 0]",602
language_301,"[0, 0]",602
language_302,"[0, 1]",602
language_305,"[0, 1]",602
language_306,"[0, 1]",602
language_307,"[1, 1]",602
language_308,"[1, 0]",602
language_310,"[0, 0]",602
language_311,"[0, 1]",602
language_312,"[1, 1]",602
language_313,"[0, 1]",602
language_314,"[0, 1]",602
language_315,"[1, 0]",602
language_318,"[0, 1]",602
language_319,"[0, 1]",602
language_320,"[0, 0]",602
language_321,"[0, 1]",602
language_322,"[1, 1]",602
language_323,"[0, 1]",602
language_324,"[1, 1]",602
language_325,"[0, 1]",602
language_328,"[0, 1]",602
language_329,"[0, 1]",602
language_333,"[0, 0]",602
language_335,"[0, 1]",602
language_337,"[1, 1]",602
language_339,"[0, 0]",602
language_340,"[0, 1]",602
language_342,"[0, 1]",602
language_343,"[0, 1]",602
language_344,"[0, 1]",602
language_345,"[0, 1]",602
language_346,"[0, 1]",602
language_348,"[0, 1]",602
language_349,"[0, 0]",602
language_352,"[0, 0]",602
language_353,"[0, 1]",602
language_354,"[0, 1]",602
language_355,"[0, 1]",602
language_356,"[1, 1]",602
language_359,"[1, 1]",602
language_361,"[1, 1]",602
language_362,"[0, 1]",602
language_363,"[0, 1]",602
language_365,"[1, 0]",602
language_367,"[0, 1]",602
language_369,"[0, 0]",602
language_370,"[0, 1]",602
language_371,"[0, 0]",602
language_372,"[0, 1]",602
language_374,"[0, 1]",602
language_375,"[0, 1]",602
language_378,"[0, 1]",602
language_380,"[1, 1]",602
language_381,"[1, 1]",602
language_383,"[0, 1]",602
language_384,"[0, 1]",602
language_385,"[0, 1]",602
language_386,"[1, 1]",602
language_388,"[1, 0]",602
language_389,"[0, 1]",602
language_392,"[0, 1]",602
language_393,"[0, 1]",602
language_394,"[0, 1]",602
language_395,"[1, 1]",602
language_397,"[0, 1]",602
language_398,"[0, 1]",602
language_400,"[1, 1]",602
language_401,"[1, 1]",602
language_402,"[0, 1]",602
language_403,"[0, 1]",602
language_404,"[0, 1]",602
language_405,"[1, 1]",602
language_406,"[0, 1]",602
language_408,"[0, 1]",602
language_409,"[0, 1]",602
language_410,"[1, 1]",602
language_411,"[0, 1]",602
language_413,"[1, 1]",602
language_414,"[0, 1]",602
language_415,"[0, 1]",602
language_417,"[0, 1]",602
language_418,"[0, 0]",602
language_419,"[0, 1]",602
language_421,"[1, 1]",602
language_422,"[1, 1]",602
language_423,"[0, 0]",602
language_424,"[1, 0]",602
language_425,"[1, 1]",602
language_426,"[1, 1]",602
language_428,"[0, 1]",602
language_430,"[0, 0]",602
language_431,"[0, 1]",602
language_432,"[0, 1]",602
language_433,"[0, 1]",602
language_434,"[0, 1]",602
language_435,"[0, 1]",602
language_437,"[0, 1]",602
language_438,"[1, 1]",602
language_439,"[0, 0]",602
language_442,"[0, 0]",602
language_444,"[0, 1]",602
language_447,"[0, 1]",602
language_448,"[0, 0]",602
language_451,"[1, 1]",602
language_453,"[1, 1]",602
language_454,"[0, 1]",602
language_455,"[0, 0]",602
language_456,"[1, 1]",602
language_457,"[0, 1]",602
language_458,"[0, 0]",602
language_459,"[0, 0]",602
language_460,"[1, 1]",602
language_461,"[1, 1]",602
language_462,"[0, 1]",602
language_463,"[1, 0]",602
language_466,"[0, 1]",602
language_467,"[1, 0]",602
language_468,"[0, 0]",602
language_469,"[0, 0]",602
language_470,"[0, 1]",602
language_474,"[0, 1]",602
language_476,"[0, 0]",602
language_480,"[1, 1]",602
language_481,"[0, 0]",602
language_482,"[0, 1]",602
language_483,"[1, 1]",602
language_484,"[0, 0]",602
language_485,"[0, 1]",602
language_486,"[1, 0]",602
language_491,"[1, 0]",602
language_493,"[0, 0]",602
language_494,"[0, 1]",602
language_500,"[0, 1]",602
language_502,"[0, 0]",602
language_503,"[0, 0]",602
language_507,"[0, 0]",602
language_515,"[1, 1]",602
language_516,"[1, 0]",602
language_517,"[0, 0]",602
language_518,"[0, 1]",602
language_519,"[1, 1]",602
language_522,"[0, 1]",602
language_526,"[0, 1]",602
language_529,"[1, 0]",602
language_530,"[0, 1]",602
language_531,"[0, 1]",602
language_532,"[1, 1]",602
language_533,"[1, 1]",602
language_534,"[0, 0]",602
language_540,"[0, 1]",602
language_543,"[0, 1]",602
language_546,"[0, 1]",602
language_547,"[1, 1]",602
language_548,"[0, 0]",602
language_549,"[0, 1]",602
language_552,"[0, 1]",602
language_554,"[0, 1]",602
language_556,"[0, 1]",602
language_558,"[1, 0]",602
language_562,"[0, 1]",602
language_563,"[0, 1]",602
language_564,"[1, 1]",602
language_565,"[1, 1]",602
language_566,"[0, 1]",602
language_567,"[0, 1]",602
language_568,"[0, 1]",602
language_570,"[1, 1]",602
language_571,"[0, 1]",602
language_572,"[1, 1]",602
language_574,"[0, 1]",602
language_575,"[0, 1]",602
language_576,"[1, 1]",602
language_577,"[0, 1]",602
language_580,"[0, 1]",602
language_581,"[0, 0]",602
language_583,"[0, 1]",602
language_584,"[0, 0]",602
language_586,"[1, 1]",602
language_589,"[1, 0]",602
language_593,"[0, 0]",602
language_594,"[0, 1]",602
language_596,"[0, 1]",602
language_597,"[0, 1]",602
language_599,"[0, 1]",602
language_600,"[0, 1]",602
language_601,"[0, 1]",602
language_602,"[0, 1]",602
language_604,"[0, 0]",602
language_605,"[0, 1]",602
language_607,"[0, 1]",602
language_609,"[0, 1]",602
language_610,"[0, 1]",602
language_612,"[1, 0]",602
language_613,"[0, 1]",602
language_614,"[0, 1]",602
language_615,"[0, 1]",602
language_616,"[0, 1]",602
language_617,"[0, 1]",602
language_619,"[0, 1]",602
language_620,"[1, 0]",602
language_621,"[1, 0]",602
language_622,"[0, 1]",602
language_623,"[0, 1]",602
language_625,"[0, 1]",602
language_626,"[0, 1]",602
language_629,"[1, 1]",602
language_631,"[0, 1]",602
language_633,"[0, 1]",602
language_634,"[1, 0]",602
language_635,"[1, 1]",602
language_637,"[1, 1]",602
language_641,"[1, 0]",602
language_643,"[0, 1]",602
language_644,"[1, 0]",602
language_645,"[1, 0]",602
