LANGUAGE,LINEAGE,SET
language_3,"[0, 1]",31
language_4,"[0, 1]",31
language_8,"[0, 1]",31
language_10,"[0, 1]",31
language_11,"[0, 0]",31
language_13,"[1, 1]",31
language_17,"[0, 0]",31
language_18,"[0, 1]",31
language_21,"[1, 1]",31
language_22,"[0, 1]",31
language_23,"[1, 1]",31
language_24,"[0, 0]",31
language_26,"[0, 1]",31
language_27,"[0, 1]",31
language_30,"[0, 1]",31
language_31,"[0, 1]",31
language_32,"[0, 1]",31
language_34,"[1, 1]",31
language_36,"[1, 1]",31
language_37,"[0, 0]",31
language_38,"[0, 1]",31
language_39,"[0, 1]",31
language_41,"[0, 1]",31
language_43,"[0, 1]",31
language_46,"[0, 1]",31
language_47,"[0, 0]",31
language_50,"[1, 1]",31
language_52,"[0, 1]",31
language_53,"[0, 1]",31
language_56,"[0, 1]",31
language_59,"[0, 1]",31
language_60,"[1, 1]",31
language_61,"[0, 1]",31
language_62,"[0, 1]",31
language_63,"[1, 0]",31
language_64,"[0, 1]",31
language_66,"[0, 1]",31
language_67,"[0, 1]",31
language_68,"[0, 1]",31
language_69,"[1, 1]",31
language_70,"[0, 1]",31
language_72,"[1, 1]",31
language_73,"[0, 1]",31
language_75,"[0, 1]",31
language_76,"[0, 1]",31
language_80,"[0, 1]",31
language_81,"[0, 1]",31
language_82,"[0, 1]",31
language_83,"[0, 0]",31
language_85,"[0, 1]",31
language_89,"[0, 1]",31
language_90,"[0, 0]",31
language_91,"[0, 1]",31
language_92,"[0, 1]",31
language_93,"[0, 0]",31
language_94,"[1, 0]",31
language_95,"[0, 1]",31
language_97,"[0, 1]",31
language_98,"[0, 0]",31
language_99,"[0, 1]",31
language_100,"[0, 1]",31
language_101,"[1, 0]",31
language_102,"[1, 1]",31
language_105,"[0, 1]",31
language_106,"[0, 1]",31
language_109,"[0, 1]",31
language_110,"[0, 1]",31
language_111,"[0, 0]",31
language_112,"[0, 0]",31
language_114,"[1, 1]",31
language_116,"[0, 1]",31
language_117,"[1, 1]",31
language_119,"[0, 0]",31
language_121,"[0, 1]",31
language_123,"[1, 0]",31
language_124,"[0, 1]",31
language_128,"[0, 1]",31
language_131,"[1, 1]",31
language_133,"[0, 0]",31
language_134,"[0, 0]",31
language_136,"[0, 1]",31
language_137,"[0, 1]",31
language_138,"[1, 1]",31
language_139,"[0, 1]",31
language_142,"[0, 1]",31
language_143,"[0, 1]",31
language_144,"[1, 1]",31
language_147,"[0, 1]",31
language_148,"[0, 1]",31
language_149,"[1, 1]",31
language_151,"[0, 1]",31
language_152,"[0, 1]",31
language_153,"[1, 1]",31
language_154,"[0, 1]",31
language_155,"[0, 0]",31
language_156,"[0, 0]",31
language_157,"[0, 1]",31
language_158,"[0, 1]",31
language_159,"[1, 1]",31
language_160,"[0, 1]",31
language_161,"[1, 1]",31
language_162,"[0, 0]",31
language_163,"[0, 1]",31
language_164,"[0, 1]",31
language_165,"[0, 0]",31
language_166,"[0, 0]",31
language_170,"[1, 1]",31
language_171,"[0, 1]",31
language_175,"[0, 0]",31
language_176,"[1, 1]",31
language_177,"[0, 1]",31
language_178,"[0, 1]",31
language_181,"[0, 0]",31
language_184,"[0, 0]",31
language_185,"[1, 1]",31
language_186,"[1, 0]",31
language_191,"[0, 1]",31
language_192,"[0, 1]",31
language_193,"[0, 0]",31
language_194,"[0, 1]",31
language_195,"[1, 1]",31
language_196,"[1, 1]",31
language_197,"[0, 1]",31
language_200,"[0, 0]",31
language_202,"[0, 1]",31
language_203,"[1, 0]",31
language_206,"[1, 1]",31
language_209,"[0, 1]",31
language_211,"[0, 0]",31
