LANGUAGE,LINEAGE,SET
language_362,"[0, 1]",20
language_363,"[1, 1]",20
language_365,"[0, 1]",20
language_367,"[0, 1]",20
language_368,"[0, 1]",20
language_369,"[0, 1]",20
language_370,"[1, 1]",20
language_371,"[0, 1]",20
language_372,"[0, 1]",20
language_373,"[0, 1]",20
language_374,"[1, 0]",20
language_375,"[1, 1]",20
language_376,"[1, 1]",20
language_378,"[0, 1]",20
language_379,"[0, 1]",20
language_380,"[0, 1]",20
language_382,"[0, 1]",20
language_383,"[1, 1]",20
language_384,"[1, 1]",20
language_386,"[0, 1]",20
language_387,"[0, 0]",20
language_388,"[1, 1]",20
language_389,"[1, 1]",20
language_390,"[0, 1]",20
language_391,"[0, 1]",20
language_393,"[1, 1]",20
language_394,"[1, 1]",20
language_396,"[1, 0]",20
language_398,"[0, 1]",20
language_401,"[0, 1]",20
language_402,"[1, 1]",20
language_403,"[0, 1]",20
language_404,"[1, 1]",20
language_407,"[0, 1]",20
language_409,"[0, 1]",20
language_412,"[0, 1]",20
language_413,"[0, 1]",20
language_414,"[1, 1]",20
language_416,"[0, 1]",20
language_417,"[0, 1]",20
language_418,"[0, 1]",20
language_419,"[0, 1]",20
language_420,"[0, 1]",20
language_421,"[0, 0]",20
language_422,"[0, 1]",20
language_425,"[0, 1]",20
language_427,"[1, 1]",20
language_428,"[0, 1]",20
language_429,"[0, 1]",20
language_430,"[1, 1]",20
language_431,"[0, 1]",20
language_434,"[0, 1]",20
language_436,"[1, 1]",20
language_437,"[0, 1]",20
language_438,"[0, 1]",20
language_439,"[0, 1]",20
language_444,"[1, 1]",20
language_446,"[0, 1]",20
language_447,"[1, 0]",20
language_448,"[0, 0]",20
language_449,"[0, 1]",20
language_452,"[1, 0]",20
language_453,"[0, 1]",20
language_454,"[0, 1]",20
language_455,"[0, 1]",20
language_456,"[0, 1]",20
language_457,"[0, 1]",20
language_458,"[0, 1]",20
language_459,"[0, 0]",20
language_462,"[0, 0]",20
language_463,"[0, 1]",20
language_465,"[1, 1]",20
language_466,"[1, 1]",20
language_467,"[0, 0]",20
language_469,"[0, 0]",20
language_471,"[0, 0]",20
language_472,"[0, 1]",20
language_478,"[0, 0]",20
language_480,"[1, 0]",20
language_481,"[0, 1]",20
language_482,"[0, 1]",20
language_485,"[0, 1]",20
language_486,"[0, 0]",20
language_487,"[0, 1]",20
language_488,"[0, 1]",20
language_490,"[0, 0]",20
language_492,"[0, 1]",20
language_493,"[0, 1]",20
language_494,"[0, 1]",20
language_496,"[1, 1]",20
language_498,"[1, 1]",20
language_499,"[0, 1]",20
language_501,"[0, 1]",20
language_503,"[0, 1]",20
language_504,"[1, 1]",20
language_506,"[1, 1]",20
language_507,"[0, 1]",20
language_509,"[0, 1]",20
language_510,"[1, 0]",20
language_511,"[1, 1]",20
language_512,"[0, 1]",20
language_513,"[0, 1]",20
language_514,"[0, 1]",20
language_515,"[1, 1]",20
language_516,"[0, 1]",20
language_517,"[0, 1]",20
language_518,"[0, 0]",20
language_522,"[1, 1]",20
language_524,"[1, 1]",20
language_525,"[0, 1]",20
language_529,"[0, 1]",20
language_530,"[0, 1]",20
language_533,"[1, 1]",20
language_534,"[0, 1]",20
language_535,"[1, 1]",20
language_536,"[0, 1]",20
language_538,"[1, 1]",20
language_539,"[0, 1]",20
language_542,"[0, 1]",20
language_543,"[0, 1]",20
language_544,"[0, 1]",20
language_545,"[0, 1]",20
language_547,"[0, 1]",20
language_549,"[1, 1]",20
language_550,"[1, 0]",20
language_553,"[0, 1]",20
language_554,"[0, 1]",20
language_555,"[0, 0]",20
language_557,"[0, 0]",20
language_558,"[0, 1]",20
language_559,"[1, 0]",20
language_560,"[1, 1]",20
language_561,"[1, 0]",20
language_562,"[0, 1]",20
language_563,"[0, 1]",20
language_564,"[0, 1]",20
language_565,"[0, 1]",20
language_567,"[0, 0]",20
language_568,"[1, 1]",20
language_569,"[1, 1]",20
language_570,"[0, 1]",20
language_571,"[1, 0]",20
language_572,"[1, 1]",20
language_573,"[0, 1]",20
language_574,"[1, 0]",20
language_575,"[1, 1]",20
language_576,"[0, 1]",20
language_579,"[0, 1]",20
language_583,"[1, 1]",20
language_585,"[1, 1]",20
language_587,"[1, 1]",20
language_588,"[0, 1]",20
language_589,"[1, 1]",20
language_590,"[0, 1]",20
language_592,"[0, 1]",20
language_593,"[0, 0]",20
language_594,"[0, 1]",20
language_595,"[0, 1]",20
language_596,"[0, 0]",20
language_597,"[0, 1]",20
language_599,"[0, 1]",20
language_601,"[1, 0]",20
language_602,"[0, 1]",20
language_604,"[1, 0]",20
language_605,"[0, 1]",20
language_606,"[1, 0]",20
language_608,"[0, 1]",20
language_610,"[0, 1]",20
language_611,"[0, 1]",20
language_612,"[1, 0]",20
language_613,"[0, 1]",20
language_614,"[0, 1]",20
language_615,"[0, 0]",20
language_616,"[0, 1]",20
language_619,"[0, 1]",20
language_620,"[0, 1]",20
language_621,"[0, 1]",20
language_625,"[0, 1]",20
language_628,"[1, 1]",20
language_629,"[0, 1]",20
language_632,"[0, 0]",20
language_633,"[0, 1]",20
language_635,"[0, 0]",20
language_638,"[0, 1]",20
language_642,"[0, 1]",20
language_643,"[0, 1]",20
language_647,"[0, 1]",20
language_649,"[0, 1]",20
language_651,"[1, 1]",20
language_652,"[0, 1]",20
language_653,"[1, 1]",20
language_656,"[0, 0]",20
language_657,"[0, 1]",20
language_659,"[1, 1]",20
language_660,"[0, 1]",20
language_661,"[0, 1]",20
language_662,"[0, 0]",20
language_663,"[0, 0]",20
language_666,"[1, 1]",20
language_667,"[1, 0]",20
language_668,"[1, 1]",20
language_669,"[0, 0]",20
language_670,"[1, 1]",20
language_671,"[0, 1]",20
language_675,"[0, 1]",20
language_676,"[1, 1]",20
language_678,"[0, 1]",20
language_679,"[1, 1]",20
language_680,"[0, 1]",20
language_681,"[0, 1]",20
language_683,"[1, 1]",20
language_686,"[1, 0]",20
language_687,"[0, 1]",20
language_688,"[1, 1]",20
language_689,"[1, 1]",20
language_690,"[0, 1]",20
language_692,"[1, 1]",20
language_694,"[1, 1]",20
language_695,"[1, 1]",20
language_696,"[0, 1]",20
language_699,"[0, 1]",20
language_701,"[0, 1]",20
language_702,"[1, 1]",20
language_704,"[0, 1]",20
language_705,"[0, 1]",20
language_708,"[0, 1]",20
language_709,"[0, 1]",20
language_712,"[0, 0]",20
language_714,"[0, 1]",20
language_715,"[1, 1]",20
language_716,"[0, 0]",20
language_717,"[0, 1]",20
language_718,"[0, 0]",20
language_719,"[1, 1]",20
language_720,"[1, 1]",20
language_721,"[0, 1]",20
language_722,"[0, 1]",20
language_723,"[0, 1]",20
language_724,"[0, 1]",20
language_725,"[1, 1]",20
language_728,"[0, 1]",20
language_730,"[1, 1]",20
language_734,"[1, 0]",20
language_735,"[0, 0]",20
language_736,"[0, 1]",20
language_739,"[1, 1]",20
language_740,"[0, 1]",20
language_741,"[0, 1]",20
language_743,"[1, 1]",20
language_744,"[0, 1]",20
language_745,"[1, 1]",20
language_746,"[1, 1]",20
language_748,"[1, 1]",20
language_749,"[1, 0]",20
language_750,"[0, 1]",20
language_751,"[1, 1]",20
language_753,"[0, 1]",20
language_754,"[1, 0]",20
language_755,"[0, 1]",20
language_756,"[0, 1]",20
language_757,"[0, 1]",20
language_760,"[0, 1]",20
language_761,"[0, 1]",20
language_762,"[0, 0]",20
language_763,"[0, 1]",20
language_765,"[0, 1]",20
language_766,"[1, 1]",20
language_767,"[0, 1]",20
language_769,"[1, 1]",20
language_770,"[1, 1]",20
language_771,"[0, 1]",20
language_772,"[1, 1]",20
language_773,"[1, 1]",20
language_774,"[0, 1]",20
language_776,"[0, 1]",20
language_777,"[0, 1]",20
language_779,"[0, 1]",20
language_781,"[1, 0]",20
language_782,"[0, 1]",20
language_783,"[0, 1]",20
language_785,"[0, 1]",20
language_788,"[0, 0]",20
language_790,"[0, 1]",20
language_792,"[0, 1]",20
language_794,"[0, 1]",20
language_796,"[0, 0]",20
language_797,"[0, 0]",20
language_801,"[0, 1]",20
language_802,"[0, 1]",20
language_803,"[0, 1]",20
language_805,"[0, 1]",20
language_807,"[0, 1]",20
language_809,"[0, 1]",20
language_812,"[0, 0]",20
language_814,"[0, 1]",20
language_820,"[1, 1]",20
language_821,"[1, 1]",20
language_822,"[1, 0]",20
language_826,"[1, 1]",20
language_829,"[0, 1]",20
language_832,"[0, 1]",20
language_835,"[0, 1]",20
language_836,"[0, 1]",20
language_839,"[1, 1]",20
language_842,"[0, 1]",20
language_843,"[1, 1]",20
language_845,"[1, 1]",20
language_846,"[0, 1]",20
language_847,"[0, 1]",20
language_849,"[0, 1]",20
language_851,"[0, 0]",20
language_854,"[1, 0]",20
language_855,"[0, 1]",20
language_856,"[0, 1]",20
language_857,"[0, 1]",20
language_861,"[0, 1]",20
language_862,"[0, 1]",20
language_863,"[1, 1]",20
language_866,"[0, 1]",20
language_867,"[0, 0]",20
language_868,"[0, 1]",20
language_871,"[0, 0]",20
language_873,"[0, 1]",20
language_874,"[0, 1]",20
language_875,"[0, 1]",20
language_876,"[0, 1]",20
language_877,"[0, 1]",20
language_878,"[1, 1]",20
language_879,"[0, 1]",20
language_880,"[1, 0]",20
language_881,"[0, 1]",20
language_885,"[0, 0]",20
language_886,"[0, 1]",20
language_888,"[0, 1]",20
language_889,"[0, 1]",20
language_893,"[0, 1]",20
language_894,"[0, 1]",20
language_896,"[0, 0]",20
language_897,"[1, 1]",20
language_898,"[0, 1]",20
language_899,"[0, 1]",20
language_901,"[0, 1]",20
language_902,"[1, 1]",20
language_903,"[0, 1]",20
language_905,"[0, 1]",20
language_908,"[0, 0]",20
language_909,"[0, 1]",20
language_910,"[1, 1]",20
language_911,"[0, 1]",20
language_912,"[1, 1]",20
language_913,"[0, 1]",20
language_915,"[1, 1]",20
language_917,"[1, 0]",20
language_920,"[0, 1]",20
language_921,"[1, 1]",20
language_923,"[0, 1]",20
language_925,"[1, 1]",20
language_926,"[0, 1]",20
language_927,"[0, 0]",20
language_928,"[0, 1]",20
language_929,"[0, 1]",20
language_930,"[0, 1]",20
language_932,"[0, 1]",20
language_933,"[1, 0]",20
language_935,"[0, 1]",20
language_936,"[1, 1]",20
language_938,"[0, 0]",20
language_939,"[0, 1]",20
language_940,"[0, 1]",20
language_941,"[0, 0]",20
language_942,"[0, 1]",20
language_943,"[0, 1]",20
language_944,"[0, 1]",20
language_945,"[1, 1]",20
language_948,"[0, 1]",20
language_949,"[1, 0]",20
language_950,"[1, 0]",20
language_951,"[0, 1]",20
language_952,"[1, 1]",20
language_953,"[0, 1]",20
language_954,"[0, 0]",20
language_958,"[0, 0]",20
language_960,"[0, 1]",20
language_961,"[0, 1]",20
language_962,"[0, 1]",20
language_964,"[0, 1]",20
language_966,"[1, 0]",20
language_967,"[0, 0]",20
language_968,"[0, 1]",20
language_969,"[0, 1]",20
language_970,"[0, 1]",20
language_973,"[0, 1]",20
language_974,"[1, 1]",20
language_976,"[0, 1]",20
language_977,"[1, 1]",20
language_979,"[0, 1]",20
language_980,"[0, 1]",20
language_981,"[0, 1]",20
language_982,"[1, 1]",20
language_983,"[1, 1]",20
language_984,"[0, 1]",20
language_987,"[1, 0]",20
language_990,"[0, 0]",20
language_992,"[0, 1]",20
language_993,"[0, 0]",20
language_994,"[0, 1]",20
language_995,"[0, 1]",20
language_996,"[0, 1]",20
language_997,"[0, 1]",20
language_998,"[1, 1]",20
language_1000,"[0, 1]",20
