LANGUAGE,LINEAGE,SET
language_1,"[0, 0]",556
language_2,"[0, 1]",556
language_3,"[0, 0]",556
language_4,"[0, 1]",556
language_5,"[0, 1]",556
language_8,"[0, 1]",556
language_9,"[1, 0]",556
language_10,"[0, 1]",556
language_13,"[0, 0]",556
language_14,"[1, 1]",556
language_16,"[0, 1]",556
language_17,"[1, 1]",556
language_20,"[0, 1]",556
language_21,"[1, 0]",556
language_22,"[0, 1]",556
language_23,"[0, 1]",556
language_24,"[0, 1]",556
language_26,"[0, 1]",556
language_27,"[0, 1]",556
language_29,"[1, 1]",556
language_31,"[0, 1]",556
language_32,"[0, 1]",556
language_33,"[0, 1]",556
language_35,"[0, 1]",556
language_36,"[0, 1]",556
language_37,"[0, 0]",556
language_38,"[0, 1]",556
language_40,"[0, 1]",556
language_42,"[1, 1]",556
language_43,"[0, 0]",556
language_45,"[1, 0]",556
language_47,"[0, 1]",556
language_49,"[0, 0]",556
language_52,"[0, 1]",556
language_53,"[1, 0]",556
language_54,"[1, 1]",556
language_56,"[1, 1]",556
language_57,"[0, 1]",556
language_58,"[0, 1]",556
language_59,"[0, 1]",556
language_65,"[0, 1]",556
language_66,"[0, 1]",556
language_67,"[0, 1]",556
language_68,"[1, 1]",556
language_69,"[0, 1]",556
language_70,"[0, 0]",556
language_73,"[0, 1]",556
language_74,"[0, 0]",556
language_77,"[1, 1]",556
language_79,"[0, 0]",556
language_80,"[0, 1]",556
language_81,"[0, 1]",556
language_82,"[0, 1]",556
language_84,"[1, 1]",556
language_85,"[0, 0]",556
language_86,"[0, 1]",556
language_88,"[0, 1]",556
language_90,"[0, 1]",556
language_91,"[0, 0]",556
language_93,"[0, 0]",556
language_95,"[0, 0]",556
language_96,"[1, 1]",556
language_97,"[0, 1]",556
language_98,"[0, 1]",556
language_100,"[0, 1]",556
language_101,"[0, 1]",556
language_102,"[1, 1]",556
language_103,"[0, 0]",556
language_104,"[0, 0]",556
language_106,"[0, 1]",556
language_109,"[0, 0]",556
language_110,"[0, 1]",556
language_111,"[1, 0]",556
language_112,"[0, 1]",556
language_114,"[0, 1]",556
language_115,"[1, 1]",556
language_116,"[0, 1]",556
language_117,"[0, 0]",556
language_118,"[0, 1]",556
language_119,"[0, 0]",556
language_120,"[0, 1]",556
language_121,"[1, 1]",556
language_123,"[0, 1]",556
language_124,"[0, 1]",556
language_125,"[0, 1]",556
language_126,"[0, 1]",556
language_128,"[0, 1]",556
language_130,"[0, 0]",556
language_131,"[0, 0]",556
language_132,"[1, 0]",556
language_134,"[0, 1]",556
language_135,"[1, 1]",556
language_137,"[0, 1]",556
language_138,"[0, 0]",556
language_139,"[0, 0]",556
language_140,"[1, 0]",556
language_141,"[1, 1]",556
language_142,"[1, 0]",556
language_143,"[0, 1]",556
language_144,"[0, 1]",556
language_145,"[1, 1]",556
language_146,"[1, 1]",556
language_149,"[1, 1]",556
language_150,"[0, 1]",556
language_151,"[1, 1]",556
language_152,"[1, 1]",556
language_153,"[1, 0]",556
language_154,"[1, 1]",556
language_155,"[0, 1]",556
language_156,"[0, 1]",556
language_157,"[0, 1]",556
language_159,"[0, 1]",556
language_160,"[0, 1]",556
language_161,"[0, 1]",556
language_164,"[1, 0]",556
language_165,"[0, 1]",556
language_167,"[0, 1]",556
language_170,"[0, 1]",556
language_173,"[1, 1]",556
language_174,"[1, 1]",556
language_175,"[1, 0]",556
language_179,"[0, 1]",556
language_181,"[1, 1]",556
language_182,"[0, 1]",556
language_183,"[1, 1]",556
language_184,"[1, 0]",556
language_185,"[0, 1]",556
language_186,"[1, 0]",556
language_187,"[1, 1]",556
language_188,"[1, 1]",556
language_189,"[0, 1]",556
language_190,"[0, 1]",556
language_191,"[1, 1]",556
language_192,"[1, 1]",556
language_193,"[0, 0]",556
language_194,"[0, 0]",556
language_195,"[1, 1]",556
language_196,"[0, 0]",556
language_197,"[0, 0]",556
language_198,"[0, 1]",556
language_199,"[1, 1]",556
language_200,"[0, 1]",556
language_201,"[0, 1]",556
language_202,"[0, 0]",556
language_203,"[0, 0]",556
language_205,"[0, 1]",556
language_209,"[1, 1]",556
language_212,"[0, 1]",556
language_213,"[0, 1]",556
language_214,"[1, 1]",556
language_215,"[0, 1]",556
language_216,"[0, 1]",556
language_217,"[1, 1]",556
language_218,"[0, 1]",556
language_219,"[0, 1]",556
language_220,"[0, 1]",556
language_222,"[0, 1]",556
language_228,"[1, 1]",556
language_230,"[0, 1]",556
language_232,"[1, 1]",556
language_234,"[0, 1]",556
language_235,"[1, 0]",556
language_239,"[1, 0]",556
language_240,"[0, 1]",556
language_241,"[0, 1]",556
language_242,"[0, 1]",556
language_243,"[1, 1]",556
language_244,"[0, 1]",556
language_245,"[1, 1]",556
language_246,"[0, 1]",556
language_249,"[0, 1]",556
language_250,"[1, 1]",556
language_254,"[1, 1]",556
language_257,"[0, 1]",556
language_258,"[1, 0]",556
language_259,"[0, 0]",556
language_263,"[0, 1]",556
language_264,"[0, 0]",556
language_265,"[1, 1]",556
language_266,"[0, 0]",556
language_267,"[0, 1]",556
language_268,"[0, 1]",556
language_269,"[1, 0]",556
language_271,"[0, 0]",556
language_272,"[1, 1]",556
language_273,"[0, 1]",556
language_276,"[0, 1]",556
language_277,"[0, 1]",556
language_278,"[1, 1]",556
language_279,"[0, 1]",556
language_280,"[0, 1]",556
language_283,"[1, 0]",556
language_287,"[0, 0]",556
language_288,"[0, 1]",556
language_289,"[0, 1]",556
language_291,"[1, 1]",556
language_294,"[1, 1]",556
language_295,"[1, 1]",556
language_296,"[1, 1]",556
language_300,"[1, 1]",556
language_301,"[0, 1]",556
language_303,"[0, 1]",556
language_304,"[1, 1]",556
language_305,"[1, 1]",556
language_306,"[0, 1]",556
language_307,"[0, 0]",556
language_308,"[0, 1]",556
language_309,"[0, 0]",556
language_311,"[0, 0]",556
language_312,"[0, 1]",556
language_313,"[0, 1]",556
language_314,"[0, 1]",556
language_316,"[1, 1]",556
language_318,"[0, 0]",556
language_321,"[0, 1]",556
language_324,"[1, 1]",556
language_325,"[0, 1]",556
language_327,"[1, 0]",556
language_329,"[0, 1]",556
language_332,"[1, 0]",556
language_334,"[0, 1]",556
language_335,"[1, 1]",556
language_338,"[0, 1]",556
language_341,"[0, 1]",556
language_342,"[0, 1]",556
language_343,"[1, 1]",556
language_344,"[0, 1]",556
language_345,"[0, 1]",556
language_346,"[1, 1]",556
language_349,"[1, 1]",556
language_350,"[1, 1]",556
language_351,"[0, 1]",556
language_353,"[0, 0]",556
language_354,"[0, 1]",556
language_355,"[0, 1]",556
language_356,"[1, 1]",556
language_357,"[0, 0]",556
language_358,"[1, 1]",556
language_359,"[1, 0]",556
language_360,"[0, 1]",556
language_361,"[1, 1]",556
language_363,"[0, 0]",556
language_364,"[1, 1]",556
language_365,"[0, 1]",556
language_369,"[0, 1]",556
language_370,"[0, 1]",556
language_371,"[0, 1]",556
language_375,"[1, 1]",556
language_376,"[0, 0]",556
