LANGUAGE,GEN_0,GEN_1,SET
frankenlanguage245.csv_456,0.5,0.0,456
frankenlanguage246.csv_456,0.0,0.0,456
frankenlanguage247.csv_456,0.0,0.0,456
frankenlanguage248.csv_456,0.2,0.0,456
frankenlanguage249.csv_456,0.1111111111111111,0.0,456
frankenlanguage25.csv_456,0.2857142857142857,0.0,456
frankenlanguage250.csv_456,0.2,0.0,456
frankenlanguage251.csv_456,0.2,0.0,456
frankenlanguage253.csv_456,0.0,0.0,456
frankenlanguage254.csv_456,0.1111111111111111,0.0,456
frankenlanguage255.csv_456,1.0,0.0,456
frankenlanguage256.csv_456,0.2,0.0,456
frankenlanguage257.csv_456,0.0,0.0,456
frankenlanguage258.csv_456,0.1,0.0,456
frankenlanguage259.csv_456,0.2,0.0,456
frankenlanguage26.csv_456,1.0,0.0,456
frankenlanguage260.csv_456,1.0,0.0,456
frankenlanguage261.csv_456,0.2,0.0,456
frankenlanguage262.csv_456,1.0,0.0,456
frankenlanguage263.csv_456,0.0,0.25,456
frankenlanguage264.csv_456,0.1,0.0,456
frankenlanguage266.csv_456,0.0,0.0,456
frankenlanguage267.csv_456,0.1111111111111111,0.0,456
frankenlanguage268.csv_456,0.0,0.0,456
frankenlanguage269.csv_456,0.2,0.0,456
frankenlanguage27.csv_456,0.5,0.0,456
frankenlanguage270.csv_456,0.2,0.75,456
frankenlanguage271.csv_456,0.2857142857142857,0.6666666666666666,456
frankenlanguage272.csv_456,0.0,0.0,456
frankenlanguage273.csv_456,1.0,0.0,456
frankenlanguage274.csv_456,0.2,0.0,456
frankenlanguage275.csv_456,0.2,0.0,456
frankenlanguage276.csv_456,0.0,0.75,456
frankenlanguage277.csv_456,0.2,0.0,456
frankenlanguage279.csv_456,0.2,0.0,456
frankenlanguage28.csv_456,0.0,0.0,456
frankenlanguage280.csv_456,0.1,0.0,456
frankenlanguage281.csv_456,0.1,0.75,456
frankenlanguage283.csv_456,0.2,0.0,456
frankenlanguage284.csv_456,0.2857142857142857,0.0,456
frankenlanguage285.csv_456,0.2,0.0,456
frankenlanguage286.csv_456,0.2,0.6666666666666666,456
frankenlanguage287.csv_456,0.5,0.0,456
frankenlanguage288.csv_456,0.2,0.0,456
frankenlanguage289.csv_456,0.2,0.0,456
frankenlanguage29.csv_456,0.0,0.0,456
frankenlanguage290.csv_456,0.1,0.0,456
frankenlanguage291.csv_456,0.2,0.0,456
frankenlanguage292.csv_456,0.2,0.0,456
frankenlanguage293.csv_456,1.0,0.0,456
frankenlanguage294.csv_456,0.0,0.6666666666666666,456
frankenlanguage295.csv_456,0.2857142857142857,0.0,456
frankenlanguage296.csv_456,0.5,0.0,456
frankenlanguage297.csv_456,0.2857142857142857,0.75,456
frankenlanguage298.csv_456,1.0,0.0,456
frankenlanguage299.csv_456,0.2,0.0,456
frankenlanguage30.csv_456,0.2,0.75,456
frankenlanguage300.csv_456,1.0,0.0,456
frankenlanguage302.csv_456,0.2,0.25,456
frankenlanguage305.csv_456,0.2,0.25,456
frankenlanguage306.csv_456,1.0,0.0,456
frankenlanguage307.csv_456,0.2,0.75,456
frankenlanguage308.csv_456,0.0,0.5,456
frankenlanguage309.csv_456,0.2,0.0,456
frankenlanguage31.csv_456,0.2,0.0,456
frankenlanguage310.csv_456,0.2,0.0,456
frankenlanguage311.csv_456,0.2,0.6666666666666666,456
frankenlanguage312.csv_456,0.0,0.0,456
frankenlanguage313.csv_456,0.1,0.0,456
frankenlanguage314.csv_456,0.0,0.0,456
frankenlanguage315.csv_456,0.0,0.0,456
frankenlanguage316.csv_456,0.1,0.0,456
frankenlanguage318.csv_456,1.0,0.0,456
frankenlanguage319.csv_456,0.0,0.0,456
frankenlanguage32.csv_456,0.2,0.0,456
frankenlanguage320.csv_456,1.0,0.0,456
frankenlanguage321.csv_456,0.1111111111111111,0.0,456
frankenlanguage322.csv_456,0.0,0.0,456
frankenlanguage323.csv_456,0.0,0.0,456
frankenlanguage324.csv_456,0.2,0.0,456
frankenlanguage325.csv_456,0.2,0.75,456
frankenlanguage326.csv_456,0.0,0.0,456
frankenlanguage327.csv_456,0.0,0.0,456
frankenlanguage328.csv_456,0.2857142857142857,0.0,456
frankenlanguage33.csv_456,0.1,0.0,456
frankenlanguage331.csv_456,0.5,0.0,456
frankenlanguage332.csv_456,0.2857142857142857,0.6666666666666666,456
frankenlanguage333.csv_456,0.0,0.0,456
frankenlanguage334.csv_456,0.2,0.0,456
frankenlanguage335.csv_456,0.2,0.0,456
frankenlanguage336.csv_456,0.2,0.25,456
frankenlanguage337.csv_456,0.2857142857142857,0.0,456
frankenlanguage338.csv_456,0.0,0.75,456
frankenlanguage339.csv_456,0.1111111111111111,0.5,456
frankenlanguage34.csv_456,0.0,0.0,456
frankenlanguage340.csv_456,1.0,0.0,456
frankenlanguage342.csv_456,0.5,0.0,456
frankenlanguage343.csv_456,0.1,0.5,456
frankenlanguage344.csv_456,0.0,0.0,456
frankenlanguage345.csv_456,0.0,0.6666666666666666,456
frankenlanguage346.csv_456,1.0,0.0,456
frankenlanguage347.csv_456,0.0,0.5,456
frankenlanguage348.csv_456,0.0,0.0,456
frankenlanguage35.csv_456,0.0,0.0,456
frankenlanguage350.csv_456,0.0,0.0,456
frankenlanguage352.csv_456,0.1,0.0,456
frankenlanguage354.csv_456,0.0,0.0,456
frankenlanguage355.csv_456,0.0,0.0,456
frankenlanguage356.csv_456,0.0,0.0,456
frankenlanguage357.csv_456,0.0,0.0,456
frankenlanguage358.csv_456,0.2,0.0,456
frankenlanguage359.csv_456,0.1,0.0,456
frankenlanguage36.csv_456,0.2,0.0,456
frankenlanguage360.csv_456,1.0,0.5,456
frankenlanguage362.csv_456,0.0,0.0,456
frankenlanguage363.csv_456,0.1,0.5,456
frankenlanguage365.csv_456,0.2,0.0,456
frankenlanguage368.csv_456,1.0,0.0,456
frankenlanguage369.csv_456,0.2,0.0,456
frankenlanguage37.csv_456,0.0,0.0,456
frankenlanguage370.csv_456,0.0,0.0,456
frankenlanguage371.csv_456,0.2,0.5,456
frankenlanguage372.csv_456,0.1,0.0,456
frankenlanguage373.csv_456,0.0,0.0,456
frankenlanguage376.csv_456,0.0,0.0,456
frankenlanguage377.csv_456,0.0,0.0,456
frankenlanguage378.csv_456,1.0,0.0,456
frankenlanguage379.csv_456,0.2,0.25,456
frankenlanguage380.csv_456,0.1,0.0,456
frankenlanguage381.csv_456,0.0,0.0,456
frankenlanguage383.csv_456,0.0,0.0,456
frankenlanguage384.csv_456,0.0,0.0,456
frankenlanguage385.csv_456,0.2857142857142857,0.75,456
frankenlanguage386.csv_456,0.0,0.6666666666666666,456
frankenlanguage387.csv_456,0.2,0.5,456
frankenlanguage389.csv_456,0.2,0.0,456
frankenlanguage39.csv_456,0.5,0.0,456
frankenlanguage390.csv_456,0.0,0.0,456
frankenlanguage391.csv_456,0.2,0.5,456
frankenlanguage392.csv_456,0.0,0.0,456
frankenlanguage393.csv_456,1.0,0.0,456
frankenlanguage394.csv_456,0.5,0.0,456
frankenlanguage395.csv_456,0.0,0.0,456
frankenlanguage397.csv_456,0.0,0.0,456
frankenlanguage398.csv_456,0.2,0.0,456
frankenlanguage399.csv_456,0.1,0.6666666666666666,456
frankenlanguage4.csv_456,0.1,0.0,456
frankenlanguage40.csv_456,0.0,0.0,456
frankenlanguage400.csv_456,0.0,0.0,456
frankenlanguage401.csv_456,1.0,0.0,456
frankenlanguage402.csv_456,0.0,0.0,456
frankenlanguage403.csv_456,1.0,0.0,456
frankenlanguage404.csv_456,0.2,0.0,456
frankenlanguage405.csv_456,0.2,0.0,456
frankenlanguage406.csv_456,0.2,0.6666666666666666,456
frankenlanguage408.csv_456,0.2,0.0,456
frankenlanguage409.csv_456,0.2857142857142857,0.0,456
frankenlanguage41.csv_456,0.2,0.5,456
frankenlanguage412.csv_456,1.0,0.25,456
frankenlanguage413.csv_456,0.1,0.0,456
frankenlanguage414.csv_456,0.0,0.6666666666666666,456
frankenlanguage415.csv_456,0.0,0.0,456
frankenlanguage416.csv_456,1.0,0.25,456
frankenlanguage417.csv_456,0.2,0.0,456
frankenlanguage418.csv_456,0.2,0.0,456
frankenlanguage419.csv_456,0.0,0.0,456
frankenlanguage42.csv_456,1.0,0.0,456
frankenlanguage420.csv_456,1.0,0.0,456
frankenlanguage423.csv_456,0.2,0.0,456
frankenlanguage424.csv_456,0.2,0.0,456
frankenlanguage427.csv_456,0.0,0.0,456
frankenlanguage428.csv_456,0.2,0.0,456
frankenlanguage429.csv_456,1.0,0.0,456
frankenlanguage43.csv_456,0.2,0.5,456
frankenlanguage431.csv_456,0.0,0.5,456
frankenlanguage432.csv_456,0.2,0.0,456
frankenlanguage433.csv_456,0.0,0.75,456
frankenlanguage434.csv_456,0.2,0.0,456
frankenlanguage435.csv_456,1.0,0.0,456
frankenlanguage436.csv_456,0.2,0.0,456
frankenlanguage437.csv_456,0.2,0.5,456
frankenlanguage438.csv_456,0.2,0.0,456
frankenlanguage439.csv_456,0.0,0.0,456
frankenlanguage44.csv_456,0.2857142857142857,0.0,456
frankenlanguage440.csv_456,0.2,0.0,456
frankenlanguage441.csv_456,0.2,0.0,456
frankenlanguage442.csv_456,0.5,0.0,456
frankenlanguage443.csv_456,0.2857142857142857,0.0,456
frankenlanguage444.csv_456,1.0,0.5,456
frankenlanguage445.csv_456,0.1,0.0,456
frankenlanguage446.csv_456,0.1111111111111111,0.0,456
frankenlanguage447.csv_456,0.1111111111111111,0.0,456
frankenlanguage448.csv_456,0.2,0.0,456
frankenlanguage45.csv_456,1.0,0.5,456
frankenlanguage450.csv_456,0.2,0.0,456
frankenlanguage452.csv_456,0.2,0.0,456
frankenlanguage453.csv_456,0.0,0.0,456
frankenlanguage454.csv_456,0.0,0.0,456
frankenlanguage455.csv_456,0.2,0.0,456
frankenlanguage456.csv_456,0.0,0.0,456
frankenlanguage458.csv_456,1.0,0.0,456
frankenlanguage460.csv_456,0.2,0.0,456
frankenlanguage461.csv_456,1.0,0.0,456
frankenlanguage462.csv_456,0.2857142857142857,0.0,456
frankenlanguage463.csv_456,0.2,0.0,456
frankenlanguage464.csv_456,0.2,0.0,456
frankenlanguage465.csv_456,0.1111111111111111,0.0,456
frankenlanguage466.csv_456,0.2,0.0,456
frankenlanguage467.csv_456,0.1111111111111111,0.0,456
frankenlanguage468.csv_456,0.0,0.0,456
frankenlanguage469.csv_456,0.0,0.0,456
frankenlanguage47.csv_456,0.2,0.6666666666666666,456
frankenlanguage470.csv_456,0.1111111111111111,0.0,456
frankenlanguage471.csv_456,1.0,0.0,456
frankenlanguage474.csv_456,0.5,0.0,456
frankenlanguage475.csv_456,0.2,0.0,456
frankenlanguage478.csv_456,0.2,0.0,456
frankenlanguage479.csv_456,0.2,0.5,456
frankenlanguage48.csv_456,0.0,0.0,456
frankenlanguage481.csv_456,0.2,0.0,456
frankenlanguage482.csv_456,0.2,0.0,456
frankenlanguage483.csv_456,0.2,0.0,456
frankenlanguage484.csv_456,0.5,0.0,456
frankenlanguage485.csv_456,0.2857142857142857,0.0,456
frankenlanguage486.csv_456,0.2,0.6666666666666666,456
frankenlanguage487.csv_456,1.0,0.75,456
frankenlanguage488.csv_456,0.2,0.0,456
frankenlanguage489.csv_456,0.0,0.0,456
frankenlanguage49.csv_456,1.0,0.25,456
frankenlanguage490.csv_456,0.2,0.0,456
frankenlanguage492.csv_456,0.2,0.25,456
frankenlanguage494.csv_456,0.2857142857142857,0.0,456
frankenlanguage495.csv_456,1.0,0.0,456
frankenlanguage496.csv_456,0.2,0.0,456
frankenlanguage497.csv_456,0.1,0.0,456
frankenlanguage499.csv_456,0.2,0.0,456
frankenlanguage5.csv_456,0.1111111111111111,0.0,456
frankenlanguage50.csv_456,0.5,0.0,456
frankenlanguage500.csv_456,0.0,0.6666666666666666,456
frankenlanguage501.csv_456,0.2,0.0,456
frankenlanguage502.csv_456,0.2,0.0,456
frankenlanguage503.csv_456,0.1111111111111111,0.0,456
frankenlanguage504.csv_456,0.2,0.0,456
frankenlanguage505.csv_456,1.0,0.75,456
frankenlanguage507.csv_456,1.0,0.0,456
frankenlanguage508.csv_456,0.2,0.0,456
frankenlanguage509.csv_456,1.0,0.0,456
frankenlanguage51.csv_456,0.2857142857142857,0.0,456
frankenlanguage510.csv_456,1.0,0.0,456
frankenlanguage511.csv_456,0.0,0.0,456
frankenlanguage512.csv_456,0.0,0.0,456
frankenlanguage513.csv_456,0.2,0.0,456
frankenlanguage514.csv_456,0.0,0.0,456
frankenlanguage515.csv_456,0.1111111111111111,0.0,456
frankenlanguage516.csv_456,0.0,0.25,456
frankenlanguage517.csv_456,0.5,0.6666666666666666,456
frankenlanguage519.csv_456,1.0,0.0,456
frankenlanguage520.csv_456,0.2,0.0,456
frankenlanguage521.csv_456,0.2,0.6666666666666666,456
frankenlanguage522.csv_456,0.2,0.0,456
frankenlanguage523.csv_456,0.2,0.5,456
frankenlanguage527.csv_456,0.0,0.0,456
frankenlanguage528.csv_456,0.2,0.0,456
