LANGUAGE,GEN_0,GEN_1,SET
Birhor,1.0,0.6666666666666666,kinbank
Bit,0.2,0.0,kinbank
Car_Nicobarese,1.0,0.0,kinbank
O_du,0.2,0.0,kinbank
Pacoh,1.0,1.0,kinbank
Prai,0.2,0.0,kinbank
Burmese,1.0,1.0,kinbank
Chepang,1.0,1.0,kinbank
Dzonghka_Lhop,1.0,0.0,kinbank
Dzonghka_Sha,1.0,0.0,kinbank
Dzonghka_Wang,1.0,0.0,kinbank
Lisu_,1.0,0.5,kinbank
Lisu_,1.0,0.5,kinbank
Lisu_,1.0,0.5,kinbank
Lisu_,1.0,0.5,kinbank
Manange,0.1111111111111111,0.6666666666666666,kinbank
Burmese,1.0,1.0,kinbank
Chinese,0.4,0.75,kinbank
Karen_(Pwo_dialect),0.3,0.0,kinbank
Karen_(Sgau_dialect),0.2,0.0,kinbank
Karen,0.3,0.0,kinbank
Prakaa,1.0,1.0,kinbank
Sangtam_Naga,0.4,0.5,kinbank
Sherpa,1.0,0.5,kinbank
Suzhou,1.0,1.0,kinbank
Suzhou,1.0,0.6666666666666666,kinbank
Akkadian,1.0,0.0,kinbank
Amharic,0.2,0.0,kinbank
Hausa,0.2,0.0,kinbank
Lebanese_Arabic,0.0,0.0,kinbank
Old_Aramaic,0.2,0.0,kinbank
Polci,0.1,0.0,kinbank
Albanian,0.2,0.0,kinbank
Albanian_Tosk_,0.1,0.0,kinbank
Ancient_Greek,0.0,0.0,kinbank
Armenian,0.0,0.0,kinbank
Assamese,0.16666666666666666,0.25,kinbank
Balochi,0.0,0.0,kinbank
Belarusian,0.0,0.0,kinbank
Bengali,0.4,0.25,kinbank
Bihari,1.0,1.0,kinbank
Boers,0.0,0.0,kinbank
Breton,0.0,0.0,kinbank
Bulgarian,0.2,0.0,kinbank
Central_Kurdish,0.0,0.0,kinbank
Chavacano,0.2,0.0,kinbank
Cornish,0.0,0.0,kinbank
Czech,0.0,0.0,kinbank
Danish,0.2,0.0,kinbank
Dari,0.0,0.0,kinbank
Dutch,0.0,0.0,kinbank
Eastern_Armenian,0.2,0.0,kinbank
Eastern_Pahari_Nepali_,1.0,0.0,kinbank
Eastern_Yiddish,0.2,0.0,kinbank
English,0.0,0.0,kinbank
Frisian,0.2,0.0,kinbank
German,0.0,0.0,kinbank
Gujarati,0.2,0.25,kinbank
Hindi,0.2,0.25,kinbank
Hittite,0.0,0.0,kinbank
Icelandic,0.0,0.0,kinbank
Irish,0.0,0.0,kinbank
Italian,0.0,0.0,kinbank
Jamaican_Creole,0.2,0.0,kinbank
Judeo_Tat,0.2,0.0,kinbank
Kashmiri,0.0,0.0,kinbank
Kriol_Roper_River,0.0,0.0,kinbank
Kristang_(Malacca_Creole_Portugese),0.1,0.0,kinbank
Kumaoni,0.2,0.5,kinbank
Lahnda,0.0,0.0,kinbank
Latin,0.2,0.0,kinbank
Latin_,0.0,0.0,kinbank
Latvian,0.2,0.0,kinbank
Lithuanian,0.0,0.0,kinbank
Luxembourgish,0.1,0.0,kinbank
Macedonian,0.2,0.0,kinbank
Mahasu_Pahari,0.5,0.0,kinbank
Maithili,0.2,0.0,kinbank
Marathi,0.2,0.0,kinbank
Marwari_India_,0.14285714285714285,0.25,kinbank
Middle_English,0.0,0.0,kinbank
Middle_High_German,0.0,0.0,kinbank
Modern_Greek,0.0,0.0,kinbank
Modern_Welsh,0.0,0.0,kinbank
Benga╠éli,0.4,0.25,kinbank
Gujarati,0.3,0.0,kinbank
Hindi,0.4,0.0,kinbank
Mara╠éthi╠é,0.4,0.0,kinbank
Nepali,0.9,0.5,kinbank
Northern_Kurdish,0.0,0.0,kinbank
Norwegian_Bokma╠èl,0.0,0.0,kinbank
Old_English_ca_450_1100_,0.0,0.0,kinbank
Old_High_German_ca_750_1050_,0.0,0.0,kinbank
Old_Irish,0.0,0.0,kinbank
Old_Norse,0.0,0.0,kinbank
Old_Prussian,0.0,0.0,kinbank
Old_Russian,0.0,0.0,kinbank
Old_Welsh,0.0,0.0,kinbank
Oriya,0.4,0.25,kinbank
Ossetian,0.0,0.0,kinbank
Panjabi,0.2,0.25,kinbank
Pashto,0.2,0.0,kinbank
Polish,0.0,0.0,kinbank
Portuguese,0.0,0.0,kinbank
Romanian,0.2,0.0,kinbank
Russian,0.0,0.0,kinbank
Russian_,0.0,0.0,kinbank
Sanskrit,0.2,0.0,kinbank
Sardinian,0.0,0.0,kinbank
Saterfriesisch,0.0,0.0,kinbank
Serbocroation,0.0,0.0,kinbank
Serbs,0.0,0.0,kinbank
Sindhi,0.2,0.25,kinbank
Sinhala,0.6,0.75,kinbank
Slovakian,0.0,0.0,kinbank
Slovenian,0.0,0.0,kinbank
Standard_Catalan,0.0,0.0,kinbank
Standard_English,0.0,0.0,kinbank
Standard_French,0.2,0.0,kinbank
Standard_German,0.0,0.0,kinbank
Standard_Spanish,0.2,0.0,kinbank
Swedish,0.2,0.0,kinbank
Tajik,1.0,0.0,kinbank
Tok_Pisin,0.0,0.0,kinbank
Torres_Strait_Creole_(Broken),0.0,0.0,kinbank
Ukrainian,0.0,0.0,kinbank
Urdu,0.2,0.25,kinbank
Vlax_Romani,0.0,0.0,kinbank
Wallon,0.0,0.25,kinbank
Western_Armenian,0.2,0.0,kinbank
Western_Farsi,0.2,0.0,kinbank
Western_Panjabi,0.2,0.0,kinbank
Shipibo,0.2,0.0,kinbank
East_Kewa,0.0,0.0,kinbank
Erave_(South_Kewa),0.0,0.0,kinbank
Kalam,0.2,0.0,kinbank
Komba,0.1,0.0,kinbank
Ku_Waru,0.0,0.0,kinbank
Kyaka,0.0,0.0,kinbank
Proto_Sogeram,0.2,0.6666666666666666,kinbank
West_Kewa,0.0,0.0,kinbank
Adnyamathanha,0.3333333333333333,0.5,kinbank
Alyawarr,0.6,0.0,kinbank
Arabana,0.3333333333333333,0.0,kinbank
Arabana_,0.6,0.0,kinbank
Badimaya,1.0,0.0,kinbank
Bandjalang,0.2,0.0,kinbank
Biri,0.25,0.0,kinbank
Bunganditj,0.2,0.25,kinbank
Dharumbal,1.0,0.0,kinbank
Dharumbal_,1.0,0.0,kinbank
Dhuwal-Dhuwala_(Yolngu),0.125,0.0,kinbank
Dhuwal,0.1111111111111111,0.0,kinbank
Diyari,0.25,0.0,kinbank
Diyari_,0.1,0.0,kinbank
Djambarrpuyngu,0.3333333333333333,0.0,kinbank
Djapu,0.5,0.0,kinbank
Djinang,0.16666666666666666,0.0,kinbank
Djinang_,0.16666666666666666,0.0,kinbank
Duungidjawu,0.6666666666666666,0.0,kinbank
Dyirbal,0.3333333333333333,1.0,kinbank
Gumatj,0.2857142857142857,0.0,kinbank
Gumbaynggir,0.25,0.0,kinbank
Gunya,1.0,0.0,kinbank
Gupapuyngu,0.2222222222222222,0.25,kinbank
Gurindji,0.3333333333333333,0.0,kinbank
Guugu_Yimidhirr,0.3333333333333333,1.0,kinbank
Guugu_Yimidhirr_,1.0,1.0,kinbank
Jaru,0.125,0.0,kinbank
Kala_Lagaw_Ya,0.0,0.0,kinbank
Kalkatungu,0.2,0.0,kinbank
Karajarri,0.8571428571428571,0.0,kinbank
Kariyarra,0.2,0.0,kinbank
Kartujarra,0.25,0.0,kinbank
Kaurna,0.2,0.0,kinbank
Kukatja,0.2,0.25,kinbank
Kuku-Yalanji,0.2,0.0,kinbank
KukuYalanji,0.3333333333333333,0.5,kinbank
Kunjen,0.5,0.0,kinbank
Kuuku_Ya'u,1.0,1.0,kinbank
Malgana,1.0,0.0,kinbank
Margany,1.0,0.0,kinbank
MartuWangka,0.2,0.0,kinbank
Mudburra,0.3333333333333333,0.0,kinbank
Muruwari,0.4,0.25,kinbank
Ngaanyatjarra,0.3333333333333333,0.25,kinbank
Ngaatjatjarra,0.2,0.0,kinbank
Ngadjumaya,1.0,0.0,kinbank
Ngarinyman,0.3333333333333333,0.0,kinbank
Ngarluma,1.0,0.0,kinbank
Ngarrindjeri,0.3333333333333333,0.0,kinbank
Ngiyambaa,0.2,0.0,kinbank
Nhanta,0.1,0.0,kinbank
Nyamal,0.3333333333333333,0.0,kinbank
Nyangumarta,0.3333333333333333,0.0,kinbank
Nyawaygi,1.0,0.0,kinbank
Paakantyi,0.3333333333333333,0.5,kinbank
Payungu,0.3333333333333333,0.0,kinbank
PintupiLuritja,0.3333333333333333,0.0,kinbank
Pitjantjatjara,0.5,0.5,kinbank
Pitta_Pitta,0.1,0.0,kinbank
Ritharrngu,0.25,0.0,kinbank
Thayore_(Kuuk_Thaayorre),0.3333333333333333,0.5,kinbank
Umpila,0.25,1.0,kinbank
Uradhi_(Atampaya),1.0,0.5,kinbank
Wajarri,0.6666666666666666,0.0,kinbank
Wakaya,0.3333333333333333,0.0,kinbank
Wangkajunga,0.2,0.0,kinbank
Wangkangurru,0.3333333333333333,0.0,kinbank
Wangkangurru_,0.6,0.0,kinbank
