"","LANGUAGE","GEN_0","GEN_1","SET","TYPE"
"103","Sindhi",1,1,"kinbank","kinbank"
"104","Sinhala",1,1,"kinbank","kinbank"
"105","Slovakian",1,1,"kinbank","kinbank"
"106","Slovenian",1,1,"kinbank","kinbank"
"107","Standard_Catalan",1,1,"kinbank","kinbank"
"108","Standard_English",0.0909090909090909,1,"kinbank","kinbank"
"109","Standard_French",1,1,"kinbank","kinbank"
"110","Standard_German",1,1,"kinbank","kinbank"
"111","Standard_Spanish",1,1,"kinbank","kinbank"
"112","Swedish",0.0909090909090909,1,"kinbank","kinbank"
"113","Tajik",1,1,"kinbank","kinbank"
"114","Tok_Pisin",0.545454545454545,1,"kinbank","kinbank"
"115","Torres_Strait_Creole_(Broken)",1,1,"kinbank","kinbank"
"116","Ukrainian",1,1,"kinbank","kinbank"
"117","Urdu",1,1,"kinbank","kinbank"
"118","Vlax_Romani",1,1,"kinbank","kinbank"
"119","Wallon",1,1,"kinbank","kinbank"
"120","Western_Armenian",0.0909090909090909,1,"kinbank","kinbank"
"121","Western_Farsi",1,1,"kinbank","kinbank"
"122","Western_Panjabi",0.0909090909090909,1,"kinbank","kinbank"
"123","Shipibo",0.954545454545455,1,"kinbank","kinbank"
"124","East_Kewa",0.166666666666667,1,"kinbank","kinbank"
"125","Erave_(South_Kewa)",0.166666666666667,1,"kinbank","kinbank"
"126","Kalam",1,1,"kinbank","kinbank"
"127","Komba",0.0909090909090909,1,"kinbank","kinbank"
"128","Ku_Waru",1,1,"kinbank","kinbank"
"129","Kyaka",1,1,"kinbank","kinbank"
"130","Proto_Sogeram",0,1,"kinbank","kinbank"
"131","West_Kewa",0.166666666666667,1,"kinbank","kinbank"
"132","Adnyamathanha",0.5,1,"kinbank","kinbank"
"133","Alyawarr",0.8125,1,"kinbank","kinbank"
"134","Arabana",0.916666666666667,1,"kinbank","kinbank"
"135","Badimaya",1,1,"kinbank","kinbank"
"136","Bandjalang",1,1,"kinbank","kinbank"
"137","Biri",0.117647058823529,1,"kinbank","kinbank"
"138","Bunganditj",0.318181818181818,1,"kinbank","kinbank"
"139","Dharumbal",1,1,"kinbank","kinbank"
"140","Dharumbal_",1,1,"kinbank","kinbank"
"141","Dhuwal-Dhuwala_(Yolngu)",0.166666666666667,1,"kinbank","kinbank"
"142","Diyari",0.352941176470588,1,"kinbank","kinbank"
"143","Diyari_",0.318181818181818,1,"kinbank","kinbank"
"144","Djambarrpuyngu",0.0833333333333333,1,"kinbank","kinbank"
"145","Djapu",1,1,"kinbank","kinbank"
"146","Duungidjawu",1,1,"kinbank","kinbank"
"147","Dyirbal",0.625,1,"kinbank","kinbank"
"148","Gumatj",0.5,1,"kinbank","kinbank"
"149","Gumbaynggir",0.166666666666667,1,"kinbank","kinbank"
"150","Gunya",1,1,"kinbank","kinbank"
"151","Gupapuyngu",0.411764705882353,1,"kinbank","kinbank"
"152","Gurindji",0.0833333333333333,1,"kinbank","kinbank"
"153","Guugu_Yimidhirr",1,0.5,"kinbank","kinbank"
"154","Guugu_Yimidhirr_",1,0.5,"kinbank","kinbank"
"155","Jaru",1,1,"kinbank","kinbank"
"156","Kala_Lagaw_Ya",1,1,"kinbank","kinbank"
"157","Kalkatungu",0.5,1,"kinbank","kinbank"
"158","Karajarri",0.0833333333333333,1,"kinbank","kinbank"
"159","Kariyarra",1,1,"kinbank","kinbank"
"160","Kartujarra",0.916666666666667,1,"kinbank","kinbank"
"161","Kaurna",0.0454545454545455,1,"kinbank","kinbank"
"162","Kukatja",0.0909090909090909,1,"kinbank","kinbank"
"163","Kuku-Yalanji",0.0909090909090909,1,"kinbank","kinbank"
"164","KukuYalanji",0.166666666666667,1,"kinbank","kinbank"
"165","Kuuku_Ya'u",0.2,0.75,"kinbank","kinbank"
"166","Margany",1,1,"kinbank","kinbank"
"167","MartuWangka",0.5,1,"kinbank","kinbank"
"168","Muruwari",1,1,"kinbank","kinbank"
"169","Ngaanyatjarra",0.0833333333333333,1,"kinbank","kinbank"
"170","Ngaatjatjarra",0.227272727272727,0,"kinbank","kinbank"
"171","Ngadjumaya",1,1,"kinbank","kinbank"
"172","Ngarinyman",0.0833333333333333,1,"kinbank","kinbank"
"173","Ngiyambaa",0.0909090909090909,1,"kinbank","kinbank"
"174","Nhanta",0.0909090909090909,1,"kinbank","kinbank"
