"","LANGUAGE","GEN_0","GEN_1","SET","TYPE"
"478","Bacanese_Malay_(Bacan)",0.2,1,"kinbank","kinbank"
"479","Bahonsuai",0,1,"kinbank","kinbank"
"480","Balaesang",0,1,"kinbank","kinbank"
"481","Balangao",0,1,"kinbank","kinbank"
"482","Balinese",0.0454545454545455,1,"kinbank","kinbank"
"483","Banjar",0,0,"kinbank","kinbank"
"484","Bannoni",0,0,"kinbank","kinbank"
"485","Barabet_(Hano)_",1,1,"kinbank","kinbank"
"486","Bario_Kelabit",0,0,"kinbank","kinbank"
"487","Batak_Toba",0.6,1,"kinbank","kinbank"
"488","Biak",0.2,1,"kinbank","kinbank"
"489","Big_Nambas",1,1,"kinbank","kinbank"
"490","Big_Nambas_",0.8,1,"kinbank","kinbank"
"491","Bilibil",0.545454545454545,1,"kinbank","kinbank"
"492","Binukid_(Talaandig-Binukid)",1,1,"kinbank","kinbank"
"493","Bontok",0,1,"kinbank","kinbank"
"494","Brunei-Sabah_Malay_(Malay)",0.0454545454545455,1,"kinbank","kinbank"
"495","Buhid",0,1,"kinbank","kinbank"
"496","Bukat",0,1,"kinbank","kinbank"
"497","Buli",1,1,"kinbank","kinbank"
"498","Bungku",0,1,"kinbank","kinbank"
"499","Buru_(Indonesia)",1,1,"kinbank","kinbank"
"500","Casiguran_Dumagat_Agta",0,1,"kinbank","kinbank"
"501","Cebuano",0.0454545454545455,1,"kinbank","kinbank"
"502","Central_Cagayan_Agta",0.0909090909090909,1,"kinbank","kinbank"
"503","Central_Melanau",0.0909090909090909,1,"kinbank","kinbank"
"504","Central_Sama",0,1,"kinbank","kinbank"
"505","Central_Tagbanwa",0,1,"kinbank","kinbank"
"506","Chamarro",1,1,"kinbank","kinbank"
"507","Chuukese_(Trukese)",1,1,"kinbank","kinbank"
"508","Colloquial_Malay",0.0909090909090909,1,"kinbank","kinbank"
"509","Cotabato_Manobo",1,1,"kinbank","kinbank"
"510","Daakie",1,1,"kinbank","kinbank"
"511","Dakaka",1,1,"kinbank","kinbank"
"512","Dampelas",0,1,"kinbank","kinbank"
"513","Dobu",0,1,"kinbank","kinbank"
"514","Dondo",0,1,"kinbank","kinbank"
"515","Easter_Islanders",0.1,1,"kinbank","kinbank"
"516","East_Ambae_(Lolovoli)",1,1,"kinbank","kinbank"
"517","East_Futuna",1,1,"kinbank","kinbank"
"518","Ellice",1,1,"kinbank","kinbank"
"519","Emau_(Emao_Island)",1,1,"kinbank","kinbank"
"520","Fijian",0.545454545454545,1,"kinbank","kinbank"
"521","Fordata",0.454545454545455,0,"kinbank","kinbank"
"522","Futuna-Aniwa",0.166666666666667,1,"kinbank","kinbank"
"523","Futunans",0.0909090909090909,1,"kinbank","kinbank"
"524","Ga'dang",0,1,"kinbank","kinbank"
"525","Gane_(Gima╠ün)",1,1,"kinbank","kinbank"
"526","Gayo",1,1,"kinbank","kinbank"
"527","Hanunoo",0,1,"kinbank","kinbank"
"528","Hawaiians",1,1,"kinbank","kinbank"
"529","Hawaii",1,1,"kinbank","kinbank"
"530","Hiligaynon",0,1,"kinbank","kinbank"
"531","Ibaloi_(Nabaloi)",0,1,"kinbank","kinbank"
"532","Ibanag",0,1,"kinbank","kinbank"
"533","Iban",0,1,"kinbank","kinbank"
"534","Ida'an",0,1,"kinbank","kinbank"
"535","Ifaluk_Nuclear_Woleaian_",1,1,"kinbank","kinbank"
"536","Ifugaw_(Ifugao)",0,1,"kinbank","kinbank"
"537","Ili'uun",0.0909090909090909,1,"kinbank","kinbank"
"538","Ilokano",0.0909090909090909,1,"kinbank","kinbank"
"539","Indonesian_Bajau",0,0.75,"kinbank","kinbank"
"540","Indonesian",0,1,"kinbank","kinbank"
"541","Iraya",0,1,"kinbank","kinbank"
"542","Isnag",0,1,"kinbank","kinbank"
"543","Itbayat",0,1,"kinbank","kinbank"
"544","Itneg_(Binongan)",0.5,1,"kinbank","kinbank"
"545","Javanese",0.0909090909090909,1,"kinbank","kinbank"
"546","Kadai",1,1,"kinbank","kinbank"
"547","Kalinga_(Ahin-Kayapa_Kalanguya)",0,1,"kinbank","kinbank"
"548","Kambera",1,1,"kinbank","kinbank"
"549","Kankanaey_(Kankanai)",0,1,"kinbank","kinbank"
"550","Kapingamarangi",0,1,"kinbank","kinbank"
"551","Kapingamarangi_",1,1,"kinbank","kinbank"
"552","Kei",0.636363636363636,0,"kinbank","kinbank"
"553","Kilivila",1,1,"kinbank","kinbank"
"554","Kiput",0,1,"kinbank","kinbank"
"555","Kodeoha",0,1,"kinbank","kinbank"
"556","Konawe",0,1,"kinbank","kinbank"
"557","Koroni",0,1,"kinbank","kinbank"
"558","Kuanua",0.545454545454545,1,"kinbank","kinbank"
"559","Kulisusu",0,0,"kinbank","kinbank"
"560","Kwaio",0.5,1,"kinbank","kinbank"
"561","Kwamera",0.2,1,"kinbank","kinbank"
"562","Laiwui",0,1,"kinbank","kinbank"
"563","Lalomerui",0,1,"kinbank","kinbank"
"564","Landewe",0,1,"kinbank","kinbank"
"565","Lauje",0,1,"kinbank","kinbank"
"566","Lau_Fijian",1,1,"kinbank","kinbank"
"567","Lau",0.285714285714286,1,"kinbank","kinbank"
"568","Lelepa",1,1,"kinbank","kinbank"
"569","Lenakel",0.4,1,"kinbank","kinbank"
"570","Letemboi-Repanbitip",0.8,1,"kinbank","kinbank"
"571","Lo-Toga_(Loh)",1,1,"kinbank","kinbank"
"572","Lonwolwol",1,1,"kinbank","kinbank"
"573","Luangiua_(Ontong_Java)",1,1,"kinbank","kinbank"
"574","Lubuagan_Kalinga",0.555555555555556,1,"kinbank","kinbank"
"575","Ma'anyan",0,1,"kinbank","kinbank"
"576","Maba_(Indonesia)",1,1,"kinbank","kinbank"
"577","Madak_(Konnos)",1,1,"kinbank","kinbank"
"578","Madurese",0.0454545454545455,0,"kinbank","kinbank"
"579","Mafea_(Mavea)",1,1,"kinbank","kinbank"
"580","Magam",1,1,"kinbank","kinbank"
"581","Maguindanao_(Magindonao_Moro)",0.0476190476190476,1,"kinbank","kinbank"
"582","Malua_Bay",0.583333333333333,1,"kinbank","kinbank"
"583","Manam",0.9,1,"kinbank","kinbank"
"584","Mangaia",1,1,"kinbank","kinbank"
"585","Mangarevans",1,1,"kinbank","kinbank"
"586","Mangareva",1,1,"kinbank","kinbank"
"587","Mangei_(Sobjo)",1,1,"kinbank","kinbank"
"588","Manggarai",1,1,"kinbank","kinbank"
"589","Maori",1,1,"kinbank","kinbank"
"590","Maranao_(Lanao_Moro)",0,1,"kinbank","kinbank"
"591","Marquesas",1,1,"kinbank","kinbank"
"592","Marshallese",0.8,1,"kinbank","kinbank"
"593","Maskelynes",1,1,"kinbank","kinbank"
"594","Matukar",0.0909090909090909,1,"kinbank","kinbank"
"595","Ma╠äori",0.846153846153846,1,"kinbank","kinbank"
"596","Mekongga",0,1,"kinbank","kinbank"
"597","Mele-Fila_(Ifira-Mele)",0.0909090909090909,1,"kinbank","kinbank"
"598","Menui",0,1,"kinbank","kinbank"
"599","Miningir_(Lunga)",0.0909090909090909,1,"kinbank","kinbank"
"600","Hawaiian",1,1,"kinbank","kinbank"
"601","Kings_Mill_Islands",1,1,"kinbank","kinbank"
"602","Kusaien",1,1,"kinbank","kinbank"
"603","Maori",1,1,"kinbank","kinbank"
"604","Mori_Atas",0,1,"kinbank","kinbank"
"605","Mori_Bawah",0,1,"kinbank","kinbank"
"606","Moronene",0,0,"kinbank","kinbank"
"607","Mortlockese",1,1,"kinbank","kinbank"
"608","Mota",0.583333333333333,1,"kinbank","kinbank"
"609","Motu",1,1,"kinbank","kinbank"
"610","Mouk",0.545454545454545,1,"kinbank","kinbank"
"611","Muduapa_(Vitu)",0.166666666666667,0.5,"kinbank","kinbank"
"612","Muna",0.0909090909090909,1,"kinbank","kinbank"
"613","Mussau-Emira",0,1,"kinbank","kinbank"
"614","Mwotlap",1,1,"kinbank","kinbank"
"615","Nafsan",1,1,"kinbank","kinbank"
"616","Nage",1,1,"kinbank","kinbank"
"617","Nahavaq",1,1,"kinbank","kinbank"
"618","Nakanai",1,1,"kinbank","kinbank"
"619","Nalik_(Lukuramau)",1,1,"kinbank","kinbank"
"620","Namakura",1,1,"kinbank","kinbank"
"621","Nanggu",1,1,"kinbank","kinbank"
"622","Nehan",0.318181818181818,0,"kinbank","kinbank"
"623","Nengone",1,1,"kinbank","kinbank"
"624","Neve'ei",0.75,1,"kinbank","kinbank"
"625","Neverver",0.318181818181818,1,"kinbank","kinbank"
"626","Nguna",1,1,"kinbank","kinbank"
"627","Niuafo'ou",1,1,"kinbank","kinbank"
"628","Niueans",1,1,"kinbank","kinbank"
"629","Niue",1,1,"kinbank","kinbank"
"630","North_Ambrym",1,1,"kinbank","kinbank"
"631","North_Efate_(Nguna,_Nakanamanga)",1,1,"kinbank","kinbank"
"632","North_Marquesan",1,1,"kinbank","kinbank"
"633","Numbami",1,1,"kinbank","kinbank"
"634","Old_Rapa_(Rapa)",1,1,"kinbank","kinbank"
"635","Ontong_Java",1,1,"kinbank","kinbank"
"636","Owa_(Santa_Ana)",1,1,"kinbank","kinbank"
"637","Padoe",0,1,"kinbank","kinbank"
"638","Paici",0.0909090909090909,1,"kinbank","kinbank"
"639","Paiwan",0,1,"kinbank","kinbank"
"640","Paluai",0.6,1,"kinbank","kinbank"
"641","Pampanga_(Kampampangan)",0.0909090909090909,1,"kinbank","kinbank"
"642","Pangasinan",0,1,"kinbank","kinbank"
"643","Patani",1,1,"kinbank","kinbank"
"644","Pendau",0,1,"kinbank","kinbank"
"645","Penrhyn_(Tongareva)",1,1,"kinbank","kinbank"
"646","Petapa_Taje_",0,1,"kinbank","kinbank"
"647","Pohnpeian_",0.166666666666667,1,"kinbank","kinbank"
"648","Proto-Oceanic",1,1,"kinbank","kinbank"
"649","Pukapuka",1,1,"kinbank","kinbank"
"650","Puluwatese_(Puluwat)",0.772727272727273,1,"kinbank","kinbank"
"651","Rade_(Rhade)",0.6,1,"kinbank","kinbank"
"652","Raga_(Hano)",0.583333333333333,1,"kinbank","kinbank"
"653","Raga_(Hano_Thomas_Ennever)_",0.772727272727273,1,"kinbank","kinbank"
"654","Rahambuu",0,1,"kinbank","kinbank"
"655","Rakahanga-Manihiki",1,1,"kinbank","kinbank"
"656","Rangiora_(NW_Tuamotus)",1,1,"kinbank","kinbank"
"657","Rapanui_(Easter_Island)",1,1,"kinbank","kinbank"
"658","Raroians",1,1,"kinbank","kinbank"
"659","Ratagnon",0,1,"kinbank","kinbank"
"660","Rejang_(Rejangese)",0,0,"kinbank","kinbank"
"661","Rennell_Islanders",0.789473684210526,1,"kinbank","kinbank"
"662","Riuk_Bekati'_(Dayak)",0,0,"kinbank","kinbank"
"663","Rotinese_Termanu_",1,1,"kinbank","kinbank"
"664","Rotumans",1,1,"kinbank","kinbank"
"665","Rotuman",0.8,1,"kinbank","kinbank"
"666","Routa",0,1,"kinbank","kinbank"
"667","Roviana",0.0909090909090909,1,"kinbank","kinbank"
"668","Saaroa",0.0909090909090909,1,"kinbank","kinbank"
"669","Samoan",1,1,"kinbank","kinbank"
"670","Sarangani_Blaan",1,1,"kinbank","kinbank"
"671","Sawai",1,1,"kinbank","kinbank"
"672","Sa",0.6,1,"kinbank","kinbank"
"673","Seke_(Ske)",1,1,"kinbank","kinbank"
"674","Senbarei",0.285714285714286,1,"kinbank","kinbank"
"675","Sie_(Sye)",0.166666666666667,1,"kinbank","kinbank"
"676","Sikaiana",1,1,"kinbank","kinbank"
"677","Southeast_Ambrym",1,1,"kinbank","kinbank"
"678","South_Tuvaluan_(Vaitupu)",1,1,"kinbank","kinbank"
"679","Sula_Mangoli",1,1,"kinbank","kinbank"
"680","Sundanese",0.1,0.5,"kinbank","kinbank"
"681","Sungagage_",0.772727272727273,1,"kinbank","kinbank"
"682","Sungwadaga_",0.545454545454545,1,"kinbank","kinbank"
"683","Sungwadia_",0.545454545454545,1,"kinbank","kinbank"
"684","Sungwaloge_(Nalemba_Edward)_",0.545454545454545,1,"kinbank","kinbank"
"685","Sungwaloge_(Nalemba_Simeone_Tari)_",0.545454545454545,1,"kinbank","kinbank"
"686","Sungwaloge_(Navenvene)_",0.166666666666667,1,"kinbank","kinbank"
"687","Sungwaloge_(Tauta)_",0.545454545454545,1,"kinbank","kinbank"
"688","Sungwaloge_(Tawet)_",0.545454545454545,1,"kinbank","kinbank"
"689","Tadyawan",0,1,"kinbank","kinbank"
"690","Tagalog",0.0454545454545455,1,"kinbank","kinbank"
"691","Tahitians",1,1,"kinbank","kinbank"
"692","Tahitian",1,1,"kinbank","kinbank"
"693","Tajio",0,1,"kinbank","kinbank"
"694","Takia",1,1,"kinbank","kinbank"
"695","Takuu",0,1,"kinbank","kinbank"
"696","Talibabu",1,1,"kinbank","kinbank"
"697","Talise_(Tolo)",1,1,"kinbank","kinbank"
"698","Tamambo",1,1,"kinbank","kinbank"
"699","Tanala",0.636363636363636,1,"kinbank","kinbank"
"700","Tanampedagi_Taje_",0,1,"kinbank","kinbank"
"701","Taumako",1,1,"kinbank","kinbank"
"702","Tausug_",0,1,"kinbank","kinbank"
"703","Tetum_(Tetun)",1,1,"kinbank","kinbank"
"704","Tetun_Dili_(Tetum)",0.8,1,"kinbank","kinbank"
"705","Tialo_(Tomini)",0,1,"kinbank","kinbank"
"706","Tikopia",0.954545454545455,1,"kinbank","kinbank"
"707","Tikopia_",1,1,"kinbank","kinbank"
"708","Tirax_(Mae)",1,1,"kinbank","kinbank"
"709","Tokelau",0.545454545454545,1,"kinbank","kinbank"
"710","Tokelau_",1,1,"kinbank","kinbank"
"711","Tokotu'a_(Kabaena)",0,1,"kinbank","kinbank"
"712","Tolaki",0,0,"kinbank","kinbank"
"713","Tomadino",0,1,"kinbank","kinbank"
"714","Tombulu",0.0909090909090909,1,"kinbank","kinbank"
"715","Tongan",1,1,"kinbank","kinbank"
"716","Tongarevans",1,1,"kinbank","kinbank"
"717","Tonga_(Tonga_Islands)",1,1,"kinbank","kinbank"
"718","Tonsea",0.0909090909090909,1,"kinbank","kinbank"
"719","Toqabaqita",0,0,"kinbank","kinbank"
"720","Torete",0,1,"kinbank","kinbank"
"721","Totoli",0,1,"kinbank","kinbank"
"722","Tubuai",1,1,"kinbank","kinbank"
"723","Tulambatu",0,1,"kinbank","kinbank"
"724","Tuvalu_(Nanumea)",1,1,"kinbank","kinbank"
"725","Uma_Juman_(Kayan)",0.0909090909090909,1,"kinbank","kinbank"
"726","Umiray_Dumaget_Agta",0.5,1,"kinbank","kinbank"
"727","Urak_Lawoi",0,0.5,"kinbank","kinbank"
"728","Uripiv-Wala-Rano-Atchin",0.583333333333333,1,"kinbank","kinbank"
"729","Vaekau-Taumako",1,1,"kinbank","kinbank"
"730","Vao",1,1,"kinbank","kinbank"
"731","Varisi",1,1,"kinbank","kinbank"
"732","Vera'a",1,1,"kinbank","kinbank"
"733","Vures",0.8,1,"kinbank","kinbank"
"734","Waia",0,1,"kinbank","kinbank"
"735","Wallisian_(East_Uvea)",1,1,"kinbank","kinbank"
"736","Waru",0,1,"kinbank","kinbank"
"737","Watut",0.454545454545455,1,"kinbank","kinbank"
"738","Wawonii",0,1,"kinbank","kinbank"
"739","Weda",1,1,"kinbank","kinbank"
"740","Western_Bukidnon_Manobo",1,1,"kinbank","kinbank"
"741","Western_Tawbuid_(Batangan)",0,1,"kinbank","kinbank"
"742","West_Coast_Bajau",0,1,"kinbank","kinbank"
"743","West_Futuna",1,1,"kinbank","kinbank"
"744","Wiwirano",0,1,"kinbank","kinbank"
"745","Wogeo",0.6,1,"kinbank","kinbank"
"746","Wolio",0,1,"kinbank","kinbank"
"747","Wuvulu_Aua",1,1,"kinbank","kinbank"
"748","Xalangi_(Maevo_Vanuatu)_",0.545454545454545,1,"kinbank","kinbank"
"749","Xaracuu_(Canala)",1,1,"kinbank","kinbank"
"750","Yabem",1,1,"kinbank","kinbank"
"751","Yakan",0.0909090909090909,1,"kinbank","kinbank"
"752","Yamdena",0.181818181818182,0,"kinbank","kinbank"
"753","Yami_Tao_",0,1,"kinbank","kinbank"
"754","An-ah'-ne-lin_(Gros_Ventres_of_Prairie)",1,1,"kinbank","kinbank"
"755","Blood_Siksika_(Blood_Blackfoot)",1,1,"kinbank","kinbank"
"756","Cree_of_the_Lowlands",0.7,1,"kinbank","kinbank"
"757","Delaware",0.9,1,"kinbank","kinbank"
"758","Etchemiu,_or_Malisete",0.9,1,"kinbank","kinbank"
"759","Kaskaskia",0.7,1,"kinbank","kinbank"
"760","Kickapoo_(Kikapoo)",1,1,"kinbank","kinbank"
"761","Menomine",0.8,1,"kinbank","kinbank"
"762","Miami",1,1,"kinbank","kinbank"
"763","Miemac",1,1,"kinbank","kinbank"
"764","Mohegan",0.8,1,"kinbank","kinbank"
"765","Munsee",1,1,"kinbank","kinbank"
"766","Ojibwa_Kansas",0.9,1,"kinbank","kinbank"
"767","Ojibwa_Lake_Huron",0.9,1,"kinbank","kinbank"
"768","Ojibwa_Lake_Michigan",0.8,1,"kinbank","kinbank"
"769","Ojibwa_Lake_Superior",0.9,1,"kinbank","kinbank"
"770","Ottawa_(Ota╠îwa)",0.9,1,"kinbank","kinbank"
"771","Peoria",0.7,1,"kinbank","kinbank"
"772","Pianeshaw",0.7,1,"kinbank","kinbank"
"773","Piegan_Siksika_(Piegan_Blackfoot)",1,1,"kinbank","kinbank"
"774","Plains_Cree_(Cree_of_the_Prairie)",1,1,"kinbank","kinbank"
"775","Potawatomi_(Pota╠îwattamie)",0.833333333333333,1,"kinbank","kinbank"
"776","Sawk_and_Fox",0.8,1,"kinbank","kinbank"
"777","Shawnee",0.8,1,"kinbank","kinbank"
"778","Shiyan",0.5,1,"kinbank","kinbank"
"779","Weaw",0.7,1,"kinbank","kinbank"
"780","Woods_Cree_(Cree_of_the_Woods)",0.9,1,"kinbank","kinbank"
"781","Northern_Ojibwa",0.318181818181818,1,"kinbank","kinbank"
"782","Ottowa_Ojibwa",0.409090909090909,1,"kinbank","kinbank"
"783","Wiyot",0,1,"kinbank","kinbank"
"784","Yurok",1,1,"kinbank","kinbank"
"785","De_kwana_Maquiritari_",0,1,"kinbank","kinbank"
"786","Galibi_Carib",0.681818181818182,1,"kinbank","kinbank"
"787","Macushi",0.0476190476190476,1,"kinbank","kinbank"
"788","Panare",1,1,"kinbank","kinbank"
"789","Pemon",0.454545454545455,1,"kinbank","kinbank"
"790","Waimiri_Atroari",0.181818181818182,1,"kinbank","kinbank"
"791","Wai_Wai",0.136363636363636,1,"kinbank","kinbank"
"792","Aghul",0.0454545454545455,1,"kinbank","kinbank"
"793","Akhvakh_Northern_Akhvakh_",0.0909090909090909,1,"kinbank","kinbank"
"794","Andi",0.0909090909090909,1,"kinbank","kinbank"
"795","Archi",1,1,"kinbank","kinbank"
"796","Avar_Ancux_",0.0909090909090909,1,"kinbank","kinbank"
"797","Avar_Andalal_",0.0909090909090909,1,"kinbank","kinbank"
"798","Avar",0.0909090909090909,1,"kinbank","kinbank"
"799","Avar_Batlux_",0.0909090909090909,1,"kinbank","kinbank"
"800","Avar_Hid_dialect_",0.0909090909090909,1,"kinbank","kinbank"
"801","Avaz_Khunzakh_",0.0909090909090909,1,"kinbank","kinbank"
"802","Bahvalal",0.0909090909090909,1,"kinbank","kinbank"
"803","Bats_Tsova_Tush_",0.0909090909090909,1,"kinbank","kinbank"
"804","Bezhta",1,1,"kinbank","kinbank"
"805","Budukh",0.0909090909090909,1,"kinbank","kinbank"
"806","Chamalal",0.0909090909090909,1,"kinbank","kinbank"
"807","Chamalal_Gigatli_",0.0909090909090909,1,"kinbank","kinbank"
"808","Dargwa_Chirag_",0.0909090909090909,1,"kinbank","kinbank"
"809","Dargwa_Itsari_",0.0909090909090909,1,"kinbank","kinbank"
"810","Godoberi",0.0909090909090909,1,"kinbank","kinbank"
"811","Hinuq",0.0909090909090909,1,"kinbank","kinbank"
"812","Hunzib",0.0909090909090909,0,"kinbank","kinbank"
"813","Ingush",0.0909090909090909,1,"kinbank","kinbank"
"814","Inxokvari",0.0909090909090909,1,"kinbank","kinbank"
"815","Rutul",0.0909090909090909,1,"kinbank","kinbank"
"816","Kazakh",1,1,"kinbank","kinbank"
"817","Kumyk",0.0909090909090909,1,"kinbank","kinbank"
"818","Nogai",0.0909090909090909,1,"kinbank","kinbank"
"819","North_Azerbaijani",0.0909090909090909,1,"kinbank","kinbank"
"820","Turkish",0.0454545454545455,1,"kinbank","kinbank"
"821","Chenchu",1,1,"kinbank","kinbank"
"822","Dandami_Maria",1,1,"kinbank","kinbank"
"823","Kadar",1,1,"kinbank","kinbank"
"824","Kodava",1,1,"kinbank","kinbank"
"825","Koya",1,1,"kinbank","kinbank"
"826","Kui",1,1,"kinbank","kinbank"
"827","Kurukh",1,1,"kinbank","kinbank"
"828","Kuvi",1,1,"kinbank","kinbank"
"829","Malapandaram",1,1,"kinbank","kinbank"
"830","Malayalam",1,1,"kinbank","kinbank"
"831","Canarese",1,1,"kinbank","kinbank"
"832","Tamil",1,1,"kinbank","kinbank"
"833","Telugu",1,1,"kinbank","kinbank"
"834","Northern_Gondi",1,1,"kinbank","kinbank"
"835","Paliyan",1,1,"kinbank","kinbank"
"836","Tamil",1,1,"kinbank","kinbank"
"837","Telugu",1,1,"kinbank","kinbank"
"838","Toda",0.0454545454545455,1,"kinbank","kinbank"
"839","Yerukula",1,1,"kinbank","kinbank"
"840","Aztec",1,1,"kinbank","kinbank"
"841","Bannock",1,1,"kinbank","kinbank"
"842","Cahuilla",0.375,1,"kinbank","kinbank"
"843","Colorado_Ute_",1,1,"kinbank","kinbank"
"844","Comanche",1,1,"kinbank","kinbank"
"845","Cupen╠âo",0.375,1,"kinbank","kinbank"
"846","Gabrielino",1,1,"kinbank","kinbank"
"847","Guarijio",1,1,"kinbank","kinbank"
"848","Hopi",1,1,"kinbank","kinbank"
"849","Kawaiisu",1,1,"kinbank","kinbank"
"850","Kitanemuk_",0,1,"kinbank","kinbank"
"851","Lower_Pima_Pima_Bajo",0,1,"kinbank","kinbank"
"852","Luisen╠üo",0.153846153846154,1,"kinbank","kinbank"
"853","Mono",1,1,"kinbank","kinbank"
"854","Northern_Tepehuan",1,1,"kinbank","kinbank"
"855","North_Northern_Paiute",1,1,"kinbank","kinbank"
"856","Opata",0.0909090909090909,1,"kinbank","kinbank"
"857","Serrano",1,1,"kinbank","kinbank"
"858","Shoshoni",1,1,"kinbank","kinbank"
"859","Southeastern_Tepehuano",0.0454545454545455,1,"kinbank","kinbank"
"860","Southern_Paiute",1,1,"kinbank","kinbank"
"861","Southern_Tepehuan",0,1,"kinbank","kinbank"
"862","Southern_Ute",1,1,"kinbank","kinbank"
"863","Tarahumara",1,1,"kinbank","kinbank"
"864","Tu╠êmpisha_Shoshoni",1,1,"kinbank","kinbank"
"865","Asu_Tanzania_",1,1,"kinbank","kinbank"
"866","Avatime",1,1,"kinbank","kinbank"
"867","Batanga",1,1,"kinbank","kinbank"
"868","Bemba",0,1,"kinbank","kinbank"
"869","Bena_Tanzania_",0.375,1,"kinbank","kinbank"
"870","Bende",0.166666666666667,1,"kinbank","kinbank"
"871","Bera",0.0454545454545455,1,"kinbank","kinbank"
"872","Bila",0.0454545454545455,1,"kinbank","kinbank"
"873","Bukusu",0.909090909090909,1,"kinbank","kinbank"
"874","Bushoong",0.909090909090909,1,"kinbank","kinbank"
"875","Chokwe",0.545454545454545,1,"kinbank","kinbank"
"876","Digo",0,1,"kinbank","kinbank"
"877","Ding",0.409090909090909,1,"kinbank","kinbank"
"878","Duala",0.416666666666667,1,"kinbank","kinbank"
"879","Ekonda_Mongo",0,1,"kinbank","kinbank"
"880","Fang_EG",1,1,"kinbank","kinbank"
"881","Fefe",1,1,"kinbank","kinbank"
"882","Fipa",0.117647058823529,1,"kinbank","kinbank"
"883","Ganda",1,1,"kinbank","kinbank"
"884","Giryama",0.411764705882353,1,"kinbank","kinbank"
"885","Gogo",0.285714285714286,1,"kinbank","kinbank"
"886","Haya",0.227272727272727,1,"kinbank","kinbank"
"887","Ha",0.5,1,"kinbank","kinbank"
"888","Hehe",0.285714285714286,1,"kinbank","kinbank"
"889","Herero",0.0909090909090909,1,"kinbank","kinbank"
"890","Igbo",0.117647058823529,0.5,"kinbank","kinbank"
"891","Kagulu",0,1,"kinbank","kinbank"
"892","Kamba",0,1,"kinbank","kinbank"
"893","Kaonde",0,1,"kinbank","kinbank"
"894","Kikuyu",0,1,"kinbank","kinbank"
"895","Komo_DRC_",0.0454545454545455,1,"kinbank","kinbank"
"896","Kota",1,1,"kinbank","kinbank"
"897","Kwasio",0.0909090909090909,1,"kinbank","kinbank"
"898","Kwere",0.0909090909090909,1,"kinbank","kinbank"
"899","Lala_Bisa",0,1,"kinbank","kinbank"
"900","Lamba",0.5,1,"kinbank","kinbank"
"901","Langi",0.285714285714286,1,"kinbank","kinbank"
"902","Lingala",0.0454545454545455,1,"kinbank","kinbank"
"903","Lozi",1,1,"kinbank","kinbank"
"904","Luba_Katanga",1,1,"kinbank","kinbank"
"905","Luba_Lulua",0,1,"kinbank","kinbank"
"906","Luguru",0.25,1,"kinbank","kinbank"
"907","Lunda",0.25,1,"kinbank","kinbank"
"908","Luvale",0.375,1,"kinbank","kinbank"
"909","Makonde",0.0909090909090909,1,"kinbank","kinbank"
"910","Masaaba",0.0909090909090909,1,"kinbank","kinbank"
"911","Mbala",0.0909090909090909,0.5,"kinbank","kinbank"
"912","Mbere",1,1,"kinbank","kinbank"
"913","Mbuun",0,1,"kinbank","kinbank"
"914","Meru",0.545454545454545,1,"kinbank","kinbank"
"915","Mokpwe",0.909090909090909,1,"kinbank","kinbank"
"916","Mongo",0.272727272727273,1,"kinbank","kinbank"
"917","Amazulu_(Amazulu_Kafir)",1,1,"kinbank","kinbank"
"918","Mungaka",0.5,1,"kinbank","kinbank"
"919","Myene",0.952380952380952,1,"kinbank","kinbank"
"920","Ngulu",1,1,"kinbank","kinbank"
"921","Njebi",1,1,"kinbank","kinbank"
"922","Nsong",0,1,"kinbank","kinbank"
"923","Nyakyusa",0.0909090909090909,1,"kinbank","kinbank"
"924","Nyoro",0.454545454545455,1,"kinbank","kinbank"
"925","Phende",0,1,"kinbank","kinbank"
"926","Pinji",0,0.5,"kinbank","kinbank"
"927","Punu",0,0.5,"kinbank","kinbank"
"928","Rundi",0.5,1,"kinbank","kinbank"
"929","Sake",1,1,"kinbank","kinbank"
"930","Sangu_Tanzania_",0.285714285714286,1,"kinbank","kinbank"
"931","San_Salvador_Kongo",0,0,"kinbank","kinbank"
"932","Seki",1,1,"kinbank","kinbank"
"933","Shi",1,1,"kinbank","kinbank"
"934","Soga",0.0909090909090909,1,"kinbank","kinbank"
"935","Songoora",1,1,"kinbank","kinbank"
"936","Sukuma",1,1,"kinbank","kinbank"
"937","Suku",0.0454545454545455,1,"kinbank","kinbank"
"938","Taabwa",0.181818181818182,1,"kinbank","kinbank"
"939","Tetela",0.0588235294117647,1,"kinbank","kinbank"
"940","Tiv",0,1,"kinbank","kinbank"
"941","Tonga_Nyasa_",0,1,"kinbank","kinbank"
"942","Tooro",1,1,"kinbank","kinbank"
"943","Tsogo",1,0.5,"kinbank","kinbank"
"944","Tsonga",0.368421052631579,1,"kinbank","kinbank"
"945","Tswana",0.0714285714285714,1,"kinbank","kinbank"
"946","Umbundu",0,1,"kinbank","kinbank"
"947","Venda",0,1,"kinbank","kinbank"
"948","Yaka_CAR_",0.181818181818182,1,"kinbank","kinbank"
"949","Yaka_Pelende_Lonzo",0.545454545454545,1,"kinbank","kinbank"
"950","Yombe",0.9375,1,"kinbank","kinbank"
"951","Zigula",0,1,"kinbank","kinbank"
"952","Zinza",1,1,"kinbank","kinbank"
"953","Zulu",0.318181818181818,1,"kinbank","kinbank"
