LANGUAGE,GENDER SYMMETRY,AGE SYMMETRY,LINEAGE SYMMETRY
Old_Church_Slavonic,"(1, 0)","(0, 0)","(0, 0)"
,,,
Old_English_ca_450_1100_,"(1, 1)","(0, 0)","(0, 1)"
,,,
Old_High_German_ca_750_1050_,"(1, 0)","(0, 0)","(0, 0)"
,,,
Old_Irish,"(1, 1)","(0, 0)","(0, 1)"
,,,
Old_Norse,"(1, 1)","(0, 0)","(0, 1)"
,,,
Old_Prussian,"(1, 0)","(0, 0)","(0, 0)"
,,,
Old_Russian,"(1, 1)","(0, 0)","(1, 1)"
,,,
Old_Welsh,"(1, 0)","(0, 0)","(0, 0)"
,,,
Oriya,"(1, 1)","(1, 0)","(1, 1)"
,,,
Ossetian,"(1, 1)","(0, 0)","(1, 1)"
,,,
Ossetic,"(1, 0)","(0, 0)","(0, 0)"
,,,
Panjabi,"(1, 1)","(1, 0)","(1, 1)"
,,,
Pashto,"(1, 1)","(1, 0)","(1, 0)"
,,,
Polish,"(1, 1)","(0, 0)","(1, 1)"
,,,
Portuguese,"(1, 1)","(0, 0)","(0, 0)"
,,,
Romanian,"(1, 1)","(1, 0)","(0, 0)"
,,,
Russian,"(1, 1)","(0, 0)","(0, 0)"
,,,
Russian_,"(1, 1)","(0, 0)","(0, 0)"
,,,
Sanskrit,"(1, 1)","(1, 0)","(1, 1)"
,,,
Sardinian,"(1, 1)","(0, 0)","(0, 0)"
,,,
Saterfriesisch,"(1, 1)","(0, 0)","(0, 0)"
,,,
Serbocroation,"(1, 1)","(0, 0)","(1, 0)"
,,,
Serbs,"(1, 1)","(0, 0)","(0, 0)"
,,,
Sindhi,"(1, 1)","(1, 0)","(1, 1)"
,,,
Sinhala,"(1, 1)","(1, 1)","(1, 1)"
,,,
Slovakian,"(1, 1)","(0, 0)","(0, 0)"
,,,
Slovenian,"(1, 1)","(0, 0)","(0, 0)"
,,,
Standard_Catalan,"(1, 1)","(0, 0)","(0, 0)"
,,,
Standard_English,"(1, 1)","(0, 0)","(0, 0)"
,,,
Standard_French,"(1, 1)","(1, 0)","(0, 0)"
,,,
Standard_German,"(1, 1)","(0, 0)","(0, 0)"
,,,
Standard_Spanish,"(1, 1)","(1, 0)","(0, 0)"
,,,
Swedish,"(1, 1)","(1, 0)","(0, 1)"
,,,
Tajik,"(1, 1)","(1, 0)","(0, 1)"
,,,
Tokharian_A,"(1, 0)","(0, 0)","(0, 0)"
,,,
Tokharian_B,"(1, 0)","(0, 0)","(0, 0)"
,,,
Tok_Pisin,"(1, 1)","(0, 0)","(1, 1)"
,,,
Torres_Strait_Creole_(Broken),"(1, 1)","(0, 0)","(0, 1)"
,,,
Ukrainian,"(1, 1)","(0, 0)","(1, 1)"
,,,
Urdu,"(1, 1)","(1, 0)","(1, 1)"
,,,
Vlax_Romani,"(1, 1)","(0, 0)","(0, 0)"
,,,
Wallon,"(1, 1)","(0, 0)","(0, 0)"
,,,
Western_Armenian,"(1, 1)","(1, 0)","(0, 1)"
,,,
Western_Farsi,"(1, 1)","(1, 0)","(1, 1)"
,,,
Western_Panjabi,"(1, 1)","(1, 0)","(0, 1)"
,,,
Shipibo,"(1, 1)","(1, 0)","(0, 1)"
,,,
East_Kewa,"(1, 1)","(0, 0)","(0, 1)"
,,,
Erave_(South_Kewa),"(1, 1)","(0, 0)","(0, 1)"
,,,
Kalam,"(1, 1)","(1, 0)","(1, 1)"
,,,
Komba,"(1, 1)","(0, 0)","(1, 1)"
,,,
Ku_Waru,"(1, 1)","(0, 0)","(0, 1)"
,,,
Kyaka,"(1, 1)","(0, 0)","(0, 1)"
,,,
Proto_Sogeram,"(0, 1)","(1, 1)","(1, 0)"
,,,
West_Kewa,"(1, 1)","(0, 0)","(0, 1)"
,,,
Adnyamathanha,"(1, 1)","(1, 1)","(0, 1)"
,,,
Alyawarr,"(1, 1)","(1, 0)","(1, 1)"
,,,
Arabana,"(1, 1)","(1, 0)","(0, 0)"
,,,
Arabana_,"(1, 0)","(1, 0)","(1, 0)"
,,,
Badimaya,"(1, 1)","(1, 0)","(0, 0)"
,,,
Bandjalang,"(1, 1)","(1, 0)","(1, 1)"
,,,
Bindal,"(1, 0)","(0, 0)","(0, 0)"
,,,
Biri,"(1, 1)","(1, 0)","(1, 0)"
,,,
Bunganditj,"(1, 1)","(1, 1)","(1, 1)"
,,,
Dharumbal,"(1, 1)","(1, 0)","(0, 1)"
,,,
Dharumbal_,"(1, 1)","(1, 0)","(0, 1)"
,,,
Dhuwal-Dhuwala_(Yolngu),"(1, 1)","(0, 0)","(1, 1)"
,,,
Dhuwal,"(0, 0)","(1, 0)","(0, 0)"
,,,
Diyari,"(1, 1)","(1, 0)","(1, 1)"
,,,
Diyari_,"(1, 1)","(1, 0)","(1, 1)"
,,,
Djambarrpuyngu,"(0, 1)","(1, 0)","(0, 1)"
,,,
Djapu,"(1, 1)","(0, 0)","(0, 1)"
,,,
Djinang,"(1, 0)","(0, 0)","(0, 0)"
,,,
Djinang_,"(1, 0)","(0, 0)","(0, 0)"
,,,
Duungidjawu,"(1, 1)","(1, 0)","(0, 1)"
,,,
Dyirbal,"(1, 1)","(1, 1)","(0, 1)"
,,,
FlindersIsland,"(0, 0)","(0, 0)","(0, 0)"
,,,
Gumatj,"(1, 1)","(1, 0)","(1, 1)"
,,,
Gumbaynggir,"(1, 1)","(1, 0)","(1, 0)"
,,,
Gunya,"(1, 1)","(1, 0)","(0, 1)"
,,,
Gupapuyngu,"(1, 1)","(1, 0)","(1, 1)"
,,,
Gurindji,"(0, 1)","(1, 0)","(0, 0)"
,,,
Guugu_Yimidhirr,"(1, 1)","(1, 1)","(0, 1)"
,,,
Guugu_Yimidhirr_,"(1, 1)","(1, 1)","(0, 1)"
,,,
Jaru,"(1, 1)","(0, 0)","(1, 1)"
,,,
Kala_Lagaw_Ya,"(1, 1)","(0, 0)","(0, 1)"
,,,
Kalkatungu,"(1, 1)","(1, 0)","(1, 1)"
,,,
Karajarri,"(0, 1)","(1, 0)","(0, 1)"
,,,
Kariyarra,"(1, 1)","(1, 0)","(1, 1)"
,,,
Kartujarra,"(1, 1)","(1, 0)","(1, 1)"
,,,
Karuwali,"(0, 0)","(0, 0)","(0, 0)"
,,,
Kaurna,"(0, 1)","(1, 0)","(1, 0)"
,,,
Kukatja,"(1, 1)","(1, 1)","(0, 1)"
,,,
Kuku-Yalanji,"(1, 1)","(1, 0)","(1, 1)"
,,,
KukuYalanji,"(1, 1)","(1, 1)","(0, 1)"
,,,
Kunjen,"(1, 0)","(1, 0)","(0, 0)"
,,,
Kuuku_Ya'u,"(0, 1)","(1, 1)","(0, 1)"
,,,
Malgana,"(1, 0)","(1, 0)","(0, 0)"
,,,
Malgana_,"(0, 0)","(0, 0)","(0, 0)"
,,,
Margany,"(1, 1)","(1, 0)","(0, 1)"
,,,
MartuWangka,"(1, 1)","(1, 0)","(1, 1)"
,,,
Mudburra,"(0, 0)","(1, 0)","(0, 0)"
,,,
Muruwari,"(1, 1)","(1, 0)","(0, 1)"
,,,
Ngaanyatjarra,"(0, 1)","(1, 0)","(0, 1)"
,,,
Ngaatjatjarra,"(0, 0)","(1, 0)","(0, 0)"
,,,
Ngadjumaya,"(1, 1)","(1, 0)","(0, 0)"
,,,
Ngarinyman,"(0, 1)","(1, 0)","(0, 1)"
,,,
Ngarla,"(1, 0)","(1, 0)","(0, 0)"
,,,
Ngarluma,"(1, 0)","(1, 0)","(0, 0)"
,,,
Ngarrindjeri,"(1, 0)","(1, 0)","(0, 0)"
,,,
Ngiyambaa,"(1, 1)","(1, 0)","(0, 0)"
,,,
Nhanta,"(1, 1)","(1, 0)","(1, 1)"
,,,
Nyamal,"(1, 1)","(1, 0)","(0, 1)"
,,,
Nyangumarta,"(0, 1)","(1, 0)","(0, 1)"
,,,
Nyawaygi,"(1, 0)","(1, 0)","(0, 0)"
,,,
Paakantyi,"(1, 0)","(1, 1)","(0, 0)"
,,,
Payungu,"(1, 1)","(1, 0)","(0, 1)"
,,,
PintupiLuritja,"(0, 1)","(1, 0)","(0, 1)"
,,,
Pirriya,"(1, 0)","(1, 0)","(0, 0)"
,,,
Pitjantjatjara,"(0, 1)","(1, 1)","(0, 1)"
,,,
Pitta_Pitta,"(1, 1)","(1, 0)","(1, 1)"
,,,
Ritharrngu,"(0, 1)","(1, 0)","(1, 1)"
,,,
Thayore_(Kuuk_Thaayorre),"(1, 1)","(1, 1)","(0, 1)"
,,,
Umpila,"(0, 1)","(0, 1)","(0, 1)"
,,,
Uradhi_(Atampaya),"(0, 0)","(1, 1)","(0, 0)"
,,,
Wajarri,"(0, 1)","(1, 0)","(0, 1)"
,,,
Wakaya,"(1, 1)","(1, 0)","(0, 1)"
,,,
Wangkajunga,"(1, 1)","(1, 0)","(0, 1)"
,,,
Wangkangurru,"(1, 0)","(1, 0)","(0, 0)"
,,,
Wangkangurru_,"(1, 0)","(1, 0)","(1, 0)"
,,,
Wangkumara,"(1, 0)","(1, 0)","(0, 0)"
,,,
Warlmanpa,"(0, 0)","(1, 0)","(0, 0)"
,,,
Warlpiri,"(1, 1)","(1, 0)","(1, 1)"
,,,
Warlpiri_,"(1, 1)","(1, 0)","(0, 1)"
,,,
Warnman,"(0, 1)","(1, 0)","(0, 0)"
,,,
Warrnambool,"(1, 1)","(1, 0)","(1, 1)"
,,,
Warumungu,"(1, 1)","(1, 0)","(0, 1)"
,,,
Warungu,"(0, 1)","(1, 0)","(0, 1)"
,,,
Wathwurrung,"(1, 1)","(1, 0)","(0, 0)"
,,,
WikMungkan,"(1, 1)","(1, 1)","(0, 0)"
,,,
Wiradjuri,"(1, 1)","(1, 0)","(0, 0)"
,,,
Wirangu,"(1, 1)","(1, 0)","(0, 1)"
,,,
Woiwurrung,"(1, 0)","(1, 0)","(0, 0)"
,,,
Wulguru,"(1, 1)","(0, 0)","(0, 1)"
,,,
Yadhaykenu,"(1, 1)","(1, 1)","(0, 1)"
,,,
Yalarnnga,"(0, 1)","(1, 0)","(0, 0)"
,,,
Yalarnnga_,"(0, 1)","(1, 0)","(0, 1)"
,,,
Yandruwandha,"(1, 1)","(1, 0)","(0, 1)"
,,,
Yandruwandha_,"(0, 1)","(1, 0)","(1, 1)"
,,,
Yanyuwa,"(0, 1)","(1, 0)","(0, 1)"
,,,
Yarluyandi,"(0, 1)","(1, 1)","(0, 1)"
,,,
Yidiny,"(1, 1)","(0, 0)","(0, 1)"
,,,
Yidiny_,"(1, 1)","(0, 0)","(1, 1)"
,,,
Yindjibarndi,"(1, 1)","(1, 1)","(0, 1)"
,,,
Yir-Yoront,"(1, 0)","(1, 1)","(0, 0)"
,,,
Yorta_Yorta,"(1, 0)","(1, 0)","(0, 0)"
,,,
Yugambal_(Yugambeh),"(1, 1)","(0, 0)","(1, 1)"
,,,
Yugambeh,"(1, 1)","(1, 0)","(0, 0)"
,,,
Yulparija,"(1, 1)","(1, 0)","(0, 1)"
,,,
Yuwaalaraay,"(1, 1)","(1, 0)","(1, 1)"
,,,
Dehong,"(0, 1)","(1, 1)","(0, 1)"
,,,
Turung,"(1, 1)","(1, 1)","(1, 1)"
,,,
Abui,"(1, 1)","(1, 1)","(1, 1)"
,,,
Achuar,"(1, 0)","(0, 0)","(0, 0)"
,,,
Adang,"(0, 1)","(1, 0)","(0, 0)"
,,,
Agob-Ende-Kawam,"(0, 1)","(1, 0)","(1, 1)"
,,,
Aguaruna,"(1, 1)","(0, 0)","(0, 1)"
,,,
Alamblak,"(1, 1)","(0, 0)","(1, 1)"
,,,
Amanab,"(1, 1)","(0, 1)","(0, 1)"
,,,
Angaite,"(0, 1)","(0, 0)","(0, 1)"
,,,
ASF_Auslan,"(1, 1)","(0, 0)","(0, 0)"
,,,
Atsugewi,"(0, 1)","(1, 0)","(0, 1)"
,,,
Au,"(1, 1)","(0, 0)","(1, 1)"
,,,
Awa,"(1, 1)","(0, 0)","(0, 0)"
,,,
