LANGUAGE,GENDER SYMMETRY,AGE SYMMETRY,LINEAGE SYMMETRY
Creek,"(1, 1)","(0, 0)","(1, 1)"
,,,
Crow,"(1, 1)","(1, 0)","(1, 0)"
,,,
Dakota_Blackfoot,"(1, 1)","(1, 0)","(1, 1)"
,,,
Dakota_Brule,"(1, 1)","(1, 0)","(1, 1)"
,,,
Dakota_Isauntie,"(1, 1)","(1, 0)","(1, 1)"
,,,
Dakota_Ogalalla,"(1, 1)","(1, 0)","(1, 1)"
,,,
Dakota_Sisseton,"(1, 1)","(1, 0)","(1, 1)"
,,,
Dakota_Uncpapa,"(1, 1)","(1, 0)","(1, 1)"
,,,
Dakota_Yanktonais,"(1, 1)","(1, 0)","(1, 1)"
,,,
Dakota_Yankton,"(1, 1)","(1, 0)","(1, 1)"
,,,
Grand_Pawnee,"(1, 1)","(1, 0)","(1, 0)"
,,,
Hare_Indians_or_Ta╠ê-na╠ê'-tin-ne,"(1, 1)","(1, 0)","(1, 1)"
,,,
Iowa╠ê,"(1, 1)","(1, 0)","(1, 1)"
,,,
Japanese,"(1, 1)","(1, 0)","(1, 0)"
,,,
"Kalaallisut_(Eskimo,_Greenland)","(1, 1)","(1, 0)","(0, 1)"
,,,
Kaw,"(1, 1)","(1, 0)","(1, 1)"
,,,
Kootenay,"(1, 1)","(1, 0)","(0, 1)"
,,,
"Ku╠îtchin,_or_Louchieux","(1, 1)","(1, 0)","(1, 1)"
,,,
Laguna,"(1, 0)","(1, 0)","(0, 0)"
,,,
Mandan,"(1, 1)","(1, 0)","(0, 1)"
,,,
Minnitaree,"(1, 1)","(1, 0)","(1, 1)"
,,,
Mohawk,"(1, 1)","(1, 0)","(1, 1)"
,,,
Mountain_Cherokee,"(1, 1)","(1, 0)","(1, 1)"
,,,
Omaha╠ê,"(1, 1)","(1, 0)","(1, 1)"
,,,
Oneida,"(1, 1)","(1, 0)","(1, 0)"
,,,
Onondaga,"(1, 1)","(1, 0)","(1, 0)"
,,,
Osage,"(1, 1)","(1, 0)","(1, 1)"
,,,
Otoe,"(1, 1)","(1, 0)","(1, 1)"
,,,
Punka╠ê,"(1, 1)","(1, 0)","(1, 1)"
,,,
"Red-knife,_or_Ta╠êl-sote'e-na╠ê","(1, 1)","(1, 0)","(1, 1)"
,,,
Republican_Pawnee,"(1, 1)","(0, 0)","(1, 0)"
,,,
Seneca,"(1, 1)","(1, 0)","(1, 1)"
,,,
Slave_Lake_Indians_or_A-cha'o-tin-ne,"(1, 1)","(1, 0)","(1, 1)"
,,,
Tabasco_Chontal_(Chontal_Tabasco),"(1, 0)","(1, 0)","(0, 0)"
,,,
Tesuque,"(1, 0)","(0, 0)","(0, 0)"
,,,
Tukuthe,"(1, 1)","(1, 0)","(1, 0)"
,,,
Tuscarora,"(0, 1)","(1, 0)","(1, 1)"
,,,
Two_Mountain_Iroquios,"(1, 1)","(1, 0)","(1, 1)"
,,,
"Western_Canadian_Inuktitut_(Eskimo,_West_of_Hudson's_Bay)","(1, 0)","(1, 0)","(0, 0)"
,,,
Winnebagoe,"(1, 1)","(1, 0)","(1, 1)"
,,,
Wyandote,"(1, 1)","(1, 0)","(1, 1)"
,,,
Yakama,"(1, 1)","(1, 0)","(0, 1)"
,,,
Mosete╠ün_Chimane╠ü,"(1, 1)","(1, 0)","(0, 1)"
,,,
Movima,"(0, 1)","(1, 0)","(0, 0)"
,,,
Muisca_Chibcha_,"(0, 1)","(1, 0)","(0, 1)"
,,,
Murrinhpatha,"(1, 1)","(0, 0)","(1, 1)"
,,,
Nagovisi,"(1, 1)","(1, 0)","(1, 1)"
,,,
Nama,"(1, 1)","(1, 1)","(1, 1)"
,,,
Nambo,"(1, 1)","(1, 1)","(1, 1)"
,,,
Nasioi,"(1, 1)","(0, 0)","(1, 1)"
,,,
Navajo,"(1, 1)","(1, 0)","(0, 1)"
,,,
Negwa_(Yagwoia),"(1, 1)","(1, 0)","(1, 1)"
,,,
Neme,"(0, 1)","(1, 0)","(1, 1)"
,,,
Nen,"(1, 1)","(1, 1)","(1, 1)"
,,,
Nen_,"(0, 1)","(1, 1)","(1, 1)"
,,,
Netsilik,"(1, 1)","(0, 1)","(0, 1)"
,,,
Nimboran,"(1, 1)","(0, 0)","(0, 1)"
,,,
Ninam,"(0, 1)","(0, 0)","(0, 1)"
,,,
Nivacle,"(0, 1)","(0, 0)","(0, 0)"
,,,
Northeastern_Maidu,"(1, 1)","(1, 0)","(1, 1)"
,,,
Northern_Embera,"(1, 1)","(1, 0)","(0, 0)"
,,,
Northern_Haida,"(0, 0)","(1, 0)","(0, 0)"
,,,
Northern_Pomo,"(1, 1)","(1, 1)","(1, 1)"
,,,
NorthMuyu,"(1, 1)","(1, 0)","(1, 1)"
,,,
Northwestern_Maidu,"(1, 1)","(1, 0)","(1, 1)"
,,,
Nunamiut,"(1, 1)","(1, 0)","(0, 0)"
,,,
Nungon,"(1, 1)","(1, 0)","(1, 0)"
,,,
Nuu_Chah_Nulth,"(1, 0)","(0, 0)","(0, 0)"
,,,
Nyulnyul,"(1, 1)","(0, 0)","(0, 1)"
,,,
Onobasulu,"(1, 1)","(0, 0)","(0, 1)"
,,,
Pagu,"(1, 1)","(0, 0)","(0, 0)"
,,,
Pa╠üez,"(0, 1)","(0, 0)","(0, 1)"
,,,
Pilaga╠ü,"(1, 1)","(1, 0)","(0, 0)"
,,,
Puinave,"(1, 1)","(1, 0)","(0, 1)"
,,,
Pume╠ü,"(1, 1)","(1, 0)","(0, 1)"
,,,
Qawasquar,"(1, 0)","(1, 0)","(0, 0)"
,,,
Quechan,"(1, 1)","(0, 1)","(0, 0)"
,,,
Riantana,"(0, 0)","(0, 0)","(0, 0)"
,,,
Rotokas,"(1, 1)","(0, 0)","(1, 1)"
,,,
Sanapana,"(0, 1)","(0, 0)","(0, 1)"
,,,
Savosavo,"(1, 1)","(0, 0)","(0, 0)"
,,,
Sawi,"(1, 1)","(1, 0)","(1, 1)"
,,,
Selk_nam,"(1, 1)","(1, 0)","(0, 1)"
,,,
Seri,"(1, 1)","(0, 0)","(0, 1)"
,,,
Setaman_Baktamin,"(1, 1)","(1, 1)","(1, 1)"
,,,
Shasta,"(1, 1)","(1, 0)","(0, 1)"
,,,
Sion,"(0, 0)","(0, 0)","(0, 0)"
,,,
Siwai_Motuna,"(1, 1)","(0, 0)","(0, 1)"
,,,
Sougb,"(1, 1)","(1, 0)","(1, 0)"
,,,
Southern_Coastal_Tsimshian,"(1, 0)","(0, 0)","(0, 0)"
,,,
Suki,"(1, 1)","(1, 1)","(1, 1)"
,,,
Tabla,"(0, 1)","(1, 0)","(0, 1)"
,,,
Taiap,"(1, 1)","(0, 1)","(0, 1)"
,,,
Tehuelche,"(0, 1)","(0, 0)","(0, 0)"
,,,
Teiwa,"(0, 1)","(1, 0)","(0, 1)"
,,,
Telefol,"(1, 1)","(1, 1)","(1, 1)"
,,,
Tidore_(version_1),"(1, 1)","(0, 0)","(0, 0)"
,,,
Tidore_(version_2)_,"(1, 1)","(0, 0)","(0, 0)"
,,,
Tidore,"(1, 1)","(0, 1)","(0, 1)"
,,,
Tlingit,"(0, 1)","(1, 0)","(0, 1)"
,,,
Toba,"(1, 1)","(1, 0)","(0, 0)"
,,,
Tolowa,"(1, 0)","(1, 0)","(0, 0)"
,,,
Touo,"(1, 1)","(0, 0)","(1, 1)"
,,,
Trumai,"(1, 1)","(1, 0)","(0, 1)"
,,,
Tsafiki,"(1, 1)","(0, 0)","(0, 0)"
,,,
Tucanoan_Bara╠ü,"(1, 1)","(1, 0)","(0, 1)"
,,,
Tucano,"(1, 1)","(1, 0)","(0, 1)"
,,,
Tuyuca,"(1, 1)","(0, 0)","(0, 1)"
,,,
Tzeltal,"(1, 1)","(1, 0)","(0, 0)"
,,,
Umbu-Ungu,"(1, 1)","(1, 0)","(1, 1)"
,,,
Usurufa,"(1, 1)","(0, 0)","(1, 1)"
,,,
Waffa,"(1, 1)","(1, 1)","(1, 1)"
,,,
Wailaki,"(1, 1)","(1, 0)","(0, 1)"
,,,
Wambaya,"(1, 0)","(1, 0)","(1, 1)"
,,,
Waorani,"(1, 1)","(1, 0)","(0, 1)"
,,,
Wappo,"(1, 0)","(1, 0)","(0, 0)"
,,,
Wari_,"(0, 0)","(0, 0)","(0, 0)"
,,,
Warta_Thuntai,"(0, 0)","(1, 0)","(0, 0)"
,,,
Watam,"(1, 1)","(0, 0)","(0, 1)"
,,,
Wersing,"(1, 1)","(1, 1)","(1, 0)"
,,,
Western_Apache,"(1, 1)","(0, 0)","(1, 1)"
,,,
Western_Pantar,"(1, 1)","(0, 0)","(1, 1)"
,,,
Wichi╠ü,"(1, 0)","(0, 0)","(0, 0)"
,,,
Wipi,"(1, 0)","(0, 0)","(0, 0)"
,,,
Xibe,"(1, 1)","(1, 0)","(0, 1)"
,,,
Yale,"(1, 1)","(1, 0)","(1, 1)"
,,,
Yalic,"(1, 1)","(1, 0)","(1, 1)"
,,,
Yamana,"(1, 1)","(1, 0)","(0, 0)"
,,,
Yanoma╠ümi,"(0, 1)","(0, 0)","(0, 1)"
,,,
Yawa,"(1, 1)","(0, 0)","(0, 1)"
,,,
Yele_(Ye╠üli╠é_Dnye),"(1, 1)","(0, 0)","(1, 1)"
,,,
Yelmek,"(0, 1)","(1, 0)","(1, 1)"
,,,
Yucatec_Maya,"(0, 1)","(1, 0)","(0, 1)"
,,,
Yuki,"(1, 1)","(1, 1)","(0, 1)"
,,,
Yukulta_(Ganggalida)_,"(1, 1)","(1, 1)","(1, 0)"
,,,
Yuracare,"(1, 1)","(0, 0)","(0, 0)"
,,,
Zuni,"(1, 1)","(0, 0)","(0, 1)"
,,,
Baure,"(1, 0)","(0, 0)","(0, 0)"
,,,
Ignaciano,"(1, 0)","(1, 0)","(0, 0)"
,,,
Mashco_Piro,"(0, 0)","(0, 0)","(0, 0)"
,,,
Trinitario,"(0, 0)","(1, 0)","(0, 0)"
,,,
Wapishana,"(0, 1)","(1, 0)","(0, 1)"
,,,
Waura╠ü,"(1, 1)","(1, 0)","(0, 1)"
,,,
Wayuu,"(1, 1)","(1, 0)","(0, 1)"
,,,
Yavitero,"(1, 0)","(0, 0)","(0, 0)"
,,,
'Are'are,"(1, 1)","(0, 0)","(1, 0)"
,,,
Achinese,"(1, 1)","(1, 1)","(0, 0)"
,,,
Aklanon,"(1, 1)","(1, 0)","(0, 0)"
,,,
Alangan,"(0, 1)","(1, 0)","(0, 0)"
,,,
Amis,"(0, 0)","(1, 0)","(0, 0)"
,,,
Ampibabo_Lauje,"(0, 1)","(1, 0)","(0, 0)"
,,,
Anejom,"(1, 1)","(0, 0)","(0, 0)"
,,,
Aniwa,"(1, 1)","(1, 0)","(0, 1)"
,,,
Anuta,"(1, 1)","(0, 0)","(0, 1)"
,,,
Araki,"(1, 1)","(1, 0)","(1, 1)"
,,,
Aria_(Mouk-Aria)_,"(1, 1)","(0, 0)","(1, 0)"
,,,
Arosi,"(1, 0)","(0, 0)","(0, 0)"
,,,
Asera,"(0, 1)","(1, 0)","(0, 0)"
,,,
Atayal,"(0, 0)","(1, 0)","(0, 0)"
,,,
Atchin,"(0, 1)","(0, 0)","(0, 0)"
,,,
Atoni_(Uab_Meto),"(1, 1)","(0, 0)","(0, 1)"
,,,
Atta,"(0, 1)","(1, 0)","(1, 0)"
,,,
Avava_(Bangasa_Dialect),"(1, 0)","(1, 0)","(0, 0)"
,,,
Avava_(Niviar_Dialect)_,"(1, 0)","(0, 0)","(0, 0)"
,,,
Avava_,"(1, 1)","(0, 1)","(0, 0)"
,,,
Ayiwo,"(1, 1)","(0, 0)","(1, 1)"
,,,
Bacanese_Malay_(Bacan),"(1, 1)","(0, 0)","(0, 0)"
,,,
Bahonsuai,"(0, 1)","(1, 0)","(0, 0)"
,,,
Balaesang,"(0, 1)","(1, 0)","(0, 0)"
,,,
Balangao,"(0, 1)","(1, 0)","(1, 0)"
,,,
Balinese,"(0, 1)","(1, 1)","(0, 0)"
,,,
Banjar,"(0, 0)","(1, 0)","(0, 1)"
,,,
Bannoni,"(0, 0)","(0, 0)","(0, 0)"
,,,
Barabet_(Hano)_,"(1, 1)","(0, 0)","(0, 1)"
,,,
Bario_Kelabit,"(0, 0)","(0, 0)","(0, 0)"
,,,
Barok_(Karu),"(1, 0)","(0, 0)","(0, 0)"
,,,
Batak_Toba,"(0, 1)","(1, 1)","(0, 1)"
,,,
Bau-Jagoi_Bidayuh,"(0, 1)","(0, 1)","(0, 0)"
,,,
Biak,"(1, 1)","(1, 1)","(1, 1)"
,,,
Bierebo,"(1, 0)","(0, 0)","(0, 0)"
,,,
Big_Nambas,"(1, 1)","(0, 0)","(0, 1)"
,,,
Big_Nambas_,"(1, 1)","(0, 0)","(1, 1)"
,,,
Bilibil,"(1, 1)","(0, 0)","(1, 1)"
,,,
Binukid_(Talaandig-Binukid),"(1, 1)","(1, 0)","(0, 0)"
,,,
Boano_(Sulawesi),"(0, 0)","(1, 0)","(0, 0)"
,,,
Bontok,"(0, 1)","(1, 0)","(0, 0)"
,,,
Brooke's_Point_Palawano,"(0, 0)","(0, 0)","(0, 0)"
,,,
Brunei-Sabah_Malay_(Malay),"(0, 1)","(1, 0)","(0, 0)"
,,,
Buhid,"(0, 1)","(1, 0)","(0, 0)"
,,,
Bukat,"(0, 1)","(0, 0)","(0, 0)"
,,,
Buli,"(1, 1)","(0, 0)","(0, 0)"
,,,
Bungku,"(0, 1)","(1, 0)","(0, 0)"
,,,
Bunun,"(0, 0)","(1, 0)","(0, 0)"
,,,
Buru_(Indonesia),"(1, 1)","(0, 1)","(0, 1)"
,,,
Butmas-Tur,"(1, 0)","(0, 0)","(0, 0)"
,,,
Bwaidoga,"(1, 0)","(0, 0)","(0, 0)"
,,,
Carolinians,"(0, 0)","(0, 0)","(0, 0)"
,,,
Casiguran_Dumagat_Agta,"(0, 1)","(1, 0)","(0, 0)"
,,,
Cebuano,"(0, 1)","(1, 0)","(0, 0)"
,,,
Central_Cagayan_Agta,"(1, 1)","(0, 0)","(0, 0)"
,,,
Central_Melanau,"(1, 1)","(0, 0)","(0, 0)"
,,,
Central_Sama,"(0, 1)","(1, 0)","(0, 0)"
,,,
Central_Subanen_(Subanung),"(0, 0)","(0, 0)","(0, 0)"
,,,
Central_Tagbanwa,"(0, 1)","(0, 0)","(0, 0)"
,,,
Chamarro,"(1, 1)","(0, 0)","(0, 0)"
,,,
Cheke_Holo,"(1, 0)","(0, 0)","(1, 0)"
,,,
Chuukese_(Trukese),"(1, 1)","(0, 0)","(0, 1)"
,,,
Colloquial_Malay,"(1, 1)","(0, 0)","(0, 0)"
,,,
Cotabato_Manobo,"(1, 1)","(0, 0)","(0, 0)"
,,,
Daakie,"(1, 1)","(0, 0)","(0, 1)"
,,,
Dakaka,"(1, 1)","(0, 0)","(1, 1)"
,,,
Dampelas,"(0, 1)","(1, 0)","(0, 0)"
,,,
Dehu,"(1, 0)","(1, 0)","(0, 0)"
,,,
Dobu,"(0, 1)","(0, 0)","(0, 1)"
,,,
Dondo,"(0, 1)","(1, 1)","(0, 0)"
,,,
Dupaningan_Agat,"(1, 0)","(1, 0)","(0, 0)"
,,,
Easter_Islanders,"(0, 1)","(1, 0)","(1, 0)"
,,,
East_Ambae_(Lolovoli),"(1, 1)","(0, 0)","(0, 1)"
,,,
East_Futuna,"(1, 1)","(0, 0)","(0, 1)"
,,,
Ellice,"(1, 1)","(1, 0)","(0, 0)"
,,,
Emae_(Mae),"(0, 0)","(0, 0)","(0, 0)"
,,,
Emau_(Emao_Island),"(1, 1)","(0, 0)","(1, 1)"
,,,
Fijian,"(1, 1)","(0, 0)","(1, 1)"
,,,
Fordata,"(1, 0)","(0, 0)","(0, 0)"
,,,
Fortsenal_(Kiai),"(1, 0)","(1, 0)","(0, 0)"
,,,
Futuna-Aniwa,"(1, 1)","(0, 0)","(0, 0)"
,,,
Futunans,"(1, 1)","(0, 0)","(0, 1)"
,,,
Ga'dang,"(0, 1)","(0, 0)","(0, 0)"
,,,
Gane_(Gima╠ün),"(1, 1)","(0, 1)","(0, 0)"
,,,
Gayo,"(1, 1)","(1, 0)","(0, 1)"
,,,
Gela,"(1, 0)","(0, 0)","(0, 0)"
,,,
Hanunoo,"(0, 1)","(1, 0)","(0, 0)"
,,,
Hawaiians,"(1, 1)","(1, 0)","(0, 0)"
,,,
Hawaii,"(1, 1)","(0, 0)","(0, 0)"
,,,
Hiligaynon,"(0, 1)","(0, 0)","(0, 0)"
,,,
Hiw,"(1, 0)","(0, 0)","(0, 0)"
,,,
Ibaloi_(Nabaloi),"(0, 1)","(0, 0)","(0, 0)"
,,,
Ibanag,"(0, 1)","(0, 0)","(0, 0)"
,,,
Iban,"(0, 1)","(0, 0)","(0, 0)"
,,,
Ida'an,"(0, 1)","(1, 0)","(0, 0)"
,,,
Ifaluk_Nuclear_Woleaian_,"(1, 1)","(0, 0)","(0, 0)"
,,,
Ifugaw_(Ifugao),"(0, 1)","(0, 0)","(0, 0)"
,,,
Ili'uun,"(1, 1)","(0, 0)","(1, 1)"
,,,
Ilokano,"(1, 1)","(0, 0)","(0, 0)"
,,,
Indonesian_Bajau,"(0, 1)","(1, 1)","(0, 1)"
,,,
Indonesian,"(0, 1)","(1, 0)","(0, 0)"
,,,
Iraya,"(0, 1)","(1, 0)","(0, 0)"
,,,
Isnag,"(0, 1)","(1, 0)","(0, 0)"
,,,
Itbayat,"(0, 1)","(1, 0)","(0, 0)"
,,,
Itneg_(Binongan),"(0, 1)","(1, 0)","(1, 0)"
,,,
Javanese,"(1, 1)","(1, 1)","(0, 0)"
,,,
Kadai,"(1, 1)","(0, 0)","(0, 0)"
,,,
Kalinga_(Ahin-Kayapa_Kalanguya),"(0, 1)","(1, 0)","(0, 0)"
,,,
Kambera,"(1, 1)","(0, 0)","(1, 1)"
,,,
Kankanaey_(Kankanai),"(0, 1)","(1, 0)","(0, 0)"
,,,
Kankanay,"(1, 0)","(1, 0)","(0, 0)"
,,,
Kapingamarangi,"(0, 1)","(0, 0)","(0, 0)"
,,,
Kapingamarangi_,"(1, 1)","(0, 0)","(0, 0)"
,,,
Kei,"(1, 0)","(0, 0)","(0, 0)"
,,,
Kilivila,"(1, 1)","(1, 0)","(0, 1)"
,,,
Kiput,"(0, 1)","(1, 0)","(0, 0)"
,,,
Kodeoha,"(0, 1)","(1, 0)","(0, 0)"
,,,
Kodi,"(0, 0)","(0, 0)","(0, 0)"
,,,
Konawe,"(0, 1)","(1, 0)","(0, 0)"
,,,
Koroni,"(0, 1)","(1, 0)","(0, 0)"
,,,
Kuanua,"(1, 1)","(0, 0)","(1, 1)"
,,,
Kulisusu,"(0, 0)","(1, 0)","(0, 0)"
,,,
Kwaio,"(0, 1)","(1, 0)","(1, 0)"
,,,
Kwamera,"(1, 1)","(0, 0)","(0, 1)"
,,,
Laiwui,"(0, 1)","(1, 0)","(0, 0)"
,,,
Lalomerui,"(0, 1)","(1, 0)","(0, 0)"
,,,
Lamahalot,"(0, 1)","(0, 0)","(0, 1)"
,,,
Lametin,"(0, 0)","(0, 0)","(0, 0)"
,,,
Lamogai,"(1, 0)","(1, 0)","(0, 0)"
,,,
Landewe,"(0, 1)","(1, 0)","(0, 0)"
,,,
Larevat,"(1, 0)","(0, 0)","(0, 0)"
,,,
Lauje,"(0, 1)","(1, 0)","(0, 0)"
,,,
Lau_Fijian,"(1, 1)","(0, 1)","(1, 1)"
,,,
Lau,"(1, 1)","(1, 0)","(0, 0)"
,,,
Lavatbura-lamusong_(Konobin),"(1, 0)","(0, 0)","(0, 0)"
,,,
Lelepa,"(1, 1)","(0, 0)","(0, 1)"
,,,
Lenakel,"(1, 1)","(0, 0)","(1, 1)"
,,,
Letemboi-Repanbitip,"(1, 1)","(0, 0)","(1, 0)"
,,,
Lewo,"(1, 0)","(0, 0)","(0, 0)"
,,,
Lo-Toga_(Loh),"(1, 1)","(0, 0)","(1, 0)"
,,,
Loniu,"(1, 0)","(0, 0)","(0, 0)"
,,,
Lonwolwol,"(1, 1)","(0, 0)","(0, 1)"
,,,
Luangiua_(Ontong_Java),"(1, 1)","(0, 0)","(0, 0)"
,,,
Lubuagan_Kalinga,"(1, 1)","(1, 0)","(1, 0)"
,,,
Luburua_(Kara),"(1, 0)","(0, 0)","(0, 0)"
,,,
Ma'anyan,"(0, 1)","(1, 0)","(0, 0)"
,,,
Maba_(Indonesia),"(1, 1)","(0, 0)","(0, 0)"
,,,
Madak_(Konnos),"(1, 1)","(0, 0)","(0, 0)"
,,,
Madurese,"(0, 0)","(1, 1)","(0, 0)"
,,,
Mafea_(Mavea),"(1, 1)","(0, 0)","(1, 1)"
,,,
Magam,"(1, 1)","(0, 0)","(0, 1)"
,,,
Maguindanao_(Magindonao_Moro),"(0, 1)","(1, 0)","(0, 0)"
,,,
Malua_Bay,"(1, 1)","(0, 0)","(0, 1)"
,,,
Manam,"(1, 1)","(1, 0)","(1, 1)"
,,,
Mangaia,"(1, 1)","(0, 0)","(0, 0)"
,,,
Mangarevans,"(1, 1)","(0, 1)","(0, 0)"
,,,
Mangareva,"(1, 1)","(0, 0)","(0, 0)"
,,,
Mangei_(Sobjo),"(1, 1)","(0, 0)","(0, 0)"
,,,
Manggarai,"(1, 1)","(0, 0)","(1, 1)"
,,,
Maori,"(1, 1)","(0, 0)","(0, 0)"
,,,
Maragus_(Tape),"(0, 1)","(0, 1)","(0, 0)"
,,,
Maranao_(Lanao_Moro),"(0, 1)","(1, 0)","(0, 0)"
,,,
Marquesas,"(1, 1)","(0, 1)","(0, 1)"
,,,
Marshallese,"(1, 1)","(1, 0)","(1, 0)"
,,,
Maskelynes,"(1, 1)","(0, 0)","(0, 0)"
,,,
Matukar,"(1, 1)","(0, 0)","(0, 0)"
,,,
Ma╠äori,"(1, 1)","(1, 0)","(0, 0)"
,,,
Mekeo_(East)_,"(0, 0)","(0, 0)","(0, 0)"
,,,
Mekeo_(North)_,"(0, 0)","(0, 0)","(0, 0)"
,,,
Mekeo_(North-West)_,"(0, 0)","(0, 0)","(0, 0)"
,,,
Mekeo_(West)_,"(0, 0)","(0, 0)","(0, 0)"
,,,
Mekeo,"(0, 0)","(1, 0)","(0, 0)"
,,,
Mekongga,"(0, 1)","(1, 0)","(0, 0)"
,,,
Mele-Fila_(Ifira-Mele),"(1, 1)","(0, 0)","(0, 0)"
,,,
Menui,"(0, 1)","(1, 0)","(0, 0)"
,,,
Merei,"(0, 0)","(0, 0)","(0, 0)"
,,,
Merlav,"(1, 0)","(0, 0)","(0, 0)"
,,,
Minangkabau,"(0, 0)","(0, 0)","(0, 0)"
,,,
Miningir_(Lunga),"(1, 1)","(0, 0)","(0, 0)"
,,,
Mono-Alu,"(0, 1)","(0, 0)","(0, 0)"
,,,
Hawaiian,"(1, 1)","(1, 0)","(1, 1)"
,,,
Kings_Mill_Islands,"(1, 1)","(1, 0)","(1, 0)"
,,,
Kusaien,"(1, 1)","(1, 0)","(1, 1)"
,,,
Maori,"(1, 1)","(1, 0)","(0, 0)"
,,,
Mori_Atas,"(0, 1)","(1, 0)","(0, 0)"
,,,
Mori_Bawah,"(0, 1)","(1, 0)","(0, 0)"
,,,
Moronene,"(0, 0)","(1, 0)","(0, 0)"
,,,
Mortlockese,"(1, 1)","(0, 0)","(0, 0)"
,,,
Mota,"(1, 1)","(0, 0)","(0, 1)"
,,,
Motu,"(1, 1)","(0, 0)","(0, 1)"
,,,
Mouk,"(1, 1)","(0, 0)","(1, 1)"
,,,
Muduapa_(Vitu),"(1, 1)","(0, 0)","(0, 1)"
,,,
Muna,"(1, 1)","(1, 0)","(0, 0)"
,,,
Munggava_(Rennell),"(1, 0)","(0, 0)","(1, 0)"
,,,
Mungiki_(Bellona),"(0, 0)","(0, 0)","(0, 0)"
,,,
Mussau-Emira,"(0, 1)","(1, 0)","(1, 1)"
,,,
Mwotlap,"(1, 1)","(0, 0)","(0, 1)"
,,,
Nafsan,"(1, 1)","(1, 1)","(1, 0)"
,,,
Nage,"(1, 1)","(1, 1)","(1, 1)"
,,,
Nahavaq,"(1, 1)","(0, 0)","(0, 0)"
,,,
Nakanai,"(1, 1)","(0, 1)","(0, 1)"
,,,
Nalik_(Lukuramau),"(1, 1)","(0, 0)","(1, 0)"
,,,
Nalik_(Madina)_,"(1, 0)","(0, 0)","(1, 0)"
,,,
Namakura,"(1, 1)","(0, 0)","(0, 1)"
,,,
Namakura_,"(1, 0)","(0, 0)","(0, 0)"
,,,
Naman,"(1, 0)","(0, 0)","(0, 0)"
,,,
Nanggu,"(1, 1)","(0, 0)","(0, 0)"
,,,
Nehan,"(1, 0)","(0, 0)","(0, 0)"
,,,
Nengone,"(1, 1)","(1, 0)","(0, 1)"
,,,
Nese,"(1, 0)","(0, 0)","(0, 0)"
,,,
Neve'ei,"(1, 1)","(0, 0)","(0, 1)"
,,,
Neve'ei_,"(0, 0)","(0, 1)","(0, 0)"
,,,
Neverver,"(1, 1)","(0, 1)","(1, 0)"
,,,
Nguna,"(1, 1)","(0, 0)","(1, 1)"
,,,
Niuafo'ou,"(1, 1)","(0, 0)","(0, 1)"
,,,
Niueans,"(1, 1)","(0, 0)","(0, 0)"
,,,
Niue,"(1, 1)","(1, 0)","(0, 0)"
,,,
North_Ambrym,"(1, 1)","(0, 0)","(0, 1)"
,,,
"North_Efate_(Nguna,_Nakanamanga)","(1, 1)","(0, 0)","(0, 1)"
,,,
North_Marquesan,"(1, 1)","(0, 0)","(0, 0)"
,,,
North_Tanna,"(1, 0)","(0, 0)","(1, 0)"
,,,
Numbami,"(1, 1)","(0, 1)","(0, 1)"
,,,
Olal,"(0, 0)","(0, 0)","(0, 0)"
,,,
Old_Javanese_(Kawi),"(0, 0)","(0, 0)","(0, 0)"
,,,
Old_Rapa_(Rapa),"(1, 1)","(0, 0)","(0, 0)"
,,,
Ontong_Java,"(1, 1)","(0, 0)","(0, 0)"
,,,
Owa_(Santa_Ana),"(1, 1)","(1, 0)","(1, 0)"
,,,
Padoe,"(0, 1)","(1, 0)","(0, 0)"
,,,
Paici,"(1, 1)","(1, 0)","(1, 1)"
,,,
Paiwan,"(0, 1)","(0, 0)","(0, 0)"
,,,
Palauan,"(1, 0)","(0, 0)","(1, 0)"
,,,
Paluai,"(1, 1)","(0, 0)","(0, 1)"
,,,
Pama_(Paamanese),"(1, 0)","(0, 0)","(0, 0)"
,,,
Pampanga_(Kampampangan),"(1, 1)","(0, 0)","(0, 0)"
,,,
Pangasinan,"(0, 1)","(0, 0)","(0, 0)"
,,,
Patani,"(1, 1)","(1, 0)","(0, 0)"
,,,
Pendau,"(0, 1)","(1, 0)","(0, 0)"
,,,
Penrhyn_(Tongareva),"(1, 1)","(1, 0)","(1, 0)"
,,,
Petapa_Taje_,"(0, 1)","(1, 0)","(0, 0)"
,,,
Pohnpeian,"(1, 0)","(0, 0)","(0, 0)"
,,,
Pohnpeian_,"(1, 1)","(0, 0)","(0, 0)"
,,,
Port_Sandwich,"(1, 0)","(0, 0)","(1, 0)"
,,,
Proto-Oceanic,"(1, 1)","(0, 0)","(0, 0)"
,,,
Pukapuka,"(1, 1)","(1, 0)","(0, 0)"
,,,
Puluwatese_(Puluwat),"(1, 1)","(0, 0)","(1, 0)"
,,,
Puyuma,"(0, 0)","(1, 0)","(0, 0)"
,,,
Rade_(Rhade),"(1, 1)","(1, 1)","(0, 0)"
,,,
Raga_(Hano),"(1, 1)","(1, 0)","(0, 1)"
,,,
Raga_(Hano_Thomas_Ennever)_,"(1, 1)","(0, 0)","(1, 1)"
,,,
Rahambuu,"(0, 1)","(1, 0)","(0, 0)"
,,,
Rakahanga-Manihiki,"(1, 1)","(0, 0)","(0, 0)"
,,,
