LANGUAGE,KIN TYPE,GENERATION,GENDER DISTINGUISHED,AGE DISTINGUISHED
English,siblings,G0,1,0
English,mz cousins,G0,0,0
English,mb cousins,G0,0,0
English,fz cousins,G0,0,0
English,fb cousins,G0,0,0
English,m siblings,G+1,1,0
English,f siblings,G+1,1,0
