LANGUAGE,GEN_0,GEN_1,SET
frankenlanguage1.csv_579,1.0,1.0,579
frankenlanguage10.csv_579,0.0,0.0,579
frankenlanguage100.csv_579,0.25,1.0,579
frankenlanguage1000.csv_579,0.0,1.0,579
frankenlanguage102.csv_579,0.0,0.0,579
frankenlanguage104.csv_579,0.0,0.0,579
frankenlanguage107.csv_579,0.0,0.5,579
frankenlanguage109.csv_579,0.0,1.0,579
frankenlanguage111.csv_579,1.0,1.0,579
frankenlanguage112.csv_579,0.0,1.0,579
frankenlanguage113.csv_579,1.0,1.0,579
frankenlanguage114.csv_579,1.0,0.0,579
frankenlanguage115.csv_579,0.0,1.0,579
frankenlanguage117.csv_579,0.0,1.0,579
frankenlanguage118.csv_579,0.25,1.0,579
frankenlanguage12.csv_579,0.0,1.0,579
frankenlanguage120.csv_579,0.0,1.0,579
frankenlanguage124.csv_579,0.0,1.0,579
frankenlanguage125.csv_579,0.0,1.0,579
frankenlanguage126.csv_579,0.25,0.0,579
frankenlanguage128.csv_579,0.0,1.0,579
frankenlanguage129.csv_579,1.0,1.0,579
frankenlanguage13.csv_579,1.0,1.0,579
frankenlanguage130.csv_579,0.0,1.0,579
frankenlanguage131.csv_579,0.0,1.0,579
frankenlanguage132.csv_579,0.0,1.0,579
frankenlanguage134.csv_579,1.0,1.0,579
frankenlanguage135.csv_579,0.0,1.0,579
frankenlanguage137.csv_579,1.0,1.0,579
frankenlanguage138.csv_579,0.0,0.0,579
frankenlanguage141.csv_579,0.0,0.0,579
frankenlanguage142.csv_579,0.0,1.0,579
frankenlanguage143.csv_579,0.0,1.0,579
frankenlanguage144.csv_579,0.25,0.0,579
frankenlanguage145.csv_579,0.0,1.0,579
frankenlanguage146.csv_579,0.25,0.0,579
frankenlanguage147.csv_579,0.0,1.0,579
frankenlanguage148.csv_579,0.0,1.0,579
frankenlanguage149.csv_579,0.0,1.0,579
frankenlanguage15.csv_579,0.0,1.0,579
frankenlanguage150.csv_579,1.0,1.0,579
frankenlanguage151.csv_579,0.0,1.0,579
frankenlanguage154.csv_579,1.0,1.0,579
frankenlanguage155.csv_579,0.0,0.0,579
frankenlanguage156.csv_579,0.0,0.5,579
frankenlanguage157.csv_579,0.0,1.0,579
frankenlanguage159.csv_579,0.0,1.0,579
frankenlanguage16.csv_579,1.0,1.0,579
frankenlanguage161.csv_579,1.0,1.0,579
frankenlanguage162.csv_579,1.0,1.0,579
frankenlanguage164.csv_579,0.25,0.5,579
frankenlanguage165.csv_579,0.25,0.0,579
frankenlanguage166.csv_579,1.0,0.5,579
frankenlanguage167.csv_579,1.0,1.0,579
frankenlanguage168.csv_579,0.0,1.0,579
frankenlanguage17.csv_579,0.0,1.0,579
frankenlanguage170.csv_579,0.0,1.0,579
frankenlanguage171.csv_579,0.0,1.0,579
frankenlanguage174.csv_579,1.0,1.0,579
frankenlanguage175.csv_579,0.25,1.0,579
frankenlanguage179.csv_579,1.0,1.0,579
frankenlanguage18.csv_579,0.0,1.0,579
frankenlanguage180.csv_579,0.0,1.0,579
frankenlanguage181.csv_579,0.0,0.5,579
frankenlanguage183.csv_579,0.25,1.0,579
frankenlanguage184.csv_579,0.0,1.0,579
frankenlanguage186.csv_579,1.0,1.0,579
frankenlanguage187.csv_579,0.0,1.0,579
frankenlanguage188.csv_579,0.25,1.0,579
frankenlanguage189.csv_579,0.0,1.0,579
frankenlanguage19.csv_579,0.0,1.0,579
frankenlanguage191.csv_579,0.0,1.0,579
frankenlanguage193.csv_579,0.0,1.0,579
frankenlanguage195.csv_579,1.0,0.0,579
frankenlanguage197.csv_579,1.0,1.0,579
frankenlanguage198.csv_579,0.25,0.0,579
frankenlanguage199.csv_579,0.0,1.0,579
frankenlanguage20.csv_579,1.0,0.0,579
frankenlanguage200.csv_579,1.0,1.0,579
frankenlanguage201.csv_579,1.0,1.0,579
frankenlanguage202.csv_579,0.0,0.0,579
frankenlanguage204.csv_579,0.0,0.0,579
frankenlanguage206.csv_579,0.0,1.0,579
frankenlanguage208.csv_579,1.0,1.0,579
frankenlanguage211.csv_579,0.0,1.0,579
frankenlanguage214.csv_579,1.0,1.0,579
frankenlanguage215.csv_579,0.0,0.0,579
frankenlanguage216.csv_579,0.0,1.0,579
frankenlanguage218.csv_579,0.25,1.0,579
frankenlanguage22.csv_579,0.0,0.0,579
frankenlanguage220.csv_579,0.0,1.0,579
frankenlanguage222.csv_579,1.0,1.0,579
frankenlanguage225.csv_579,1.0,1.0,579
frankenlanguage226.csv_579,0.0,1.0,579
frankenlanguage227.csv_579,1.0,1.0,579
