LANGUAGE,GEN_0,GEN_1,SET
frankenlanguage1.csv_659,1.0,1.0,659
frankenlanguage10.csv_659,0.25,0.0,659
frankenlanguage100.csv_659,1.0,1.0,659
frankenlanguage101.csv_659,1.0,1.0,659
frankenlanguage102.csv_659,0.0,1.0,659
frankenlanguage103.csv_659,0.0,0.0,659
frankenlanguage104.csv_659,0.0,1.0,659
frankenlanguage105.csv_659,0.0,1.0,659
frankenlanguage106.csv_659,0.0,1.0,659
frankenlanguage107.csv_659,0.0,1.0,659
frankenlanguage108.csv_659,1.0,0.0,659
frankenlanguage110.csv_659,0.0,0.0,659
frankenlanguage113.csv_659,1.0,0.0,659
frankenlanguage114.csv_659,1.0,1.0,659
frankenlanguage115.csv_659,0.0,1.0,659
frankenlanguage116.csv_659,1.0,1.0,659
frankenlanguage117.csv_659,0.0,1.0,659
frankenlanguage119.csv_659,0.0,1.0,659
frankenlanguage12.csv_659,0.0,0.0,659
frankenlanguage121.csv_659,0.0,1.0,659
frankenlanguage122.csv_659,1.0,1.0,659
frankenlanguage123.csv_659,0.0,1.0,659
frankenlanguage124.csv_659,0.0,1.0,659
frankenlanguage125.csv_659,0.25,0.0,659
frankenlanguage127.csv_659,1.0,1.0,659
frankenlanguage131.csv_659,0.0,0.0,659
frankenlanguage135.csv_659,0.0,1.0,659
frankenlanguage136.csv_659,0.0,0.5,659
frankenlanguage137.csv_659,0.0,0.0,659
frankenlanguage14.csv_659,0.0,1.0,659
frankenlanguage140.csv_659,1.0,0.5,659
frankenlanguage142.csv_659,0.0,1.0,659
frankenlanguage143.csv_659,0.0,0.5,659
frankenlanguage144.csv_659,0.0,1.0,659
frankenlanguage145.csv_659,0.0,0.0,659
frankenlanguage146.csv_659,0.0,1.0,659
frankenlanguage147.csv_659,1.0,1.0,659
frankenlanguage149.csv_659,0.0,0.0,659
frankenlanguage15.csv_659,0.0,1.0,659
frankenlanguage150.csv_659,1.0,1.0,659
frankenlanguage151.csv_659,0.0,1.0,659
frankenlanguage152.csv_659,0.0,1.0,659
frankenlanguage154.csv_659,1.0,1.0,659
frankenlanguage155.csv_659,1.0,1.0,659
frankenlanguage156.csv_659,0.0,1.0,659
frankenlanguage159.csv_659,0.0,1.0,659
frankenlanguage16.csv_659,0.0,1.0,659
frankenlanguage160.csv_659,0.25,1.0,659
frankenlanguage161.csv_659,1.0,1.0,659
frankenlanguage163.csv_659,0.0,1.0,659
frankenlanguage164.csv_659,0.0,1.0,659
frankenlanguage168.csv_659,0.0,1.0,659
frankenlanguage174.csv_659,0.0,1.0,659
frankenlanguage175.csv_659,1.0,1.0,659
frankenlanguage176.csv_659,0.0,0.0,659
frankenlanguage177.csv_659,1.0,0.0,659
frankenlanguage178.csv_659,0.0,1.0,659
frankenlanguage18.csv_659,1.0,1.0,659
frankenlanguage180.csv_659,0.0,1.0,659
frankenlanguage181.csv_659,0.0,1.0,659
frankenlanguage182.csv_659,0.0,1.0,659
frankenlanguage183.csv_659,0.0,0.0,659
frankenlanguage184.csv_659,1.0,1.0,659
frankenlanguage185.csv_659,0.0,1.0,659
frankenlanguage186.csv_659,0.25,1.0,659
frankenlanguage188.csv_659,0.0,1.0,659
frankenlanguage19.csv_659,1.0,1.0,659
frankenlanguage190.csv_659,1.0,0.0,659
frankenlanguage191.csv_659,1.0,1.0,659
frankenlanguage194.csv_659,0.0,0.0,659
frankenlanguage196.csv_659,1.0,0.0,659
frankenlanguage197.csv_659,0.0,0.0,659
frankenlanguage198.csv_659,0.0,0.0,659
frankenlanguage199.csv_659,1.0,1.0,659
frankenlanguage2.csv_659,0.0,0.0,659
frankenlanguage20.csv_659,0.0,1.0,659
frankenlanguage200.csv_659,0.0,1.0,659
frankenlanguage201.csv_659,0.0,0.0,659
frankenlanguage203.csv_659,1.0,1.0,659
frankenlanguage205.csv_659,0.0,0.0,659
frankenlanguage206.csv_659,1.0,0.0,659
frankenlanguage207.csv_659,0.0,1.0,659
frankenlanguage208.csv_659,0.0,1.0,659
frankenlanguage209.csv_659,0.0,0.0,659
frankenlanguage21.csv_659,0.0,1.0,659
frankenlanguage210.csv_659,0.25,1.0,659
frankenlanguage213.csv_659,0.0,0.0,659
frankenlanguage214.csv_659,1.0,0.0,659
frankenlanguage217.csv_659,0.0,1.0,659
frankenlanguage219.csv_659,0.0,1.0,659
frankenlanguage22.csv_659,0.0,1.0,659
frankenlanguage220.csv_659,0.0,0.0,659
frankenlanguage222.csv_659,0.0,1.0,659
frankenlanguage227.csv_659,0.0,1.0,659
frankenlanguage228.csv_659,0.0,1.0,659
frankenlanguage229.csv_659,0.0,1.0,659
frankenlanguage230.csv_659,1.0,1.0,659
frankenlanguage233.csv_659,0.0,0.0,659
frankenlanguage234.csv_659,0.25,1.0,659
frankenlanguage235.csv_659,0.0,1.0,659
frankenlanguage237.csv_659,0.0,1.0,659
frankenlanguage238.csv_659,0.0,1.0,659
frankenlanguage239.csv_659,0.0,1.0,659
frankenlanguage24.csv_659,0.25,1.0,659
frankenlanguage240.csv_659,0.0,1.0,659
frankenlanguage241.csv_659,0.0,1.0,659
frankenlanguage242.csv_659,0.0,1.0,659
frankenlanguage246.csv_659,1.0,1.0,659
frankenlanguage247.csv_659,0.0,1.0,659
frankenlanguage248.csv_659,0.0,0.0,659
frankenlanguage249.csv_659,0.0,0.0,659
frankenlanguage25.csv_659,0.0,0.5,659
frankenlanguage250.csv_659,0.0,1.0,659
frankenlanguage251.csv_659,0.0,1.0,659
frankenlanguage253.csv_659,0.0,0.0,659
frankenlanguage254.csv_659,0.0,0.0,659
frankenlanguage255.csv_659,0.0,1.0,659
frankenlanguage256.csv_659,0.0,1.0,659
frankenlanguage257.csv_659,0.25,1.0,659
frankenlanguage258.csv_659,0.0,1.0,659
frankenlanguage259.csv_659,1.0,1.0,659
frankenlanguage26.csv_659,0.0,0.0,659
frankenlanguage261.csv_659,0.0,0.0,659
frankenlanguage262.csv_659,1.0,1.0,659
frankenlanguage263.csv_659,0.0,1.0,659
frankenlanguage264.csv_659,0.0,1.0,659
frankenlanguage265.csv_659,0.0,1.0,659
frankenlanguage266.csv_659,0.0,1.0,659
frankenlanguage267.csv_659,0.0,1.0,659
