LANGUAGE,GEN_0,GEN_1,SET
frankenlanguage285.csv_3,0.0,0.5,3
frankenlanguage286.csv_3,0.0,1.0,3
frankenlanguage287.csv_3,1.0,1.0,3
frankenlanguage288.csv_3,0.0,1.0,3
frankenlanguage29.csv_3,0.0,1.0,3
frankenlanguage290.csv_3,0.0,0.0,3
frankenlanguage291.csv_3,0.0,1.0,3
frankenlanguage292.csv_3,1.0,1.0,3
frankenlanguage295.csv_3,0.0,1.0,3
frankenlanguage296.csv_3,0.0,1.0,3
frankenlanguage298.csv_3,1.0,1.0,3
frankenlanguage299.csv_3,1.0,0.0,3
frankenlanguage3.csv_3,0.0,1.0,3
frankenlanguage30.csv_3,0.0,0.0,3
frankenlanguage300.csv_3,0.0,1.0,3
frankenlanguage301.csv_3,1.0,1.0,3
frankenlanguage303.csv_3,1.0,1.0,3
frankenlanguage304.csv_3,0.0,0.0,3
frankenlanguage305.csv_3,0.0,0.0,3
frankenlanguage306.csv_3,1.0,1.0,3
frankenlanguage307.csv_3,0.0,1.0,3
frankenlanguage31.csv_3,0.0,1.0,3
frankenlanguage313.csv_3,0.0,0.5,3
frankenlanguage316.csv_3,0.0,1.0,3
frankenlanguage317.csv_3,0.0,0.0,3
frankenlanguage32.csv_3,0.0,1.0,3
frankenlanguage321.csv_3,0.0,0.0,3
frankenlanguage323.csv_3,1.0,1.0,3
frankenlanguage324.csv_3,0.0,1.0,3
frankenlanguage325.csv_3,0.0,1.0,3
frankenlanguage326.csv_3,0.25,1.0,3
frankenlanguage327.csv_3,0.0,1.0,3
frankenlanguage328.csv_3,0.0,1.0,3
frankenlanguage329.csv_3,0.0,1.0,3
frankenlanguage33.csv_3,0.0,1.0,3
frankenlanguage330.csv_3,1.0,0.0,3
frankenlanguage331.csv_3,0.0,0.0,3
frankenlanguage333.csv_3,1.0,1.0,3
frankenlanguage339.csv_3,1.0,1.0,3
frankenlanguage34.csv_3,1.0,1.0,3
frankenlanguage340.csv_3,0.0,1.0,3
frankenlanguage342.csv_3,1.0,1.0,3
frankenlanguage343.csv_3,1.0,1.0,3
frankenlanguage349.csv_3,0.0,1.0,3
frankenlanguage35.csv_3,1.0,1.0,3
frankenlanguage350.csv_3,0.0,1.0,3
frankenlanguage353.csv_3,0.0,0.0,3
frankenlanguage355.csv_3,0.0,1.0,3
frankenlanguage356.csv_3,0.0,1.0,3
frankenlanguage357.csv_3,0.0,1.0,3
frankenlanguage36.csv_3,0.0,0.0,3
frankenlanguage360.csv_3,0.0,1.0,3
frankenlanguage361.csv_3,0.0,1.0,3
frankenlanguage362.csv_3,0.0,0.0,3
frankenlanguage363.csv_3,0.25,1.0,3
frankenlanguage364.csv_3,0.25,1.0,3
frankenlanguage365.csv_3,0.0,1.0,3
frankenlanguage37.csv_3,0.0,0.5,3
frankenlanguage370.csv_3,0.0,1.0,3
frankenlanguage371.csv_3,1.0,1.0,3
frankenlanguage372.csv_3,0.0,0.0,3
frankenlanguage373.csv_3,0.0,0.5,3
frankenlanguage376.csv_3,0.0,1.0,3
frankenlanguage378.csv_3,0.0,1.0,3
frankenlanguage379.csv_3,1.0,1.0,3
frankenlanguage380.csv_3,1.0,1.0,3
frankenlanguage381.csv_3,0.0,1.0,3
frankenlanguage382.csv_3,1.0,1.0,3
frankenlanguage383.csv_3,0.0,1.0,3
frankenlanguage384.csv_3,1.0,1.0,3
frankenlanguage386.csv_3,1.0,1.0,3
frankenlanguage387.csv_3,0.0,1.0,3
frankenlanguage39.csv_3,1.0,1.0,3
frankenlanguage391.csv_3,0.0,1.0,3
frankenlanguage392.csv_3,0.0,1.0,3
frankenlanguage394.csv_3,0.0,1.0,3
frankenlanguage395.csv_3,0.0,1.0,3
frankenlanguage396.csv_3,1.0,1.0,3
frankenlanguage397.csv_3,0.0,1.0,3
frankenlanguage399.csv_3,0.0,1.0,3
frankenlanguage4.csv_3,0.0,0.0,3
frankenlanguage400.csv_3,1.0,1.0,3
frankenlanguage401.csv_3,0.0,1.0,3
frankenlanguage402.csv_3,0.0,1.0,3
frankenlanguage403.csv_3,0.0,1.0,3
frankenlanguage407.csv_3,1.0,1.0,3
frankenlanguage408.csv_3,0.0,1.0,3
frankenlanguage410.csv_3,0.0,0.0,3
frankenlanguage411.csv_3,0.0,1.0,3
frankenlanguage412.csv_3,0.0,1.0,3
frankenlanguage414.csv_3,1.0,1.0,3
frankenlanguage415.csv_3,1.0,1.0,3
frankenlanguage416.csv_3,0.0,1.0,3
frankenlanguage417.csv_3,0.0,1.0,3
frankenlanguage419.csv_3,0.0,1.0,3
frankenlanguage42.csv_3,1.0,1.0,3
frankenlanguage420.csv_3,0.25,0.0,3
frankenlanguage422.csv_3,1.0,1.0,3
frankenlanguage423.csv_3,0.0,1.0,3
frankenlanguage426.csv_3,0.0,0.0,3
frankenlanguage427.csv_3,0.0,1.0,3
frankenlanguage428.csv_3,0.0,1.0,3
frankenlanguage43.csv_3,1.0,1.0,3
frankenlanguage430.csv_3,0.0,1.0,3
frankenlanguage432.csv_3,1.0,1.0,3
frankenlanguage433.csv_3,0.0,0.0,3
frankenlanguage435.csv_3,0.0,1.0,3
frankenlanguage436.csv_3,0.0,0.5,3
frankenlanguage439.csv_3,0.0,1.0,3
frankenlanguage44.csv_3,0.0,1.0,3
frankenlanguage441.csv_3,0.0,1.0,3
frankenlanguage442.csv_3,0.0,1.0,3
frankenlanguage443.csv_3,0.0,1.0,3
frankenlanguage447.csv_3,1.0,1.0,3
frankenlanguage45.csv_3,1.0,1.0,3
frankenlanguage450.csv_3,0.0,1.0,3
frankenlanguage451.csv_3,0.0,1.0,3
frankenlanguage452.csv_3,0.0,1.0,3
frankenlanguage455.csv_3,0.25,0.0,3
frankenlanguage458.csv_3,1.0,1.0,3
frankenlanguage459.csv_3,0.0,1.0,3
frankenlanguage460.csv_3,1.0,1.0,3
frankenlanguage462.csv_3,1.0,1.0,3
frankenlanguage463.csv_3,1.0,0.5,3
frankenlanguage464.csv_3,0.0,1.0,3
frankenlanguage466.csv_3,0.25,1.0,3
frankenlanguage467.csv_3,1.0,0.0,3
frankenlanguage468.csv_3,0.0,1.0,3
frankenlanguage469.csv_3,1.0,1.0,3
frankenlanguage47.csv_3,1.0,1.0,3
frankenlanguage470.csv_3,0.0,0.0,3
frankenlanguage471.csv_3,1.0,1.0,3
frankenlanguage473.csv_3,1.0,0.0,3
frankenlanguage475.csv_3,1.0,1.0,3
frankenlanguage476.csv_3,0.0,1.0,3
frankenlanguage479.csv_3,0.0,1.0,3
frankenlanguage48.csv_3,0.0,1.0,3
frankenlanguage480.csv_3,0.0,1.0,3
frankenlanguage481.csv_3,0.0,1.0,3
frankenlanguage482.csv_3,0.0,1.0,3
frankenlanguage483.csv_3,1.0,0.5,3
frankenlanguage484.csv_3,0.0,1.0,3
frankenlanguage487.csv_3,0.0,1.0,3
frankenlanguage488.csv_3,0.0,1.0,3
frankenlanguage489.csv_3,0.0,1.0,3
frankenlanguage49.csv_3,0.0,1.0,3
frankenlanguage490.csv_3,0.0,0.0,3
frankenlanguage491.csv_3,0.0,1.0,3
frankenlanguage492.csv_3,0.0,1.0,3
frankenlanguage493.csv_3,0.0,0.5,3
frankenlanguage494.csv_3,0.0,1.0,3
frankenlanguage495.csv_3,0.0,0.5,3
frankenlanguage496.csv_3,0.0,1.0,3
frankenlanguage499.csv_3,1.0,1.0,3
frankenlanguage5.csv_3,0.0,0.5,3
frankenlanguage500.csv_3,0.0,1.0,3
frankenlanguage506.csv_3,1.0,0.5,3
frankenlanguage507.csv_3,0.0,0.0,3
frankenlanguage508.csv_3,0.0,1.0,3
frankenlanguage509.csv_3,0.0,1.0,3
frankenlanguage51.csv_3,0.25,1.0,3
frankenlanguage510.csv_3,0.0,1.0,3
frankenlanguage511.csv_3,1.0,0.5,3
frankenlanguage513.csv_3,1.0,1.0,3
frankenlanguage514.csv_3,0.0,1.0,3
frankenlanguage515.csv_3,1.0,1.0,3
frankenlanguage516.csv_3,0.0,1.0,3
frankenlanguage518.csv_3,0.0,1.0,3
frankenlanguage519.csv_3,0.0,0.0,3
frankenlanguage52.csv_3,0.0,1.0,3
frankenlanguage521.csv_3,1.0,0.0,3
frankenlanguage525.csv_3,0.0,0.0,3
frankenlanguage526.csv_3,0.0,1.0,3
frankenlanguage527.csv_3,0.0,1.0,3
frankenlanguage529.csv_3,0.0,1.0,3
frankenlanguage53.csv_3,0.25,1.0,3
frankenlanguage530.csv_3,0.0,1.0,3
frankenlanguage531.csv_3,1.0,0.0,3
frankenlanguage532.csv_3,1.0,0.0,3
frankenlanguage533.csv_3,0.25,1.0,3
frankenlanguage535.csv_3,0.0,0.0,3
frankenlanguage537.csv_3,0.0,1.0,3
frankenlanguage538.csv_3,1.0,1.0,3
frankenlanguage540.csv_3,1.0,1.0,3
frankenlanguage541.csv_3,0.0,1.0,3
frankenlanguage542.csv_3,1.0,0.5,3
frankenlanguage543.csv_3,0.0,1.0,3
frankenlanguage544.csv_3,0.0,1.0,3
frankenlanguage547.csv_3,0.0,0.0,3
frankenlanguage55.csv_3,0.0,1.0,3
frankenlanguage550.csv_3,0.0,0.0,3
frankenlanguage554.csv_3,0.0,1.0,3
frankenlanguage559.csv_3,0.0,1.0,3
frankenlanguage560.csv_3,1.0,1.0,3
frankenlanguage563.csv_3,1.0,1.0,3
frankenlanguage564.csv_3,0.0,0.0,3
frankenlanguage569.csv_3,0.0,1.0,3
frankenlanguage57.csv_3,0.25,1.0,3
frankenlanguage572.csv_3,0.0,1.0,3
frankenlanguage573.csv_3,0.0,1.0,3
frankenlanguage574.csv_3,0.0,1.0,3
frankenlanguage576.csv_3,1.0,1.0,3
frankenlanguage578.csv_3,1.0,1.0,3
frankenlanguage579.csv_3,0.0,1.0,3
frankenlanguage581.csv_3,0.0,1.0,3
frankenlanguage582.csv_3,1.0,1.0,3
frankenlanguage583.csv_3,0.0,0.0,3
frankenlanguage586.csv_3,0.0,1.0,3
frankenlanguage587.csv_3,1.0,1.0,3
frankenlanguage588.csv_3,0.0,1.0,3
frankenlanguage589.csv_3,0.0,1.0,3
frankenlanguage591.csv_3,0.0,0.0,3
frankenlanguage592.csv_3,0.0,1.0,3
frankenlanguage593.csv_3,1.0,1.0,3
frankenlanguage594.csv_3,0.0,1.0,3
frankenlanguage599.csv_3,0.0,0.5,3
frankenlanguage60.csv_3,0.0,1.0,3
frankenlanguage600.csv_3,1.0,1.0,3
frankenlanguage601.csv_3,1.0,0.0,3
frankenlanguage602.csv_3,0.25,1.0,3
frankenlanguage603.csv_3,0.0,1.0,3
frankenlanguage604.csv_3,0.25,1.0,3
frankenlanguage606.csv_3,0.0,1.0,3
frankenlanguage607.csv_3,0.0,0.0,3
frankenlanguage609.csv_3,0.0,1.0,3
frankenlanguage61.csv_3,0.0,1.0,3
frankenlanguage610.csv_3,1.0,1.0,3
frankenlanguage611.csv_3,0.0,1.0,3
frankenlanguage612.csv_3,0.0,0.0,3
frankenlanguage613.csv_3,0.0,1.0,3
frankenlanguage614.csv_3,1.0,1.0,3
frankenlanguage615.csv_3,0.0,1.0,3
frankenlanguage618.csv_3,0.0,0.0,3
frankenlanguage619.csv_3,0.0,1.0,3
frankenlanguage620.csv_3,0.25,1.0,3
frankenlanguage621.csv_3,0.0,0.0,3
frankenlanguage622.csv_3,0.0,0.0,3
frankenlanguage623.csv_3,0.0,1.0,3
frankenlanguage624.csv_3,0.0,0.5,3
frankenlanguage628.csv_3,1.0,1.0,3
frankenlanguage629.csv_3,0.0,0.0,3
frankenlanguage63.csv_3,0.0,1.0,3
frankenlanguage630.csv_3,0.0,1.0,3
frankenlanguage631.csv_3,0.0,1.0,3
frankenlanguage632.csv_3,1.0,1.0,3
frankenlanguage633.csv_3,0.0,1.0,3
frankenlanguage635.csv_3,1.0,1.0,3
frankenlanguage637.csv_3,1.0,1.0,3
frankenlanguage638.csv_3,0.0,1.0,3
frankenlanguage639.csv_3,0.25,1.0,3
frankenlanguage64.csv_3,1.0,1.0,3
frankenlanguage640.csv_3,0.0,0.5,3
frankenlanguage641.csv_3,0.0,0.0,3
frankenlanguage642.csv_3,0.0,1.0,3
frankenlanguage646.csv_3,0.0,1.0,3
frankenlanguage648.csv_3,0.0,1.0,3
frankenlanguage649.csv_3,0.0,1.0,3
frankenlanguage65.csv_3,0.25,1.0,3
frankenlanguage650.csv_3,0.0,1.0,3
frankenlanguage651.csv_3,0.0,1.0,3
frankenlanguage653.csv_3,1.0,0.0,3
frankenlanguage654.csv_3,0.0,1.0,3
frankenlanguage657.csv_3,1.0,1.0,3
frankenlanguage659.csv_3,1.0,0.0,3
frankenlanguage66.csv_3,0.0,1.0,3
frankenlanguage660.csv_3,0.0,1.0,3
frankenlanguage661.csv_3,1.0,1.0,3
frankenlanguage663.csv_3,0.25,0.5,3
frankenlanguage666.csv_3,0.0,1.0,3
frankenlanguage669.csv_3,0.0,1.0,3
frankenlanguage670.csv_3,0.0,1.0,3
frankenlanguage671.csv_3,0.0,1.0,3
frankenlanguage673.csv_3,0.0,1.0,3
frankenlanguage674.csv_3,1.0,1.0,3
frankenlanguage675.csv_3,0.25,1.0,3
frankenlanguage679.csv_3,0.0,0.0,3
frankenlanguage68.csv_3,0.0,0.0,3
frankenlanguage69.csv_3,0.0,1.0,3
frankenlanguage690.csv_3,0.0,0.5,3
frankenlanguage691.csv_3,1.0,1.0,3
frankenlanguage694.csv_3,0.0,1.0,3
frankenlanguage697.csv_3,0.0,1.0,3
frankenlanguage698.csv_3,0.0,1.0,3
frankenlanguage699.csv_3,0.0,0.0,3
frankenlanguage70.csv_3,0.0,1.0,3
frankenlanguage700.csv_3,0.0,1.0,3
frankenlanguage701.csv_3,0.0,1.0,3
frankenlanguage702.csv_3,0.0,1.0,3
frankenlanguage705.csv_3,0.0,1.0,3
frankenlanguage706.csv_3,1.0,0.0,3
frankenlanguage707.csv_3,0.0,1.0,3
frankenlanguage711.csv_3,1.0,1.0,3
frankenlanguage713.csv_3,0.25,1.0,3
frankenlanguage714.csv_3,0.0,1.0,3
frankenlanguage717.csv_3,0.0,0.5,3
frankenlanguage718.csv_3,1.0,1.0,3
frankenlanguage72.csv_3,0.25,0.0,3
frankenlanguage721.csv_3,0.0,1.0,3
frankenlanguage724.csv_3,1.0,0.0,3
frankenlanguage726.csv_3,0.0,0.0,3
frankenlanguage727.csv_3,0.0,1.0,3
frankenlanguage728.csv_3,1.0,1.0,3
frankenlanguage729.csv_3,1.0,0.0,3
frankenlanguage730.csv_3,0.0,1.0,3
frankenlanguage731.csv_3,0.25,0.0,3
frankenlanguage733.csv_3,0.0,1.0,3
frankenlanguage734.csv_3,0.0,0.5,3
frankenlanguage735.csv_3,0.0,0.5,3
frankenlanguage736.csv_3,0.0,1.0,3
frankenlanguage737.csv_3,0.0,0.5,3
frankenlanguage74.csv_3,0.0,0.0,3
frankenlanguage740.csv_3,1.0,1.0,3
frankenlanguage745.csv_3,1.0,0.0,3
frankenlanguage746.csv_3,1.0,1.0,3
frankenlanguage747.csv_3,0.0,1.0,3
frankenlanguage748.csv_3,1.0,1.0,3
frankenlanguage75.csv_3,0.0,1.0,3
frankenlanguage750.csv_3,1.0,1.0,3
frankenlanguage752.csv_3,0.0,1.0,3
frankenlanguage753.csv_3,0.0,1.0,3
frankenlanguage754.csv_3,0.0,0.0,3
frankenlanguage757.csv_3,0.0,1.0,3
frankenlanguage758.csv_3,0.25,1.0,3
frankenlanguage76.csv_3,1.0,1.0,3
frankenlanguage760.csv_3,0.0,1.0,3
frankenlanguage762.csv_3,0.0,1.0,3
frankenlanguage763.csv_3,0.0,1.0,3
frankenlanguage764.csv_3,0.0,0.0,3
frankenlanguage765.csv_3,0.0,1.0,3
frankenlanguage766.csv_3,0.0,1.0,3
frankenlanguage768.csv_3,1.0,1.0,3
frankenlanguage769.csv_3,0.0,1.0,3
frankenlanguage771.csv_3,0.0,1.0,3
frankenlanguage772.csv_3,0.0,1.0,3
frankenlanguage773.csv_3,1.0,0.0,3
frankenlanguage774.csv_3,0.0,1.0,3
frankenlanguage775.csv_3,1.0,1.0,3
frankenlanguage776.csv_3,0.0,1.0,3
frankenlanguage777.csv_3,0.0,1.0,3
frankenlanguage778.csv_3,0.0,1.0,3
frankenlanguage779.csv_3,0.0,0.5,3
frankenlanguage781.csv_3,0.0,0.5,3
frankenlanguage782.csv_3,1.0,0.0,3
frankenlanguage784.csv_3,0.0,1.0,3
frankenlanguage785.csv_3,0.0,0.0,3
frankenlanguage786.csv_3,0.0,1.0,3
frankenlanguage787.csv_3,0.0,0.5,3
frankenlanguage790.csv_3,0.0,1.0,3
frankenlanguage791.csv_3,0.0,1.0,3
frankenlanguage794.csv_3,0.0,1.0,3
frankenlanguage795.csv_3,0.0,0.0,3
frankenlanguage797.csv_3,0.0,1.0,3
frankenlanguage798.csv_3,0.0,1.0,3
frankenlanguage799.csv_3,0.0,0.0,3
frankenlanguage800.csv_3,1.0,1.0,3
frankenlanguage801.csv_3,0.0,1.0,3
frankenlanguage803.csv_3,0.0,1.0,3
frankenlanguage804.csv_3,0.0,0.0,3
frankenlanguage805.csv_3,0.25,0.0,3
frankenlanguage806.csv_3,0.0,1.0,3
frankenlanguage808.csv_3,0.0,1.0,3
frankenlanguage809.csv_3,1.0,1.0,3
frankenlanguage810.csv_3,0.0,1.0,3
frankenlanguage811.csv_3,0.25,1.0,3
frankenlanguage812.csv_3,0.0,0.5,3
frankenlanguage815.csv_3,0.0,1.0,3
frankenlanguage816.csv_3,1.0,0.0,3
frankenlanguage818.csv_3,0.0,1.0,3
frankenlanguage819.csv_3,0.0,0.0,3
frankenlanguage82.csv_3,1.0,1.0,3
frankenlanguage822.csv_3,0.0,1.0,3
frankenlanguage823.csv_3,0.0,0.0,3
frankenlanguage824.csv_3,0.0,1.0,3
frankenlanguage826.csv_3,0.25,0.5,3
frankenlanguage827.csv_3,0.0,1.0,3
frankenlanguage828.csv_3,0.0,1.0,3
frankenlanguage829.csv_3,1.0,1.0,3
frankenlanguage830.csv_3,0.0,1.0,3
frankenlanguage831.csv_3,0.0,0.0,3
frankenlanguage832.csv_3,0.0,1.0,3
frankenlanguage834.csv_3,0.0,1.0,3
frankenlanguage838.csv_3,1.0,0.0,3
frankenlanguage84.csv_3,0.0,0.0,3
frankenlanguage840.csv_3,0.0,1.0,3
frankenlanguage841.csv_3,0.0,1.0,3
frankenlanguage842.csv_3,0.0,1.0,3
frankenlanguage843.csv_3,0.0,0.0,3
frankenlanguage846.csv_3,0.0,1.0,3
frankenlanguage847.csv_3,0.0,1.0,3
frankenlanguage849.csv_3,0.0,0.0,3
frankenlanguage850.csv_3,0.0,1.0,3
frankenlanguage851.csv_3,0.0,0.0,3
frankenlanguage854.csv_3,0.0,1.0,3
frankenlanguage855.csv_3,0.25,0.0,3
frankenlanguage856.csv_3,0.0,1.0,3
frankenlanguage857.csv_3,0.25,1.0,3
frankenlanguage858.csv_3,0.0,0.0,3
frankenlanguage860.csv_3,0.0,1.0,3
frankenlanguage861.csv_3,0.0,1.0,3
frankenlanguage862.csv_3,0.0,1.0,3
frankenlanguage863.csv_3,0.25,0.0,3
frankenlanguage865.csv_3,0.0,1.0,3
frankenlanguage867.csv_3,0.0,1.0,3
frankenlanguage870.csv_3,0.25,0.0,3
frankenlanguage872.csv_3,0.0,1.0,3
frankenlanguage873.csv_3,1.0,1.0,3
frankenlanguage874.csv_3,0.0,1.0,3
frankenlanguage875.csv_3,1.0,1.0,3
frankenlanguage876.csv_3,0.0,0.0,3
frankenlanguage878.csv_3,0.0,1.0,3
frankenlanguage880.csv_3,0.0,0.0,3
frankenlanguage883.csv_3,1.0,0.0,3
frankenlanguage884.csv_3,0.0,1.0,3
frankenlanguage885.csv_3,0.0,1.0,3
frankenlanguage886.csv_3,0.0,1.0,3
frankenlanguage887.csv_3,0.0,1.0,3
frankenlanguage889.csv_3,0.0,1.0,3
frankenlanguage89.csv_3,0.0,1.0,3
frankenlanguage891.csv_3,0.0,0.5,3
frankenlanguage893.csv_3,1.0,0.0,3
frankenlanguage895.csv_3,0.0,0.0,3
frankenlanguage896.csv_3,0.0,1.0,3
frankenlanguage897.csv_3,0.0,1.0,3
frankenlanguage898.csv_3,1.0,0.0,3
frankenlanguage899.csv_3,0.0,0.5,3
frankenlanguage9.csv_3,1.0,1.0,3
frankenlanguage90.csv_3,1.0,1.0,3
frankenlanguage900.csv_3,1.0,0.0,3
frankenlanguage901.csv_3,0.0,0.0,3
frankenlanguage905.csv_3,0.0,0.5,3
frankenlanguage906.csv_3,0.0,1.0,3
frankenlanguage907.csv_3,1.0,1.0,3
frankenlanguage91.csv_3,0.0,1.0,3
frankenlanguage910.csv_3,0.0,1.0,3
frankenlanguage911.csv_3,1.0,0.0,3
frankenlanguage912.csv_3,0.0,1.0,3
frankenlanguage913.csv_3,1.0,1.0,3
frankenlanguage914.csv_3,0.0,1.0,3
frankenlanguage915.csv_3,1.0,1.0,3
frankenlanguage916.csv_3,1.0,1.0,3
frankenlanguage918.csv_3,0.0,1.0,3
frankenlanguage920.csv_3,0.0,1.0,3
frankenlanguage923.csv_3,1.0,1.0,3
frankenlanguage924.csv_3,0.0,1.0,3
frankenlanguage925.csv_3,0.25,1.0,3
frankenlanguage926.csv_3,1.0,1.0,3
frankenlanguage927.csv_3,0.25,0.5,3
frankenlanguage929.csv_3,0.0,0.0,3
frankenlanguage930.csv_3,0.0,0.0,3
