LANGUAGE,AGE,SET
language_1,"[1, 1]",3
language_2,"[1, 0]",3
language_3,"[0, 1]",3
language_4,"[1, 0]",3
language_6,"[1, 0]",3
language_7,"[1, 0]",3
language_8,"[0, 0]",3
language_9,"[1, 0]",3
language_10,"[1, 0]",3
language_11,"[1, 0]",3
language_12,"[1, 1]",3
language_13,"[1, 0]",3
language_15,"[1, 0]",3
language_16,"[1, 0]",3
language_17,"[1, 0]",3
language_18,"[1, 0]",3
language_19,"[1, 0]",3
language_20,"[1, 0]",3
language_21,"[1, 0]",3
language_22,"[1, 1]",3
language_23,"[1, 0]",3
language_25,"[0, 0]",3
language_26,"[1, 0]",3
language_27,"[1, 0]",3
language_29,"[0, 0]",3
language_30,"[1, 0]",3
language_31,"[1, 0]",3
language_32,"[1, 0]",3
language_33,"[0, 0]",3
language_34,"[1, 1]",3
language_35,"[1, 0]",3
language_36,"[0, 0]",3
language_37,"[1, 0]",3
language_38,"[0, 0]",3
language_40,"[1, 0]",3
language_42,"[1, 0]",3
language_43,"[0, 0]",3
language_44,"[1, 1]",3
language_45,"[1, 0]",3
language_46,"[1, 0]",3
language_47,"[1, 0]",3
language_48,"[1, 1]",3
language_49,"[0, 0]",3
language_50,"[1, 0]",3
language_51,"[1, 0]",3
language_52,"[1, 0]",3
language_53,"[0, 0]",3
language_54,"[0, 1]",3
language_55,"[0, 0]",3
language_56,"[1, 0]",3
language_57,"[1, 0]",3
language_58,"[0, 0]",3
language_60,"[1, 0]",3
language_61,"[1, 0]",3
language_63,"[1, 0]",3
language_64,"[1, 1]",3
language_65,"[1, 0]",3
language_66,"[1, 0]",3
language_68,"[1, 0]",3
language_70,"[1, 0]",3
language_72,"[0, 0]",3
language_73,"[0, 0]",3
language_74,"[0, 0]",3
language_75,"[0, 1]",3
language_76,"[1, 0]",3
language_79,"[0, 0]",3
language_80,"[0, 0]",3
language_81,"[1, 0]",3
language_83,"[0, 1]",3
language_84,"[1, 0]",3
language_85,"[0, 0]",3
language_86,"[0, 1]",3
language_87,"[1, 0]",3
language_88,"[1, 0]",3
language_89,"[1, 0]",3
language_90,"[0, 1]",3
language_92,"[1, 0]",3
language_94,"[1, 0]",3
language_95,"[1, 0]",3
language_96,"[1, 0]",3
language_97,"[1, 0]",3
language_102,"[1, 0]",3
language_103,"[0, 1]",3
language_104,"[1, 0]",3
language_105,"[1, 0]",3
language_106,"[0, 0]",3
language_107,"[0, 1]",3
language_109,"[1, 0]",3
language_110,"[1, 1]",3
language_111,"[0, 0]",3
language_112,"[0, 1]",3
language_113,"[0, 0]",3
language_114,"[1, 0]",3
language_116,"[1, 0]",3
language_117,"[0, 0]",3
language_118,"[1, 0]",3
language_119,"[1, 0]",3
language_120,"[1, 0]",3
