LANGUAGE,AGE,SET
language_283,"[1, 0]",849
language_284,"[1, 0]",849
language_286,"[0, 1]",849
language_287,"[1, 0]",849
language_288,"[1, 0]",849
language_289,"[0, 0]",849
language_291,"[0, 1]",849
language_292,"[1, 0]",849
language_293,"[1, 0]",849
language_294,"[1, 0]",849
language_296,"[1, 0]",849
language_298,"[1, 0]",849
language_300,"[0, 0]",849
language_301,"[1, 0]",849
language_302,"[0, 0]",849
language_303,"[0, 0]",849
language_304,"[0, 0]",849
language_305,"[0, 0]",849
language_306,"[1, 0]",849
language_307,"[0, 0]",849
language_309,"[1, 1]",849
language_310,"[1, 1]",849
language_311,"[1, 0]",849
language_312,"[0, 0]",849
language_313,"[1, 0]",849
language_314,"[1, 0]",849
language_315,"[0, 0]",849
language_317,"[1, 0]",849
language_319,"[0, 0]",849
language_320,"[1, 0]",849
language_321,"[1, 0]",849
language_322,"[1, 0]",849
language_323,"[1, 1]",849
language_324,"[1, 0]",849
language_325,"[0, 0]",849
language_326,"[0, 0]",849
language_327,"[1, 0]",849
language_328,"[1, 0]",849
language_329,"[1, 0]",849
language_331,"[1, 0]",849
language_332,"[0, 0]",849
language_333,"[0, 0]",849
language_334,"[0, 0]",849
language_336,"[1, 1]",849
language_338,"[1, 0]",849
language_339,"[0, 0]",849
language_340,"[1, 1]",849
language_341,"[0, 0]",849
language_342,"[1, 0]",849
language_344,"[0, 0]",849
language_345,"[0, 0]",849
language_346,"[1, 0]",849
language_347,"[1, 0]",849
language_348,"[0, 0]",849
language_349,"[1, 0]",849
language_351,"[1, 1]",849
language_352,"[1, 0]",849
language_354,"[0, 0]",849
language_355,"[1, 0]",849
language_356,"[1, 0]",849
language_357,"[0, 0]",849
language_358,"[1, 0]",849
language_360,"[1, 0]",849
language_361,"[0, 0]",849
language_362,"[0, 0]",849
language_363,"[1, 0]",849
language_364,"[0, 0]",849
language_365,"[1, 0]",849
language_366,"[1, 0]",849
language_367,"[1, 0]",849
language_368,"[0, 0]",849
language_369,"[0, 0]",849
language_370,"[0, 0]",849
language_372,"[0, 0]",849
language_373,"[0, 0]",849
language_375,"[1, 0]",849
language_376,"[1, 0]",849
language_377,"[0, 0]",849
language_378,"[1, 0]",849
language_379,"[1, 0]",849
language_380,"[1, 0]",849
language_381,"[1, 0]",849
language_383,"[0, 0]",849
language_384,"[1, 0]",849
language_385,"[0, 0]",849
language_386,"[1, 0]",849
language_387,"[0, 0]",849
language_388,"[1, 1]",849
language_389,"[1, 0]",849
language_390,"[0, 0]",849
language_392,"[0, 0]",849
language_393,"[0, 0]",849
language_394,"[0, 0]",849
language_395,"[1, 0]",849
language_396,"[1, 0]",849
language_397,"[0, 1]",849
language_400,"[1, 0]",849
language_401,"[1, 1]",849
language_402,"[1, 0]",849
language_403,"[0, 0]",849
language_404,"[1, 0]",849
language_405,"[1, 0]",849
language_406,"[1, 0]",849
language_407,"[0, 0]",849
language_408,"[0, 1]",849
language_409,"[1, 0]",849
language_410,"[0, 0]",849
language_412,"[1, 0]",849
language_413,"[1, 0]",849
language_414,"[1, 0]",849
language_415,"[1, 0]",849
language_416,"[1, 1]",849
language_417,"[1, 0]",849
language_418,"[1, 0]",849
language_419,"[1, 0]",849
language_420,"[1, 1]",849
language_422,"[1, 0]",849
language_423,"[1, 0]",849
language_424,"[1, 0]",849
language_425,"[1, 1]",849
language_426,"[1, 1]",849
language_427,"[0, 0]",849
language_429,"[1, 0]",849
language_430,"[0, 0]",849
language_431,"[0, 0]",849
language_432,"[1, 0]",849
language_435,"[1, 0]",849
language_436,"[0, 0]",849
language_438,"[0, 0]",849
language_439,"[0, 1]",849
language_440,"[0, 0]",849
language_441,"[1, 0]",849
language_442,"[1, 1]",849
language_443,"[0, 0]",849
language_444,"[1, 0]",849
language_445,"[1, 0]",849
language_447,"[1, 1]",849
language_448,"[1, 0]",849
language_449,"[1, 0]",849
language_450,"[1, 0]",849
language_451,"[1, 0]",849
language_452,"[1, 0]",849
language_453,"[0, 0]",849
language_454,"[0, 0]",849
language_455,"[1, 0]",849
language_456,"[1, 0]",849
language_457,"[0, 0]",849
language_459,"[1, 1]",849
language_460,"[1, 0]",849
language_461,"[0, 0]",849
language_462,"[1, 0]",849
language_463,"[0, 0]",849
language_464,"[1, 0]",849
language_465,"[1, 0]",849
language_466,"[1, 1]",849
language_468,"[1, 0]",849
language_469,"[1, 0]",849
language_470,"[0, 0]",849
language_471,"[0, 0]",849
language_472,"[0, 0]",849
language_473,"[0, 0]",849
language_474,"[1, 1]",849
language_475,"[1, 0]",849
language_477,"[0, 0]",849
language_478,"[1, 0]",849
language_479,"[0, 0]",849
language_480,"[0, 0]",849
language_482,"[1, 0]",849
language_483,"[1, 0]",849
language_484,"[1, 0]",849
language_485,"[1, 0]",849
language_488,"[1, 1]",849
language_491,"[1, 0]",849
language_492,"[1, 0]",849
language_493,"[1, 0]",849
language_494,"[1, 0]",849
language_495,"[0, 0]",849
language_498,"[1, 0]",849
language_499,"[0, 0]",849
language_500,"[0, 0]",849
language_501,"[1, 0]",849
language_502,"[0, 0]",849
language_503,"[1, 0]",849
language_504,"[1, 0]",849
language_505,"[1, 0]",849
language_506,"[1, 0]",849
language_507,"[1, 0]",849
language_509,"[1, 0]",849
language_510,"[0, 0]",849
language_511,"[1, 0]",849
language_513,"[1, 0]",849
language_514,"[0, 0]",849
language_515,"[0, 0]",849
language_516,"[1, 0]",849
language_517,"[1, 0]",849
language_518,"[0, 0]",849
language_519,"[0, 0]",849
language_520,"[1, 1]",849
language_523,"[0, 0]",849
language_524,"[0, 0]",849
language_525,"[0, 1]",849
language_527,"[0, 0]",849
language_528,"[1, 0]",849
language_529,"[0, 0]",849
language_530,"[1, 0]",849
language_531,"[1, 1]",849
language_532,"[1, 0]",849
language_533,"[0, 0]",849
language_535,"[1, 0]",849
language_536,"[1, 0]",849
language_538,"[1, 0]",849
language_539,"[0, 0]",849
language_541,"[1, 0]",849
language_542,"[0, 0]",849
language_543,"[1, 0]",849
language_546,"[1, 0]",849
language_547,"[1, 0]",849
language_548,"[1, 0]",849
language_549,"[1, 0]",849
language_550,"[0, 0]",849
language_552,"[1, 0]",849
language_553,"[1, 0]",849
language_554,"[1, 1]",849
language_556,"[1, 0]",849
language_558,"[0, 0]",849
language_559,"[1, 0]",849
language_560,"[0, 0]",849
language_561,"[0, 0]",849
language_562,"[1, 0]",849
language_563,"[1, 0]",849
language_564,"[0, 0]",849
language_565,"[1, 0]",849
language_566,"[0, 0]",849
language_568,"[0, 0]",849
language_569,"[1, 0]",849
language_570,"[0, 0]",849
language_571,"[1, 1]",849
language_572,"[1, 0]",849
language_573,"[0, 1]",849
language_574,"[0, 0]",849
language_577,"[1, 0]",849
language_578,"[1, 0]",849
language_579,"[1, 0]",849
language_582,"[1, 0]",849
language_583,"[1, 0]",849
language_584,"[0, 0]",849
language_586,"[0, 0]",849
language_587,"[0, 0]",849
language_588,"[0, 0]",849
language_590,"[1, 0]",849
language_591,"[0, 0]",849
language_592,"[1, 0]",849
language_593,"[1, 0]",849
language_594,"[1, 0]",849
language_598,"[1, 1]",849
language_599,"[0, 0]",849
language_600,"[0, 0]",849
language_601,"[0, 0]",849
language_606,"[0, 0]",849
language_607,"[1, 0]",849
language_608,"[1, 0]",849
language_610,"[0, 1]",849
language_611,"[1, 0]",849
language_612,"[1, 0]",849
language_613,"[0, 0]",849
language_614,"[1, 1]",849
language_615,"[0, 0]",849
language_616,"[1, 0]",849
language_617,"[1, 0]",849
language_618,"[0, 0]",849
language_619,"[0, 0]",849
language_620,"[1, 0]",849
language_622,"[1, 0]",849
language_623,"[1, 0]",849
language_624,"[1, 0]",849
language_625,"[0, 0]",849
language_626,"[1, 0]",849
language_627,"[1, 0]",849
language_628,"[0, 0]",849
language_629,"[1, 0]",849
language_630,"[1, 0]",849
language_631,"[0, 0]",849
language_632,"[0, 0]",849
language_633,"[1, 1]",849
language_634,"[1, 0]",849
language_635,"[1, 0]",849
language_636,"[0, 0]",849
language_637,"[0, 0]",849
language_638,"[1, 1]",849
language_639,"[0, 0]",849
language_644,"[0, 0]",849
language_645,"[1, 0]",849
language_646,"[1, 0]",849
language_647,"[1, 1]",849
language_648,"[1, 0]",849
language_649,"[1, 0]",849
language_650,"[1, 0]",849
language_651,"[1, 0]",849
language_652,"[1, 0]",849
language_653,"[1, 0]",849
language_654,"[0, 0]",849
language_656,"[1, 0]",849
language_657,"[1, 0]",849
language_658,"[0, 0]",849
language_659,"[1, 0]",849
language_660,"[1, 0]",849
language_661,"[1, 0]",849
language_662,"[1, 0]",849
language_663,"[0, 0]",849
language_664,"[1, 0]",849
language_665,"[1, 1]",849
language_666,"[0, 0]",849
language_667,"[1, 0]",849
language_668,"[0, 0]",849
language_669,"[1, 0]",849
language_670,"[1, 1]",849
language_671,"[1, 0]",849
language_672,"[1, 0]",849
language_673,"[1, 0]",849
language_674,"[1, 0]",849
language_675,"[0, 0]",849
language_676,"[1, 0]",849
language_677,"[0, 0]",849
language_678,"[1, 0]",849
language_679,"[0, 0]",849
language_680,"[1, 0]",849
language_681,"[1, 0]",849
language_682,"[1, 0]",849
language_683,"[1, 0]",849
