LANGUAGE,AGE,SET
language_1,"[0, 0]",111
language_2,"[1, 0]",111
language_4,"[0, 0]",111
language_6,"[1, 0]",111
language_7,"[1, 0]",111
language_8,"[0, 0]",111
language_9,"[1, 0]",111
language_10,"[1, 0]",111
language_11,"[1, 0]",111
language_12,"[1, 0]",111
language_14,"[1, 0]",111
language_15,"[0, 0]",111
language_16,"[0, 0]",111
language_17,"[1, 1]",111
language_18,"[0, 0]",111
language_20,"[1, 0]",111
language_21,"[1, 0]",111
language_23,"[0, 1]",111
language_24,"[0, 0]",111
language_26,"[1, 0]",111
language_27,"[1, 0]",111
language_29,"[0, 0]",111
language_30,"[1, 0]",111
language_34,"[0, 0]",111
language_35,"[0, 0]",111
language_36,"[1, 0]",111
language_37,"[1, 1]",111
language_38,"[1, 0]",111
language_39,"[1, 0]",111
language_41,"[1, 0]",111
language_43,"[1, 0]",111
language_45,"[1, 0]",111
language_46,"[0, 0]",111
language_47,"[1, 0]",111
language_48,"[1, 0]",111
language_49,"[1, 0]",111
language_51,"[1, 0]",111
language_53,"[0, 0]",111
language_54,"[1, 0]",111
language_55,"[1, 1]",111
language_56,"[1, 0]",111
language_57,"[0, 0]",111
language_58,"[1, 0]",111
language_59,"[1, 1]",111
language_60,"[1, 0]",111
language_61,"[0, 0]",111
language_62,"[0, 0]",111
language_63,"[0, 0]",111
language_64,"[1, 0]",111
language_65,"[0, 0]",111
language_66,"[0, 0]",111
language_67,"[1, 0]",111
language_68,"[0, 0]",111
language_69,"[1, 0]",111
language_70,"[1, 0]",111
language_71,"[0, 0]",111
language_73,"[1, 0]",111
language_74,"[1, 0]",111
language_76,"[1, 0]",111
language_77,"[1, 0]",111
language_78,"[1, 0]",111
language_79,"[1, 0]",111
language_80,"[0, 0]",111
language_81,"[0, 0]",111
language_84,"[1, 0]",111
language_85,"[1, 0]",111
language_86,"[0, 0]",111
language_88,"[0, 0]",111
language_89,"[1, 0]",111
language_90,"[0, 1]",111
language_91,"[1, 0]",111
language_92,"[1, 0]",111
language_93,"[1, 0]",111
language_94,"[0, 0]",111
language_95,"[0, 0]",111
language_96,"[0, 0]",111
language_97,"[0, 0]",111
language_99,"[1, 0]",111
language_100,"[0, 0]",111
language_101,"[1, 0]",111
language_102,"[1, 0]",111
language_103,"[0, 0]",111
language_104,"[0, 0]",111
language_107,"[1, 0]",111
language_108,"[1, 0]",111
language_109,"[0, 0]",111
language_110,"[0, 0]",111
language_111,"[1, 0]",111
language_112,"[1, 0]",111
language_113,"[1, 0]",111
language_114,"[0, 0]",111
language_115,"[1, 0]",111
language_116,"[1, 0]",111
language_117,"[0, 0]",111
language_120,"[0, 1]",111
language_121,"[1, 1]",111
language_122,"[1, 0]",111
language_123,"[0, 0]",111
language_124,"[0, 0]",111
language_125,"[1, 0]",111
language_127,"[1, 0]",111
language_129,"[1, 0]",111
language_130,"[1, 0]",111
language_131,"[0, 0]",111
language_132,"[1, 0]",111
language_133,"[0, 0]",111
language_134,"[1, 0]",111
language_135,"[1, 0]",111
language_136,"[1, 0]",111
language_138,"[1, 0]",111
language_139,"[1, 0]",111
language_140,"[1, 0]",111
language_141,"[1, 0]",111
language_143,"[1, 0]",111
language_144,"[0, 0]",111
language_145,"[1, 0]",111
language_147,"[1, 1]",111
language_149,"[1, 0]",111
language_150,"[1, 0]",111
language_151,"[1, 1]",111
language_152,"[0, 0]",111
language_153,"[0, 1]",111
language_154,"[1, 0]",111
language_155,"[0, 0]",111
language_156,"[1, 0]",111
language_158,"[1, 0]",111
language_159,"[1, 0]",111
language_160,"[0, 0]",111
language_162,"[1, 0]",111
language_163,"[1, 0]",111
language_164,"[1, 0]",111
language_165,"[0, 0]",111
language_166,"[0, 0]",111
language_167,"[1, 0]",111
language_168,"[1, 0]",111
language_169,"[1, 0]",111
language_170,"[1, 0]",111
language_172,"[0, 0]",111
language_173,"[1, 0]",111
language_175,"[1, 0]",111
language_176,"[1, 0]",111
language_177,"[1, 1]",111
language_179,"[0, 0]",111
language_180,"[1, 0]",111
language_181,"[1, 0]",111
language_184,"[1, 0]",111
language_185,"[0, 0]",111
language_187,"[0, 1]",111
language_190,"[1, 0]",111
language_191,"[0, 0]",111
language_192,"[1, 0]",111
language_193,"[1, 0]",111
language_194,"[1, 0]",111
language_195,"[0, 0]",111
language_196,"[1, 0]",111
language_197,"[1, 0]",111
language_198,"[0, 0]",111
language_199,"[0, 0]",111
language_200,"[1, 0]",111
language_201,"[1, 0]",111
language_202,"[1, 0]",111
language_203,"[1, 0]",111
language_204,"[0, 0]",111
language_205,"[1, 0]",111
language_206,"[0, 0]",111
language_207,"[1, 0]",111
language_208,"[1, 0]",111
language_210,"[0, 0]",111
language_211,"[1, 0]",111
language_212,"[1, 0]",111
language_214,"[1, 0]",111
language_215,"[0, 0]",111
language_216,"[1, 0]",111
language_217,"[0, 0]",111
language_219,"[1, 0]",111
language_220,"[1, 0]",111
language_221,"[1, 0]",111
language_222,"[0, 1]",111
language_225,"[0, 0]",111
language_227,"[1, 1]",111
language_228,"[0, 0]",111
language_230,"[1, 0]",111
language_231,"[1, 0]",111
language_232,"[1, 1]",111
language_233,"[1, 0]",111
language_234,"[0, 0]",111
language_235,"[0, 0]",111
language_236,"[1, 0]",111
language_237,"[0, 0]",111
language_238,"[0, 0]",111
language_239,"[1, 0]",111
language_240,"[0, 1]",111
language_241,"[0, 0]",111
language_242,"[0, 0]",111
language_243,"[1, 0]",111
language_244,"[1, 0]",111
language_246,"[0, 0]",111
language_247,"[1, 0]",111
language_248,"[1, 0]",111
language_250,"[1, 1]",111
language_251,"[1, 0]",111
language_253,"[1, 0]",111
language_255,"[0, 0]",111
language_257,"[1, 1]",111
language_258,"[0, 0]",111
language_259,"[0, 0]",111
language_261,"[1, 0]",111
language_262,"[1, 1]",111
language_263,"[1, 0]",111
language_264,"[0, 0]",111
language_265,"[1, 1]",111
language_266,"[0, 0]",111
language_267,"[0, 0]",111
language_268,"[1, 0]",111
language_270,"[1, 0]",111
language_271,"[1, 0]",111
language_273,"[1, 0]",111
language_274,"[0, 0]",111
language_275,"[1, 0]",111
language_276,"[1, 0]",111
language_277,"[1, 0]",111
language_278,"[0, 0]",111
language_279,"[0, 0]",111
language_280,"[1, 0]",111
language_281,"[1, 0]",111
language_282,"[0, 0]",111
language_284,"[0, 0]",111
language_285,"[0, 0]",111
language_286,"[0, 0]",111
language_287,"[1, 1]",111
language_288,"[1, 0]",111
language_289,"[1, 0]",111
language_290,"[1, 0]",111
language_291,"[0, 0]",111
language_292,"[0, 0]",111
language_293,"[0, 0]",111
language_294,"[1, 0]",111
language_295,"[1, 0]",111
language_296,"[1, 0]",111
language_297,"[0, 0]",111
language_298,"[0, 0]",111
language_300,"[0, 0]",111
language_301,"[1, 0]",111
language_304,"[0, 0]",111
language_305,"[1, 0]",111
language_306,"[1, 0]",111
language_307,"[1, 0]",111
language_308,"[1, 0]",111
language_309,"[1, 1]",111
language_310,"[1, 0]",111
language_311,"[1, 0]",111
language_312,"[1, 0]",111
language_313,"[1, 1]",111
language_314,"[0, 0]",111
language_315,"[1, 0]",111
language_316,"[0, 0]",111
language_318,"[1, 0]",111
language_319,"[1, 0]",111
language_320,"[0, 1]",111
language_321,"[1, 0]",111
language_322,"[0, 0]",111
language_323,"[0, 0]",111
language_325,"[1, 0]",111
language_326,"[0, 0]",111
language_327,"[0, 0]",111
language_328,"[0, 0]",111
language_329,"[0, 0]",111
language_330,"[0, 0]",111
language_331,"[1, 0]",111
language_332,"[0, 0]",111
language_333,"[1, 0]",111
language_334,"[0, 0]",111
language_337,"[1, 0]",111
language_338,"[1, 0]",111
language_339,"[1, 0]",111
language_340,"[0, 0]",111
language_341,"[1, 0]",111
language_342,"[1, 0]",111
language_343,"[0, 0]",111
language_344,"[0, 1]",111
language_345,"[1, 0]",111
language_347,"[1, 0]",111
language_348,"[0, 0]",111
language_349,"[0, 0]",111
language_351,"[0, 1]",111
language_352,"[1, 0]",111
language_353,"[1, 0]",111
language_354,"[1, 0]",111
language_355,"[0, 0]",111
language_356,"[1, 0]",111
language_357,"[0, 1]",111
language_358,"[1, 0]",111
language_359,"[1, 0]",111
language_360,"[1, 0]",111
language_361,"[1, 0]",111
language_362,"[1, 0]",111
language_363,"[0, 0]",111
language_365,"[1, 0]",111
language_366,"[1, 1]",111
language_367,"[0, 0]",111
language_369,"[1, 0]",111
language_370,"[1, 0]",111
language_371,"[1, 0]",111
language_372,"[1, 0]",111
language_373,"[1, 0]",111
language_374,"[1, 0]",111
language_375,"[1, 0]",111
language_376,"[1, 0]",111
language_377,"[1, 1]",111
language_378,"[0, 0]",111
language_379,"[1, 0]",111
language_380,"[1, 0]",111
language_382,"[1, 0]",111
language_383,"[1, 1]",111
language_384,"[1, 0]",111
language_386,"[1, 0]",111
language_388,"[1, 0]",111
language_390,"[1, 0]",111
language_392,"[0, 0]",111
language_393,"[1, 0]",111
language_394,"[1, 0]",111
language_395,"[0, 0]",111
language_396,"[0, 1]",111
language_398,"[1, 0]",111
language_399,"[0, 0]",111
language_401,"[0, 0]",111
language_402,"[1, 0]",111
language_403,"[0, 0]",111
language_404,"[1, 0]",111
language_405,"[0, 0]",111
language_406,"[1, 0]",111
language_407,"[1, 0]",111
language_408,"[1, 0]",111
language_409,"[1, 0]",111
language_410,"[1, 0]",111
language_411,"[1, 0]",111
language_412,"[1, 0]",111
language_413,"[0, 0]",111
language_414,"[1, 0]",111
language_415,"[0, 1]",111
language_416,"[1, 0]",111
language_419,"[1, 0]",111
language_420,"[1, 0]",111
language_421,"[1, 0]",111
language_422,"[1, 0]",111
language_425,"[0, 0]",111
language_426,"[1, 0]",111
language_427,"[1, 0]",111
language_428,"[1, 0]",111
language_429,"[1, 0]",111
language_431,"[0, 0]",111
language_433,"[0, 0]",111
language_434,"[1, 0]",111
language_435,"[1, 0]",111
language_437,"[0, 0]",111
language_438,"[0, 0]",111
language_439,"[1, 1]",111
language_440,"[0, 0]",111
language_441,"[0, 0]",111
language_442,"[1, 1]",111
language_443,"[0, 0]",111
language_444,"[0, 0]",111
language_445,"[0, 0]",111
language_447,"[1, 0]",111
language_448,"[1, 0]",111
language_449,"[1, 0]",111
language_451,"[1, 0]",111
language_452,"[1, 1]",111
language_453,"[1, 0]",111
language_454,"[1, 0]",111
language_455,"[1, 0]",111
language_456,"[0, 0]",111
language_457,"[1, 0]",111
language_458,"[1, 0]",111
language_459,"[1, 1]",111
language_460,"[1, 1]",111
language_464,"[0, 0]",111
language_465,"[0, 0]",111
language_466,"[1, 0]",111
language_467,"[1, 0]",111
language_469,"[0, 0]",111
language_470,"[1, 0]",111
language_471,"[0, 1]",111
language_473,"[0, 0]",111
language_474,"[0, 0]",111
language_475,"[1, 0]",111
