LANGUAGE,AGE,SET
language_1,"[1, 0]",8
language_2,"[0, 0]",8
language_3,"[1, 1]",8
language_4,"[1, 0]",8
language_5,"[1, 0]",8
language_6,"[0, 0]",8
language_9,"[1, 0]",8
language_10,"[0, 0]",8
language_11,"[0, 1]",8
language_12,"[1, 0]",8
language_13,"[1, 1]",8
language_14,"[0, 0]",8
language_16,"[1, 1]",8
language_17,"[0, 1]",8
language_18,"[1, 0]",8
language_19,"[0, 1]",8
language_21,"[1, 0]",8
language_24,"[0, 0]",8
language_25,"[1, 1]",8
language_26,"[0, 0]",8
language_27,"[0, 0]",8
language_28,"[0, 0]",8
language_29,"[0, 0]",8
language_32,"[1, 1]",8
language_33,"[1, 0]",8
language_34,"[1, 0]",8
language_35,"[1, 0]",8
language_36,"[0, 1]",8
language_37,"[1, 0]",8
language_38,"[0, 0]",8
language_39,"[1, 0]",8
language_40,"[1, 0]",8
language_41,"[1, 0]",8
language_42,"[1, 0]",8
language_43,"[0, 0]",8
language_47,"[0, 1]",8
language_48,"[1, 0]",8
language_49,"[0, 0]",8
language_50,"[0, 0]",8
language_52,"[1, 0]",8
language_53,"[1, 0]",8
language_54,"[0, 0]",8
language_55,"[0, 0]",8
language_56,"[1, 0]",8
language_57,"[0, 0]",8
language_58,"[1, 0]",8
language_60,"[1, 0]",8
language_61,"[1, 0]",8
language_63,"[0, 1]",8
language_66,"[1, 0]",8
language_67,"[1, 0]",8
language_68,"[0, 1]",8
language_69,"[1, 0]",8
language_70,"[0, 0]",8
language_71,"[1, 0]",8
language_72,"[1, 0]",8
language_73,"[1, 0]",8
language_74,"[0, 0]",8
language_75,"[0, 0]",8
language_76,"[1, 0]",8
language_81,"[1, 0]",8
language_82,"[1, 0]",8
language_83,"[0, 0]",8
language_84,"[1, 0]",8
language_85,"[1, 0]",8
language_86,"[1, 1]",8
language_87,"[0, 0]",8
language_89,"[0, 0]",8
language_90,"[1, 0]",8
language_91,"[1, 0]",8
language_92,"[1, 0]",8
language_94,"[1, 0]",8
language_95,"[1, 0]",8
language_96,"[0, 0]",8
language_98,"[1, 0]",8
language_100,"[1, 0]",8
language_101,"[1, 0]",8
