LANGUAGE,AGE,SET
language_1,"[0, 0]",5
language_3,"[0, 0]",5
language_5,"[1, 0]",5
language_6,"[0, 0]",5
language_7,"[1, 0]",5
language_8,"[0, 0]",5
language_10,"[1, 0]",5
language_11,"[1, 1]",5
language_12,"[0, 0]",5
language_13,"[0, 0]",5
language_14,"[1, 0]",5
language_16,"[1, 0]",5
language_18,"[0, 0]",5
language_20,"[1, 0]",5
language_21,"[0, 1]",5
language_22,"[0, 1]",5
language_23,"[1, 0]",5
language_24,"[1, 0]",5
language_25,"[0, 0]",5
language_27,"[1, 0]",5
language_28,"[1, 1]",5
language_29,"[0, 1]",5
language_30,"[1, 0]",5
language_31,"[1, 0]",5
language_32,"[0, 0]",5
language_33,"[1, 0]",5
language_34,"[1, 0]",5
language_35,"[0, 0]",5
language_36,"[1, 0]",5
language_37,"[1, 0]",5
language_38,"[1, 0]",5
language_39,"[1, 0]",5
language_40,"[0, 0]",5
language_41,"[0, 1]",5
language_42,"[0, 0]",5
language_43,"[1, 0]",5
language_44,"[0, 0]",5
language_45,"[0, 0]",5
language_46,"[1, 0]",5
language_47,"[1, 0]",5
language_48,"[0, 0]",5
language_50,"[1, 0]",5
language_51,"[1, 0]",5
language_52,"[0, 0]",5
language_55,"[0, 0]",5
language_56,"[1, 0]",5
language_58,"[1, 0]",5
language_61,"[1, 0]",5
language_62,"[0, 0]",5
language_63,"[0, 0]",5
language_64,"[0, 0]",5
language_65,"[1, 0]",5
language_68,"[1, 0]",5
language_69,"[0, 0]",5
language_70,"[1, 0]",5
language_71,"[0, 0]",5
language_74,"[1, 0]",5
language_75,"[1, 0]",5
language_76,"[1, 0]",5
language_77,"[1, 0]",5
language_78,"[0, 0]",5
language_79,"[1, 0]",5
language_80,"[1, 0]",5
language_81,"[1, 0]",5
language_82,"[1, 0]",5
language_83,"[1, 0]",5
language_84,"[1, 0]",5
language_85,"[1, 0]",5
language_86,"[1, 0]",5
language_88,"[0, 0]",5
language_89,"[1, 0]",5
language_90,"[1, 1]",5
language_91,"[1, 0]",5
language_93,"[0, 0]",5
language_94,"[1, 0]",5
language_95,"[1, 0]",5
language_96,"[1, 0]",5
language_97,"[1, 0]",5
language_98,"[1, 0]",5
language_99,"[0, 0]",5
language_100,"[1, 0]",5
language_102,"[0, 0]",5
language_103,"[1, 0]",5
language_104,"[1, 1]",5
language_106,"[1, 0]",5
language_107,"[1, 0]",5
language_108,"[0, 0]",5
language_109,"[0, 0]",5
language_110,"[0, 0]",5
language_111,"[0, 1]",5
language_112,"[1, 0]",5
language_113,"[0, 0]",5
language_115,"[1, 0]",5
language_116,"[1, 0]",5
language_117,"[0, 1]",5
language_118,"[0, 0]",5
language_120,"[0, 0]",5
language_121,"[0, 0]",5
language_123,"[1, 0]",5
language_125,"[1, 0]",5
language_126,"[0, 0]",5
language_127,"[0, 0]",5
language_128,"[1, 0]",5
language_129,"[0, 0]",5
language_130,"[1, 0]",5
language_131,"[1, 0]",5
language_134,"[0, 0]",5
language_135,"[1, 0]",5
language_136,"[0, 0]",5
language_137,"[1, 0]",5
language_138,"[1, 0]",5
language_139,"[0, 0]",5
language_140,"[1, 0]",5
language_142,"[0, 0]",5
language_143,"[1, 0]",5
language_144,"[1, 0]",5
language_146,"[1, 0]",5
language_147,"[1, 0]",5
language_149,"[1, 0]",5
language_151,"[1, 0]",5
language_152,"[1, 0]",5
language_155,"[1, 0]",5
language_156,"[0, 0]",5
language_157,"[1, 1]",5
language_158,"[1, 0]",5
language_160,"[1, 0]",5
language_161,"[0, 0]",5
language_166,"[1, 0]",5
language_167,"[1, 0]",5
language_168,"[1, 0]",5
language_172,"[1, 0]",5
language_176,"[0, 0]",5
language_177,"[1, 0]",5
language_178,"[0, 0]",5
language_180,"[1, 0]",5
language_181,"[1, 0]",5
language_182,"[1, 0]",5
language_183,"[0, 0]",5
language_184,"[1, 0]",5
language_185,"[1, 0]",5
language_186,"[1, 0]",5
language_187,"[0, 0]",5
language_189,"[1, 0]",5
language_190,"[1, 0]",5
language_191,"[0, 0]",5
language_192,"[1, 1]",5
language_193,"[0, 0]",5
language_194,"[1, 0]",5
language_195,"[0, 0]",5
language_199,"[1, 1]",5
language_201,"[1, 0]",5
language_202,"[1, 1]",5
language_204,"[0, 1]",5
language_205,"[0, 0]",5
language_206,"[0, 0]",5
language_208,"[0, 0]",5
language_209,"[1, 0]",5
language_210,"[1, 0]",5
language_211,"[0, 0]",5
language_213,"[0, 0]",5
language_214,"[1, 0]",5
language_215,"[1, 0]",5
language_216,"[1, 0]",5
language_217,"[1, 0]",5
language_218,"[0, 0]",5
language_219,"[1, 1]",5
language_220,"[1, 0]",5
language_223,"[1, 0]",5
language_224,"[0, 1]",5
language_227,"[1, 0]",5
language_228,"[0, 0]",5
language_229,"[1, 0]",5
language_231,"[1, 0]",5
language_232,"[1, 0]",5
language_234,"[1, 0]",5
language_235,"[0, 0]",5
language_236,"[1, 0]",5
language_237,"[1, 0]",5
language_240,"[1, 0]",5
language_241,"[1, 0]",5
language_242,"[1, 0]",5
language_243,"[1, 0]",5
language_244,"[0, 0]",5
language_245,"[0, 0]",5
language_246,"[1, 0]",5
language_247,"[0, 0]",5
language_248,"[1, 0]",5
language_249,"[1, 0]",5
language_251,"[1, 0]",5
language_252,"[1, 0]",5
language_254,"[1, 0]",5
language_255,"[0, 0]",5
language_256,"[1, 0]",5
language_258,"[0, 0]",5
language_259,"[1, 0]",5
language_261,"[0, 1]",5
language_262,"[0, 0]",5
language_263,"[1, 0]",5
language_264,"[1, 1]",5
language_265,"[1, 0]",5
language_266,"[0, 0]",5
language_267,"[0, 0]",5
language_268,"[0, 0]",5
language_270,"[1, 0]",5
language_271,"[1, 0]",5
language_272,"[1, 0]",5
language_274,"[1, 0]",5
language_276,"[1, 0]",5
language_277,"[1, 0]",5
language_280,"[1, 0]",5
language_283,"[1, 1]",5
language_284,"[1, 1]",5
language_285,"[0, 0]",5
language_286,"[1, 1]",5
language_287,"[1, 0]",5
language_288,"[1, 0]",5
language_289,"[0, 0]",5
language_290,"[1, 0]",5
language_291,"[1, 0]",5
language_292,"[0, 0]",5
language_293,"[1, 0]",5
language_295,"[1, 0]",5
language_296,"[0, 0]",5
language_297,"[0, 0]",5
language_299,"[1, 0]",5
language_300,"[1, 0]",5
language_302,"[1, 0]",5
language_304,"[0, 1]",5
language_305,"[1, 0]",5
language_306,"[0, 0]",5
language_307,"[0, 0]",5
language_308,"[0, 1]",5
language_309,"[1, 1]",5
language_310,"[1, 0]",5
language_311,"[0, 0]",5
language_312,"[0, 0]",5
language_313,"[1, 0]",5
language_314,"[1, 0]",5
language_315,"[1, 0]",5
language_316,"[1, 0]",5
language_317,"[1, 0]",5
language_318,"[1, 0]",5
language_319,"[1, 0]",5
language_320,"[0, 0]",5
language_321,"[0, 0]",5
language_322,"[0, 0]",5
language_323,"[1, 0]",5
language_324,"[0, 0]",5
language_325,"[0, 0]",5
language_326,"[1, 0]",5
language_327,"[0, 0]",5
language_328,"[0, 0]",5
language_329,"[1, 0]",5
language_331,"[0, 0]",5
language_332,"[1, 0]",5
language_333,"[1, 1]",5
language_336,"[0, 0]",5
language_337,"[1, 0]",5
language_339,"[1, 0]",5
language_340,"[0, 0]",5
language_342,"[1, 0]",5
language_343,"[1, 0]",5
language_344,"[1, 0]",5
language_345,"[1, 0]",5
language_346,"[1, 0]",5
language_347,"[1, 0]",5
language_348,"[1, 0]",5
language_351,"[1, 0]",5
language_352,"[1, 0]",5
language_353,"[1, 0]",5
language_354,"[1, 0]",5
language_355,"[1, 0]",5
language_356,"[1, 0]",5
language_357,"[1, 0]",5
language_358,"[0, 0]",5
language_359,"[1, 0]",5
language_360,"[0, 0]",5
language_361,"[1, 0]",5
language_362,"[0, 0]",5
language_363,"[0, 0]",5
language_364,"[0, 0]",5
language_365,"[1, 0]",5
language_366,"[0, 0]",5
language_367,"[1, 0]",5
language_368,"[1, 0]",5
language_369,"[1, 0]",5
language_370,"[1, 0]",5
language_371,"[1, 0]",5
language_372,"[1, 0]",5
language_373,"[1, 0]",5
language_374,"[0, 0]",5
language_375,"[1, 0]",5
language_377,"[1, 0]",5
language_378,"[1, 0]",5
language_379,"[0, 0]",5
