LANGUAGE,AGE,SET
language_1,"[0, 0]",277
language_2,"[0, 0]",277
language_5,"[1, 0]",277
language_6,"[1, 0]",277
language_7,"[1, 1]",277
language_9,"[1, 0]",277
language_10,"[0, 0]",277
language_11,"[1, 0]",277
language_13,"[1, 0]",277
language_15,"[0, 0]",277
language_16,"[0, 0]",277
language_17,"[1, 0]",277
language_18,"[1, 0]",277
language_19,"[1, 0]",277
language_20,"[1, 0]",277
language_21,"[0, 0]",277
language_22,"[1, 0]",277
language_23,"[0, 0]",277
language_25,"[0, 0]",277
language_26,"[1, 0]",277
language_27,"[1, 0]",277
language_28,"[0, 0]",277
language_29,"[1, 0]",277
language_30,"[1, 0]",277
language_32,"[1, 0]",277
language_33,"[1, 0]",277
language_34,"[1, 0]",277
language_35,"[0, 0]",277
language_36,"[0, 0]",277
language_37,"[1, 0]",277
language_38,"[0, 0]",277
language_39,"[1, 1]",277
language_40,"[0, 0]",277
language_41,"[1, 0]",277
language_42,"[0, 0]",277
language_43,"[1, 0]",277
language_44,"[1, 0]",277
language_45,"[0, 0]",277
language_47,"[1, 0]",277
language_49,"[1, 0]",277
language_50,"[0, 0]",277
language_51,"[1, 0]",277
language_52,"[1, 1]",277
language_53,"[1, 0]",277
language_54,"[1, 0]",277
language_55,"[0, 0]",277
language_56,"[1, 0]",277
language_57,"[1, 0]",277
language_58,"[1, 0]",277
language_60,"[1, 0]",277
language_61,"[1, 0]",277
language_62,"[1, 1]",277
language_63,"[1, 0]",277
language_64,"[1, 0]",277
language_65,"[0, 0]",277
language_66,"[0, 1]",277
language_67,"[0, 0]",277
language_68,"[0, 0]",277
language_69,"[1, 0]",277
language_70,"[0, 0]",277
language_71,"[1, 0]",277
language_72,"[1, 0]",277
language_73,"[0, 1]",277
language_74,"[1, 0]",277
language_75,"[1, 0]",277
language_76,"[0, 1]",277
language_78,"[0, 0]",277
language_79,"[0, 0]",277
language_80,"[1, 0]",277
language_81,"[1, 0]",277
language_82,"[0, 0]",277
language_83,"[0, 0]",277
language_84,"[0, 0]",277
language_85,"[0, 0]",277
language_86,"[1, 0]",277
language_87,"[1, 0]",277
language_88,"[0, 0]",277
language_89,"[1, 0]",277
language_90,"[0, 0]",277
language_91,"[0, 1]",277
language_93,"[0, 0]",277
language_94,"[1, 0]",277
language_95,"[0, 0]",277
language_96,"[1, 0]",277
language_97,"[1, 0]",277
language_98,"[0, 0]",277
language_99,"[0, 0]",277
language_101,"[0, 1]",277
language_104,"[1, 0]",277
language_105,"[1, 0]",277
language_106,"[1, 0]",277
language_107,"[1, 0]",277
language_108,"[1, 0]",277
language_109,"[0, 0]",277
language_111,"[0, 0]",277
language_112,"[1, 0]",277
language_113,"[0, 1]",277
language_114,"[1, 0]",277
language_115,"[0, 1]",277
language_117,"[1, 0]",277
language_118,"[0, 0]",277
language_119,"[0, 0]",277
language_121,"[0, 1]",277
language_122,"[1, 1]",277
language_123,"[1, 0]",277
language_124,"[1, 0]",277
language_125,"[1, 0]",277
language_127,"[1, 0]",277
language_128,"[1, 1]",277
language_129,"[1, 0]",277
language_130,"[1, 0]",277
language_131,"[0, 0]",277
language_132,"[1, 0]",277
language_134,"[0, 0]",277
language_135,"[0, 0]",277
language_136,"[1, 0]",277
language_137,"[1, 1]",277
language_138,"[1, 0]",277
language_139,"[1, 0]",277
language_140,"[0, 0]",277
language_141,"[1, 0]",277
language_142,"[0, 0]",277
language_143,"[0, 0]",277
language_145,"[1, 0]",277
language_146,"[1, 0]",277
language_147,"[1, 0]",277
language_148,"[1, 0]",277
language_149,"[0, 0]",277
language_150,"[0, 0]",277
language_152,"[1, 0]",277
language_153,"[1, 0]",277
language_154,"[0, 1]",277
language_155,"[1, 0]",277
language_156,"[0, 0]",277
language_157,"[0, 0]",277
language_158,"[1, 0]",277
language_159,"[0, 1]",277
language_161,"[0, 0]",277
language_162,"[0, 0]",277
language_163,"[0, 0]",277
language_164,"[0, 0]",277
language_165,"[1, 0]",277
language_166,"[0, 0]",277
language_168,"[1, 0]",277
language_169,"[1, 0]",277
language_171,"[1, 0]",277
language_172,"[1, 0]",277
language_173,"[1, 0]",277
language_174,"[0, 0]",277
language_175,"[1, 0]",277
language_177,"[1, 1]",277
language_178,"[1, 0]",277
language_179,"[1, 0]",277
language_180,"[1, 0]",277
language_181,"[1, 0]",277
language_182,"[1, 0]",277
language_183,"[1, 0]",277
language_184,"[0, 0]",277
language_185,"[1, 0]",277
language_186,"[1, 0]",277
language_189,"[1, 1]",277
language_190,"[1, 0]",277
language_191,"[1, 0]",277
language_192,"[1, 0]",277
language_193,"[1, 1]",277
language_194,"[1, 0]",277
language_195,"[0, 1]",277
language_196,"[0, 0]",277
language_197,"[1, 0]",277
language_198,"[1, 0]",277
language_199,"[1, 0]",277
language_200,"[0, 0]",277
language_201,"[0, 0]",277
language_202,"[0, 1]",277
language_204,"[1, 0]",277
language_205,"[1, 0]",277
language_208,"[1, 0]",277
language_209,"[0, 0]",277
language_210,"[1, 1]",277
language_211,"[0, 0]",277
language_212,"[0, 0]",277
language_213,"[1, 0]",277
language_214,"[1, 0]",277
language_217,"[1, 0]",277
language_218,"[1, 0]",277
language_219,"[1, 0]",277
language_220,"[0, 0]",277
language_221,"[1, 0]",277
language_223,"[0, 0]",277
language_225,"[1, 0]",277
language_226,"[1, 0]",277
language_227,"[1, 0]",277
language_230,"[1, 0]",277
language_232,"[0, 0]",277
language_233,"[1, 0]",277
language_235,"[0, 1]",277
language_236,"[1, 0]",277
language_237,"[1, 0]",277
language_238,"[1, 0]",277
language_239,"[1, 1]",277
language_240,"[1, 0]",277
language_241,"[1, 0]",277
language_242,"[1, 0]",277
language_243,"[1, 0]",277
language_244,"[0, 0]",277
language_245,"[1, 0]",277
language_246,"[0, 0]",277
language_247,"[1, 0]",277
language_250,"[0, 0]",277
language_251,"[1, 0]",277
language_252,"[0, 0]",277
language_253,"[0, 0]",277
language_254,"[1, 0]",277
language_255,"[1, 0]",277
language_256,"[1, 0]",277
language_257,"[1, 0]",277
language_259,"[1, 0]",277
language_260,"[0, 0]",277
language_261,"[1, 0]",277
language_262,"[1, 0]",277
language_263,"[0, 0]",277
language_264,"[1, 1]",277
language_265,"[1, 0]",277
language_267,"[1, 0]",277
language_268,"[1, 0]",277
language_270,"[1, 0]",277
language_271,"[1, 0]",277
language_272,"[1, 1]",277
language_273,"[0, 0]",277
language_274,"[1, 0]",277
language_275,"[1, 0]",277
language_277,"[1, 0]",277
language_278,"[1, 0]",277
language_280,"[1, 0]",277
language_281,"[0, 0]",277
language_282,"[1, 1]",277
language_283,"[0, 0]",277
language_285,"[1, 0]",277
language_286,"[0, 0]",277
language_287,"[0, 0]",277
language_289,"[0, 0]",277
language_290,"[0, 0]",277
language_291,"[1, 0]",277
language_292,"[0, 0]",277
language_293,"[1, 0]",277
language_294,"[1, 0]",277
language_296,"[0, 0]",277
language_297,"[1, 0]",277
language_298,"[1, 0]",277
language_300,"[0, 0]",277
language_301,"[0, 0]",277
language_302,"[1, 0]",277
language_303,"[1, 0]",277
language_304,"[1, 0]",277
language_305,"[1, 0]",277
language_306,"[0, 0]",277
language_308,"[0, 0]",277
language_309,"[0, 1]",277
language_311,"[1, 1]",277
language_312,"[0, 0]",277
language_313,"[1, 1]",277
language_314,"[1, 0]",277
language_315,"[1, 0]",277
language_316,"[0, 0]",277
language_317,"[1, 1]",277
language_318,"[0, 0]",277
language_319,"[0, 0]",277
language_321,"[0, 0]",277
language_322,"[0, 0]",277
language_323,"[1, 0]",277
language_326,"[1, 0]",277
language_327,"[0, 0]",277
language_328,"[0, 0]",277
language_329,"[1, 0]",277
language_330,"[1, 0]",277
language_331,"[0, 0]",277
language_332,"[1, 0]",277
language_333,"[1, 0]",277
language_334,"[0, 0]",277
language_336,"[0, 0]",277
language_337,"[1, 0]",277
language_338,"[1, 0]",277
language_339,"[0, 0]",277
language_340,"[1, 0]",277
language_343,"[1, 0]",277
language_345,"[1, 0]",277
language_346,"[0, 0]",277
language_347,"[1, 0]",277
language_348,"[1, 0]",277
language_349,"[1, 0]",277
language_350,"[0, 0]",277
language_351,"[1, 0]",277
language_352,"[0, 0]",277
language_354,"[1, 0]",277
language_355,"[1, 0]",277
language_356,"[1, 0]",277
language_357,"[1, 1]",277
language_358,"[1, 0]",277
language_360,"[0, 1]",277
language_361,"[0, 0]",277
language_362,"[0, 1]",277
language_363,"[0, 0]",277
language_364,"[0, 0]",277
language_365,"[1, 0]",277
language_366,"[1, 0]",277
language_367,"[0, 0]",277
language_368,"[0, 0]",277
language_369,"[0, 0]",277
language_370,"[1, 0]",277
language_371,"[1, 0]",277
language_372,"[1, 0]",277
language_373,"[1, 0]",277
language_374,"[1, 0]",277
language_376,"[0, 0]",277
language_377,"[1, 0]",277
language_379,"[0, 0]",277
language_381,"[1, 0]",277
language_382,"[1, 0]",277
language_383,"[1, 0]",277
language_384,"[1, 0]",277
language_386,"[0, 0]",277
language_387,"[0, 0]",277
language_388,"[1, 0]",277
language_390,"[1, 1]",277
language_392,"[0, 0]",277
language_393,"[0, 0]",277
language_394,"[0, 0]",277
language_395,"[0, 0]",277
language_396,"[1, 0]",277
language_397,"[1, 0]",277
language_398,"[1, 0]",277
language_399,"[1, 0]",277
language_400,"[1, 0]",277
language_402,"[0, 0]",277
language_404,"[1, 0]",277
language_405,"[1, 0]",277
language_406,"[1, 0]",277
language_409,"[1, 0]",277
language_411,"[0, 0]",277
language_412,"[0, 0]",277
language_413,"[0, 0]",277
language_414,"[1, 0]",277
language_416,"[1, 1]",277
language_417,"[1, 0]",277
language_418,"[0, 0]",277
language_419,"[1, 0]",277
language_420,"[0, 0]",277
language_421,"[0, 0]",277
language_422,"[1, 0]",277
language_423,"[1, 0]",277
language_425,"[1, 0]",277
language_426,"[0, 1]",277
