LANGUAGE,AGE,SET
language_1,"[0, 0]",452
language_3,"[1, 0]",452
language_4,"[1, 0]",452
language_6,"[1, 0]",452
language_7,"[1, 0]",452
language_8,"[1, 1]",452
language_10,"[0, 0]",452
language_11,"[0, 0]",452
language_12,"[0, 0]",452
language_13,"[1, 0]",452
language_14,"[0, 0]",452
language_15,"[1, 0]",452
language_17,"[0, 0]",452
language_18,"[0, 0]",452
language_20,"[1, 1]",452
language_21,"[1, 0]",452
language_23,"[0, 1]",452
language_24,"[0, 0]",452
language_26,"[1, 0]",452
language_27,"[0, 0]",452
language_28,"[1, 0]",452
language_29,"[1, 0]",452
language_30,"[1, 0]",452
language_31,"[1, 0]",452
language_34,"[1, 0]",452
language_36,"[1, 0]",452
language_38,"[1, 0]",452
language_39,"[1, 0]",452
language_40,"[0, 0]",452
language_41,"[0, 0]",452
language_42,"[1, 1]",452
language_43,"[1, 0]",452
language_44,"[0, 0]",452
language_48,"[1, 0]",452
language_49,"[1, 1]",452
language_50,"[0, 0]",452
language_51,"[1, 0]",452
language_52,"[0, 1]",452
language_53,"[0, 0]",452
language_54,"[1, 0]",452
language_55,"[1, 0]",452
language_56,"[1, 0]",452
language_57,"[1, 0]",452
language_58,"[0, 0]",452
language_59,"[0, 0]",452
language_60,"[1, 0]",452
language_61,"[0, 0]",452
language_62,"[0, 0]",452
language_65,"[1, 0]",452
language_67,"[1, 0]",452
language_68,"[1, 0]",452
language_69,"[1, 0]",452
language_70,"[0, 0]",452
language_72,"[0, 0]",452
language_73,"[1, 0]",452
language_74,"[1, 0]",452
language_75,"[1, 0]",452
language_76,"[0, 0]",452
language_77,"[1, 0]",452
language_78,"[1, 0]",452
language_79,"[1, 0]",452
language_80,"[1, 0]",452
language_81,"[1, 0]",452
language_82,"[0, 0]",452
language_83,"[1, 0]",452
language_84,"[1, 0]",452
language_85,"[1, 0]",452
language_86,"[1, 0]",452
language_87,"[0, 1]",452
language_88,"[1, 0]",452
language_89,"[1, 0]",452
language_90,"[1, 0]",452
language_91,"[1, 1]",452
language_93,"[1, 0]",452
language_94,"[1, 0]",452
language_96,"[1, 1]",452
language_97,"[0, 1]",452
language_98,"[1, 0]",452
language_99,"[0, 0]",452
language_101,"[0, 0]",452
language_102,"[0, 0]",452
language_104,"[1, 0]",452
language_105,"[1, 0]",452
language_106,"[1, 0]",452
language_107,"[1, 0]",452
language_109,"[1, 1]",452
language_110,"[0, 0]",452
language_111,"[1, 0]",452
language_112,"[1, 0]",452
language_113,"[0, 0]",452
language_115,"[1, 0]",452
language_116,"[1, 0]",452
language_117,"[0, 1]",452
language_118,"[1, 0]",452
language_119,"[1, 0]",452
language_121,"[0, 0]",452
language_122,"[1, 0]",452
language_123,"[0, 0]",452
language_124,"[1, 0]",452
language_125,"[1, 0]",452
language_126,"[1, 0]",452
language_127,"[0, 0]",452
language_128,"[0, 0]",452
language_129,"[1, 1]",452
language_131,"[1, 0]",452
language_133,"[0, 0]",452
language_135,"[1, 0]",452
language_136,"[1, 0]",452
language_137,"[1, 0]",452
language_138,"[0, 1]",452
language_139,"[1, 0]",452
language_140,"[0, 0]",452
language_141,"[0, 0]",452
language_142,"[0, 0]",452
language_143,"[0, 0]",452
language_145,"[1, 0]",452
language_147,"[1, 0]",452
language_148,"[1, 1]",452
language_149,"[0, 0]",452
language_150,"[1, 0]",452
language_151,"[1, 0]",452
language_152,"[0, 0]",452
language_153,"[1, 0]",452
language_155,"[1, 0]",452
language_156,"[1, 1]",452
language_158,"[1, 0]",452
language_159,"[0, 0]",452
language_160,"[1, 0]",452
language_161,"[1, 0]",452
language_162,"[1, 0]",452
language_163,"[1, 0]",452
language_164,"[1, 0]",452
language_165,"[1, 0]",452
language_166,"[1, 0]",452
language_167,"[0, 0]",452
language_168,"[1, 0]",452
language_169,"[1, 0]",452
language_170,"[1, 0]",452
language_171,"[1, 1]",452
language_172,"[1, 0]",452
language_173,"[0, 0]",452
language_174,"[0, 0]",452
language_175,"[0, 1]",452
language_176,"[1, 0]",452
language_178,"[0, 0]",452
language_179,"[1, 0]",452
language_180,"[1, 0]",452
language_182,"[1, 0]",452
language_183,"[0, 0]",452
language_186,"[1, 0]",452
language_188,"[1, 0]",452
language_189,"[0, 1]",452
language_190,"[0, 0]",452
language_192,"[0, 0]",452
language_193,"[1, 0]",452
language_194,"[1, 0]",452
language_195,"[0, 0]",452
language_196,"[1, 0]",452
language_197,"[0, 0]",452
language_198,"[1, 1]",452
language_199,"[1, 0]",452
language_200,"[1, 0]",452
language_201,"[0, 0]",452
language_202,"[1, 0]",452
language_203,"[1, 0]",452
language_204,"[1, 0]",452
language_205,"[1, 0]",452
language_206,"[0, 0]",452
language_207,"[1, 0]",452
language_208,"[1, 0]",452
language_209,"[1, 0]",452
language_210,"[1, 0]",452
language_211,"[1, 0]",452
language_213,"[1, 0]",452
language_215,"[1, 0]",452
language_216,"[0, 0]",452
language_217,"[1, 0]",452
language_218,"[0, 0]",452
language_219,"[0, 0]",452
language_221,"[0, 0]",452
language_222,"[1, 0]",452
language_223,"[1, 0]",452
language_224,"[0, 0]",452
language_225,"[1, 1]",452
language_226,"[0, 0]",452
language_227,"[0, 0]",452
language_228,"[0, 0]",452
language_229,"[1, 0]",452
language_230,"[0, 0]",452
language_231,"[1, 0]",452
language_232,"[0, 0]",452
language_233,"[1, 1]",452
language_234,"[1, 0]",452
language_235,"[1, 1]",452
language_236,"[1, 0]",452
language_237,"[1, 0]",452
language_238,"[1, 0]",452
language_240,"[1, 0]",452
language_241,"[1, 0]",452
language_242,"[1, 0]",452
language_243,"[1, 0]",452
language_244,"[0, 1]",452
language_245,"[1, 0]",452
language_246,"[1, 0]",452
language_247,"[0, 0]",452
language_248,"[1, 1]",452
language_249,"[0, 0]",452
language_251,"[0, 0]",452
language_252,"[1, 0]",452
language_253,"[1, 0]",452
language_254,"[1, 0]",452
language_256,"[0, 0]",452
language_257,"[0, 0]",452
language_258,"[1, 0]",452
language_259,"[0, 0]",452
language_260,"[1, 0]",452
language_261,"[0, 0]",452
language_262,"[0, 0]",452
language_263,"[0, 0]",452
language_264,"[0, 0]",452
language_265,"[1, 0]",452
language_266,"[0, 0]",452
language_267,"[0, 0]",452
language_269,"[1, 0]",452
language_270,"[1, 0]",452
language_273,"[0, 0]",452
language_274,"[1, 0]",452
language_275,"[0, 0]",452
language_276,"[0, 1]",452
language_278,"[0, 0]",452
language_279,"[0, 0]",452
language_280,"[1, 0]",452
language_281,"[1, 0]",452
language_282,"[1, 0]",452
language_283,"[1, 0]",452
language_284,"[1, 0]",452
language_288,"[1, 0]",452
language_289,"[1, 0]",452
language_291,"[0, 0]",452
language_292,"[1, 0]",452
language_293,"[1, 1]",452
language_295,"[0, 0]",452
language_296,"[1, 0]",452
language_297,"[0, 0]",452
language_298,"[0, 0]",452
language_299,"[0, 0]",452
language_301,"[1, 1]",452
language_302,"[0, 0]",452
language_303,"[1, 0]",452
language_304,"[1, 0]",452
language_305,"[1, 0]",452
language_306,"[1, 0]",452
language_307,"[1, 1]",452
language_309,"[1, 1]",452
language_310,"[1, 0]",452
language_311,"[1, 0]",452
language_312,"[1, 0]",452
language_313,"[0, 0]",452
language_314,"[0, 0]",452
language_315,"[0, 0]",452
language_316,"[1, 0]",452
language_317,"[1, 0]",452
language_319,"[1, 0]",452
language_320,"[1, 0]",452
language_321,"[0, 0]",452
language_322,"[1, 1]",452
language_324,"[1, 0]",452
language_325,"[0, 0]",452
language_328,"[1, 0]",452
language_330,"[1, 0]",452
language_331,"[1, 0]",452
language_332,"[1, 0]",452
language_333,"[0, 0]",452
language_334,"[0, 0]",452
language_336,"[0, 1]",452
language_337,"[0, 0]",452
language_338,"[0, 1]",452
language_339,"[0, 1]",452
language_340,"[1, 0]",452
language_341,"[1, 0]",452
language_342,"[1, 0]",452
language_344,"[0, 0]",452
language_345,"[0, 1]",452
language_346,"[0, 0]",452
language_347,"[1, 0]",452
language_348,"[0, 0]",452
language_349,"[1, 0]",452
language_352,"[0, 0]",452
language_353,"[1, 1]",452
language_354,"[1, 0]",452
language_355,"[1, 0]",452
language_356,"[1, 1]",452
language_357,"[0, 0]",452
language_358,"[0, 0]",452
language_359,"[1, 0]",452
language_361,"[0, 0]",452
language_362,"[1, 0]",452
language_363,"[0, 0]",452
language_364,"[0, 0]",452
language_365,"[1, 0]",452
language_366,"[0, 0]",452
language_371,"[1, 0]",452
language_372,"[1, 1]",452
language_373,"[1, 1]",452
language_375,"[0, 0]",452
language_376,"[0, 0]",452
language_377,"[1, 0]",452
language_378,"[0, 0]",452
language_380,"[1, 0]",452
language_381,"[1, 0]",452
language_382,"[0, 0]",452
language_383,"[1, 0]",452
language_384,"[1, 1]",452
language_385,"[0, 0]",452
