LANGUAGE,AGE,SET
language_1,"[1, 0]",734
language_2,"[1, 0]",734
language_3,"[1, 0]",734
language_4,"[0, 0]",734
language_6,"[1, 0]",734
language_10,"[1, 0]",734
language_11,"[1, 0]",734
language_12,"[1, 0]",734
language_13,"[1, 0]",734
language_14,"[1, 1]",734
language_15,"[1, 0]",734
language_16,"[1, 0]",734
language_17,"[0, 0]",734
language_18,"[1, 0]",734
language_19,"[1, 0]",734
language_20,"[1, 0]",734
language_21,"[1, 0]",734
language_22,"[1, 0]",734
language_23,"[0, 0]",734
language_25,"[1, 0]",734
language_26,"[1, 0]",734
language_27,"[0, 0]",734
language_28,"[1, 0]",734
language_29,"[1, 0]",734
language_30,"[1, 0]",734
language_31,"[1, 0]",734
language_32,"[1, 0]",734
language_33,"[1, 0]",734
language_34,"[1, 0]",734
language_35,"[1, 0]",734
language_38,"[1, 0]",734
language_39,"[1, 1]",734
language_40,"[1, 0]",734
language_42,"[1, 0]",734
language_43,"[0, 0]",734
language_44,"[1, 0]",734
language_46,"[1, 0]",734
language_47,"[0, 1]",734
language_49,"[1, 1]",734
language_52,"[1, 0]",734
language_54,"[1, 0]",734
language_55,"[1, 0]",734
language_56,"[1, 1]",734
language_58,"[0, 0]",734
language_61,"[1, 1]",734
language_62,"[1, 0]",734
language_63,"[1, 0]",734
language_64,"[1, 0]",734
language_65,"[1, 0]",734
language_66,"[1, 0]",734
language_68,"[1, 0]",734
language_69,"[1, 0]",734
language_70,"[1, 0]",734
language_71,"[0, 0]",734
language_72,"[1, 0]",734
language_73,"[0, 0]",734
language_74,"[1, 0]",734
language_76,"[1, 0]",734
language_77,"[0, 0]",734
language_78,"[1, 0]",734
language_79,"[1, 0]",734
language_80,"[1, 0]",734
language_81,"[0, 0]",734
language_82,"[1, 0]",734
language_83,"[1, 0]",734
language_84,"[0, 0]",734
language_85,"[0, 0]",734
language_86,"[1, 0]",734
language_88,"[1, 0]",734
language_89,"[0, 0]",734
language_90,"[0, 0]",734
language_91,"[1, 0]",734
language_92,"[1, 0]",734
language_93,"[1, 0]",734
language_95,"[0, 0]",734
language_97,"[1, 0]",734
language_98,"[1, 0]",734
language_100,"[1, 0]",734
language_102,"[0, 0]",734
language_103,"[1, 0]",734
language_104,"[1, 0]",734
language_105,"[1, 0]",734
language_106,"[1, 0]",734
language_107,"[1, 0]",734
language_109,"[1, 0]",734
language_112,"[1, 0]",734
language_113,"[1, 0]",734
language_114,"[0, 0]",734
language_115,"[1, 0]",734
language_116,"[1, 0]",734
language_118,"[1, 0]",734
language_120,"[1, 0]",734
language_121,"[1, 0]",734
language_123,"[0, 0]",734
language_124,"[0, 0]",734
language_125,"[1, 0]",734
language_126,"[0, 0]",734
language_129,"[0, 0]",734
language_130,"[1, 0]",734
language_131,"[1, 1]",734
language_132,"[1, 0]",734
language_133,"[1, 0]",734
language_134,"[1, 0]",734
language_136,"[0, 0]",734
language_137,"[0, 0]",734
language_139,"[1, 0]",734
language_140,"[1, 0]",734
language_142,"[1, 0]",734
language_143,"[0, 0]",734
language_145,"[1, 0]",734
language_146,"[1, 0]",734
language_147,"[1, 0]",734
language_148,"[1, 0]",734
language_149,"[1, 0]",734
language_150,"[1, 0]",734
language_151,"[0, 0]",734
language_152,"[0, 0]",734
language_153,"[1, 0]",734
language_154,"[1, 0]",734
language_155,"[0, 0]",734
language_157,"[1, 0]",734
language_159,"[1, 0]",734
language_160,"[1, 0]",734
language_161,"[1, 0]",734
language_162,"[1, 0]",734
language_163,"[0, 0]",734
language_164,"[1, 1]",734
language_165,"[1, 0]",734
language_166,"[1, 0]",734
language_167,"[1, 0]",734
language_168,"[1, 0]",734
language_169,"[1, 0]",734
language_170,"[0, 0]",734
language_171,"[0, 0]",734
language_173,"[1, 0]",734
language_174,"[1, 0]",734
language_175,"[1, 1]",734
language_176,"[1, 0]",734
language_177,"[1, 0]",734
language_178,"[1, 0]",734
language_182,"[1, 0]",734
language_184,"[1, 0]",734
language_185,"[0, 0]",734
language_186,"[1, 0]",734
language_187,"[1, 1]",734
language_188,"[1, 0]",734
language_189,"[0, 0]",734
language_190,"[1, 0]",734
language_191,"[1, 0]",734
language_193,"[0, 0]",734
language_195,"[1, 0]",734
language_197,"[1, 0]",734
