LANGUAGE,GEN_0,GEN_1,SET
Erzya,0.0,0.5,Uralic
Estonian,1.0,1.0,Uralic
Finnic,0.0,0.5,Uralic
Finnish,0.0,0.5,Uralic
Ingrian,0.0,0.5,Uralic
Kazym_Berezover_Suryskarer_Khanty,0.0,1.0,Uralic
kinura_ForestEnets,0.0,0.0,Uralic
kinura_HillMari,0.0,0.75,Uralic
kinura_Livonian,0.0,0.0,Uralic
kinura_MokshaMordvin,0.0,0.5,Uralic
kinura_Nganasan,0.0,0.5,Uralic
kinura_NorthSaami,0.0,1.0,Uralic
kinura_SkoltSaami,0.0,1.0,Uralic
kinura_SouthSaami,0.0,1.0,Uralic
Komi_Zyrian,0.0,1.0,Uralic
Magyar,0.0,1.0,Uralic
Mansi,0.0,1.0,Uralic
Mari,1.0,0.5,Uralic
Udmurt,1.0,1.0,Uralic
Veps,0.0,0.0,Uralic
