LANGUAGE,GEN_0,GEN_1,SET
Aghul,0.0,0.0,Nakh-Daghestanian
Akhvakh_Northern_Akhvakh_,0.0,1.0,Nakh-Daghestanian
Andi,0.0,1.0,Nakh-Daghestanian
Archi,0.0,1.0,Nakh-Daghestanian
Avar_Ancux_,0.0,1.0,Nakh-Daghestanian
Avar_Andalal_,0.0,1.0,Nakh-Daghestanian
Avar,0.0,1.0,Nakh-Daghestanian
Avar_Batlux_,0.0,0.0,Nakh-Daghestanian
Avar_Hid_dialect_,0.0,1.0,Nakh-Daghestanian
Avaz_Khunzakh_,0.0,0.5,Nakh-Daghestanian
Bahvalal,0.0,1.0,Nakh-Daghestanian
Bats_Tsova_Tush_,0.0,1.0,Nakh-Daghestanian
Bezhta,0.0,1.0,Nakh-Daghestanian
Budukh,0.0,1.0,Nakh-Daghestanian
Chamalal,0.0,1.0,Nakh-Daghestanian
Chamalal_Gigatli_,0.0,1.0,Nakh-Daghestanian
Dargwa_Chirag_,0.0,0.0,Nakh-Daghestanian
Dargwa_Itsari_,0.0,0.0,Nakh-Daghestanian
Godoberi,0.0,1.0,Nakh-Daghestanian
Hinuq,0.0,1.0,Nakh-Daghestanian
Hunzib,0.0,1.0,Nakh-Daghestanian
Ingush,0.0,1.0,Nakh-Daghestanian
Inxokvari,0.0,1.0,Nakh-Daghestanian
Rutul,0.0,1.0,Nakh-Daghestanian
