LANGUAGE,GEN_0,GEN_1,SET
Chepang,1.0,0.25,Sino-Tibetan
Dzonghka_Lhop,1.0,1.0,Sino-Tibetan
Dzonghka_Sha,1.0,1.0,Sino-Tibetan
Dzonghka_Wang,1.0,1.0,Sino-Tibetan
Lisu_,1.0,1.0,Sino-Tibetan
Lisu_,1.0,1.0,Sino-Tibetan
Lisu_,1.0,1.0,Sino-Tibetan
Lisu_,1.0,1.0,Sino-Tibetan
Manange,0.0,1.0,Sino-Tibetan
Burmese,1.0,0.75,Sino-Tibetan
Chinese,1.0,1.0,Sino-Tibetan
Karen_(Pwo_dialect),0.0,0.0,Sino-Tibetan
Karen_(Sgau_dialect),0.0,0.5,Sino-Tibetan
Karen,0.5,0.0,Sino-Tibetan
Sangtam_Naga,0.5,0.5,Sino-Tibetan
Suzhou,1.0,1.0,Sino-Tibetan
Suzhou,1.0,1.0,Sino-Tibetan
