LANGUAGE,GEN_0,GEN_1,SET
'Are'are,1.0,0.0,Austronesian
Aklanon,0.0,0.0,Austronesian
Alangan,0.0,0.0,Austronesian
Ampibabo_Lauje,0.0,0.0,Austronesian
Anejom,0.5,0.5,Austronesian
Anuta,0.0,1.0,Austronesian
Araki,0.75,1.0,Austronesian
Aria_(Mouk-Aria)_,1.0,1.0,Austronesian
Atchin,1.0,0.5,Austronesian
Atoni_(Uab_Meto),0.0,1.0,Austronesian
Atta,1.0,0.0,Austronesian
Ayiwo,1.0,1.0,Austronesian
Balangao,1.0,0.0,Austronesian
Balinese,0.0,0.0,Austronesian
Banjar,0.0,1.0,Austronesian
Bannoni,0.0,0.0,Austronesian
Barabet_(Hano)_,0.0,1.0,Austronesian
Bario_Kelabit,0.0,0.0,Austronesian
Biak,0.5,1.0,Austronesian
Big_Nambas_,1.0,1.0,Austronesian
Bilibil,1.0,1.0,Austronesian
Binukid_(Talaandig-Binukid),0.0,0.0,Austronesian
Boano_(Sulawesi),0.0,0.0,Austronesian
Bontok,0.0,0.0,Austronesian
Brunei-Sabah_Malay_(Malay),0.0,0.0,Austronesian
Buhid,0.0,0.0,Austronesian
Bukat,0.0,0.0,Austronesian
Bungku,0.0,0.0,Austronesian
Butmas-Tur,1.0,1.0,Austronesian
Casiguran_Dumagat_Agta,0.0,0.0,Austronesian
Cebuano,0.0,0.0,Austronesian
Central_Cagayan_Agta,0.0,0.0,Austronesian
Central_Melanau,0.0,0.0,Austronesian
Central_Sama,0.0,0.0,Austronesian
Central_Tagbanwa,0.0,0.0,Austronesian
Chamarro,0.0,0.0,Austronesian
Cheke_Holo,1.0,1.0,Austronesian
Chuukese_(Trukese),0.5,0.5,Austronesian
Colloquial_Malay,0.0,0.0,Austronesian
Cotabato_Manobo,0.5,0.0,Austronesian
Dakaka,1.0,1.0,Austronesian
Dampelas,0.0,0.0,Austronesian
Dobu,1.0,1.0,Austronesian
Dondo,0.0,0.0,Austronesian
Easter_Islanders,1.0,0.0,Austronesian
East_Futuna,0.0,1.0,Austronesian
Ellice,0.0,0.5,Austronesian
Emau_(Emao_Island),1.0,1.0,Austronesian
Fijian,1.0,1.0,Austronesian
Fordata,0.0,0.0,Austronesian
Futunans,0.0,1.0,Austronesian
Ga'dang,0.0,0.0,Austronesian
Gela,0.0,0.0,Austronesian
Hanunoo,0.0,0.0,Austronesian
Hawaiians,0.0,0.0,Austronesian
Hawaii,0.0,0.0,Austronesian
Hiligaynon,0.0,0.0,Austronesian
Ibaloi_(Nabaloi),0.0,0.0,Austronesian
Ibanag,0.0,0.0,Austronesian
Iban,0.0,0.0,Austronesian
Ida'an,0.0,0.0,Austronesian
Ili'uun,1.0,1.0,Austronesian
Ilokano,0.0,0.0,Austronesian
Indonesian_Bajau,0.0,0.75,Austronesian
Indonesian,0.0,0.0,Austronesian
Iraya,0.0,0.0,Austronesian
Isnag,0.0,0.0,Austronesian
Itbayat,0.0,0.0,Austronesian
Itneg_(Binongan),1.0,0.0,Austronesian
Javanese,0.0,0.0,Austronesian
Kalinga_(Ahin-Kayapa_Kalanguya),0.0,0.0,Austronesian
Kambera,0.75,1.0,Austronesian
Kankanaey_(Kankanai),0.0,0.0,Austronesian
Kapingamarangi,0.0,0.0,Austronesian
Kapingamarangi_,0.0,0.5,Austronesian
Kei,0.0,0.0,Austronesian
Kilivila,1.0,1.0,Austronesian
Kiput,0.0,0.0,Austronesian
Kuanua,1.0,1.0,Austronesian
