LANGUAGE,GENDER,SET
language_1,"[1, 1]",625
language_2,"[1, 1]",625
language_3,"[1, 1]",625
language_4,"[1, 1]",625
language_5,"[1, 1]",625
language_6,"[1, 1]",625
language_7,"[1, 1]",625
language_8,"[0, 1]",625
language_9,"[1, 1]",625
language_10,"[1, 1]",625
language_11,"[1, 1]",625
language_12,"[1, 1]",625
language_13,"[1, 0]",625
language_14,"[1, 0]",625
language_16,"[1, 1]",625
language_17,"[0, 1]",625
language_18,"[1, 1]",625
language_19,"[1, 1]",625
language_20,"[1, 1]",625
language_21,"[1, 1]",625
language_22,"[1, 1]",625
language_24,"[1, 1]",625
language_26,"[0, 1]",625
language_28,"[1, 1]",625
language_29,"[1, 0]",625
language_30,"[1, 0]",625
language_31,"[1, 1]",625
language_32,"[1, 1]",625
language_33,"[1, 0]",625
language_34,"[1, 1]",625
language_35,"[0, 1]",625
language_36,"[1, 1]",625
language_37,"[1, 1]",625
language_38,"[1, 1]",625
language_39,"[1, 1]",625
language_40,"[1, 1]",625
language_41,"[1, 0]",625
language_42,"[1, 1]",625
language_43,"[1, 1]",625
language_44,"[1, 1]",625
language_45,"[1, 1]",625
language_46,"[1, 1]",625
language_47,"[1, 1]",625
language_48,"[1, 1]",625
language_50,"[1, 1]",625
language_51,"[1, 1]",625
language_52,"[1, 1]",625
language_53,"[1, 1]",625
language_54,"[1, 1]",625
language_55,"[1, 1]",625
language_56,"[1, 1]",625
language_58,"[1, 1]",625
language_59,"[1, 1]",625
language_60,"[1, 1]",625
language_61,"[1, 1]",625
language_64,"[1, 0]",625
language_65,"[1, 1]",625
language_66,"[1, 1]",625
language_67,"[1, 1]",625
language_68,"[1, 1]",625
language_69,"[1, 1]",625
language_70,"[1, 1]",625
language_71,"[1, 1]",625
language_72,"[1, 1]",625
language_73,"[1, 1]",625
language_74,"[1, 1]",625
language_75,"[1, 1]",625
language_76,"[1, 1]",625
language_77,"[1, 0]",625
language_78,"[1, 1]",625
language_79,"[1, 1]",625
language_80,"[0, 1]",625
language_81,"[1, 1]",625
language_82,"[1, 1]",625
language_83,"[1, 0]",625
language_84,"[1, 1]",625
language_85,"[1, 1]",625
language_86,"[1, 1]",625
language_87,"[1, 1]",625
language_88,"[1, 1]",625
language_89,"[1, 1]",625
language_90,"[1, 1]",625
language_91,"[1, 1]",625
language_92,"[0, 0]",625
language_94,"[1, 1]",625
language_95,"[1, 1]",625
language_96,"[1, 1]",625
language_98,"[1, 1]",625
language_99,"[1, 1]",625
language_100,"[1, 1]",625
language_101,"[1, 1]",625
