LANGUAGE,GENDER,SET
language_249,"[1, 1]",880
language_250,"[1, 1]",880
language_251,"[1, 0]",880
language_253,"[1, 1]",880
language_254,"[1, 1]",880
language_255,"[1, 1]",880
language_256,"[1, 1]",880
language_257,"[1, 1]",880
language_258,"[1, 1]",880
language_259,"[1, 1]",880
language_260,"[1, 1]",880
language_261,"[1, 1]",880
language_262,"[0, 1]",880
language_263,"[1, 0]",880
language_264,"[1, 1]",880
language_265,"[1, 1]",880
language_266,"[1, 1]",880
language_267,"[1, 1]",880
language_268,"[1, 1]",880
language_269,"[1, 1]",880
language_270,"[1, 1]",880
language_271,"[1, 1]",880
language_272,"[1, 1]",880
language_273,"[1, 1]",880
language_274,"[1, 1]",880
language_275,"[1, 1]",880
language_277,"[1, 1]",880
language_278,"[1, 0]",880
language_279,"[1, 1]",880
language_280,"[1, 1]",880
language_281,"[0, 0]",880
language_282,"[1, 1]",880
language_283,"[1, 0]",880
language_284,"[1, 1]",880
language_285,"[1, 1]",880
language_286,"[0, 1]",880
language_287,"[1, 1]",880
language_288,"[1, 0]",880
language_289,"[1, 1]",880
language_290,"[1, 1]",880
language_291,"[1, 1]",880
language_292,"[1, 1]",880
language_293,"[1, 1]",880
language_294,"[1, 1]",880
language_295,"[1, 1]",880
language_296,"[1, 1]",880
language_297,"[1, 1]",880
language_298,"[1, 1]",880
language_299,"[1, 1]",880
language_300,"[1, 1]",880
language_301,"[1, 1]",880
language_302,"[0, 1]",880
language_303,"[0, 1]",880
language_304,"[1, 1]",880
language_305,"[1, 1]",880
language_306,"[1, 1]",880
language_307,"[1, 1]",880
language_309,"[1, 1]",880
language_310,"[0, 1]",880
language_311,"[1, 1]",880
language_312,"[1, 1]",880
language_313,"[1, 1]",880
language_314,"[1, 1]",880
language_315,"[0, 1]",880
language_316,"[1, 1]",880
language_317,"[1, 1]",880
language_318,"[1, 1]",880
language_319,"[0, 1]",880
language_320,"[1, 0]",880
language_321,"[1, 1]",880
language_322,"[1, 1]",880
language_324,"[1, 0]",880
language_325,"[1, 1]",880
language_326,"[0, 1]",880
language_327,"[1, 1]",880
language_328,"[1, 1]",880
language_329,"[1, 1]",880
language_330,"[1, 1]",880
language_331,"[0, 1]",880
language_332,"[1, 1]",880
language_334,"[0, 1]",880
language_336,"[1, 1]",880
language_337,"[1, 1]",880
language_338,"[1, 1]",880
language_339,"[1, 0]",880
language_340,"[0, 1]",880
language_341,"[1, 1]",880
language_342,"[1, 1]",880
language_343,"[1, 1]",880
language_344,"[1, 1]",880
language_345,"[1, 1]",880
language_346,"[1, 1]",880
language_347,"[1, 1]",880
language_348,"[1, 1]",880
language_349,"[1, 1]",880
language_350,"[1, 1]",880
language_351,"[1, 0]",880
language_352,"[1, 1]",880
language_353,"[0, 1]",880
language_354,"[1, 1]",880
language_355,"[1, 1]",880
language_357,"[1, 1]",880
language_358,"[1, 1]",880
language_359,"[1, 0]",880
language_360,"[1, 1]",880
language_361,"[0, 1]",880
language_362,"[1, 1]",880
language_363,"[1, 1]",880
language_364,"[1, 1]",880
language_365,"[1, 1]",880
language_366,"[0, 1]",880
language_367,"[1, 1]",880
language_368,"[1, 1]",880
language_369,"[0, 1]",880
language_370,"[1, 1]",880
language_371,"[1, 1]",880
language_373,"[1, 1]",880
language_374,"[1, 1]",880
language_375,"[1, 1]",880
language_376,"[0, 0]",880
language_377,"[1, 0]",880
language_378,"[1, 1]",880
language_379,"[0, 1]",880
language_380,"[1, 1]",880
language_381,"[1, 1]",880
language_382,"[1, 1]",880
language_383,"[1, 1]",880
language_384,"[1, 1]",880
language_385,"[1, 1]",880
language_387,"[1, 1]",880
language_388,"[1, 1]",880
language_389,"[1, 1]",880
language_390,"[1, 1]",880
language_391,"[1, 1]",880
language_392,"[1, 1]",880
language_393,"[1, 1]",880
language_394,"[1, 1]",880
language_395,"[1, 1]",880
language_396,"[1, 1]",880
language_397,"[1, 1]",880
language_398,"[0, 1]",880
language_399,"[0, 1]",880
language_401,"[1, 1]",880
language_402,"[1, 1]",880
language_403,"[0, 1]",880
language_404,"[0, 1]",880
language_405,"[1, 1]",880
language_406,"[1, 1]",880
language_407,"[1, 1]",880
language_409,"[1, 1]",880
language_410,"[1, 1]",880
language_411,"[1, 0]",880
language_412,"[1, 1]",880
language_413,"[1, 1]",880
language_414,"[1, 1]",880
language_415,"[1, 1]",880
language_416,"[1, 1]",880
language_417,"[1, 1]",880
language_418,"[1, 1]",880
language_419,"[1, 1]",880
language_420,"[1, 1]",880
language_421,"[0, 1]",880
language_422,"[1, 1]",880
language_423,"[1, 1]",880
language_424,"[1, 1]",880
language_425,"[1, 1]",880
language_426,"[1, 1]",880
language_427,"[1, 1]",880
language_429,"[1, 1]",880
language_431,"[1, 1]",880
language_432,"[1, 1]",880
language_433,"[1, 1]",880
language_434,"[1, 1]",880
language_435,"[1, 1]",880
language_436,"[1, 1]",880
language_437,"[0, 1]",880
language_438,"[1, 0]",880
language_440,"[1, 1]",880
language_441,"[1, 1]",880
language_442,"[1, 1]",880
