LANGUAGE,GENDER,SET
language_241,"[1, 0]",350
language_242,"[1, 1]",350
language_243,"[1, 1]",350
language_245,"[1, 1]",350
language_246,"[0, 1]",350
language_247,"[1, 1]",350
language_248,"[1, 1]",350
language_249,"[1, 1]",350
language_250,"[1, 1]",350
language_251,"[1, 1]",350
language_252,"[1, 1]",350
language_253,"[1, 1]",350
language_254,"[1, 1]",350
language_255,"[1, 1]",350
language_256,"[1, 1]",350
language_257,"[0, 1]",350
language_258,"[1, 1]",350
language_259,"[1, 1]",350
language_260,"[1, 1]",350
language_261,"[1, 1]",350
language_262,"[1, 1]",350
language_264,"[1, 1]",350
language_265,"[1, 1]",350
language_266,"[1, 1]",350
language_268,"[1, 1]",350
language_269,"[1, 1]",350
language_270,"[0, 1]",350
language_271,"[1, 1]",350
language_272,"[1, 1]",350
language_273,"[1, 1]",350
language_274,"[1, 1]",350
language_276,"[0, 1]",350
language_277,"[1, 1]",350
language_278,"[1, 1]",350
language_280,"[0, 1]",350
language_281,"[1, 1]",350
language_282,"[0, 1]",350
language_283,"[1, 1]",350
language_284,"[1, 1]",350
language_285,"[1, 1]",350
language_286,"[1, 1]",350
language_287,"[1, 1]",350
language_288,"[1, 0]",350
language_289,"[1, 1]",350
language_291,"[1, 1]",350
language_292,"[1, 1]",350
language_293,"[1, 1]",350
language_294,"[1, 1]",350
language_295,"[1, 0]",350
language_296,"[1, 1]",350
language_297,"[1, 1]",350
language_298,"[1, 1]",350
language_299,"[0, 1]",350
language_300,"[1, 1]",350
language_301,"[1, 1]",350
language_302,"[1, 1]",350
language_303,"[1, 1]",350
language_304,"[1, 1]",350
language_305,"[1, 1]",350
language_306,"[0, 1]",350
language_307,"[0, 1]",350
language_308,"[1, 0]",350
language_309,"[1, 1]",350
language_310,"[1, 1]",350
language_311,"[1, 1]",350
language_312,"[1, 1]",350
language_313,"[1, 1]",350
language_314,"[1, 1]",350
language_315,"[1, 1]",350
language_316,"[1, 1]",350
language_317,"[1, 1]",350
language_318,"[1, 1]",350
language_319,"[0, 1]",350
language_320,"[1, 1]",350
language_321,"[1, 0]",350
language_322,"[1, 1]",350
language_323,"[1, 1]",350
language_324,"[1, 1]",350
language_325,"[0, 1]",350
language_326,"[1, 1]",350
language_327,"[1, 1]",350
language_328,"[1, 1]",350
language_329,"[1, 1]",350
language_330,"[1, 1]",350
language_331,"[1, 1]",350
language_332,"[1, 1]",350
language_333,"[1, 1]",350
language_334,"[1, 1]",350
language_335,"[1, 1]",350
language_336,"[1, 1]",350
language_337,"[1, 1]",350
language_338,"[1, 1]",350
language_340,"[0, 0]",350
language_341,"[1, 1]",350
language_342,"[1, 0]",350
language_343,"[1, 1]",350
language_344,"[1, 1]",350
language_345,"[1, 1]",350
language_346,"[1, 1]",350
language_347,"[1, 0]",350
language_348,"[1, 1]",350
language_349,"[1, 1]",350
language_350,"[1, 1]",350
language_351,"[0, 1]",350
language_352,"[1, 1]",350
language_353,"[1, 1]",350
language_354,"[0, 1]",350
language_355,"[1, 1]",350
language_356,"[0, 1]",350
language_357,"[1, 1]",350
language_358,"[1, 1]",350
language_359,"[1, 1]",350
language_360,"[1, 1]",350
language_361,"[1, 0]",350
language_362,"[1, 1]",350
language_363,"[1, 1]",350
language_364,"[1, 1]",350
language_365,"[1, 1]",350
language_366,"[1, 1]",350
language_367,"[1, 1]",350
language_368,"[1, 1]",350
language_369,"[1, 0]",350
language_372,"[0, 1]",350
language_374,"[1, 1]",350
language_376,"[1, 1]",350
language_377,"[1, 1]",350
language_379,"[1, 1]",350
language_381,"[1, 1]",350
language_382,"[1, 1]",350
language_383,"[1, 1]",350
language_384,"[1, 1]",350
language_385,"[1, 1]",350
language_386,"[1, 1]",350
language_387,"[1, 1]",350
language_388,"[1, 0]",350
language_389,"[1, 1]",350
language_390,"[1, 1]",350
language_391,"[0, 1]",350
language_392,"[1, 0]",350
language_393,"[1, 1]",350
language_394,"[1, 1]",350
language_395,"[1, 0]",350
language_396,"[1, 1]",350
language_397,"[1, 1]",350
language_398,"[1, 1]",350
language_399,"[0, 0]",350
language_400,"[1, 0]",350
language_401,"[1, 1]",350
language_402,"[1, 1]",350
language_403,"[0, 0]",350
language_404,"[1, 1]",350
language_405,"[1, 1]",350
language_406,"[1, 1]",350
language_407,"[1, 1]",350
language_408,"[1, 1]",350
language_409,"[1, 1]",350
language_410,"[1, 1]",350
language_411,"[1, 1]",350
language_412,"[1, 1]",350
language_413,"[1, 1]",350
language_414,"[1, 1]",350
language_415,"[1, 1]",350
language_416,"[1, 1]",350
language_417,"[1, 1]",350
language_419,"[1, 1]",350
language_420,"[1, 1]",350
language_421,"[1, 1]",350
language_422,"[1, 1]",350
language_423,"[1, 1]",350
language_424,"[1, 1]",350
language_425,"[1, 1]",350
language_426,"[1, 1]",350
language_427,"[1, 1]",350
language_428,"[1, 1]",350
language_429,"[1, 1]",350
language_430,"[1, 1]",350
language_431,"[1, 1]",350
language_432,"[1, 0]",350
language_433,"[0, 1]",350
language_434,"[1, 1]",350
language_435,"[0, 1]",350
language_436,"[1, 1]",350
language_437,"[1, 1]",350
language_438,"[1, 1]",350
language_439,"[1, 0]",350
language_440,"[0, 1]",350
language_441,"[1, 0]",350
language_442,"[1, 1]",350
language_443,"[1, 1]",350
language_444,"[1, 1]",350
