LANGUAGE,GENDER,SET
language_1,"[1, 1]",905
language_2,"[1, 1]",905
language_3,"[1, 1]",905
language_4,"[1, 1]",905
language_5,"[0, 1]",905
language_6,"[1, 0]",905
language_7,"[1, 1]",905
language_9,"[1, 1]",905
language_10,"[1, 1]",905
language_12,"[0, 1]",905
language_13,"[0, 1]",905
language_14,"[1, 1]",905
language_15,"[1, 1]",905
language_16,"[1, 1]",905
language_17,"[1, 1]",905
language_18,"[1, 1]",905
language_19,"[1, 1]",905
language_20,"[1, 1]",905
language_21,"[1, 1]",905
language_22,"[1, 1]",905
language_23,"[1, 1]",905
language_24,"[0, 1]",905
language_25,"[1, 1]",905
language_26,"[1, 1]",905
language_27,"[1, 1]",905
language_28,"[1, 1]",905
language_29,"[1, 1]",905
language_30,"[1, 1]",905
language_31,"[1, 1]",905
language_32,"[1, 1]",905
language_33,"[1, 1]",905
language_34,"[1, 1]",905
language_35,"[1, 1]",905
language_36,"[1, 1]",905
language_37,"[1, 1]",905
language_40,"[1, 1]",905
language_41,"[1, 1]",905
language_42,"[1, 1]",905
language_43,"[1, 1]",905
language_44,"[1, 1]",905
language_47,"[1, 1]",905
language_48,"[1, 1]",905
language_50,"[0, 1]",905
language_51,"[1, 1]",905
language_52,"[1, 1]",905
language_53,"[0, 1]",905
language_54,"[1, 1]",905
language_55,"[1, 1]",905
language_56,"[1, 1]",905
language_57,"[1, 1]",905
language_58,"[0, 1]",905
language_59,"[1, 1]",905
language_60,"[0, 1]",905
language_61,"[1, 1]",905
language_62,"[1, 1]",905
language_63,"[1, 1]",905
language_66,"[1, 1]",905
language_68,"[1, 1]",905
language_70,"[1, 1]",905
language_71,"[1, 1]",905
language_73,"[1, 1]",905
language_74,"[1, 1]",905
language_75,"[0, 1]",905
language_76,"[1, 1]",905
language_77,"[1, 1]",905
language_78,"[1, 1]",905
language_79,"[1, 1]",905
language_80,"[1, 1]",905
language_81,"[1, 1]",905
language_82,"[1, 1]",905
language_83,"[1, 1]",905
language_84,"[1, 1]",905
language_85,"[1, 1]",905
language_86,"[1, 1]",905
language_88,"[1, 1]",905
language_89,"[1, 1]",905
language_90,"[1, 1]",905
language_91,"[0, 0]",905
language_92,"[1, 1]",905
language_93,"[1, 1]",905
language_94,"[1, 1]",905
language_95,"[1, 1]",905
language_96,"[1, 1]",905
language_97,"[1, 0]",905
language_98,"[1, 1]",905
language_99,"[1, 1]",905
language_100,"[1, 1]",905
language_101,"[1, 1]",905
language_102,"[1, 1]",905
language_103,"[1, 1]",905
language_104,"[1, 0]",905
language_105,"[1, 1]",905
language_106,"[1, 0]",905
language_107,"[1, 1]",905
language_108,"[0, 1]",905
language_109,"[1, 1]",905
language_110,"[1, 1]",905
language_111,"[1, 1]",905
language_112,"[1, 1]",905
language_113,"[1, 1]",905
language_114,"[1, 1]",905
language_115,"[1, 1]",905
language_116,"[1, 1]",905
language_117,"[1, 1]",905
language_119,"[0, 1]",905
language_120,"[1, 1]",905
language_121,"[0, 1]",905
language_122,"[1, 1]",905
language_123,"[1, 1]",905
language_124,"[1, 1]",905
language_125,"[1, 1]",905
language_126,"[1, 1]",905
language_127,"[1, 1]",905
language_129,"[1, 0]",905
language_130,"[1, 1]",905
language_131,"[0, 1]",905
language_132,"[1, 1]",905
language_133,"[1, 1]",905
language_134,"[0, 1]",905
language_135,"[1, 1]",905
language_136,"[1, 1]",905
language_137,"[1, 1]",905
language_138,"[1, 1]",905
language_141,"[1, 0]",905
language_142,"[1, 1]",905
language_144,"[1, 1]",905
language_145,"[0, 1]",905
language_146,"[1, 1]",905
language_147,"[1, 1]",905
language_148,"[0, 1]",905
language_149,"[1, 1]",905
language_150,"[1, 1]",905
language_151,"[1, 1]",905
language_152,"[1, 1]",905
language_153,"[1, 1]",905
language_154,"[1, 1]",905
language_156,"[1, 1]",905
language_157,"[1, 1]",905
language_158,"[1, 1]",905
language_159,"[1, 1]",905
language_160,"[1, 1]",905
language_161,"[1, 1]",905
language_162,"[0, 1]",905
language_163,"[1, 1]",905
language_164,"[1, 1]",905
language_165,"[1, 1]",905
language_166,"[1, 1]",905
language_167,"[0, 1]",905
language_168,"[1, 1]",905
language_169,"[1, 1]",905
language_170,"[0, 1]",905
language_171,"[1, 1]",905
language_172,"[1, 0]",905
language_173,"[1, 1]",905
language_174,"[1, 1]",905
language_175,"[1, 1]",905
language_176,"[1, 1]",905
language_177,"[1, 1]",905
language_178,"[1, 1]",905
language_179,"[1, 0]",905
language_180,"[1, 0]",905
language_181,"[1, 1]",905
language_182,"[1, 1]",905
language_183,"[1, 1]",905
language_184,"[1, 1]",905
language_185,"[1, 1]",905
language_186,"[1, 1]",905
language_187,"[1, 1]",905
language_188,"[1, 0]",905
language_189,"[0, 1]",905
language_190,"[1, 1]",905
language_191,"[1, 1]",905
language_192,"[1, 1]",905
language_193,"[0, 1]",905
language_194,"[1, 1]",905
language_195,"[1, 1]",905
language_197,"[0, 1]",905
language_198,"[1, 1]",905
language_199,"[1, 1]",905
language_200,"[0, 1]",905
language_201,"[1, 1]",905
