LANGUAGE,GENDER,SET
language_1,"[0, 0]",490
language_2,"[1, 1]",490
language_3,"[1, 1]",490
language_4,"[1, 1]",490
language_5,"[1, 1]",490
language_6,"[1, 1]",490
language_7,"[1, 1]",490
language_8,"[1, 1]",490
language_9,"[1, 1]",490
language_10,"[1, 1]",490
language_11,"[1, 0]",490
language_12,"[1, 1]",490
language_13,"[0, 1]",490
language_14,"[1, 1]",490
language_15,"[1, 1]",490
language_16,"[1, 1]",490
language_17,"[1, 0]",490
language_18,"[1, 1]",490
language_19,"[1, 1]",490
language_20,"[0, 1]",490
language_21,"[1, 1]",490
language_23,"[1, 1]",490
language_24,"[0, 1]",490
language_25,"[0, 1]",490
language_26,"[1, 1]",490
language_27,"[1, 1]",490
language_28,"[1, 1]",490
language_29,"[1, 1]",490
language_30,"[1, 1]",490
language_31,"[0, 1]",490
language_32,"[1, 1]",490
language_33,"[1, 1]",490
language_34,"[1, 1]",490
language_35,"[1, 1]",490
language_36,"[1, 1]",490
language_37,"[1, 1]",490
language_38,"[1, 1]",490
language_39,"[1, 1]",490
language_40,"[1, 1]",490
language_41,"[1, 1]",490
language_42,"[1, 1]",490
language_43,"[1, 1]",490
language_44,"[1, 1]",490
language_45,"[1, 1]",490
language_46,"[1, 1]",490
language_47,"[0, 1]",490
language_48,"[1, 1]",490
language_49,"[1, 1]",490
language_50,"[0, 1]",490
language_51,"[1, 1]",490
language_54,"[1, 1]",490
language_56,"[1, 1]",490
language_57,"[1, 1]",490
language_58,"[1, 1]",490
language_59,"[1, 1]",490
language_60,"[1, 1]",490
language_61,"[1, 1]",490
language_62,"[0, 1]",490
language_63,"[0, 1]",490
language_64,"[1, 1]",490
language_65,"[1, 1]",490
language_66,"[1, 1]",490
language_67,"[1, 1]",490
language_69,"[1, 1]",490
language_70,"[1, 1]",490
language_71,"[1, 1]",490
language_72,"[0, 1]",490
language_73,"[1, 1]",490
language_74,"[1, 1]",490
language_75,"[1, 1]",490
language_76,"[1, 1]",490
language_77,"[1, 1]",490
language_79,"[1, 1]",490
language_80,"[1, 1]",490
language_81,"[1, 1]",490
language_82,"[1, 1]",490
language_83,"[1, 1]",490
language_84,"[1, 1]",490
language_85,"[1, 1]",490
language_86,"[1, 0]",490
language_87,"[1, 1]",490
language_89,"[1, 1]",490
language_90,"[0, 1]",490
language_91,"[1, 1]",490
language_92,"[1, 1]",490
language_93,"[1, 0]",490
language_94,"[1, 1]",490
language_95,"[1, 1]",490
language_96,"[1, 1]",490
language_97,"[1, 0]",490
language_98,"[1, 1]",490
language_99,"[1, 1]",490
language_100,"[0, 1]",490
language_101,"[1, 1]",490
language_102,"[1, 1]",490
language_103,"[1, 1]",490
language_104,"[1, 1]",490
language_105,"[1, 1]",490
language_106,"[1, 1]",490
language_107,"[1, 1]",490
language_108,"[1, 1]",490
language_109,"[1, 1]",490
language_110,"[0, 1]",490
language_111,"[1, 1]",490
language_113,"[1, 1]",490
language_115,"[1, 1]",490
language_116,"[1, 1]",490
language_117,"[1, 1]",490
language_118,"[1, 1]",490
language_119,"[1, 0]",490
language_120,"[1, 1]",490
language_121,"[1, 1]",490
language_122,"[0, 1]",490
language_123,"[1, 1]",490
language_125,"[1, 1]",490
language_126,"[1, 1]",490
language_127,"[1, 0]",490
language_128,"[1, 1]",490
language_129,"[1, 1]",490
language_130,"[1, 1]",490
language_131,"[1, 1]",490
language_132,"[1, 1]",490
language_133,"[1, 1]",490
language_134,"[1, 1]",490
language_135,"[1, 1]",490
language_136,"[1, 0]",490
language_138,"[1, 1]",490
language_139,"[1, 1]",490
language_141,"[1, 1]",490
language_142,"[1, 1]",490
language_143,"[1, 1]",490
language_144,"[1, 1]",490
language_145,"[1, 1]",490
language_146,"[1, 1]",490
language_147,"[1, 1]",490
language_148,"[1, 0]",490
language_149,"[1, 1]",490
language_150,"[1, 1]",490
language_152,"[1, 1]",490
language_153,"[1, 1]",490
language_154,"[1, 1]",490
language_156,"[1, 1]",490
language_157,"[1, 1]",490
language_158,"[1, 1]",490
language_159,"[1, 1]",490
language_160,"[1, 1]",490
language_161,"[1, 1]",490
language_162,"[1, 1]",490
language_163,"[1, 1]",490
language_164,"[1, 1]",490
language_166,"[1, 1]",490
language_167,"[1, 1]",490
language_168,"[1, 1]",490
language_169,"[1, 1]",490
language_170,"[1, 1]",490
language_171,"[1, 1]",490
language_172,"[1, 1]",490
language_173,"[1, 1]",490
language_174,"[1, 1]",490
language_176,"[1, 1]",490
language_177,"[1, 1]",490
language_178,"[1, 1]",490
language_180,"[1, 1]",490
language_181,"[1, 1]",490
language_182,"[1, 1]",490
language_183,"[1, 1]",490
language_184,"[1, 1]",490
language_185,"[1, 1]",490
language_186,"[1, 1]",490
language_187,"[1, 0]",490
language_188,"[1, 0]",490
language_189,"[1, 1]",490
language_190,"[1, 1]",490
language_191,"[1, 1]",490
language_192,"[1, 1]",490
language_193,"[1, 1]",490
language_194,"[1, 1]",490
language_195,"[0, 1]",490
language_197,"[1, 1]",490
language_198,"[1, 0]",490
language_199,"[1, 1]",490
language_200,"[1, 1]",490
language_201,"[1, 1]",490
language_202,"[1, 1]",490
language_203,"[0, 1]",490
language_204,"[1, 1]",490
language_205,"[1, 0]",490
language_206,"[1, 1]",490
language_207,"[1, 1]",490
language_208,"[1, 1]",490
language_209,"[1, 0]",490
language_210,"[1, 1]",490
language_211,"[1, 1]",490
language_212,"[1, 1]",490
language_213,"[0, 1]",490
language_214,"[1, 1]",490
language_215,"[1, 1]",490
language_216,"[1, 1]",490
language_217,"[1, 1]",490
language_218,"[1, 1]",490
language_219,"[1, 0]",490
language_220,"[1, 1]",490
language_221,"[1, 1]",490
language_223,"[0, 1]",490
language_224,"[1, 1]",490
language_225,"[1, 1]",490
language_226,"[0, 1]",490
language_227,"[1, 1]",490
language_228,"[1, 1]",490
language_229,"[1, 0]",490
language_230,"[1, 1]",490
language_231,"[1, 1]",490
language_232,"[1, 1]",490
language_233,"[1, 1]",490
language_234,"[1, 1]",490
language_235,"[1, 1]",490
language_236,"[1, 1]",490
language_237,"[1, 1]",490
language_238,"[1, 1]",490
language_239,"[1, 1]",490
language_240,"[0, 1]",490
language_241,"[1, 1]",490
language_242,"[1, 1]",490
language_243,"[1, 1]",490
language_244,"[1, 1]",490
language_245,"[1, 1]",490
language_246,"[1, 1]",490
language_247,"[1, 1]",490
language_248,"[1, 1]",490
language_249,"[1, 1]",490
language_250,"[1, 0]",490
language_252,"[1, 0]",490
language_253,"[1, 1]",490
language_254,"[1, 1]",490
language_255,"[1, 1]",490
language_256,"[1, 1]",490
language_257,"[0, 1]",490
language_258,"[1, 1]",490
language_259,"[1, 1]",490
language_260,"[0, 1]",490
language_261,"[1, 1]",490
language_262,"[1, 1]",490
language_263,"[1, 0]",490
language_264,"[1, 1]",490
language_265,"[1, 1]",490
language_266,"[1, 1]",490
language_267,"[1, 1]",490
language_268,"[1, 0]",490
language_269,"[1, 1]",490
language_270,"[1, 1]",490
language_271,"[1, 1]",490
language_272,"[1, 1]",490
language_273,"[1, 1]",490
language_274,"[1, 1]",490
language_275,"[1, 1]",490
language_276,"[1, 1]",490
language_277,"[1, 1]",490
language_279,"[1, 1]",490
language_280,"[1, 1]",490
language_281,"[1, 1]",490
language_282,"[1, 1]",490
language_283,"[1, 1]",490
language_284,"[1, 0]",490
language_285,"[1, 1]",490
language_286,"[1, 1]",490
language_287,"[0, 1]",490
language_288,"[1, 1]",490
language_289,"[1, 1]",490
language_291,"[1, 1]",490
language_293,"[1, 1]",490
language_294,"[1, 1]",490
language_295,"[1, 1]",490
language_296,"[1, 1]",490
language_298,"[0, 1]",490
language_299,"[1, 1]",490
language_300,"[1, 1]",490
language_301,"[0, 1]",490
language_302,"[1, 1]",490
language_303,"[1, 1]",490
language_304,"[1, 1]",490
language_305,"[1, 1]",490
language_306,"[1, 1]",490
language_307,"[0, 1]",490
language_308,"[1, 1]",490
language_309,"[1, 1]",490
language_311,"[1, 1]",490
