LANGUAGE,GENDER,SET
language_1,"[1, 1]",437
language_2,"[1, 1]",437
language_4,"[1, 1]",437
language_5,"[0, 1]",437
language_6,"[1, 0]",437
language_7,"[1, 1]",437
language_8,"[1, 1]",437
language_9,"[1, 0]",437
language_10,"[1, 1]",437
language_11,"[1, 1]",437
language_12,"[0, 1]",437
language_13,"[1, 1]",437
language_14,"[1, 1]",437
language_15,"[1, 1]",437
language_16,"[1, 1]",437
language_17,"[1, 1]",437
language_18,"[1, 1]",437
language_19,"[1, 1]",437
language_20,"[1, 1]",437
language_21,"[1, 1]",437
language_22,"[1, 1]",437
language_23,"[1, 1]",437
language_24,"[1, 1]",437
language_25,"[1, 1]",437
language_26,"[1, 1]",437
language_27,"[1, 1]",437
language_28,"[1, 1]",437
language_30,"[1, 1]",437
language_31,"[1, 1]",437
language_33,"[1, 1]",437
language_34,"[1, 1]",437
language_36,"[1, 1]",437
language_37,"[1, 1]",437
language_38,"[1, 1]",437
language_39,"[1, 1]",437
language_40,"[1, 1]",437
language_41,"[1, 1]",437
language_42,"[1, 1]",437
language_43,"[1, 1]",437
language_44,"[1, 1]",437
language_45,"[1, 1]",437
language_46,"[1, 1]",437
language_47,"[0, 1]",437
language_48,"[1, 1]",437
language_49,"[1, 1]",437
language_50,"[0, 1]",437
language_51,"[1, 1]",437
language_53,"[0, 1]",437
language_54,"[1, 1]",437
language_55,"[0, 0]",437
language_56,"[1, 1]",437
language_57,"[1, 1]",437
language_58,"[1, 1]",437
language_59,"[1, 1]",437
language_60,"[1, 0]",437
language_61,"[0, 1]",437
language_62,"[1, 1]",437
language_63,"[1, 1]",437
language_64,"[1, 1]",437
language_65,"[0, 1]",437
language_67,"[1, 1]",437
language_68,"[1, 1]",437
language_69,"[1, 1]",437
language_70,"[1, 1]",437
language_71,"[1, 1]",437
language_72,"[1, 0]",437
language_73,"[1, 1]",437
language_74,"[0, 1]",437
language_75,"[1, 1]",437
language_76,"[1, 1]",437
language_77,"[1, 1]",437
language_78,"[1, 1]",437
language_79,"[1, 1]",437
language_80,"[1, 0]",437
language_81,"[1, 1]",437
language_82,"[0, 1]",437
language_83,"[1, 0]",437
language_84,"[1, 1]",437
language_85,"[1, 1]",437
language_86,"[1, 1]",437
language_87,"[1, 1]",437
language_88,"[1, 1]",437
language_90,"[1, 1]",437
language_91,"[1, 1]",437
language_92,"[1, 0]",437
language_93,"[1, 1]",437
language_94,"[0, 0]",437
language_95,"[1, 1]",437
language_96,"[1, 1]",437
language_97,"[1, 1]",437
language_98,"[1, 1]",437
language_99,"[1, 1]",437
language_101,"[1, 1]",437
language_102,"[1, 1]",437
language_103,"[1, 1]",437
language_104,"[1, 1]",437
language_105,"[1, 1]",437
language_106,"[1, 1]",437
language_107,"[1, 1]",437
language_109,"[1, 1]",437
language_110,"[1, 1]",437
language_111,"[1, 1]",437
language_112,"[1, 1]",437
language_114,"[1, 1]",437
language_115,"[1, 1]",437
language_116,"[1, 1]",437
language_117,"[1, 1]",437
language_118,"[1, 1]",437
language_119,"[1, 0]",437
language_120,"[1, 1]",437
language_121,"[1, 1]",437
language_122,"[1, 1]",437
language_123,"[1, 1]",437
language_124,"[1, 1]",437
language_125,"[1, 1]",437
language_126,"[1, 1]",437
language_127,"[1, 1]",437
language_128,"[1, 1]",437
language_130,"[0, 1]",437
language_131,"[1, 1]",437
language_132,"[1, 1]",437
language_133,"[1, 1]",437
language_134,"[1, 1]",437
language_135,"[1, 1]",437
language_136,"[1, 1]",437
language_137,"[1, 1]",437
language_139,"[1, 1]",437
language_140,"[1, 1]",437
language_141,"[1, 1]",437
language_142,"[1, 0]",437
language_143,"[0, 0]",437
language_144,"[1, 0]",437
language_146,"[0, 0]",437
language_147,"[1, 1]",437
language_148,"[1, 1]",437
language_149,"[1, 1]",437
language_151,"[1, 1]",437
language_152,"[1, 1]",437
language_153,"[1, 1]",437
language_155,"[1, 0]",437
language_156,"[1, 1]",437
language_158,"[1, 1]",437
language_159,"[1, 1]",437
language_160,"[1, 1]",437
language_161,"[1, 1]",437
language_162,"[1, 1]",437
language_163,"[1, 1]",437
language_165,"[1, 1]",437
language_166,"[1, 1]",437
language_167,"[1, 1]",437
language_168,"[1, 1]",437
language_169,"[1, 1]",437
language_170,"[1, 1]",437
