LANGUAGE,GENDER,SET
language_1,"[1, 1]",717
language_2,"[0, 1]",717
language_3,"[1, 1]",717
language_4,"[1, 0]",717
language_5,"[1, 1]",717
language_7,"[1, 1]",717
language_8,"[1, 1]",717
language_9,"[1, 1]",717
language_10,"[1, 1]",717
language_12,"[1, 1]",717
language_13,"[1, 1]",717
language_15,"[1, 1]",717
language_16,"[1, 1]",717
language_17,"[1, 1]",717
language_18,"[1, 1]",717
language_19,"[1, 0]",717
language_22,"[1, 1]",717
language_23,"[1, 1]",717
language_24,"[1, 1]",717
language_25,"[1, 1]",717
language_26,"[1, 1]",717
language_27,"[1, 1]",717
language_28,"[1, 1]",717
language_29,"[1, 1]",717
language_30,"[1, 1]",717
language_31,"[1, 1]",717
language_32,"[1, 1]",717
language_33,"[1, 1]",717
language_34,"[1, 0]",717
language_35,"[1, 1]",717
language_36,"[1, 1]",717
language_38,"[1, 1]",717
language_39,"[1, 1]",717
language_40,"[1, 1]",717
language_41,"[1, 1]",717
language_42,"[1, 1]",717
language_43,"[1, 1]",717
language_44,"[1, 1]",717
language_45,"[1, 1]",717
language_46,"[1, 1]",717
language_47,"[1, 1]",717
language_48,"[1, 1]",717
language_49,"[1, 1]",717
language_50,"[1, 1]",717
language_51,"[1, 0]",717
language_52,"[1, 1]",717
language_53,"[0, 1]",717
language_54,"[1, 0]",717
language_56,"[1, 1]",717
language_57,"[1, 1]",717
language_58,"[1, 1]",717
language_59,"[1, 1]",717
language_60,"[1, 1]",717
language_61,"[1, 1]",717
language_62,"[1, 1]",717
language_63,"[1, 1]",717
language_64,"[1, 1]",717
language_65,"[0, 1]",717
language_66,"[1, 1]",717
language_67,"[1, 1]",717
language_68,"[0, 1]",717
language_70,"[1, 1]",717
language_71,"[1, 1]",717
language_72,"[1, 1]",717
language_73,"[1, 1]",717
language_74,"[1, 1]",717
language_75,"[1, 1]",717
language_76,"[1, 1]",717
language_77,"[0, 1]",717
language_78,"[1, 1]",717
language_79,"[1, 1]",717
language_80,"[1, 0]",717
language_81,"[1, 0]",717
language_82,"[1, 1]",717
language_83,"[1, 1]",717
language_84,"[1, 1]",717
language_85,"[0, 1]",717
language_86,"[1, 1]",717
language_87,"[1, 1]",717
language_88,"[1, 1]",717
language_89,"[1, 1]",717
language_90,"[1, 0]",717
language_91,"[1, 1]",717
language_92,"[1, 1]",717
language_93,"[1, 1]",717
language_94,"[1, 1]",717
language_95,"[0, 1]",717
language_96,"[0, 1]",717
language_97,"[0, 1]",717
language_98,"[1, 1]",717
language_99,"[1, 1]",717
language_101,"[1, 1]",717
language_102,"[1, 1]",717
language_103,"[1, 1]",717
language_104,"[1, 1]",717
language_105,"[1, 1]",717
language_106,"[0, 1]",717
language_107,"[1, 0]",717
language_108,"[1, 1]",717
language_109,"[1, 1]",717
language_110,"[1, 1]",717
language_111,"[1, 1]",717
language_112,"[1, 1]",717
language_114,"[0, 1]",717
language_115,"[1, 1]",717
language_116,"[1, 1]",717
language_117,"[1, 1]",717
language_118,"[1, 1]",717
language_119,"[1, 1]",717
language_120,"[1, 1]",717
language_121,"[1, 1]",717
language_122,"[1, 1]",717
language_123,"[1, 1]",717
language_124,"[1, 1]",717
language_126,"[1, 0]",717
language_127,"[1, 1]",717
language_128,"[1, 1]",717
language_129,"[1, 1]",717
language_131,"[1, 1]",717
language_132,"[1, 1]",717
language_133,"[1, 1]",717
language_134,"[0, 1]",717
language_135,"[0, 1]",717
language_136,"[1, 1]",717
language_137,"[1, 1]",717
language_138,"[1, 1]",717
language_139,"[1, 1]",717
language_140,"[1, 1]",717
language_141,"[1, 1]",717
language_143,"[0, 1]",717
language_144,"[1, 1]",717
language_145,"[1, 1]",717
language_146,"[1, 1]",717
language_147,"[1, 1]",717
language_148,"[1, 1]",717
language_149,"[1, 1]",717
language_150,"[1, 1]",717
language_151,"[0, 1]",717
language_152,"[1, 1]",717
language_153,"[1, 1]",717
language_154,"[1, 1]",717
language_155,"[1, 1]",717
language_156,"[1, 1]",717
language_157,"[1, 1]",717
language_158,"[1, 1]",717
language_159,"[1, 1]",717
language_161,"[1, 1]",717
language_162,"[1, 0]",717
language_164,"[1, 1]",717
language_165,"[1, 1]",717
language_166,"[1, 1]",717
language_167,"[0, 0]",717
language_168,"[1, 1]",717
language_170,"[1, 0]",717
language_171,"[1, 1]",717
language_172,"[1, 1]",717
language_173,"[1, 1]",717
language_174,"[1, 1]",717
language_175,"[1, 1]",717
language_176,"[1, 1]",717
language_177,"[1, 1]",717
language_178,"[1, 1]",717
language_179,"[1, 1]",717
language_180,"[1, 1]",717
language_181,"[1, 1]",717
language_182,"[1, 1]",717
language_183,"[1, 1]",717
language_184,"[1, 1]",717
language_185,"[1, 1]",717
language_186,"[1, 1]",717
language_187,"[1, 1]",717
language_188,"[1, 1]",717
language_189,"[1, 1]",717
language_190,"[0, 1]",717
language_191,"[0, 1]",717
language_192,"[1, 1]",717
language_193,"[1, 1]",717
language_194,"[1, 1]",717
language_196,"[1, 1]",717
language_197,"[1, 1]",717
language_198,"[1, 1]",717
language_199,"[1, 1]",717
language_200,"[1, 1]",717
language_201,"[1, 1]",717
language_203,"[1, 1]",717
language_204,"[1, 1]",717
language_205,"[1, 1]",717
language_206,"[1, 1]",717
language_207,"[1, 1]",717
language_208,"[0, 1]",717
language_209,"[1, 1]",717
language_210,"[1, 1]",717
language_211,"[1, 1]",717
language_212,"[1, 1]",717
language_213,"[1, 1]",717
language_214,"[1, 0]",717
language_215,"[1, 1]",717
language_216,"[1, 1]",717
language_217,"[1, 1]",717
language_218,"[1, 1]",717
language_219,"[1, 1]",717
language_220,"[1, 1]",717
language_221,"[0, 1]",717
language_222,"[0, 1]",717
language_224,"[1, 1]",717
language_225,"[1, 1]",717
language_226,"[1, 1]",717
language_227,"[1, 1]",717
language_228,"[1, 1]",717
language_229,"[1, 1]",717
language_230,"[1, 1]",717
language_231,"[1, 1]",717
language_232,"[1, 1]",717
language_234,"[1, 0]",717
language_235,"[0, 1]",717
language_236,"[1, 1]",717
language_237,"[1, 1]",717
language_238,"[1, 0]",717
language_239,"[1, 1]",717
language_240,"[1, 1]",717
language_241,"[1, 1]",717
language_242,"[1, 1]",717
language_243,"[1, 1]",717
language_244,"[1, 1]",717
language_245,"[1, 1]",717
language_246,"[0, 1]",717
language_247,"[1, 1]",717
language_248,"[1, 1]",717
language_249,"[1, 1]",717
language_250,"[1, 1]",717
language_251,"[1, 1]",717
language_252,"[1, 1]",717
language_253,"[1, 1]",717
language_254,"[1, 1]",717
language_255,"[1, 1]",717
language_256,"[1, 1]",717
language_257,"[1, 1]",717
language_258,"[1, 1]",717
language_260,"[1, 1]",717
language_261,"[1, 1]",717
language_262,"[1, 1]",717
language_263,"[1, 1]",717
language_264,"[0, 1]",717
language_265,"[1, 1]",717
language_266,"[1, 0]",717
language_267,"[1, 0]",717
language_268,"[1, 1]",717
language_269,"[1, 1]",717
language_270,"[1, 1]",717
language_271,"[1, 1]",717
language_272,"[1, 1]",717
language_273,"[1, 1]",717
language_274,"[1, 1]",717
language_275,"[1, 1]",717
language_276,"[1, 1]",717
language_277,"[1, 1]",717
language_278,"[1, 1]",717
language_279,"[1, 1]",717
language_280,"[1, 1]",717
language_282,"[1, 1]",717
language_283,"[1, 1]",717
language_284,"[1, 1]",717
language_285,"[1, 1]",717
language_286,"[1, 1]",717
language_287,"[1, 1]",717
language_288,"[1, 1]",717
language_289,"[1, 1]",717
language_290,"[1, 1]",717
language_291,"[0, 1]",717
language_292,"[1, 1]",717
language_293,"[1, 1]",717
language_294,"[1, 1]",717
language_295,"[1, 1]",717
language_296,"[1, 1]",717
language_297,"[1, 1]",717
language_298,"[1, 0]",717
language_299,"[1, 1]",717
language_300,"[1, 1]",717
language_301,"[1, 1]",717
language_303,"[1, 0]",717
language_304,"[1, 1]",717
language_305,"[1, 1]",717
language_306,"[1, 1]",717
language_307,"[1, 1]",717
language_308,"[1, 1]",717
language_309,"[1, 1]",717
language_310,"[1, 1]",717
language_311,"[1, 1]",717
language_312,"[1, 1]",717
language_313,"[1, 1]",717
language_314,"[1, 1]",717
language_315,"[1, 1]",717
language_316,"[1, 1]",717
language_317,"[1, 1]",717
language_318,"[1, 1]",717
language_319,"[1, 1]",717
language_320,"[1, 1]",717
language_321,"[0, 1]",717
language_322,"[1, 1]",717
language_323,"[1, 1]",717
language_324,"[1, 1]",717
language_325,"[1, 1]",717
language_326,"[1, 1]",717
language_327,"[0, 1]",717
language_328,"[1, 1]",717
language_329,"[1, 1]",717
language_330,"[0, 1]",717
language_331,"[1, 1]",717
language_332,"[1, 1]",717
language_333,"[1, 1]",717
language_334,"[1, 1]",717
language_335,"[1, 1]",717
language_336,"[1, 0]",717
language_338,"[1, 1]",717
language_339,"[1, 1]",717
language_340,"[1, 1]",717
language_341,"[1, 1]",717
language_342,"[1, 1]",717
