LANGUAGE,GENDER,SET
language_1,"[1, 1]",459
language_2,"[1, 1]",459
language_3,"[1, 1]",459
language_4,"[1, 1]",459
language_5,"[1, 1]",459
language_6,"[1, 0]",459
language_7,"[1, 1]",459
language_8,"[1, 1]",459
language_9,"[1, 1]",459
language_11,"[0, 1]",459
language_12,"[1, 1]",459
language_14,"[1, 1]",459
language_15,"[1, 1]",459
language_16,"[1, 1]",459
language_17,"[1, 1]",459
language_18,"[1, 1]",459
language_19,"[1, 1]",459
language_20,"[1, 1]",459
language_21,"[1, 1]",459
language_22,"[1, 0]",459
language_23,"[1, 1]",459
language_24,"[0, 0]",459
language_25,"[1, 1]",459
language_26,"[1, 1]",459
language_27,"[1, 1]",459
language_28,"[1, 0]",459
language_29,"[1, 1]",459
language_31,"[1, 1]",459
language_32,"[1, 1]",459
language_34,"[1, 1]",459
language_35,"[1, 0]",459
language_36,"[1, 1]",459
language_37,"[1, 1]",459
language_38,"[1, 1]",459
language_39,"[0, 1]",459
language_40,"[1, 1]",459
language_41,"[1, 0]",459
language_42,"[1, 1]",459
language_43,"[1, 1]",459
language_44,"[1, 1]",459
language_45,"[1, 1]",459
language_46,"[1, 0]",459
language_47,"[1, 1]",459
language_48,"[0, 1]",459
language_49,"[1, 1]",459
language_50,"[1, 0]",459
language_51,"[1, 1]",459
language_52,"[1, 1]",459
language_53,"[1, 1]",459
language_54,"[0, 1]",459
language_55,"[1, 1]",459
language_56,"[1, 1]",459
language_57,"[1, 1]",459
language_58,"[0, 1]",459
language_59,"[0, 1]",459
language_60,"[1, 1]",459
language_61,"[1, 1]",459
language_62,"[1, 1]",459
language_63,"[1, 1]",459
language_64,"[0, 1]",459
language_65,"[1, 1]",459
language_66,"[1, 1]",459
language_67,"[1, 1]",459
language_68,"[1, 1]",459
language_69,"[1, 1]",459
language_70,"[1, 1]",459
language_71,"[1, 1]",459
language_72,"[1, 1]",459
language_73,"[1, 1]",459
language_74,"[1, 1]",459
language_75,"[1, 1]",459
language_76,"[1, 1]",459
language_77,"[1, 1]",459
language_80,"[0, 1]",459
language_81,"[1, 1]",459
language_82,"[1, 1]",459
language_83,"[1, 1]",459
language_84,"[1, 1]",459
language_85,"[1, 1]",459
language_86,"[1, 1]",459
language_87,"[1, 1]",459
language_88,"[1, 1]",459
language_89,"[1, 1]",459
language_90,"[1, 1]",459
language_91,"[1, 0]",459
language_92,"[1, 1]",459
language_93,"[1, 1]",459
language_94,"[0, 1]",459
language_95,"[1, 1]",459
language_96,"[1, 1]",459
language_97,"[1, 1]",459
language_98,"[1, 1]",459
language_99,"[1, 1]",459
language_100,"[1, 1]",459
language_101,"[1, 1]",459
language_102,"[1, 0]",459
language_103,"[1, 1]",459
language_104,"[1, 1]",459
language_105,"[1, 1]",459
language_106,"[1, 1]",459
language_107,"[0, 1]",459
language_108,"[1, 1]",459
language_109,"[1, 1]",459
language_110,"[1, 1]",459
language_111,"[1, 1]",459
language_113,"[0, 1]",459
language_114,"[1, 0]",459
language_115,"[1, 1]",459
language_116,"[1, 1]",459
language_117,"[1, 1]",459
language_118,"[1, 1]",459
language_120,"[1, 1]",459
language_121,"[0, 1]",459
language_122,"[0, 1]",459
language_123,"[1, 1]",459
language_125,"[1, 1]",459
language_126,"[1, 1]",459
language_127,"[1, 1]",459
language_128,"[1, 1]",459
language_129,"[1, 1]",459
language_130,"[1, 1]",459
language_131,"[1, 1]",459
language_132,"[1, 1]",459
language_133,"[1, 1]",459
language_134,"[0, 1]",459
language_135,"[1, 1]",459
language_136,"[1, 1]",459
language_137,"[1, 1]",459
language_138,"[1, 1]",459
language_139,"[1, 1]",459
language_140,"[1, 1]",459
language_142,"[1, 1]",459
language_143,"[1, 1]",459
language_144,"[1, 1]",459
language_145,"[1, 1]",459
language_146,"[1, 1]",459
language_147,"[1, 1]",459
language_148,"[1, 1]",459
language_149,"[1, 1]",459
language_150,"[1, 1]",459
language_151,"[1, 1]",459
language_152,"[0, 1]",459
language_153,"[1, 1]",459
language_155,"[1, 1]",459
language_157,"[1, 1]",459
language_159,"[1, 1]",459
language_161,"[1, 1]",459
language_162,"[1, 1]",459
language_163,"[1, 1]",459
language_164,"[1, 1]",459
language_166,"[0, 1]",459
language_167,"[1, 1]",459
language_168,"[0, 1]",459
language_169,"[1, 1]",459
language_170,"[1, 1]",459
language_171,"[1, 1]",459
language_172,"[1, 1]",459
language_173,"[1, 1]",459
language_174,"[1, 1]",459
language_175,"[0, 0]",459
language_176,"[1, 1]",459
language_177,"[1, 1]",459
language_178,"[0, 1]",459
language_179,"[1, 1]",459
language_180,"[1, 1]",459
language_181,"[1, 1]",459
language_182,"[1, 0]",459
language_183,"[1, 1]",459
language_184,"[1, 1]",459
language_185,"[1, 1]",459
language_186,"[1, 1]",459
language_187,"[1, 1]",459
language_188,"[1, 1]",459
language_189,"[0, 1]",459
language_190,"[1, 1]",459
language_191,"[1, 1]",459
language_193,"[1, 1]",459
language_194,"[1, 1]",459
language_195,"[1, 1]",459
language_196,"[1, 1]",459
language_197,"[1, 1]",459
language_199,"[1, 1]",459
language_200,"[1, 1]",459
language_201,"[1, 1]",459
language_202,"[1, 1]",459
language_203,"[1, 1]",459
language_204,"[1, 1]",459
language_206,"[1, 1]",459
language_207,"[1, 1]",459
language_208,"[1, 1]",459
language_209,"[1, 1]",459
language_211,"[1, 0]",459
language_212,"[1, 1]",459
language_213,"[1, 1]",459
language_214,"[1, 1]",459
language_215,"[1, 1]",459
language_216,"[1, 1]",459
language_217,"[1, 1]",459
language_218,"[1, 1]",459
language_219,"[0, 1]",459
language_220,"[1, 1]",459
language_221,"[1, 1]",459
language_222,"[1, 1]",459
language_223,"[1, 1]",459
language_224,"[1, 1]",459
language_225,"[1, 0]",459
language_226,"[1, 1]",459
language_227,"[1, 1]",459
language_228,"[1, 1]",459
language_229,"[1, 1]",459
language_231,"[1, 1]",459
language_232,"[0, 1]",459
language_233,"[1, 1]",459
language_234,"[1, 1]",459
language_235,"[1, 1]",459
language_236,"[1, 1]",459
language_237,"[1, 1]",459
language_238,"[1, 1]",459
language_239,"[1, 0]",459
language_240,"[1, 1]",459
language_241,"[0, 1]",459
language_242,"[1, 1]",459
language_243,"[1, 1]",459
language_244,"[1, 1]",459
language_245,"[1, 1]",459
language_246,"[1, 1]",459
language_247,"[1, 1]",459
language_248,"[1, 1]",459
language_249,"[1, 1]",459
language_251,"[1, 1]",459
language_252,"[1, 1]",459
language_253,"[1, 1]",459
language_254,"[1, 1]",459
language_255,"[0, 1]",459
language_256,"[1, 1]",459
language_257,"[1, 1]",459
language_258,"[1, 1]",459
language_259,"[0, 0]",459
language_260,"[1, 1]",459
language_261,"[1, 1]",459
language_263,"[1, 1]",459
language_264,"[1, 1]",459
language_265,"[1, 1]",459
language_266,"[1, 1]",459
language_267,"[0, 1]",459
language_268,"[1, 1]",459
language_269,"[1, 1]",459
language_270,"[1, 1]",459
language_271,"[1, 1]",459
language_272,"[1, 1]",459
language_273,"[0, 1]",459
language_274,"[1, 1]",459
language_275,"[1, 1]",459
language_276,"[1, 1]",459
language_277,"[1, 0]",459
language_278,"[1, 0]",459
