LANGUAGE,GENDER,SET
language_1,"[1, 1]",545
language_2,"[0, 1]",545
language_3,"[1, 1]",545
language_4,"[1, 1]",545
language_5,"[1, 1]",545
language_6,"[1, 0]",545
language_7,"[1, 1]",545
language_8,"[1, 1]",545
language_9,"[1, 1]",545
language_10,"[1, 1]",545
language_11,"[0, 0]",545
language_12,"[1, 1]",545
language_13,"[1, 0]",545
language_14,"[1, 1]",545
language_15,"[1, 1]",545
language_16,"[1, 1]",545
language_17,"[1, 1]",545
language_18,"[1, 1]",545
language_19,"[1, 1]",545
language_21,"[1, 1]",545
language_22,"[1, 1]",545
language_23,"[1, 1]",545
language_24,"[1, 1]",545
language_25,"[1, 1]",545
language_26,"[1, 1]",545
language_27,"[1, 1]",545
language_28,"[0, 1]",545
language_29,"[1, 1]",545
language_30,"[1, 1]",545
language_31,"[1, 1]",545
language_32,"[1, 1]",545
language_33,"[1, 0]",545
language_34,"[1, 1]",545
language_36,"[1, 1]",545
language_37,"[1, 1]",545
language_38,"[1, 1]",545
language_39,"[1, 1]",545
language_40,"[1, 1]",545
language_41,"[1, 1]",545
language_42,"[1, 1]",545
language_43,"[1, 1]",545
language_44,"[1, 1]",545
language_45,"[1, 1]",545
language_46,"[1, 0]",545
language_47,"[1, 1]",545
language_48,"[1, 1]",545
language_49,"[1, 1]",545
language_50,"[1, 1]",545
language_51,"[1, 1]",545
language_52,"[1, 1]",545
language_54,"[1, 1]",545
language_55,"[1, 1]",545
language_56,"[0, 1]",545
language_57,"[1, 1]",545
language_58,"[0, 1]",545
language_59,"[1, 1]",545
language_60,"[1, 1]",545
language_61,"[1, 0]",545
language_62,"[0, 1]",545
language_63,"[1, 1]",545
language_64,"[1, 1]",545
language_65,"[0, 1]",545
language_66,"[1, 1]",545
language_67,"[1, 1]",545
language_68,"[1, 1]",545
language_69,"[0, 1]",545
language_70,"[1, 1]",545
language_71,"[1, 1]",545
language_72,"[1, 1]",545
language_73,"[1, 1]",545
language_74,"[1, 1]",545
language_76,"[1, 1]",545
language_77,"[1, 1]",545
language_78,"[1, 1]",545
language_79,"[1, 1]",545
language_80,"[1, 1]",545
language_81,"[0, 1]",545
language_82,"[1, 1]",545
language_83,"[1, 1]",545
language_84,"[1, 1]",545
language_85,"[1, 1]",545
language_86,"[1, 1]",545
language_87,"[1, 1]",545
language_88,"[1, 1]",545
language_89,"[1, 1]",545
language_90,"[1, 1]",545
language_91,"[0, 1]",545
language_92,"[1, 1]",545
language_93,"[1, 1]",545
language_95,"[1, 1]",545
language_96,"[1, 1]",545
language_97,"[1, 1]",545
language_98,"[1, 0]",545
language_99,"[1, 1]",545
language_100,"[1, 1]",545
language_101,"[0, 1]",545
language_103,"[1, 1]",545
language_104,"[1, 0]",545
language_105,"[1, 1]",545
language_106,"[1, 1]",545
language_107,"[1, 1]",545
language_108,"[1, 1]",545
language_109,"[1, 1]",545
language_110,"[1, 1]",545
language_111,"[1, 1]",545
language_112,"[1, 1]",545
language_113,"[1, 1]",545
language_114,"[1, 1]",545
language_115,"[0, 1]",545
language_116,"[1, 1]",545
language_117,"[0, 1]",545
language_118,"[1, 1]",545
language_119,"[1, 1]",545
language_120,"[1, 1]",545
language_121,"[1, 1]",545
language_122,"[1, 1]",545
language_123,"[1, 1]",545
language_124,"[1, 1]",545
language_125,"[0, 1]",545
