LANGUAGE,GENDER,SET
language_2,"[1, 1]",776
language_3,"[1, 1]",776
language_4,"[1, 1]",776
language_5,"[1, 1]",776
language_6,"[0, 1]",776
language_7,"[1, 1]",776
language_8,"[1, 1]",776
language_9,"[1, 1]",776
language_10,"[1, 1]",776
language_11,"[1, 1]",776
language_12,"[1, 1]",776
language_13,"[1, 1]",776
language_14,"[1, 1]",776
language_15,"[1, 1]",776
language_16,"[1, 1]",776
language_17,"[1, 1]",776
language_18,"[1, 1]",776
language_19,"[1, 1]",776
language_20,"[1, 1]",776
language_21,"[1, 1]",776
language_22,"[1, 1]",776
language_23,"[1, 1]",776
language_24,"[1, 1]",776
language_25,"[1, 1]",776
language_26,"[1, 1]",776
language_27,"[1, 1]",776
language_29,"[1, 1]",776
language_30,"[1, 1]",776
language_31,"[1, 0]",776
language_32,"[1, 1]",776
language_33,"[1, 0]",776
language_34,"[0, 1]",776
language_35,"[1, 1]",776
language_36,"[1, 1]",776
language_37,"[1, 1]",776
language_38,"[1, 1]",776
language_39,"[1, 1]",776
language_40,"[1, 1]",776
language_41,"[1, 1]",776
language_42,"[1, 0]",776
language_43,"[1, 1]",776
language_44,"[1, 0]",776
language_45,"[0, 0]",776
language_46,"[1, 1]",776
language_47,"[1, 1]",776
language_48,"[1, 1]",776
language_49,"[0, 1]",776
language_50,"[1, 1]",776
language_52,"[1, 1]",776
language_53,"[1, 1]",776
language_54,"[1, 1]",776
language_55,"[1, 1]",776
language_56,"[1, 1]",776
language_58,"[1, 1]",776
language_59,"[1, 0]",776
language_60,"[1, 1]",776
language_61,"[1, 1]",776
language_62,"[1, 1]",776
language_63,"[1, 1]",776
language_64,"[1, 1]",776
language_65,"[1, 1]",776
language_66,"[1, 1]",776
language_67,"[1, 1]",776
language_68,"[1, 1]",776
language_69,"[1, 1]",776
language_70,"[1, 1]",776
language_71,"[1, 1]",776
language_72,"[1, 1]",776
language_73,"[1, 1]",776
language_74,"[1, 0]",776
language_75,"[1, 1]",776
language_76,"[1, 1]",776
language_77,"[1, 1]",776
language_78,"[0, 1]",776
language_79,"[1, 1]",776
language_80,"[1, 1]",776
language_81,"[1, 1]",776
language_82,"[0, 0]",776
language_83,"[1, 1]",776
language_84,"[0, 1]",776
language_85,"[1, 1]",776
language_86,"[1, 1]",776
language_87,"[1, 1]",776
language_88,"[1, 1]",776
language_89,"[1, 1]",776
language_90,"[1, 1]",776
language_91,"[1, 1]",776
language_92,"[1, 1]",776
language_93,"[1, 1]",776
language_94,"[1, 1]",776
language_95,"[1, 1]",776
language_96,"[1, 1]",776
language_97,"[1, 1]",776
language_98,"[1, 1]",776
language_99,"[1, 1]",776
language_100,"[1, 1]",776
language_101,"[1, 1]",776
language_102,"[1, 1]",776
language_103,"[1, 1]",776
language_104,"[0, 1]",776
language_105,"[0, 1]",776
language_106,"[1, 1]",776
language_107,"[1, 1]",776
language_108,"[0, 1]",776
language_109,"[1, 1]",776
language_110,"[1, 0]",776
language_111,"[1, 1]",776
language_112,"[1, 1]",776
language_113,"[1, 1]",776
language_114,"[1, 1]",776
language_115,"[0, 1]",776
language_116,"[1, 1]",776
language_119,"[1, 1]",776
language_120,"[0, 1]",776
language_121,"[1, 1]",776
language_122,"[1, 1]",776
language_123,"[1, 1]",776
language_124,"[1, 1]",776
language_125,"[1, 1]",776
language_126,"[1, 1]",776
language_127,"[0, 1]",776
language_128,"[1, 1]",776
language_130,"[1, 1]",776
language_131,"[1, 1]",776
language_132,"[1, 1]",776
language_133,"[1, 1]",776
language_134,"[1, 1]",776
language_135,"[1, 1]",776
language_136,"[1, 1]",776
language_137,"[1, 1]",776
language_138,"[1, 1]",776
language_139,"[1, 1]",776
language_140,"[1, 1]",776
language_141,"[0, 1]",776
language_142,"[1, 0]",776
language_143,"[1, 1]",776
language_144,"[1, 1]",776
language_145,"[0, 1]",776
language_146,"[1, 1]",776
language_147,"[1, 1]",776
language_148,"[0, 0]",776
language_149,"[1, 1]",776
language_150,"[1, 1]",776
language_151,"[1, 1]",776
language_152,"[1, 1]",776
language_153,"[1, 1]",776
language_154,"[1, 1]",776
language_155,"[1, 1]",776
language_156,"[1, 1]",776
language_157,"[1, 1]",776
language_159,"[1, 1]",776
language_160,"[1, 1]",776
language_161,"[1, 1]",776
language_162,"[1, 1]",776
language_163,"[1, 1]",776
language_164,"[1, 1]",776
language_165,"[1, 1]",776
language_166,"[1, 1]",776
language_167,"[1, 1]",776
language_168,"[1, 1]",776
language_169,"[1, 1]",776
language_170,"[1, 1]",776
language_171,"[1, 1]",776
language_172,"[1, 1]",776
language_173,"[1, 1]",776
language_174,"[1, 1]",776
language_175,"[1, 1]",776
language_176,"[1, 1]",776
language_178,"[1, 1]",776
language_179,"[1, 1]",776
language_180,"[1, 1]",776
language_181,"[0, 1]",776
language_182,"[1, 1]",776
language_183,"[1, 1]",776
language_184,"[1, 1]",776
language_185,"[1, 1]",776
language_187,"[1, 0]",776
language_188,"[1, 1]",776
language_189,"[0, 1]",776
language_190,"[1, 1]",776
language_191,"[1, 1]",776
language_192,"[1, 1]",776
language_193,"[1, 1]",776
language_194,"[1, 0]",776
language_195,"[1, 1]",776
language_197,"[1, 0]",776
language_198,"[1, 0]",776
language_199,"[0, 1]",776
language_200,"[1, 1]",776
language_201,"[1, 1]",776
language_202,"[1, 1]",776
language_203,"[1, 1]",776
language_204,"[1, 1]",776
language_205,"[1, 1]",776
language_206,"[1, 1]",776
language_208,"[0, 0]",776
language_209,"[1, 1]",776
language_210,"[1, 1]",776
language_211,"[1, 1]",776
language_212,"[1, 0]",776
language_213,"[1, 1]",776
language_214,"[1, 1]",776
language_215,"[1, 1]",776
language_217,"[1, 1]",776
language_218,"[0, 1]",776
language_219,"[0, 1]",776
language_220,"[1, 1]",776
language_221,"[1, 1]",776
language_222,"[1, 1]",776
language_223,"[1, 1]",776
language_224,"[1, 1]",776
