LANGUAGE,GEN_0,GEN_1,SET
Aztec,1.0,1.0,Uto-Aztecan
Bannock,1.0,1.0,Uto-Aztecan
Cahuilla,0.375,1.0,Uto-Aztecan
Colorado_Ute_,1.0,1.0,Uto-Aztecan
Comanche,1.0,1.0,Uto-Aztecan
Cupen╠âo,0.375,1.0,Uto-Aztecan
Gabrielino,1.0,1.0,Uto-Aztecan
Guarijio,1.0,1.0,Uto-Aztecan
Hopi,1.0,1.0,Uto-Aztecan
Kawaiisu,1.0,1.0,Uto-Aztecan
Kitanemuk_,0.0,1.0,Uto-Aztecan
Lower_Pima_Pima_Bajo,0.0,1.0,Uto-Aztecan
Luisen╠üo,0.15384615384615385,1.0,Uto-Aztecan
Mono,1.0,1.0,Uto-Aztecan
Northern_Tepehuan,1.0,1.0,Uto-Aztecan
North_Northern_Paiute,1.0,1.0,Uto-Aztecan
Opata,0.09090909090909091,1.0,Uto-Aztecan
Serrano,1.0,1.0,Uto-Aztecan
Shoshoni,1.0,1.0,Uto-Aztecan
Southeastern_Tepehuano,0.045454545454545456,1.0,Uto-Aztecan
Southern_Paiute,1.0,1.0,Uto-Aztecan
Southern_Tepehuan,0.0,1.0,Uto-Aztecan
Southern_Ute,1.0,1.0,Uto-Aztecan
Tarahumara,1.0,1.0,Uto-Aztecan
Tu╠êmpisha_Shoshoni,1.0,1.0,Uto-Aztecan
