LANGUAGE,GEN_0,GEN_1,SET
Chenchu,1.0,1.0,Dravidian
Dandami_Maria,1.0,1.0,Dravidian
Kadar,1.0,1.0,Dravidian
Kodava,1.0,1.0,Dravidian
Koya,1.0,1.0,Dravidian
Kui,1.0,1.0,Dravidian
Kurukh,1.0,1.0,Dravidian
Kuvi,1.0,1.0,Dravidian
Malapandaram,1.0,1.0,Dravidian
Malayalam,1.0,1.0,Dravidian
Canarese,1.0,1.0,Dravidian
Tamil,1.0,1.0,Dravidian
Telugu,1.0,1.0,Dravidian
Northern_Gondi,1.0,1.0,Dravidian
Paliyan,1.0,1.0,Dravidian
Tamil,1.0,1.0,Dravidian
Telugu,1.0,1.0,Dravidian
Toda,0.045454545454545456,1.0,Dravidian
Yerukula,1.0,1.0,Dravidian
