LANGUAGE,GEN_0,GEN_1,SET
Abui,1.0,1.0,Other
Achuar,0.18181818181818182,0.0,Other
Adang,0.4,1.0,Other
Agob-Ende-Kawam,0.0,0.5,Other
Aguaruna,0.2727272727272727,1.0,Other
Alamblak,1.0,1.0,Other
Amanab,0.6,1.0,Other
Angaite,0.0,1.0,Other
ASF_Auslan,0.09090909090909091,1.0,Other
Atsugewi,0.0,1.0,Other
Au,0.5555555555555556,1.0,Other
Awa,1.0,1.0,Other
Awiakay,1.0,1.0,Other
Ayoreo,1.0,1.0,Other
Bardi,0.6,1.0,Other
Bari,0.09090909090909091,1.0,Other
Baruya,0.7,1.0,Other
Basque,0.09090909090909091,1.0,Other
Basque,1.0,1.0,Other
Berik,0.0,1.0,Other
Bilua,0.0,1.0,Other
Bininj_Kun-wok,0.5,1.0,Other
Blagar,1.0,1.0,Other
Buin,1.0,1.0,Other
Cha_palaa,1.0,1.0,Other
Chimariko,0.047619047619047616,1.0,Other
Chiricahua,1.0,0.0,Other
Cocopa,1.0,1.0,Other
Copper_Inuit,1.0,0.0,Other
Cubeo,1.0,0.5,Other
Cusco_Quechua,1.0,1.0,Other
Dalabon,0.6,1.0,Other
Daribi,0.5454545454545454,1.0,Other
DeneTha_South_Slavey_,0.09090909090909091,1.0,Other
Dene_Suline╠ü,0.09090909090909091,1.0,Other
De╠üli╠¿ne,1.0,1.0,Other
Doutai,1.0,0.5,Other
Duna,0.5454545454545454,1.0,Other
Edopi,0.6,0.5,Other
Eipo,0.7727272727272727,1.0,Other
Ekari,0.4,1.0,Other
Ende_(Papua_New_Guinea),0.09090909090909091,0.75,Other
Eyak,0.0,1.0,Other
Foi,0.6,1.0,Other
Fore,0.4,1.0,Other
Galeia_B,1.0,1.0,Other
Ganggalida,1.0,1.0,Other
Gimi,0.7727272727272727,0.5,Other
Grand_Valley_Dani,0.8,0.5,Other
Gui_(Gwi),0.0,1.0,Other
Gu╠ênu╠êna_Ku╠êne,0.09090909090909091,1.0,Other
Hewa,0.5454545454545454,1.0,Other
