LANGUAGE,GEN_0,GEN_1,SET
Abui,1.0,1.0,Other
Achuar,0.0,0.0,Other
Adang,1.0,0.0,Other
Agob-Ende-Kawam,0.4,0.25,Other
Aguaruna,0.0,0.0,Other
Alamblak,0.3,0.25,Other
Amanab,0.5,0.5,Other
ASF_Auslan,0.0,0.0,Other
Atsugewi,0.1111111111111111,0.0,Other
Au,0.3,0.25,Other
Awa,0.5,0.0,Other
Awiakay,0.5,0.5,Other
Ayoreo,0.2,0.0,Other
Bardi,0.3,0.0,Other
Bari,0.0,0.0,Other
Baruya,0.6,0.0,Other
Basque,0.0,0.0,Other
Basque,0.1,0.0,Other
Berik,1.0,0.0,Other
Bilua,0.2,0.0,Other
Bininj_Kun-wok,0.3,0.25,Other
Blagar,0.0,0.0,Other
Buin,0.3333333333333333,0.0,Other
Cha_palaa,1.0,0.0,Other
Chimariko,0.0,0.0,Other
Chiricahua,0.0,0.0,Other
Cocopa,0.4,0.5,Other
Copper_Inuit,0.2,0.0,Other
Cubeo,0.0,0.0,Other
Cusco_Quechua,0.0,0.0,Other
Dalabon,0.3,0.5,Other
Daribi,0.0,0.0,Other
DeneTha_South_Slavey_,0.2,0.0,Other
Dene_Suline╠ü,0.2,0.0,Other
De╠üli╠¿ne,0.1111111111111111,0.0,Other
Dogrib,1.0,0.0,Other
Doutai,0.5,0.0,Other
Duna,0.0,0.0,Other
Edopi,0.5,0.0,Other
Eipo,0.2,0.0,Other
Ekari,0.2,0.0,Other
Ende_(Papua_New_Guinea),0.1,0.75,Other
Eyak,1.0,0.0,Other
Foi,0.0,0.0,Other
Fore,0.4,0.0,Other
Galeia_A,0.5,0.0,Other
Galeia_B,0.5,0.5,Other
Ganggalida,0.4,0.25,Other
Gimi,0.1,0.0,Other
Grand_Valley_Dani,0.3,0.0,Other
Gui_(Gwi),0.2,0.5,Other
Gu╠ênu╠êna_Ku╠êne,0.1,0.0,Other
Hewa,0.0,0.0,Other
Hoti_Yuwana_,1.0,0.0,Other
Huli,0.0,0.0,Other
Hunza,0.0,0.0,Other
Hupa,1.0,0.0,Other
I'saka_(Krisa),1.0,0.5,Other
Iau,1.0,0.0,Other
Idi,0.4,0.75,Other
Inanwatan_(Suabo),0.3333333333333333,0.0,Other
Isirawa,1.0,0.75,Other
Iwam,0.1,0.75,Other
Japanese,0.2,0.0,Other
Jicarilla,0.0,0.0,Other
Jingulu,0.6,0.0,Other
Kalamang,0.2,1.0,Other
Kamang,1.0,0.5,Other
Kamano,0.1,0.0,Other
Karok,1.0,0.0,Other
Kashaya,1.0,0.5,Other
Kaure,0.3,0.5,Other
Kayardild,0.3,0.0,Other
Kemiju_(Jate),0.1,0.0,Other
Kemtuik,0.5,0.5,Other
Ketengban,0.7,0.0,Other
Ket,0.1111111111111111,1.0,Other
Kewa,0.0,0.0,Other
Keyagana_(Jate),0.1,0.0,Other
Khalkha-Mongolian,1.0,0.0,Other
Kilmeri,0.1,0.0,Other
Kimaama,1.0,0.0,Other
Kiowa_Apache,0.0,0.0,Other
Kiraman,0.6,0.25,Other
Kiwaian,1.0,1.0,Other
Kogi,1.0,0.0,Other
Koiari,0.1111111111111111,0.0,Other
Kombai,0.6,0.0,Other
Komnzo,0.4,0.25,Other
Konda_(Western_Dani),0.4,0.5,Other
Korafe,1.0,0.0,Other
Korowai,0.6,0.0,Other
Kuman,0.2,0.25,Other
Kung,1.0,0.0,Other
Kunimaipa,0.6,0.0,Other
Kuot,0.0,0.0,Other
Kwoma,0.5,0.5,Other
Lardil,0.1,0.25,Other
Lengua,0.0,0.0,Other
Limilngan,0.5,0.0,Other
Lipan_Apache,0.0,0.0,Other
Loloda-Laba_(Loda),0.5,0.5,Other
Mairasi,1.0,0.0,Other
Mala,0.6,0.25,Other
Mali,1.0,0.0,Other
Mapudungun,0.2,0.0,Other
Marind,0.2,0.0,Other
Marra,0.1,0.5,Other
Maybrat,0.0,0.0,Other
Meriam,0.0,0.0,Other
Meyah,1.0,0.0,Other
Miani,1.0,0.25,Other
Midob,1.0,0.0,Other
Mocovi╠ü,0.2,0.0,Other
Momu-Fas,0.5,0.0,Other
Moni,0.4,0.0,Other
Monumbo,0.7,0.25,Other
Arikara_(Arickaree),0.5,0.0,Other
Assiniboine_(Asiniboine),0.7,0.0,Other
"Baffin_Inuktitut_(Eskimo,_Northumberland_Inlet)",0.4,0.0,Other
Cayuga,0.6,0.0,Other
Cherokee,0.4,0.0,Other
Chibcha_(New_Granada),0.8333333333333334,0.0,Other
Chickasa,0.2,0.0,Other
Choctaw_(1),0.3,0.0,Other
Choctaw_(2),0.3,0.0,Other
Creek,0.3,0.0,Other
Crow,0.6,0.0,Other
Dakota_Blackfoot,0.6,0.0,Other
Dakota_Brule,0.7,0.0,Other
Dakota_Isauntie,0.7,0.0,Other
Dakota_Ogalalla,0.6,0.0,Other
Dakota_Sisseton,0.6,0.0,Other
Dakota_Uncpapa,0.7,0.0,Other
Dakota_Yanktonais,0.7,0.0,Other
Dakota_Yankton,0.6,0.0,Other
Grand_Pawnee,0.6,0.0,Other
Hare_Indians_or_Ta╠ê-na╠ê'-tin-ne,0.6,0.0,Other
Iowa╠ê,0.8,0.0,Other
Japanese,1.0,0.25,Other
"Kalaallisut_(Eskimo,_Greenland)",0.2857142857142857,0.0,Other
Kaw,0.7,0.0,Other
Kootenay,0.3333333333333333,0.0,Other
"Ku╠îtchin,_or_Louchieux",1.0,0.0,Other
Laguna,1.0,0.0,Other
Mandan,0.6666666666666666,0.0,Other
Minnitaree,0.7,0.0,Other
Mohawk,0.8,0.0,Other
Mountain_Cherokee,0.5555555555555556,0.0,Other
Omaha╠ê,0.6,0.0,Other
Oneida,0.6,0.0,Other
Onondaga,0.6,0.0,Other
Osage,0.4,0.0,Other
Otoe,0.8,0.0,Other
Punka╠ê,0.6,0.0,Other
"Red-knife,_or_Ta╠êl-sote'e-na╠ê",1.0,0.0,Other
Republican_Pawnee,0.1,0.0,Other
Seneca,0.6,0.0,Other
Slave_Lake_Indians_or_A-cha'o-tin-ne,1.0,0.0,Other
Tabasco_Chontal_(Chontal_Tabasco),1.0,0.0,Other
Tesuque,0.5,0.0,Other
Tukuthe,0.8888888888888888,0.0,Other
Tuscarora,0.6,0.0,Other
Two_Mountain_Iroquios,0.9,0.0,Other
Winnebagoe,0.6,0.0,Other
Wyandote,0.6,0.0,Other
Yakama,1.0,0.0,Other
Mosete╠ün_Chimane╠ü,1.0,0.0,Other
Movima,1.0,0.0,Other
Muisca_Chibcha_,1.0,0.0,Other
Murrinhpatha,0.0,0.0,Other
Nagovisi,0.8,0.0,Other
Nama,0.2,1.0,Other
Nambo,0.4,0.5,Other
Nasioi,0.3,0.0,Other
Navajo,0.1111111111111111,0.0,Other
Negwa_(Yagwoia),0.6,0.0,Other
Neme,0.5,0.25,Other
Nen,0.4,0.75,Other
Nen_,0.4,0.75,Other
Netsilik,0.1,0.25,Other
Nimboran,0.5,0.0,Other
Ninam,0.0,0.0,Other
Nivacle,0.0,0.0,Other
Northeastern_Maidu,0.2,0.0,Other
Northern_Embera,0.2,0.0,Other
Northern_Pomo,0.625,0.25,Other
NorthMuyu,0.6,0.0,Other
Northwestern_Maidu,0.125,0.0,Other
Nunamiut,0.2,0.0,Other
Nungon,0.2,0.0,Other
Nyulnyul,0.1,0.0,Other
Onobasulu,0.0,0.0,Other
Pagu,0.0,0.0,Other
Pa╠üez,0.0,0.0,Other
Pilaga╠ü,0.2,0.0,Other
Puinave,1.0,0.0,Other
Pume╠ü,0.2,0.0,Other
Qawasquar,0.2,0.0,Other
Quechan,0.2,0.6666666666666666,Other
Rotokas,0.0,0.0,Other
Sanapana,0.0,0.0,Other
Savosavo,0.0,0.0,Other
Sawi,0.6,0.0,Other
Selk_nam,0.2,0.0,Other
Seri,0.0,0.0,Other
