LANGUAGE,GEN_0,GEN_1,SET
Asu_Tanzania_,0.2,1.0,Atlantic-Congo
Avatime,1.0,0.0,Atlantic-Congo
Bali_Congo_,0.0,0.0,Atlantic-Congo
Bali_DRC_,0.0,0.0,Atlantic-Congo
Batanga,1.0,1.0,Atlantic-Congo
Bemba,0.2,0.5,Atlantic-Congo
Bena_Tanzania_,0.3333333333333333,0.5,Atlantic-Congo
Bende,0.3333333333333333,0.0,Atlantic-Congo
Bera,0.2,0.5,Atlantic-Congo
Bila,0.2,0.75,Atlantic-Congo
Bukusu,0.2,0.5,Atlantic-Congo
Bushoong,0.0,0.0,Atlantic-Congo
Chokwe,0.0,0.0,Atlantic-Congo
Digo,0.2,0.5,Atlantic-Congo
Ding,0.6,0.0,Atlantic-Congo
Duala,0.25,0.0,Atlantic-Congo
Ekonda_Mongo,0.1111111111111111,0.0,Atlantic-Congo
Fang_EG,0.2,0.0,Atlantic-Congo
Fefe,0.3333333333333333,0.0,Atlantic-Congo
Fipa,0.0,0.0,Atlantic-Congo
Ganda,0.3333333333333333,0.0,Atlantic-Congo
Giryama,0.1111111111111111,0.5,Atlantic-Congo
Gogo,0.14285714285714285,0.0,Atlantic-Congo
Gusii,0.0,0.0,Atlantic-Congo
Haya,0.2,0.0,Atlantic-Congo
Ha,0.1111111111111111,0.25,Atlantic-Congo
Hehe,0.3333333333333333,1.0,Atlantic-Congo
Herero,0.2,0.6666666666666666,Atlantic-Congo
Igbo,0.0,1.0,Atlantic-Congo
Kagulu,0.14285714285714285,1.0,Atlantic-Congo
Kamba,0.2,0.0,Atlantic-Congo
Kaonde,1.0,0.0,Atlantic-Congo
Kerewe,0.0,0.0,Atlantic-Congo
Kikuyu,0.4,0.25,Atlantic-Congo
Komo_DRC_,0.2,0.5,Atlantic-Congo
Kom,0.2,0.0,Atlantic-Congo
Kota,0.14285714285714285,0.0,Atlantic-Congo
Kwasio,0.2,0.0,Atlantic-Congo
Kwere,0.2,0.75,Atlantic-Congo
Lala_Bisa,0.0,0.0,Atlantic-Congo
Lamba,0.1111111111111111,0.0,Atlantic-Congo
Langi,0.1111111111111111,0.0,Atlantic-Congo
Lingala,0.2,0.5,Atlantic-Congo
Lozi,0.5,0.5,Atlantic-Congo
Luba_Katanga,1.0,0.5,Atlantic-Congo
Luba_Lulua,0.2,0.25,Atlantic-Congo
Luguru,0.1111111111111111,0.5,Atlantic-Congo
Lunda,0.4,0.5,Atlantic-Congo
Luvale,0.3,0.0,Atlantic-Congo
Makonde,0.0,0.0,Atlantic-Congo
Masaaba,0.2,1.0,Atlantic-Congo
Mbala,0.2,0.0,Atlantic-Congo
Mbere,0.0,0.0,Atlantic-Congo
Mbuun,0.2,0.0,Atlantic-Congo
Meru,0.2,0.5,Atlantic-Congo
Meta,0.5,0.0,Atlantic-Congo
Mokpwe,0.2,0.0,Atlantic-Congo
Mongo,0.3,0.5,Atlantic-Congo
Amazulu_(Amazulu_Kafir),0.6,0.0,Atlantic-Congo
Mungaka,1.0,0.5,Atlantic-Congo
Myene,1.0,0.5,Atlantic-Congo
Ngoni,0.0,0.0,Atlantic-Congo
Ngulu,0.1111111111111111,1.0,Atlantic-Congo
Njebi,0.3333333333333333,0.0,Atlantic-Congo
Nsong,0.2,0.0,Atlantic-Congo
Nyakyusa,0.2,0.6666666666666666,Atlantic-Congo
Nyoro,0.2,0.0,Atlantic-Congo
Phende,0.2,0.0,Atlantic-Congo
Pinji,0.0,0.0,Atlantic-Congo
Pokomo,0.0,0.0,Atlantic-Congo
Punu,0.0,0.0,Atlantic-Congo
Rundi,0.1111111111111111,0.0,Atlantic-Congo
Sakata,0.2,0.0,Atlantic-Congo
Sake,0.5,0.0,Atlantic-Congo
Sango,0.0,0.0,Atlantic-Congo
Sangu_Tanzania_,0.3333333333333333,0.0,Atlantic-Congo
San_Salvador_Kongo,0.2,0.3333333333333333,Atlantic-Congo
Seki,0.5,0.0,Atlantic-Congo
Shi,0.2,0.0,Atlantic-Congo
Soga,0.2,0.5,Atlantic-Congo
Songoora,0.8333333333333334,0.0,Atlantic-Congo
Sukuma,1.0,0.0,Atlantic-Congo
Suku,0.2,0.5,Atlantic-Congo
Sumbwa,0.5,0.0,Atlantic-Congo
Suundi,0.16666666666666666,0.0,Atlantic-Congo
Taabwa,0.2,0.25,Atlantic-Congo
Temi,1.0,0.0,Atlantic-Congo
Tetela,0.2222222222222222,0.0,Atlantic-Congo
Tiv,0.2,0.0,Atlantic-Congo
Tonga_Nyasa_,0.2,0.0,Atlantic-Congo
Tooro,0.0,0.0,Atlantic-Congo
Tsogo,0.5,0.0,Atlantic-Congo
Tsonga,0.25,0.5,Atlantic-Congo
Tswana,0.2,0.5,Atlantic-Congo
Umbundu,0.3333333333333333,0.0,Atlantic-Congo
Venda,0.2,0.5,Atlantic-Congo
Yaka_CAR_,0.1,0.3333333333333333,Atlantic-Congo
Yaka_Pelende_Lonzo,0.0,0.0,Atlantic-Congo
Yansi,0.2,0.0,Atlantic-Congo
Yombe,0.5,0.5,Atlantic-Congo
Zigula,0.3333333333333333,0.5,Atlantic-Congo
Zinza,0.0,0.0,Atlantic-Congo
Zulu,0.1,0.25,Atlantic-Congo
