LANGUAGE,GEN_0,GEN_1,SET
Erzya,0.2,0.0,Uralic
Estonian,0.0,0.0,Uralic
Finnic,0.2,0.0,Uralic
Finnish,0.0,0.0,Uralic
Ingrian,0.0,0.0,Uralic
Kazym_Berezover_Suryskarer_Khanty,0.2,0.0,Uralic
kinura_ForestEnets,0.2,0.5,Uralic
kinura_HillMari,0.2,0.75,Uralic
kinura_Livonian,0.0,0.0,Uralic
kinura_MokshaMordvin,0.2,0.75,Uralic
kinura_Nganasan,0.2,1.0,Uralic
kinura_NorthSaami,0.2,0.5,Uralic
kinura_SkoltSaami,0.0,0.5,Uralic
kinura_SouthSaami,0.2,0.5,Uralic
Komi_Zyrian,0.2,0.0,Uralic
Magyar,0.2,0.0,Uralic
Mansi,0.2,0.0,Uralic
Mari,1.0,0.0,Uralic
Northern_Sami,0.3333333333333333,0.5,Uralic
Selkup,1.0,0.0,Uralic
Tundra_Nenets,1.0,0.0,Uralic
Udmurt,0.4,0.5,Uralic
Veps,0.0,0.0,Uralic
