LANGUAGE,GEN_0,GEN_1,SET
Aztec,0.0,0.0,Uto-Aztecan
Bannock,1.0,0.0,Uto-Aztecan
Cahuilla,0.3333333333333333,0.6666666666666666,Uto-Aztecan
Colorado_Ute_,1.0,0.5,Uto-Aztecan
Comanche,0.2,0.0,Uto-Aztecan
Cupen╠âo,0.25,0.5,Uto-Aztecan
Gabrielino,0.3333333333333333,0.25,Uto-Aztecan
Guarijio,1.0,1.0,Uto-Aztecan
Hopi,1.0,0.0,Uto-Aztecan
Kawaiisu,1.0,0.0,Uto-Aztecan
Kitanemuk_,1.0,0.3333333333333333,Uto-Aztecan
Luisen╠üo,0.2857142857142857,0.5,Uto-Aztecan
Mayo,1.0,0.0,Uto-Aztecan
Mono,1.0,0.0,Uto-Aztecan
Utahs_(Tabegwaches),1.0,0.0,Uto-Aztecan
Northern_Paiute,1.0,0.0,Uto-Aztecan
North_Northern_Paiute,1.0,0.0,Uto-Aztecan
Opata,0.2,0.75,Uto-Aztecan
Serrano,0.3333333333333333,0.6666666666666666,Uto-Aztecan
Shoshoni,1.0,0.0,Uto-Aztecan
Southeastern_Tepehuano,0.2,1.0,Uto-Aztecan
Southern_Paiute,0.3333333333333333,0.0,Uto-Aztecan
Southern_Tepehuan,1.0,0.5,Uto-Aztecan
Southern_Ute,1.0,0.75,Uto-Aztecan
Tarahumara,0.5,0.6666666666666666,Uto-Aztecan
Tu╠êmpisha_Shoshoni,0.6,0.0,Uto-Aztecan
