LANGUAGE,AGE,SET
language_1,"[0, 0]",7
language_2,"[0, 0]",7
language_3,"[1, 0]",7
language_4,"[1, 0]",7
language_6,"[1, 0]",7
language_7,"[0, 0]",7
language_8,"[1, 0]",7
language_9,"[1, 0]",7
language_11,"[0, 0]",7
language_12,"[1, 0]",7
language_13,"[0, 0]",7
language_14,"[1, 0]",7
language_15,"[1, 0]",7
language_16,"[1, 0]",7
language_17,"[0, 1]",7
language_18,"[0, 0]",7
language_19,"[1, 0]",7
language_20,"[1, 0]",7
language_22,"[1, 0]",7
language_23,"[1, 0]",7
language_27,"[1, 0]",7
language_28,"[1, 0]",7
language_29,"[0, 0]",7
language_30,"[1, 0]",7
language_32,"[0, 1]",7
language_33,"[1, 0]",7
language_34,"[1, 1]",7
language_35,"[1, 0]",7
language_36,"[1, 0]",7
language_37,"[0, 1]",7
language_38,"[1, 0]",7
language_39,"[1, 0]",7
language_40,"[1, 0]",7
language_41,"[0, 0]",7
language_42,"[0, 0]",7
language_43,"[0, 0]",7
language_44,"[1, 0]",7
language_45,"[1, 0]",7
language_46,"[1, 0]",7
language_47,"[1, 0]",7
language_49,"[1, 0]",7
language_51,"[1, 0]",7
language_52,"[1, 0]",7
language_53,"[1, 0]",7
language_56,"[0, 0]",7
language_57,"[1, 0]",7
language_58,"[0, 1]",7
language_59,"[1, 0]",7
language_60,"[1, 0]",7
language_62,"[1, 0]",7
language_63,"[0, 0]",7
language_64,"[1, 1]",7
language_65,"[0, 0]",7
language_66,"[1, 0]",7
language_67,"[1, 0]",7
language_69,"[1, 0]",7
language_70,"[1, 0]",7
language_71,"[1, 0]",7
language_74,"[0, 0]",7
language_75,"[1, 0]",7
language_76,"[0, 1]",7
language_77,"[1, 0]",7
language_78,"[0, 0]",7
language_79,"[1, 0]",7
language_80,"[1, 0]",7
language_81,"[0, 0]",7
language_83,"[0, 1]",7
language_84,"[1, 0]",7
language_85,"[1, 0]",7
language_86,"[1, 0]",7
language_88,"[1, 1]",7
language_89,"[1, 0]",7
language_90,"[1, 0]",7
language_91,"[1, 0]",7
language_92,"[0, 0]",7
language_93,"[1, 0]",7
language_94,"[1, 1]",7
language_95,"[1, 0]",7
language_96,"[1, 0]",7
language_98,"[1, 0]",7
language_99,"[1, 0]",7
language_100,"[1, 0]",7
language_101,"[0, 0]",7
language_102,"[1, 0]",7
language_103,"[1, 1]",7
language_104,"[0, 0]",7
language_105,"[1, 0]",7
language_106,"[1, 0]",7
language_108,"[0, 0]",7
language_109,"[0, 0]",7
language_110,"[1, 0]",7
language_112,"[0, 0]",7
language_113,"[1, 0]",7
language_114,"[1, 0]",7
language_116,"[1, 0]",7
language_117,"[1, 0]",7
language_119,"[0, 0]",7
language_120,"[0, 0]",7
language_121,"[1, 0]",7
language_124,"[0, 0]",7
language_125,"[0, 0]",7
language_126,"[0, 0]",7
language_130,"[1, 0]",7
language_131,"[1, 0]",7
language_132,"[1, 0]",7
language_133,"[1, 0]",7
language_134,"[0, 0]",7
language_135,"[1, 0]",7
