LANGUAGE,AGE
language_303,"[1, 0]"
language_304,"[0, 0]"
language_305,"[0, 0]"
language_306,"[1, 0]"
language_307,"[0, 0]"
language_308,"[1, 0]"
language_309,"[0, 0]"
language_310,"[1, 0]"
language_312,"[1, 0]"
language_313,"[0, 0]"
language_314,"[0, 0]"
language_316,"[1, 0]"
language_317,"[0, 0]"
language_318,"[0, 0]"
language_319,"[1, 0]"
language_320,"[1, 0]"
language_322,"[0, 0]"
language_323,"[1, 0]"
language_324,"[1, 0]"
language_325,"[1, 0]"
language_326,"[1, 0]"
language_327,"[1, 0]"
language_329,"[1, 0]"
language_330,"[0, 0]"
language_331,"[1, 0]"
language_333,"[1, 1]"
language_334,"[0, 1]"
language_335,"[0, 1]"
language_336,"[1, 1]"
language_337,"[1, 0]"
language_338,"[1, 1]"
language_339,"[1, 0]"
language_340,"[1, 0]"
language_341,"[1, 0]"
language_343,"[0, 0]"
language_344,"[0, 0]"
language_345,"[1, 0]"
language_346,"[1, 0]"
language_347,"[0, 1]"
language_348,"[1, 0]"
language_349,"[0, 0]"
language_350,"[1, 0]"
language_351,"[1, 0]"
language_352,"[0, 0]"
language_353,"[0, 0]"
language_355,"[1, 0]"
language_356,"[0, 1]"
language_357,"[1, 0]"
language_358,"[1, 0]"
language_359,"[0, 0]"
language_360,"[0, 0]"
language_362,"[1, 0]"
language_363,"[1, 0]"
language_364,"[1, 0]"
language_365,"[1, 0]"
language_366,"[0, 0]"
language_367,"[0, 0]"
language_368,"[1, 0]"
language_370,"[1, 0]"
language_371,"[1, 0]"
language_372,"[1, 0]"
language_373,"[1, 0]"
language_374,"[0, 0]"
language_375,"[1, 0]"
language_376,"[1, 0]"
language_377,"[1, 0]"
language_378,"[1, 0]"
language_380,"[1, 0]"
language_381,"[0, 0]"
language_382,"[1, 0]"
language_387,"[0, 0]"
language_388,"[0, 0]"
language_389,"[0, 1]"
language_390,"[1, 0]"
language_391,"[1, 0]"
language_393,"[0, 0]"
language_394,"[1, 0]"
language_395,"[1, 0]"
language_398,"[1, 1]"
language_399,"[1, 0]"
language_400,"[1, 0]"
language_401,"[1, 0]"
language_403,"[1, 1]"
language_404,"[1, 1]"
language_405,"[1, 0]"
language_407,"[0, 0]"
language_408,"[0, 0]"
language_410,"[0, 0]"
language_411,"[1, 1]"
language_412,"[1, 0]"
language_414,"[1, 0]"
language_415,"[0, 0]"
language_416,"[1, 0]"
