LANGUAGE,AGE
language_1,"[0, 0]"
language_2,"[1, 0]"
language_3,"[1, 0]"
language_4,"[1, 0]"
language_5,"[1, 0]"
language_6,"[1, 0]"
language_7,"[1, 0]"
language_8,"[1, 0]"
language_9,"[1, 0]"
language_10,"[0, 1]"
language_11,"[1, 0]"
language_12,"[0, 0]"
language_13,"[1, 0]"
language_14,"[0, 0]"
language_15,"[0, 0]"
language_16,"[1, 0]"
language_17,"[0, 0]"
language_18,"[1, 0]"
language_19,"[1, 0]"
language_21,"[1, 0]"
language_22,"[1, 0]"
language_24,"[1, 0]"
language_26,"[0, 0]"
language_27,"[1, 0]"
language_28,"[1, 1]"
language_29,"[1, 0]"
language_30,"[1, 0]"
language_31,"[1, 0]"
language_32,"[0, 0]"
language_33,"[0, 0]"
language_34,"[1, 0]"
language_35,"[1, 0]"
language_37,"[0, 1]"
language_38,"[1, 1]"
language_39,"[1, 0]"
language_40,"[1, 0]"
language_41,"[0, 1]"
language_43,"[0, 0]"
language_44,"[1, 0]"
language_46,"[0, 0]"
language_47,"[0, 0]"
language_49,"[0, 0]"
language_50,"[0, 0]"
language_52,"[1, 1]"
language_54,"[1, 0]"
language_55,"[1, 0]"
language_56,"[1, 0]"
language_58,"[1, 0]"
language_59,"[0, 0]"
language_60,"[0, 0]"
language_63,"[1, 0]"
language_64,"[1, 0]"
language_67,"[1, 0]"
language_68,"[0, 0]"
language_69,"[1, 0]"
language_70,"[1, 0]"
language_71,"[1, 0]"
language_72,"[1, 0]"
language_73,"[1, 0]"
language_74,"[1, 0]"
language_75,"[1, 0]"
language_76,"[1, 0]"
language_77,"[0, 0]"
language_78,"[1, 0]"
language_79,"[1, 0]"
language_80,"[1, 1]"
language_81,"[0, 0]"
language_82,"[1, 0]"
language_83,"[1, 0]"
language_84,"[0, 1]"
language_85,"[1, 0]"
language_87,"[1, 0]"
language_88,"[1, 0]"
language_89,"[1, 0]"
language_90,"[1, 0]"
language_91,"[1, 1]"
language_93,"[0, 0]"
language_96,"[1, 0]"
language_97,"[1, 0]"
language_99,"[0, 0]"
language_100,"[1, 0]"
language_101,"[0, 0]"
language_102,"[1, 0]"
language_104,"[1, 1]"
language_106,"[1, 1]"
language_107,"[1, 0]"
language_108,"[1, 0]"
language_109,"[1, 0]"
language_110,"[0, 0]"
language_113,"[1, 0]"
language_114,"[1, 0]"
language_115,"[1, 0]"
language_116,"[1, 1]"
language_118,"[1, 0]"
language_119,"[0, 0]"
language_121,"[0, 0]"
language_122,"[0, 0]"
language_123,"[1, 0]"
language_124,"[0, 0]"
language_125,"[1, 0]"
language_127,"[1, 0]"
language_128,"[1, 0]"
language_129,"[1, 0]"
language_130,"[1, 0]"
language_131,"[1, 0]"
language_133,"[1, 0]"
language_135,"[1, 0]"
language_138,"[0, 0]"
language_139,"[1, 0]"
language_141,"[0, 0]"
language_142,"[0, 0]"
language_143,"[0, 0]"
language_144,"[1, 0]"
language_145,"[0, 0]"
language_146,"[1, 0]"
language_148,"[0, 0]"
language_149,"[0, 1]"
language_151,"[1, 0]"
language_152,"[0, 1]"
language_153,"[1, 0]"
language_154,"[0, 0]"
language_155,"[1, 0]"
language_157,"[1, 0]"
language_158,"[1, 0]"
language_159,"[1, 0]"
language_160,"[0, 0]"
language_161,"[1, 1]"
language_162,"[0, 0]"
language_164,"[1, 0]"
language_166,"[1, 0]"
language_167,"[1, 0]"
language_168,"[0, 0]"
language_169,"[1, 1]"
language_170,"[0, 0]"
language_171,"[0, 0]"
language_172,"[1, 0]"
language_173,"[1, 0]"
language_174,"[0, 0]"
language_175,"[0, 0]"
language_176,"[1, 0]"
language_177,"[1, 0]"
language_178,"[0, 0]"
language_179,"[1, 0]"
language_180,"[1, 0]"
language_181,"[1, 0]"
language_182,"[1, 0]"
language_183,"[0, 0]"
language_184,"[0, 1]"
language_185,"[1, 0]"
language_186,"[1, 0]"
language_187,"[1, 0]"
language_188,"[0, 0]"
language_189,"[1, 0]"
language_190,"[1, 0]"
language_191,"[1, 0]"
language_193,"[0, 0]"
language_194,"[0, 0]"
language_195,"[1, 0]"
language_196,"[0, 1]"
language_197,"[1, 0]"
language_198,"[1, 0]"
language_201,"[1, 0]"
language_202,"[1, 0]"
language_203,"[1, 0]"
language_205,"[0, 0]"
language_207,"[0, 0]"
language_208,"[1, 0]"
language_209,"[1, 0]"
language_211,"[0, 0]"
language_212,"[1, 0]"
language_213,"[0, 0]"
language_214,"[0, 0]"
language_216,"[1, 1]"
language_217,"[1, 0]"
language_218,"[1, 0]"
language_219,"[0, 0]"
language_221,"[1, 0]"
language_222,"[1, 0]"
language_223,"[1, 0]"
language_226,"[1, 0]"
language_228,"[1, 0]"
language_229,"[1, 1]"
language_230,"[1, 0]"
language_231,"[0, 0]"
language_232,"[0, 0]"
language_233,"[1, 0]"
language_235,"[1, 0]"
language_236,"[1, 0]"
language_237,"[0, 0]"
language_238,"[1, 0]"
language_239,"[0, 0]"
language_240,"[1, 0]"
language_241,"[0, 0]"
language_242,"[1, 0]"
language_245,"[0, 0]"
language_246,"[0, 1]"
language_247,"[1, 0]"
language_248,"[1, 0]"
language_249,"[0, 0]"
language_250,"[0, 0]"
language_252,"[0, 0]"
language_253,"[0, 0]"
language_254,"[1, 0]"
language_255,"[1, 1]"
language_257,"[0, 1]"
language_258,"[0, 0]"
language_259,"[1, 1]"
language_261,"[1, 0]"
language_262,"[1, 0]"
language_263,"[0, 0]"
language_264,"[1, 0]"
language_265,"[1, 0]"
language_266,"[0, 0]"
language_267,"[1, 0]"
language_268,"[0, 0]"
language_269,"[0, 0]"
language_270,"[1, 0]"
language_272,"[1, 0]"
language_273,"[0, 0]"
language_274,"[1, 0]"
language_275,"[0, 0]"
language_276,"[1, 0]"
language_277,"[1, 0]"
language_278,"[1, 1]"
language_280,"[1, 0]"
language_282,"[1, 0]"
language_283,"[1, 0]"
language_284,"[1, 0]"
language_285,"[0, 0]"
language_286,"[1, 0]"
language_288,"[1, 0]"
language_290,"[1, 0]"
language_291,"[1, 0]"
language_292,"[1, 0]"
language_293,"[1, 0]"
language_294,"[1, 0]"
language_295,"[1, 0]"
language_297,"[0, 1]"
language_298,"[0, 0]"
language_300,"[1, 0]"
language_301,"[1, 0]"
language_302,"[1, 0]"
language_303,"[1, 1]"
language_304,"[1, 0]"
language_305,"[1, 0]"
language_306,"[0, 1]"
language_307,"[1, 0]"
language_308,"[1, 0]"
