LANGUAGE,AGE
language_2,"[0, 0]"
language_3,"[0, 0]"
language_4,"[1, 0]"
language_5,"[1, 0]"
language_6,"[1, 0]"
language_7,"[1, 0]"
language_8,"[0, 0]"
language_9,"[1, 1]"
language_10,"[0, 0]"
language_11,"[1, 0]"
language_12,"[1, 1]"
language_13,"[0, 0]"
language_14,"[1, 0]"
language_15,"[1, 0]"
language_16,"[1, 0]"
language_17,"[1, 1]"
language_18,"[1, 0]"
language_19,"[1, 0]"
language_20,"[1, 0]"
language_21,"[0, 0]"
language_22,"[0, 1]"
language_24,"[1, 0]"
language_27,"[0, 0]"
language_28,"[1, 0]"
language_30,"[1, 0]"
language_31,"[1, 0]"
language_32,"[1, 0]"
language_33,"[1, 0]"
language_34,"[0, 0]"
language_35,"[1, 0]"
language_36,"[1, 0]"
language_37,"[1, 1]"
language_38,"[1, 0]"
language_39,"[0, 0]"
language_40,"[1, 0]"
language_42,"[1, 0]"
language_44,"[1, 0]"
language_46,"[1, 0]"
language_47,"[1, 0]"
language_48,"[0, 1]"
language_49,"[0, 0]"
language_50,"[1, 1]"
language_51,"[1, 0]"
language_52,"[1, 0]"
language_53,"[1, 0]"
language_54,"[1, 0]"
language_55,"[1, 0]"
language_56,"[0, 0]"
language_57,"[1, 0]"
language_60,"[0, 0]"
language_61,"[1, 0]"
language_62,"[0, 0]"
language_63,"[1, 1]"
language_64,"[0, 0]"
language_65,"[1, 0]"
language_66,"[0, 0]"
language_67,"[0, 1]"
language_68,"[1, 0]"
language_69,"[1, 1]"
language_70,"[1, 0]"
language_72,"[1, 1]"
language_73,"[0, 1]"
language_75,"[1, 0]"
language_76,"[0, 0]"
language_77,"[1, 0]"
language_78,"[1, 0]"
language_79,"[0, 0]"
language_81,"[0, 0]"
language_82,"[0, 0]"
language_83,"[1, 0]"
language_84,"[1, 0]"
language_85,"[1, 0]"
language_87,"[1, 1]"
language_88,"[0, 0]"
language_89,"[0, 0]"
language_90,"[0, 0]"
language_91,"[1, 0]"
language_93,"[1, 0]"
language_94,"[0, 0]"
language_95,"[1, 0]"
language_96,"[1, 0]"
language_97,"[1, 0]"
language_98,"[0, 0]"
language_99,"[0, 0]"
language_100,"[1, 1]"
language_101,"[1, 0]"
language_102,"[0, 1]"
language_103,"[0, 0]"
language_105,"[1, 0]"
language_106,"[0, 0]"
language_107,"[1, 0]"
language_111,"[1, 1]"
language_112,"[1, 0]"
language_113,"[1, 0]"
language_114,"[1, 0]"
language_115,"[0, 0]"
language_116,"[1, 0]"
language_117,"[1, 0]"
language_118,"[1, 0]"
language_120,"[1, 1]"
language_121,"[1, 0]"
language_123,"[0, 0]"
language_124,"[1, 0]"
language_125,"[1, 0]"
language_127,"[1, 1]"
language_129,"[0, 0]"
language_130,"[1, 0]"
language_131,"[1, 0]"
language_132,"[1, 0]"
language_133,"[1, 0]"
language_134,"[1, 0]"
language_135,"[1, 0]"
language_136,"[1, 0]"
language_137,"[1, 0]"
language_138,"[1, 0]"
language_139,"[1, 0]"
language_140,"[1, 0]"
language_141,"[1, 0]"
language_142,"[1, 0]"
language_143,"[1, 0]"
language_144,"[1, 0]"
language_145,"[1, 0]"
language_146,"[0, 0]"
language_147,"[1, 0]"
language_148,"[1, 0]"
language_149,"[1, 0]"
language_150,"[1, 0]"
language_151,"[1, 0]"
language_152,"[0, 0]"
language_154,"[0, 1]"
language_155,"[0, 1]"
language_156,"[1, 0]"
language_157,"[1, 0]"
language_159,"[1, 0]"
language_160,"[0, 0]"
language_161,"[0, 0]"
language_162,"[1, 1]"
language_163,"[1, 0]"
language_164,"[1, 0]"
language_165,"[0, 0]"
language_167,"[0, 0]"
language_168,"[1, 0]"
language_169,"[1, 0]"
language_171,"[0, 0]"
language_173,"[1, 0]"
language_174,"[0, 0]"
language_175,"[1, 0]"
language_177,"[1, 1]"
language_178,"[1, 0]"
language_179,"[1, 0]"
language_180,"[0, 0]"
language_181,"[1, 0]"
language_182,"[1, 0]"
language_183,"[1, 0]"
language_184,"[0, 0]"
language_185,"[1, 0]"
language_186,"[0, 0]"
language_187,"[1, 0]"
language_189,"[1, 0]"
language_191,"[1, 0]"
language_192,"[1, 0]"
language_193,"[0, 0]"
language_194,"[1, 0]"
language_195,"[1, 0]"
language_196,"[1, 0]"
language_198,"[1, 0]"
language_199,"[0, 0]"
language_200,"[0, 1]"
language_202,"[1, 0]"
language_203,"[1, 0]"
language_204,"[1, 0]"
language_205,"[0, 0]"
language_206,"[1, 0]"
language_207,"[1, 0]"
language_208,"[1, 0]"
language_209,"[1, 1]"
language_210,"[1, 0]"
language_212,"[0, 0]"
language_213,"[1, 0]"
language_215,"[0, 1]"
language_217,"[0, 1]"
language_218,"[0, 0]"
language_219,"[1, 0]"
language_221,"[1, 0]"
language_222,"[0, 1]"
language_224,"[1, 0]"
language_226,"[1, 0]"
language_228,"[1, 0]"
language_229,"[1, 0]"
language_230,"[1, 0]"
language_231,"[0, 0]"
language_232,"[1, 0]"
language_233,"[1, 0]"
language_234,"[1, 0]"
language_235,"[0, 0]"
language_236,"[1, 1]"
language_237,"[1, 0]"
language_238,"[1, 1]"
language_239,"[0, 0]"
language_240,"[1, 0]"
language_241,"[0, 0]"
language_243,"[1, 0]"
language_244,"[0, 0]"
language_245,"[1, 0]"
language_246,"[1, 0]"
language_247,"[1, 0]"
language_248,"[1, 0]"
language_249,"[1, 0]"
language_250,"[1, 0]"
language_251,"[0, 0]"
language_253,"[1, 0]"
language_254,"[1, 0]"
language_255,"[1, 0]"
language_256,"[0, 0]"
language_258,"[0, 0]"
language_260,"[0, 1]"
language_261,"[1, 0]"
language_262,"[1, 0]"
language_263,"[1, 1]"
language_264,"[0, 0]"
language_266,"[1, 0]"
language_267,"[1, 0]"
language_268,"[0, 0]"
language_269,"[0, 0]"
language_270,"[1, 1]"
language_271,"[1, 0]"
language_272,"[1, 0]"
language_273,"[0, 0]"
language_274,"[1, 0]"
language_275,"[1, 1]"
language_276,"[0, 0]"
language_277,"[0, 1]"
language_279,"[1, 0]"
language_280,"[1, 0]"
language_282,"[0, 0]"
language_283,"[0, 0]"
language_284,"[1, 0]"
language_285,"[1, 0]"
language_286,"[1, 0]"
language_287,"[1, 1]"
language_288,"[0, 0]"
language_289,"[0, 0]"
language_290,"[1, 0]"
language_291,"[1, 0]"
language_292,"[1, 0]"
language_294,"[0, 0]"
language_295,"[0, 0]"
language_296,"[0, 0]"
language_298,"[1, 0]"
language_300,"[1, 0]"
language_301,"[0, 0]"
language_302,"[0, 0]"
language_303,"[0, 0]"
language_304,"[1, 0]"
language_305,"[1, 1]"
language_306,"[1, 0]"
language_307,"[1, 0]"
language_308,"[1, 0]"
language_310,"[1, 0]"
language_312,"[0, 0]"
language_314,"[0, 0]"
language_315,"[1, 1]"
language_316,"[1, 0]"
language_317,"[1, 0]"
language_319,"[1, 0]"
language_320,"[1, 1]"
language_321,"[0, 0]"
language_325,"[0, 0]"
language_326,"[1, 0]"
language_327,"[1, 0]"
language_328,"[0, 0]"
language_329,"[0, 0]"
language_330,"[0, 0]"
language_331,"[1, 0]"
language_333,"[1, 0]"
language_334,"[0, 0]"
language_338,"[1, 0]"
language_339,"[0, 0]"
language_340,"[0, 0]"
language_341,"[1, 0]"
language_342,"[1, 0]"
language_343,"[1, 0]"
language_344,"[1, 0]"
language_345,"[0, 0]"
language_346,"[0, 0]"
language_347,"[1, 0]"
language_348,"[0, 0]"
language_349,"[0, 0]"
language_352,"[0, 0]"
language_353,"[1, 0]"
language_355,"[1, 0]"
language_357,"[1, 0]"
language_360,"[1, 0]"
language_361,"[0, 0]"
language_362,"[1, 0]"
language_364,"[0, 1]"
language_365,"[0, 0]"
language_367,"[1, 1]"
language_368,"[1, 0]"
language_370,"[1, 0]"
language_371,"[1, 0]"
language_372,"[1, 0]"
language_373,"[0, 0]"
language_374,"[1, 0]"
language_375,"[1, 0]"
language_376,"[0, 1]"
language_377,"[0, 0]"
language_378,"[1, 0]"
language_379,"[1, 0]"
language_380,"[1, 1]"
language_381,"[0, 1]"
language_382,"[1, 0]"
language_383,"[1, 0]"
language_384,"[0, 0]"
language_385,"[0, 0]"
language_386,"[1, 0]"
language_387,"[1, 0]"
language_388,"[0, 0]"
language_390,"[1, 0]"
language_391,"[0, 0]"
language_392,"[1, 0]"
language_393,"[0, 0]"
language_394,"[1, 0]"
language_396,"[1, 0]"
language_398,"[1, 1]"
language_399,"[0, 0]"
language_400,"[1, 0]"
language_401,"[1, 0]"
language_402,"[1, 0]"
language_405,"[0, 0]"
language_406,"[0, 0]"
language_407,"[1, 0]"
language_408,"[0, 0]"
language_409,"[1, 1]"
language_410,"[1, 0]"
language_411,"[0, 0]"
language_412,"[0, 0]"
language_413,"[0, 0]"
language_414,"[1, 0]"
language_415,"[0, 0]"
language_416,"[1, 0]"
language_417,"[0, 0]"
language_418,"[1, 0]"
language_419,"[0, 0]"
language_420,"[1, 1]"
language_421,"[1, 0]"
language_422,"[0, 0]"
