LANGUAGE,AGE,SET
language_1,"[1, 0]",2
language_2,"[1, 1]",2
language_4,"[1, 0]",2
language_5,"[1, 0]",2
language_7,"[1, 0]",2
language_8,"[1, 1]",2
language_9,"[1, 0]",2
language_10,"[1, 0]",2
language_11,"[1, 0]",2
language_12,"[0, 0]",2
language_13,"[0, 0]",2
language_14,"[0, 0]",2
language_16,"[1, 0]",2
language_17,"[1, 1]",2
language_18,"[1, 0]",2
language_19,"[1, 0]",2
language_20,"[1, 1]",2
language_22,"[1, 0]",2
language_23,"[1, 0]",2
language_25,"[1, 1]",2
language_26,"[1, 0]",2
language_27,"[1, 0]",2
language_28,"[0, 0]",2
language_29,"[1, 0]",2
language_30,"[1, 0]",2
language_32,"[1, 0]",2
language_33,"[1, 0]",2
language_34,"[1, 0]",2
language_35,"[1, 0]",2
language_36,"[1, 0]",2
language_37,"[1, 0]",2
language_38,"[1, 0]",2
language_39,"[1, 0]",2
language_41,"[0, 0]",2
language_43,"[1, 0]",2
language_44,"[0, 0]",2
language_45,"[1, 1]",2
language_46,"[1, 1]",2
language_48,"[1, 0]",2
language_49,"[1, 0]",2
language_50,"[0, 0]",2
language_53,"[1, 0]",2
language_54,"[0, 0]",2
language_55,"[1, 1]",2
language_56,"[1, 0]",2
language_57,"[1, 0]",2
language_58,"[1, 0]",2
language_59,"[1, 0]",2
language_60,"[1, 0]",2
language_61,"[1, 0]",2
language_62,"[1, 0]",2
language_64,"[1, 0]",2
language_65,"[0, 1]",2
language_66,"[0, 0]",2
language_67,"[1, 0]",2
language_68,"[0, 1]",2
language_70,"[1, 0]",2
language_72,"[0, 1]",2
language_73,"[1, 0]",2
language_74,"[1, 0]",2
language_75,"[0, 0]",2
language_77,"[1, 0]",2
language_79,"[1, 0]",2
language_80,"[1, 0]",2
language_81,"[1, 0]",2
language_82,"[1, 0]",2
language_83,"[1, 0]",2
language_84,"[0, 1]",2
language_85,"[1, 1]",2
language_86,"[1, 0]",2
language_87,"[1, 0]",2
language_88,"[0, 0]",2
language_89,"[1, 0]",2
language_90,"[0, 0]",2
language_91,"[1, 0]",2
language_92,"[1, 0]",2
language_93,"[1, 0]",2
language_95,"[1, 0]",2
language_96,"[1, 0]",2
language_97,"[1, 0]",2
language_99,"[0, 0]",2
language_100,"[0, 0]",2
language_101,"[0, 0]",2
language_102,"[1, 0]",2
language_103,"[0, 1]",2
language_104,"[0, 0]",2
language_105,"[0, 0]",2
language_107,"[1, 0]",2
language_108,"[0, 0]",2
language_109,"[0, 0]",2
language_110,"[1, 0]",2
language_111,"[0, 0]",2
language_112,"[0, 0]",2
language_113,"[1, 0]",2
language_115,"[1, 0]",2
language_119,"[0, 0]",2
language_120,"[1, 0]",2
language_121,"[0, 0]",2
language_125,"[1, 0]",2
language_126,"[0, 0]",2
language_128,"[1, 0]",2
language_129,"[1, 0]",2
language_131,"[1, 0]",2
language_133,"[1, 0]",2
language_134,"[0, 0]",2
language_135,"[1, 0]",2
language_136,"[0, 0]",2
language_138,"[1, 0]",2
language_139,"[1, 1]",2
language_141,"[1, 0]",2
language_142,"[1, 0]",2
language_143,"[1, 0]",2
language_144,"[0, 0]",2
language_145,"[1, 1]",2
language_146,"[0, 0]",2
language_147,"[0, 0]",2
language_149,"[1, 0]",2
language_150,"[0, 1]",2
language_151,"[1, 0]",2
language_152,"[1, 0]",2
language_153,"[1, 0]",2
language_154,"[0, 1]",2
language_155,"[0, 1]",2
language_156,"[0, 0]",2
language_158,"[1, 0]",2
language_159,"[1, 0]",2
language_160,"[0, 0]",2
language_161,"[0, 0]",2
language_162,"[1, 1]",2
language_164,"[0, 0]",2
language_165,"[0, 1]",2
language_168,"[1, 0]",2
language_169,"[1, 0]",2
language_170,"[0, 1]",2
language_172,"[1, 0]",2
language_173,"[1, 0]",2
language_175,"[1, 0]",2
language_177,"[0, 0]",2
language_178,"[1, 0]",2
language_179,"[1, 0]",2
language_180,"[1, 0]",2
language_183,"[1, 0]",2
language_184,"[0, 0]",2
language_186,"[1, 1]",2
language_187,"[1, 0]",2
language_188,"[1, 0]",2
language_189,"[1, 0]",2
language_190,"[0, 0]",2
language_192,"[1, 0]",2
language_193,"[1, 0]",2
language_194,"[1, 0]",2
language_195,"[1, 0]",2
language_196,"[0, 0]",2
language_197,"[1, 0]",2
language_198,"[0, 0]",2
language_199,"[0, 1]",2
language_200,"[1, 0]",2
language_201,"[1, 0]",2
language_202,"[1, 0]",2
language_203,"[1, 0]",2
language_204,"[1, 0]",2
language_205,"[1, 0]",2
language_206,"[1, 0]",2
language_207,"[1, 1]",2
language_208,"[1, 0]",2
language_210,"[1, 0]",2
language_211,"[0, 0]",2
language_212,"[1, 0]",2
language_213,"[1, 0]",2
language_216,"[1, 0]",2
language_217,"[0, 0]",2
language_218,"[0, 0]",2
language_219,"[1, 0]",2
language_220,"[0, 0]",2
language_221,"[1, 0]",2
language_222,"[1, 0]",2
language_223,"[1, 0]",2
language_224,"[1, 0]",2
language_225,"[1, 0]",2
language_226,"[0, 0]",2
language_227,"[1, 0]",2
language_228,"[0, 0]",2
language_230,"[1, 0]",2
language_232,"[0, 0]",2
language_233,"[1, 0]",2
language_234,"[0, 0]",2
language_237,"[1, 1]",2
language_238,"[1, 0]",2
language_239,"[1, 0]",2
language_240,"[0, 1]",2
language_241,"[1, 0]",2
language_243,"[1, 0]",2
language_244,"[1, 0]",2
language_246,"[1, 1]",2
language_248,"[1, 1]",2
language_249,"[1, 0]",2
language_250,"[1, 0]",2
language_251,"[1, 0]",2
language_252,"[1, 0]",2
language_253,"[1, 0]",2
language_254,"[1, 0]",2
language_255,"[1, 0]",2
language_256,"[1, 0]",2
language_257,"[1, 0]",2
language_259,"[1, 0]",2
language_260,"[1, 0]",2
language_261,"[1, 0]",2
language_262,"[1, 0]",2
language_264,"[0, 0]",2
language_265,"[0, 0]",2
language_266,"[0, 0]",2
language_267,"[0, 0]",2
language_268,"[0, 0]",2
language_269,"[1, 0]",2
language_270,"[1, 0]",2
language_271,"[1, 0]",2
language_273,"[1, 0]",2
language_274,"[0, 0]",2
language_276,"[1, 0]",2
language_278,"[0, 0]",2
language_279,"[0, 0]",2
language_280,"[0, 0]",2
language_282,"[0, 0]",2
language_283,"[1, 0]",2
language_284,"[1, 1]",2
language_286,"[1, 0]",2
language_288,"[0, 0]",2
language_289,"[0, 0]",2
language_290,"[1, 0]",2
language_291,"[0, 0]",2
language_292,"[0, 0]",2
language_294,"[1, 1]",2
language_295,"[0, 0]",2
language_296,"[1, 0]",2
language_297,"[0, 0]",2
language_299,"[0, 0]",2
language_300,"[0, 1]",2
language_301,"[1, 0]",2
language_303,"[1, 0]",2
language_304,"[1, 0]",2
language_305,"[0, 1]",2
language_306,"[1, 0]",2
language_307,"[1, 0]",2
language_308,"[0, 0]",2
language_309,"[1, 0]",2
language_310,"[0, 0]",2
language_311,"[0, 1]",2
language_312,"[1, 0]",2
language_313,"[1, 0]",2
language_314,"[1, 0]",2
language_315,"[0, 0]",2
language_316,"[1, 0]",2
language_318,"[0, 0]",2
language_319,"[0, 0]",2
language_320,"[1, 0]",2
language_322,"[1, 0]",2
language_323,"[1, 0]",2
language_324,"[1, 0]",2
language_325,"[0, 0]",2
language_326,"[1, 0]",2
language_328,"[0, 0]",2
language_329,"[1, 0]",2
language_330,"[0, 1]",2
language_332,"[1, 1]",2
language_333,"[1, 0]",2
language_334,"[1, 0]",2
language_335,"[0, 0]",2
language_336,"[0, 0]",2
language_337,"[1, 0]",2
language_339,"[1, 0]",2
language_340,"[1, 0]",2
language_341,"[0, 1]",2
language_342,"[1, 0]",2
language_343,"[1, 1]",2
language_344,"[1, 0]",2
language_345,"[1, 0]",2
language_346,"[1, 0]",2
language_347,"[1, 1]",2
language_349,"[1, 1]",2
language_350,"[1, 0]",2
language_351,"[1, 0]",2
language_352,"[1, 0]",2
language_353,"[1, 0]",2
language_355,"[1, 1]",2
language_356,"[1, 0]",2
language_357,"[1, 0]",2
language_358,"[1, 0]",2
language_359,"[1, 0]",2
language_360,"[1, 0]",2
language_361,"[1, 0]",2
language_362,"[1, 0]",2
language_363,"[1, 0]",2
language_364,"[0, 0]",2
language_365,"[1, 0]",2
language_366,"[0, 0]",2
language_367,"[1, 0]",2
language_370,"[0, 0]",2
language_372,"[1, 0]",2
language_373,"[0, 0]",2
language_374,"[1, 0]",2
language_375,"[1, 0]",2
language_376,"[1, 0]",2
language_377,"[1, 0]",2
language_378,"[1, 0]",2
language_380,"[0, 0]",2
language_381,"[0, 1]",2
language_382,"[1, 0]",2
language_383,"[0, 0]",2
language_384,"[1, 0]",2
language_385,"[1, 0]",2
language_386,"[1, 0]",2
language_387,"[0, 0]",2
language_391,"[1, 0]",2
language_392,"[0, 0]",2
language_393,"[1, 0]",2
language_395,"[1, 0]",2
language_396,"[1, 0]",2
language_397,"[1, 0]",2
language_399,"[1, 0]",2
language_400,"[0, 0]",2
language_401,"[0, 0]",2
language_402,"[0, 1]",2
language_403,"[0, 0]",2
language_404,"[1, 0]",2
language_405,"[1, 0]",2
language_406,"[1, 0]",2
language_407,"[1, 0]",2
language_408,"[0, 0]",2
language_409,"[0, 0]",2
language_410,"[1, 0]",2
language_411,"[1, 0]",2
language_412,"[1, 0]",2
language_413,"[1, 0]",2
language_414,"[1, 0]",2
language_415,"[0, 0]",2
language_416,"[1, 0]",2
language_417,"[0, 0]",2
language_418,"[1, 0]",2
language_419,"[1, 1]",2
language_420,"[1, 1]",2
language_421,"[0, 0]",2
language_422,"[0, 0]",2
language_425,"[1, 0]",2
language_426,"[1, 0]",2
language_428,"[1, 0]",2
language_429,"[0, 0]",2
language_430,"[1, 0]",2
language_431,"[1, 0]",2
language_432,"[1, 1]",2
language_433,"[0, 0]",2
language_434,"[1, 0]",2
language_435,"[1, 0]",2
language_436,"[1, 0]",2
language_437,"[1, 1]",2
language_438,"[0, 1]",2
language_439,"[1, 0]",2
language_440,"[1, 0]",2
language_441,"[1, 0]",2
language_442,"[1, 0]",2
language_443,"[1, 0]",2
language_444,"[0, 0]",2
language_445,"[0, 0]",2
language_446,"[1, 0]",2
language_450,"[1, 0]",2
language_451,"[1, 0]",2
language_453,"[1, 0]",2
language_454,"[1, 0]",2
language_456,"[0, 0]",2
language_458,"[1, 0]",2
language_459,"[1, 0]",2
language_460,"[1, 0]",2
language_462,"[1, 0]",2
language_463,"[0, 0]",2
language_464,"[0, 0]",2
language_465,"[1, 0]",2
language_466,"[1, 0]",2
language_467,"[1, 0]",2
language_469,"[0, 0]",2
language_470,"[1, 0]",2
language_472,"[1, 0]",2
language_473,"[1, 0]",2
language_474,"[1, 0]",2
language_477,"[1, 0]",2
language_478,"[1, 0]",2
language_479,"[1, 0]",2
language_481,"[0, 0]",2
language_482,"[1, 0]",2
language_483,"[1, 0]",2
